# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 5000, i.e. number of multipoles equal to 4999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       2.854584387278e-10       7.806898098506e-15       5.603663275267e-13       4.801791668920e-15       8.287663949113e-09       4.688831390208e-10      -2.069962249704e-12 
    3       2.442152533395e-10       1.011722549578e-14       4.540117876005e-13       4.836919150478e-15       5.159921641051e-09       3.331018326160e-10      -1.657326413614e-12 
    4       2.251777466278e-10       9.682028756767e-15       3.881849990596e-13       4.207450137876e-15       3.594450877948e-09       2.522989757503e-10      -1.177729832382e-12 
    5       2.145250134250e-10       7.469518246037e-15       3.248964501838e-13       3.296726552466e-15       2.683669919537e-09       1.993533710668e-10      -7.494955814540e-13 
    6       2.075462782965e-10       4.913186604927e-15       2.623285147240e-13       2.393111113103e-15       2.095240240102e-09       1.622695571823e-10      -4.080046776311e-13 
    7       2.029901376819e-10       2.947928173692e-15       2.058536637108e-13       1.655515288044e-15       1.689047729101e-09       1.350149285164e-10      -1.621219112492e-13 
    8       2.000076377764e-10       1.817833052417e-15       1.590668908204e-13       1.137088589113e-15       1.395548707474e-09       1.143036709918e-10      -5.638293088280e-15 
    9       1.981645478124e-10       1.331053325491e-15       1.236124085049e-13       8.259853576018e-16       1.175615683106e-09       9.820426666767e-11       7.615543351737e-14 
   10       1.971371328104e-10       1.186291628359e-15       9.941829355551e-14       6.802908365740e-16       1.005594595595e-09       8.542142087221e-11       1.021533166556e-13 
   11       1.966194629942e-10       1.169619366910e-15       8.518248741017e-14       6.518417786413e-16       8.459867157323e-10       7.527618262084e-11       9.186926179127e-14 
   12       1.965364780707e-10       1.194123541130e-15       7.874040975531e-14       6.986372074423e-16       7.391409658424e-10       6.665342527836e-11       6.312287019871e-14 
   13       1.967478468254e-10       1.250170749992e-15       7.762425405479e-14       7.899512262083e-16       6.514406149026e-10       5.939886361865e-11       2.907378696605e-14 
   14       1.971781403530e-10       1.347093346947e-15       7.954505527971e-14       9.055851708312e-16       5.784718743649e-10       5.331029011093e-11      -9.905267340814e-16 
   15       1.977981121880e-10       1.483822959650e-15       8.262942065996e-14       1.034349875662e-15       5.170598945066e-10       4.816491363294e-11      -2.218495856114e-14 
   16       1.985264582902e-10       1.649806142922e-15       8.570204756428e-14       1.170733511434e-15       4.648505712874e-10       4.373445596261e-11      -3.331117851871e-14 
   17       1.994144355245e-10       1.836119159176e-15       8.811856074149e-14       1.311971197701e-15       4.200652049459e-10       3.978706409878e-11      -3.583038587671e-14 
   18       2.003660098922e-10       2.040451039425e-15       8.961322893536e-14       1.457718937007e-15       3.811940340647e-10       3.635407436340e-11      -3.220161780336e-14 
   19       2.013983605471e-10       2.266722577470e-15       9.034933017418e-14       1.607759617263e-15       3.476227550019e-10       3.338973136618e-11      -2.498984013061e-14 
   20       2.024822619853e-10       2.520210376130e-15       9.065366202648e-14       1.761857004695e-15       3.180563395671e-10       3.072421059703e-11      -1.731415504044e-14 
   21       2.036287696427e-10       2.802657102413e-15       9.077260833957e-14       1.919910755776e-15       2.920302033529e-10       2.834855412473e-11      -1.085699570396e-14 
   22       2.048068175769e-10       3.113940684628e-15       9.090429011691e-14       2.081935374456e-15       2.689216968433e-10       2.626519006736e-11      -6.763931298105e-15 
   23       2.060349372580e-10       3.452851630456e-15       9.103563541503e-14       2.247832584711e-15       2.484126905764e-10       2.443576860009e-11      -5.096094112380e-15 
   24       2.073061849357e-10       3.817587127220e-15       9.103562332493e-14       2.417495460737e-15       2.300285183883e-10       2.278305854510e-11      -5.393526015424e-15 
   25       2.086171972996e-10       4.208182732492e-15       9.069911890404e-14       2.590731630132e-15       2.135529293256e-10       2.126830309130e-11      -7.062791201208e-15 
   26       2.099400370139e-10       4.625119420971e-15       8.975814650084e-14       2.767328317732e-15       1.986879383294e-10       1.985705284526e-11      -9.331726719126e-15 
   27       2.112854550986e-10       5.068769412701e-15       8.796639212429e-14       2.947028821060e-15       1.852555617952e-10       1.856684722917e-11      -1.148168539556e-14 
   28       2.126571954901e-10       5.539486842758e-15       8.508064243671e-14       3.129574587479e-15       1.730245193689e-10       1.741902184177e-11      -1.283743172599e-14 
   29       2.140685714925e-10       6.038108473393e-15       8.098081809090e-14       3.314746234834e-15       1.619321014487e-10       1.640130385534e-11      -1.332140253870e-14 
   30       2.155115439262e-10       6.565643157672e-15       7.558327266995e-14       3.502350297012e-15       1.518586716565e-10       1.547605235561e-11      -1.308456456154e-14 
   31       2.169588775397e-10       7.123147736415e-15       6.882727264049e-14       3.692198444087e-15       1.425982240116e-10       1.459836776482e-11      -1.233431770396e-14 
   32       2.184218148843e-10       7.711741471274e-15       6.075392484004e-14       3.884051875321e-15       1.341030297810e-10       1.377023606287e-11      -1.126061182761e-14 
   33       2.199091950193e-10       8.332601790478e-15       5.146057890226e-14       4.077656465435e-15       1.263133465339e-10       1.300532836252e-11      -1.009072041776e-14 
   34       2.214159876777e-10       8.986847583146e-15       4.104948969323e-14       4.272762195645e-15       1.191204882343e-10       1.231191588984e-11      -9.066238877262e-15 
   35       2.229437048977e-10       9.675136936976e-15       2.951075257185e-14       4.469141325307e-15       1.124876157854e-10       1.168355726124e-11      -8.281188252170e-15 
   36       2.244837927459e-10       1.039791901713e-14       1.679881286144e-14       4.666576952736e-15       1.063613614512e-10       1.110412563975e-11      -7.789015097563e-15 
   37       2.260205948485e-10       1.115558712598e-14       2.865571666632e-15       4.864848324725e-15       1.006618326398e-10       1.055538429660e-11      -7.621364127133e-15 
   38       2.275661737747e-10       1.194866968092e-14      -1.232973320136e-14       5.063695640299e-15       9.537428340939e-11       1.003686155832e-11      -7.706639617697e-15 
   39       2.291348917761e-10       1.277769315684e-14      -2.882788959037e-14       5.262843248688e-15       9.048195890869e-11       9.551956707236e-12      -7.922089407250e-15 
   40       2.307328882783e-10       1.364312614770e-14      -4.667280932414e-14       5.462008407143e-15       8.593821574976e-11       9.102396541881e-12      -8.112870436876e-15 
   41       2.323596373420e-10       1.454541587497e-14      -6.591054477732e-14       5.660908391328e-15       8.168277193687e-11       8.688028431648e-12      -8.133052481585e-15 
   42       2.340154890622e-10       1.548512102057e-14      -8.658510116626e-14       5.859285856481e-15       7.770308637016e-11       8.306537392026e-12      -7.989795179924e-15 
   43       2.356950012938e-10       1.646281582430e-14      -1.087418578468e-13       6.056890859638e-15       7.398857205521e-11       7.953343583226e-12      -7.742526078576e-15 
   44       2.373839001214e-10       1.747905259369e-14      -1.324290464892e-13       6.253473949382e-15       7.051217651862e-11       7.621453733847e-12      -7.464684409171e-15 
   45       2.390662237099e-10       1.853429427254e-14      -1.576864405825e-13       6.448781764642e-15       6.724004168254e-11       7.303524118964e-12      -7.228599303681e-15 
   46       2.407501113559e-10       1.962869048457e-14      -1.845067812219e-13       6.642542249826e-15       6.416701585655e-11       6.999200810159e-12      -7.052751803867e-15 
   47       2.424484173125e-10       2.076223281915e-14      -2.128632598174e-13       6.834475028399e-15       6.128952895479e-11       6.709673688740e-12      -6.940176710175e-15 
   48       2.441711633226e-10       2.193481073220e-14      -2.427196897962e-13       7.024295183387e-15       5.859488242909e-11       6.435581245257e-12      -6.892980145630e-15 
   49       2.459252259188e-10       2.314620671176e-14      -2.740300993568e-13       7.211713008782e-15       5.606057041741e-11       6.176963081729e-12      -6.912261167792e-15 
   50       2.477143521169e-10       2.439614983295e-14      -3.067501676724e-13       7.396446916881e-15       5.366105787175e-11       5.933401384990e-12      -6.996210942654e-15 
   51       2.495399369865e-10       2.568450477613e-14      -3.408761378960e-13       7.578266867375e-15       5.139185887847e-11       5.704600812982e-12      -7.133983862229e-15 
   52       2.513999166210e-10       2.701112575903e-14      -3.764157627011e-13       7.756962296886e-15       4.925082068927e-11       5.489883909244e-12      -7.310027312572e-15 
   53       2.532881679962e-10       2.837580059452e-14      -4.133775305347e-13       7.932330355068e-15       4.723091781941e-11       5.287978199847e-12      -7.505598455055e-15 
   54       2.551942117232e-10       2.977824860394e-14      -4.517708157099e-13       8.104176275116e-15       4.531992411276e-11       5.096977588396e-12      -7.698600076531e-15 
   55       2.571074601397e-10       3.121814538467e-14      -4.916050540999e-13       8.272315633175e-15       4.350414133761e-11       4.914866380062e-12      -7.869000443102e-15 
   56       2.590318783564e-10       3.269520909854e-14      -5.328866865709e-13       8.436580935042e-15       4.178142092517e-11       4.741332237637e-12      -8.017045598503e-15 
   57       2.609744446784e-10       3.420913196434e-14      -5.756217191319e-13       8.596817314720e-15       4.015080270677e-11       4.576335982982e-12      -8.149283870291e-15 
   58       2.629408068279e-10       3.575955426391e-14      -6.198167404961e-13       8.752881223314e-15       3.860857561306e-11       4.419572106035e-12      -8.273430506418e-15 
   59       2.649351617885e-10       3.734606330176e-14      -6.654790342097e-13       8.904640873138e-15       3.714810778577e-11       4.270452080415e-12      -8.398421083976e-15 
   60       2.669601356497e-10       3.896819236464e-14      -7.126166907818e-13       9.051976681816e-15       3.575967668948e-11       4.128087679027e-12      -8.534464917941e-15 
   61       2.690174149492e-10       4.062540958251e-14      -7.612341337790e-13       9.194779293396e-15       3.443316850563e-11       3.991555233092e-12      -8.690025792112e-15 
   62       2.711100781250e-10       4.231708394326e-14      -8.113172709568e-13       9.332942117944e-15       3.316726868959e-11       3.860795468092e-12      -8.861851386116e-15 
   63       2.732405765461e-10       4.404250976868e-14      -8.628451939474e-13       9.466367897830e-15       3.196204225141e-11       3.735886958107e-12      -9.042790435940e-15 
   64       2.754099347903e-10       4.580091480617e-14      -9.157944374640e-13       9.594971342900e-15       3.081616922312e-11       3.616775388928e-12      -9.224624714366e-15 
   65       2.776176543333e-10       4.759145886790e-14      -9.701389459189e-13       9.718679497700e-15       2.972686581064e-11       3.503265787792e-12      -9.398024945977e-15 
   66       2.798616172374e-10       4.941323247003e-14      -1.025850040041e-12       9.837432108702e-15       2.868980554574e-11       3.395014753105e-12      -9.552506722159e-15 
   67       2.821379898409e-10       5.126525547181e-14      -1.082896383495e-12       9.951181991522e-15       2.769904043795e-11       3.291522684171e-12      -9.676386416108e-15 
   68       2.844429660370e-10       5.314648480520e-14      -1.141246720110e-12       1.005988659682e-14       2.674858898496e-11       3.192273670524e-12      -9.759573438187e-15 
   69       2.867786225786e-10       5.505584252378e-14      -1.200878804253e-12       1.016347990264e-14       2.583775010223e-11       3.097205443887e-12      -9.802702546205e-15 
   70       2.891480826464e-10       5.699219101875e-14      -1.261772228330e-12       1.026189546022e-14       2.496672923654e-11       3.006321129521e-12      -9.809781287506e-15 
   71       2.915537328549e-10       5.895432332336e-14      -1.323905849083e-12       1.035507483104e-14       2.413503120907e-11       2.919546089848e-12      -9.785545330805e-15 
   72       2.939971739895e-10       6.094096198461e-14      -1.387257825071e-12       1.044296772886e-14       2.334142399793e-11       2.836723930642e-12      -9.735486921869e-15 
   73       2.964791717442e-10       6.295075793486e-14      -1.451805654146e-12       1.052553216194e-14       2.258390252073e-11       2.757612507214e-12      -9.665883339190e-15 
   74       2.989996074585e-10       6.498228936359e-14      -1.517526210927e-12       1.060273457507e-14       2.185965241721e-11       2.681879930602e-12      -9.583825349670e-15 
   75       3.015574288550e-10       6.703406058899e-14      -1.584395784284e-12       1.067454999180e-14       2.116501383172e-11       2.609100573760e-12      -9.497245664292e-15 
   76       3.041514997134e-10       6.910454834389e-14      -1.652389040656e-12       1.074096185847e-14       2.049638964994e-11       2.538860052738e-12      -9.413228426667e-15 
