# dimensionless [l(l+1)/2pi] C_l's for scalar mode
# for l=2 to 5500, i.e. number of multipoles equal to 5499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.434898082147e-10       5.120178883052e-15       3.941692102820e-13       0.000000000000e+00       8.287663949113e-09       4.688831390208e-10      -2.069962249704e-12 
    3       1.352895321782e-10       7.272962282702e-15       4.620911478751e-13       0.000000000000e+00       5.159921641051e-09       3.331018326160e-10      -1.657326413614e-12 
    4       1.274901472741e-10       7.071366724268e-15       4.487734162292e-13       0.000000000000e+00       3.594450877948e-09       2.522989757503e-10      -1.177729832382e-12 
    5       1.215459054216e-10       5.382209593797e-15       3.963857936299e-13       0.000000000000e+00       2.683669919537e-09       1.993533710668e-10      -7.494955814540e-13 
    6       1.173473215841e-10       3.407934604287e-15       3.302963438825e-13       0.000000000000e+00       2.095240240102e-09       1.622695571823e-10      -4.080046776311e-13 
    7       1.145497915851e-10       1.921982433164e-15       2.661616769304e-13       0.000000000000e+00       1.689047729101e-09       1.350149285164e-10      -1.621219112492e-13 
    8       1.127557564914e-10       1.102595250137e-15       2.121134362455e-13       0.000000000000e+00       1.395548707474e-09       1.143036709918e-10      -5.638293088280e-15 
    9       1.117762777486e-10       7.630672445996e-16       1.714816157212e-13       0.000000000000e+00       1.175615683106e-09       9.820426666767e-11       7.615543351737e-14 
   10       1.114292069582e-10       6.416359444355e-16       1.445255233348e-13       0.000000000000e+00       1.005594595595e-09       8.542142087221e-11       1.021533166556e-13 
   11       1.114914988963e-10       5.698204832395e-16       1.297185133036e-13       0.000000000000e+00       8.459867157323e-10       7.527618262084e-11       9.186926179127e-14 
   12       1.119361963374e-10       4.964600540313e-16       1.245070536116e-13       0.000000000000e+00       7.391409658424e-10       6.665342527836e-11       6.312287019871e-14 
   13       1.126515430861e-10       4.342791551236e-16       1.260356603925e-13       0.000000000000e+00       6.514406149026e-10       5.939886361865e-11       2.907378696605e-14 
   14       1.135798788163e-10       4.032063149100e-16       1.317083369544e-13       0.000000000000e+00       5.784718743649e-10       5.331029011093e-11      -9.905267340814e-16 
   15       1.147030745950e-10       4.061972547897e-16       1.394329416931e-13       0.000000000000e+00       5.170598945066e-10       4.816491363294e-11      -2.218495856114e-14 
   16       1.159464421786e-10       4.334446003426e-16       1.478767678716e-13       0.000000000000e+00       4.648505712874e-10       4.373445596261e-11      -3.331117851871e-14 
