# dimensionless [l(l+1)/2pi] C_l's for tensor mode
# for l=2 to 500, i.e. number of multipoles equal to 499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.419681433708e-10       2.686460155456e-15       1.661971213458e-13       4.801532608920e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    3       1.089247503884e-10       2.843744938237e-15      -8.079342019101e-15       4.836400875615e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    4       9.768598909522e-11       2.609797905097e-15      -6.058836479559e-14       4.206586010349e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    5       9.297670679022e-11       2.086011850264e-15      -7.148922436256e-14       3.295429750036e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    6       9.019561831183e-11       1.503435489997e-15      -6.796759554199e-14       2.391294601127e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    7       8.843593021217e-11       1.023522258265e-15      -6.030759974262e-14       1.653091802396e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    8       8.724625408703e-11       7.121198519277e-16      -5.304586736072e-14       1.133970631055e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    9       8.638130454202e-11       5.640859405284e-16      -4.786815894902e-14       8.220852011023e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   10       8.569950198157e-11       5.398854270179e-16      -4.510568373544e-14       6.755205480433e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   11       8.511796882267e-11       5.940704122142e-16      -4.453383189464e-14       6.461132484740e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   12       8.458860877490e-11       6.908885760630e-16      -4.576362888390e-14       6.918621922343e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   13       8.408285324351e-11       8.079819465267e-16      -4.840737468665e-14       7.820414000242e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   14       8.358293957893e-11       9.347543383364e-16      -5.215801546336e-14       8.964521834828e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   15       8.307775556594e-11       1.067181715713e-15      -5.679678102945e-14       1.023905415630e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   16       8.256069002326e-11       1.204518137740e-15      -6.216624702347e-14       1.158889370839e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   17       8.202813955411e-11       1.347502435574e-15      -6.815323850389e-14       1.298639336609e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   18       8.147239106926e-11       1.495983466223e-15      -7.468198064979e-14       1.442811545759e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   19       8.091073762565e-11       1.649836249073e-15      -8.170516299837e-14       1.591189165977e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   20       8.032391116317e-11       1.809114130513e-15      -8.916020402977e-14       1.743536299443e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   21       7.972246054314e-11       1.973614048007e-15      -9.701390881590e-14       1.899752964755e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   22       7.910094336842e-11       2.143083735717e-15      -1.052324457193e-13       2.059854062589e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   23       7.846680648549e-11       2.317380694907e-15      -1.137821826167e-13       2.223741714879e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   24       7.781397699575e-11       2.496432637887e-15      -1.226240036242e-13       2.391309403403e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   25       7.714837480722e-11       2.680181406031e-15      -1.317277155099e-13       2.562365136668e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   26       7.646670531519e-11       2.868624056923e-15      -1.410631238148e-13       2.736696503761e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   27       7.577141532658e-11       3.061863675854e-15      -1.506044752881e-13       2.914047119537e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   28       7.505849564212e-11       3.260013481602e-15      -1.603260490980e-13       3.094158708299e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   29       7.433579586993e-11       3.462894781665e-15      -1.702047915657e-13       3.276812096312e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   30       7.360419696231e-11       3.670207493567e-15      -1.802170917111e-13       3.461813969170e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   31       7.285554012989e-11       3.881619753629e-15      -1.903385429203e-13       3.648976093362e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   32       7.209501877203e-11       4.096839348921e-15      -2.005479390484e-13       3.838059703972e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   33       7.132491372030e-11       4.315564123910e-15      -2.108247666094e-13       4.028810643595e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   34       7.054142964744e-11       4.537486528834e-15      -2.211486781644e-13       4.220978800264e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   35       6.974789747428e-11       4.762381832614e-15      -2.315011681987e-13       4.414336320356e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   36       6.894469851875e-11       4.990049935096e-15      -2.418645819184e-13       4.608666133490e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   37       6.812837339343e-11       5.220296826994e-15      -2.522210628118e-13       4.803747278574e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   38       6.730316899968e-11       5.452950207514e-15      -2.625502166175e-13       4.999319818773e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   39       6.647230596609e-11       5.687849688979e-15      -2.728307292589e-13       5.195107959555e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   40       6.563426096574e-11       5.924843285767e-15      -2.830410070124e-13       5.390828773848e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   41       6.478510192126e-11       6.163782267049e-15      -2.931629840107e-13       5.586199356544e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   42       6.392758529913e-11       6.404502442209e-15      -3.031950028706e-13       5.780962340652e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   43       6.306419590658e-11       6.646837663690e-15      -3.131431499570e-13       5.974867811224e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   44       6.219428731400e-11       6.890625102431e-15      -3.230180927157e-13       6.167666354039e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   45       6.131576757694e-11       7.135693436341e-15      -3.328279949132e-13       6.359104686249e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   46       6.043145463181e-11       7.381822902040e-15      -3.425540928954e-13       6.548910976135e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   47       5.954411759691e-11       7.628773518729e-15      -3.521682822467e-13       6.736805144997e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   48       5.865448306736e-11       7.876295446741e-15      -3.616396951214e-13       6.922502622169e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   49       5.776105335063e-11       8.124128428392e-15      -3.709345496525e-13       7.105714099183e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   50       5.686150036470e-11       8.371993807893e-15      -3.800189581290e-13       7.286158425156e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   51       5.595771507335e-11       8.619569334664e-15      -3.888685995174e-13       7.463605989854e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   52       5.505181447202e-11       8.866506554148e-15      -3.974614121306e-13       7.637846691520e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   53       5.414458065517e-11       9.112436744167e-15      -4.057748532437e-13       7.808678188582e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   54       5.323535320064e-11       9.356970006553e-15      -4.137858877394e-13       7.975906272226e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   55       5.232298389657e-11       9.599732448994e-15      -4.214734243528e-13       8.139347052775e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   56       5.140922519834e-11       9.840490628075e-15      -4.288263591464e-13       8.298833301338e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   57       5.049599503988e-11       1.007905642948e-14      -4.358375103179e-13       8.454210336147e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   58       4.958432345725e-11       1.031525224945e-14      -4.425014278451e-13       8.605334780362e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   59       4.867428636304e-11       1.054891157043e-14      -4.488144774917e-13       8.752075005310e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   60       4.776493932066e-11       1.077987953676e-14      -4.547749248138e-13       8.894311573719e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   61       4.685512708832e-11       1.100800479780e-14      -4.603816941898e-13       9.031935187975e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   62       4.594627441203e-11       1.123311159542e-14      -4.656301303660e-13       9.164838993978e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   63       4.504010698829e-11       1.145502240430e-14      -4.705154302848e-13       9.292925328474e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   64       4.413779329449e-11       1.167356640420e-14      -4.750339252445e-13       9.416108418463e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
