# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 5500, i.e. number of multipoles equal to 5499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       2.849703723353e-10       7.793294100462e-15       5.594071890312e-13       4.793255806657e-15       8.273658232420e-09       4.681044393342e-10      -2.066425340568e-12 
    3       2.437976323692e-10       1.009954513691e-14       4.532433310719e-13       4.828063967929e-15       5.151211923918e-09       3.325478862651e-10      -1.654516453242e-12 
    4       2.247923654012e-10       9.664902856517e-15       3.875393259242e-13       4.199334767143e-15       3.588389743630e-09       2.518783946204e-10      -1.175750627548e-12 
    5       2.141574826092e-10       7.455855794546e-15       3.243705319118e-13       3.289749142851e-15       2.679144717927e-09       1.990203082693e-10      -7.482478568019e-13 
    6       2.071902499148e-10       4.903425317754e-15       2.619218971626e-13       2.387172527061e-15       2.091705723949e-09       1.619980213309e-10      -4.073335867253e-13 
    7       2.026413430953e-10       2.940924272403e-15       2.055554436325e-13       1.650242230313e-15       1.686197974290e-09       1.347886872466e-10      -1.618639466907e-13 
    8       1.996631976555e-10       1.812041681801e-15       1.588594967123e-13       1.132015911313e-15       1.393194783714e-09       1.141118297081e-10      -5.643327193391e-15 
    9       1.978223235641e-10       1.325263111735e-15       1.234758594262e-13       8.206681043617e-16       1.173633705632e-09       9.803923860484e-11       7.601341867914e-14 
   10       1.967955023262e-10       1.179814605306e-15       9.933026280685e-14       6.743560970274e-16       1.003900320788e-09       8.527789381930e-11       1.019694906906e-13 
   11       1.962771084603e-10       1.162145364954e-15       8.511840994717e-14       6.449994889794e-16       8.445572498440e-10       7.514895908105e-11       9.170740262960e-14 
   12       1.961921366115e-10       1.185499951019e-15       7.867855215318e-14       6.906695718125e-16       7.378920932919e-10       6.654096103682e-11       6.301255211526e-14 
   13       1.964005987803e-10       1.240265598253e-15       7.755080667571e-14       7.806933298200e-16       6.503400747703e-10       5.929865245386e-11       2.902232205816e-14 
   14       1.968273776026e-10       1.335758830078e-15       7.945462337467e-14       8.949068935850e-16       5.774949669884e-10       5.322042208598e-11      -9.906125163691e-16 
   15       1.974433555596e-10       1.470910414963e-15       8.252232026424e-14       1.022140424593e-15       5.161871225070e-10       4.808381109595e-11      -2.214885801405e-14 
   16       1.981675071373e-10       1.635181722497e-15       8.558116730560e-14       1.156891696332e-15       4.640662150135e-10       4.366082207734e-11      -3.325601223513e-14 
   17       1.990510304624e-10       1.819662135745e-15       8.798767064235e-14       1.296400763185e-15       4.193567470556e-10       3.972005972181e-11      -3.577072876551e-14 
   18       1.999980411530e-10       2.022043675148e-15       8.947614829543e-14       1.440324451224e-15       3.805515855296e-10       3.629289983799e-11      -3.214781083522e-14 
   19       2.010256601445e-10       2.246240507096e-15       9.020925935665e-14       1.588446301226e-15       3.470374044540e-10       3.333362744532e-11      -2.494791036528e-14 
   20       2.021046700114e-10       2.497520408351e-15       9.051274611117e-14       1.740530821063e-15       3.175212687922e-10       3.067262825485e-11      -1.728491360958e-14 
   21       2.032461136523e-10       2.777623817053e-15       9.063238440858e-14       1.896478202019e-15       2.915393809202e-10       2.830098872989e-11      -1.083844579969e-14 
   22       2.044189955078e-10       3.086429736164e-15       9.076580718706e-14       2.056303319853e-15       2.684701783195e-10       2.622119065082e-11      -6.752158345532e-15 
   23       2.056418092846e-10       3.422731426146e-15       9.089989431042e-14       2.219908465289e-15       2.479960692118e-10       2.439491903877e-11      -5.087039915977e-15 
   24       2.069076076640e-10       3.784729617818e-15       9.090374585399e-14       2.387187303548e-15       2.296431800873e-10       2.274502122682e-11      -5.383853853015e-15 
   25       2.082130323309e-10       4.172459831303e-15       9.057239433504e-14       2.557948174016e-15       2.131956264496e-10       2.123282889283e-11      -7.050183412892e-15 
   26       2.095301935730e-10       4.586402188818e-15       8.963811969624e-14       2.731979031861e-15       1.983559317264e-10       1.982399215332e-11      -9.315211211860e-15 
   27       2.108698098390e-10       5.026929352508e-15       8.785507045009e-14       2.909023933770e-15       1.849464142791e-10       1.853600347042e-11      -1.146152894134e-14 
   28       2.122356024279e-10       5.494396185787e-15       8.498054869501e-14       3.088825049138e-15       1.727361851160e-10       1.739013024105e-11      -1.281505281847e-14 
   29       2.136408713757e-10       5.989638567213e-15       8.089465293695e-14       3.271163582087e-15       1.616626411952e-10       1.637412625080e-11      -1.329831454861e-14 
   30       2.150776116195e-10       6.513663818825e-15       7.551379417335e-14       3.455846551576e-15       1.516063494406e-10       1.545043552576e-11      -1.306196385529e-14 
   31       2.165186516891e-10       7.067527044819e-15       6.877725171411e-14       3.642686048700e-15       1.423616535986e-10       1.457425486712e-11      -1.231299273603e-14 
   32       2.179752008929e-10       7.652345735342e-15       6.072605324526e-14       3.831443720120e-15       1.338809066396e-10       1.374756170366e-11      -1.124105374146e-14 
   33       2.194560548767e-10       8.269295373332e-15       5.145740036075e-14       4.021865846489e-15       1.261044682871e-10       1.298398844148e-11      -1.007309425417e-14 
   34       2.209561664998e-10       8.919493056645e-15       4.107338704558e-14       4.213702746926e-15       1.189238375336e-10       1.229177671322e-11      -9.050356636253e-15 
   35       2.224770586915e-10       9.603596588420e-15       2.956410156033e-14       4.406726960566e-15       1.123022380967e-10       1.166449532569e-11      -8.266691656745e-15 
   36       2.240102214659e-10       1.032205549566e-14       1.688402658812e-14       4.600721791209e-15       1.061863928281e-10       1.108604920175e-11      -7.775418750051e-15 
   37       2.255400540256e-10       1.107526350393e-14       2.985101693200e-15       4.795466658654e-15       1.004965446210e-10       1.053823716203e-11      -7.608093043372e-15 
   38       2.270786014528e-10       1.186374865806e-14      -1.217339604970e-14       4.990702074139e-15       9.521797291910e-11       1.002058935264e-11      -7.693238443776e-15 
   39       2.286401958812e-10       1.268803685041e-14      -2.863221320548e-14       5.186152718546e-15       9.033395169791e-11       9.536499321180e-12      -7.908320651223e-15 
   40       2.302309585315e-10       1.354859611138e-14      -4.643521745379e-14       5.381536152509e-15       8.579791697289e-11       9.087691001767e-12      -8.098771615597e-15 
   41       2.318503570172e-10       1.444587330012e-14      -6.562841604876e-14       5.576569958590e-15       8.154968920768e-11       8.674012400270e-12      -8.118920624605e-15 
   42       2.334987426926e-10       1.538042755638e-14      -8.625577593764e-14       5.770997213450e-15       7.757674889147e-11       8.293154092694e-12      -7.975915851530e-15 
   43       2.351706875780e-10       1.635283397995e-14      -1.083626387740e-13       5.964568432952e-15       7.386852725850e-11       7.940546264836e-12      -7.729081093807e-15 
   44       2.368519476662e-10       1.736364598741e-14      -1.319971964120e-13       6.157034632821e-15       7.039801787985e-11       7.609210157606e-12      -7.451727367699e-15 
   45       2.385265939024e-10       1.841332783278e-14      -1.571992028201e-13       6.348142966822e-15       6.713142021749e-11       7.291816815182e-12      -7.216057555908e-15 
   46       2.402027548418e-10       1.950203046147e-14      -1.839614760732e-13       6.537622071812e-15       6.406359162787e-11       6.988012382575e-12      -7.040520597178e-15 
   47       2.418932653033e-10       2.062974695000e-14      -2.122573269258e-13       6.725192351871e-15       6.119096839299e-11       6.698983145856e-12      -6.928146215426e-15 
   48       2.436081324458e-10       2.179636847063e-14      -2.420507105366e-13       6.910569726858e-15       5.850087374069e-11       6.425364550421e-12      -6.881037110328e-15 
   49       2.453542236034e-10       2.300167946583e-14      -2.732958201179e-13       7.093465386992e-15       5.597084013617e-11       6.167193761420e-12      -6.900290707677e-15 
   50       2.471352813090e-10       2.424541115872e-14      -3.059485003939e-13       7.273598666020e-15       5.357537594504e-11       5.924051395266e-12      -6.984101459871e-15 
   51       2.489526973958e-10       2.552743040310e-14      -3.400050830118e-13       7.450740349510e-15       5.131000303831e-11       5.695642128095e-12      -7.121642022668e-15 
   52       2.508044094206e-10       2.684759375335e-14      -3.754733901631e-13       7.624680697886e-15       4.917257246284e-11       5.481289684688e-12      -7.297385933737e-15 
   53       2.526843021134e-10       2.820569157767e-14      -4.123619824245e-13       7.795217718384e-15       4.715607071829e-11       5.279723818548e-12      -7.492621916794e-15 
   54       2.545819106092e-10       2.960144597778e-14      -4.506803086343e-13       7.962157536982e-15       4.524829237193e-11       5.089041774490e-12      -7.685290010803e-15 
   55       2.564866620519e-10       3.103453543655e-14      -4.904378817712e-13       8.125316581001e-15       4.343556238830e-11       4.907231480868e-12      -7.855392352047e-15 
   56       2.584025141941e-10       3.250468069692e-14      -5.316412234948e-13       8.284527909815e-15       4.171573598711e-11       4.733981613325e-12      -8.003174979164e-15 
   57       2.603364335276e-10       3.401157657332e-14      -5.742964230834e-13       8.439637108287e-15       4.008785478836e-11       4.569253688436e-12      -8.135175746228e-15 
   58       2.622940581867e-10       3.555486607641e-14      -6.184101544198e-13       8.590501046720e-15       3.854821412918e-11       4.412743441020e-12      -8.259097562908e-15 
   59       2.642795779998e-10       3.713413937415e-14      -6.639897879202e-13       8.736988323329e-15       3.709019345987e-11       4.263864172300e-12      -8.383861717933e-15 
   60       2.662956145420e-10       3.874893275278e-14      -7.110435024618e-13       8.878979706717e-15       3.570408673976e-11       4.121730098062e-12      -8.519661202553e-15 
   61       2.683438518698e-10       4.039871738336e-14      -7.595758183758e-13       9.016366087663e-15       3.437979729368e-11       3.985419912133e-12      -8.674946325244e-15 
   62       2.704273655258e-10       4.208286502531e-14      -8.095727715387e-13       9.149040796264e-15       3.311601292294e-11       3.854874279570e-12      -8.846470263982e-15 
   63       2.725486058335e-10       4.380067274595e-14      -8.610135949199e-13       9.276906337620e-15       3.191279865359e-11       3.730171163268e-12      -9.027093586127e-15 
   64       2.747085991186e-10       4.555137110015e-14      -9.138749711657e-13       9.399877086590e-15       3.076883684832e-11       3.611255778052e-12      -9.208611650137e-15 
   65       2.769068515792e-10       4.733412276794e-14      -9.681309992407e-13       9.517879651240e-15       2.968134848952e-11       3.497932829854e-12      -9.381710592948e-15 
   66       2.791412531572e-10       4.914802119205e-14      -1.023753161071e-12       9.630853236281e-15       2.864601446244e-11       3.389858754899e-12      -9.535923317355e-15 
   67       2.814079814081e-10       5.099208921542e-14      -1.080710288183e-12       9.738750006522e-15       2.765689683835e-11       3.286533958880e-12      -9.659585479399e-15 
   68       2.837032420844e-10       5.286528681045e-14      -1.138971293840e-12       9.841526729402e-15       2.670802422684e-11       3.187442737511e-12      -9.742623140959e-15 
   69       2.860291153116e-10       5.476653913079e-14      -1.198514086853e-12       9.939116923730e-15       2.579869681246e-11       3.092523308371e-12      -9.785670026947e-15 
   70       2.883887267531e-10       5.669471172212e-14      -1.259318412312e-12       1.003145369452e-14       2.492911978678e-11       3.001779515614e-12      -9.792727086336e-15 
   71       2.907844674362e-10       5.864860082374e-14      -1.321363282609e-12       1.011847809249e-14       2.409879888001e-11       2.915137663080e-12      -9.768522182925e-15 
   72       2.932179445971e-10       6.062693223862e-14      -1.384627014808e-12       1.020013925441e-14       2.330650420345e-11       2.832442530496e-12      -9.718538503823e-15 
   73       2.956899325268e-10       6.262836020349e-14      -1.449087268014e-12       1.027639454358e-14       2.255023409196e-11       2.753453389670e-12      -9.649042967937e-15 
   74       2.982003234161e-10       6.465146625889e-14      -1.514721080746e-12       1.034720969016e-14       2.182717894638e-11       2.677840020692e-12      -9.567114634462e-15 
   75       3.007480782010e-10       6.669475811928e-14      -1.581504908305e-12       1.041255893163e-14       2.113368507599e-11       2.605178728131e-12      -9.480673111366e-15 
   76       3.033320728921e-10       6.875671594335e-14      -1.649413590307e-12       1.047242498675e-14       2.046616142397e-11       2.535056799264e-12      -9.396790850715e-15 
