# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 5000, i.e. number of multipoles equal to 4999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       2.849708580865e-10       7.793553972273e-15       5.594071849415e-13       4.793515678471e-15       8.273658232420e-09       4.681044393342e-10      -2.066425340568e-12 
    3       2.437986003718e-10       1.010006503490e-14       4.532433128676e-13       4.828583865951e-15       5.151211923918e-09       3.325478862651e-10      -1.654516453242e-12 
    4       2.247939710692e-10       9.665769688169e-15       3.875392736974e-13       4.200201598923e-15       3.588389743630e-09       2.518783946204e-10      -1.175750627548e-12 
    5       2.141598769855e-10       7.457156651041e-15       3.243704131637e-13       3.291049999813e-15       2.679144717927e-09       1.990203082693e-10      -7.482478568019e-13 
    6       2.071935788240e-10       4.905247501704e-15       2.619216642061e-13       2.388994712385e-15       2.091705723949e-09       1.619980213309e-10      -4.073335867253e-13 
    7       2.026457464463e-10       2.943355314556e-15       2.055550313275e-13       1.652673275946e-15       1.686197974290e-09       1.347886872466e-10      -1.618639466907e-13 
    8       1.996688089118e-10       1.815169345662e-15       1.588588205773e-13       1.135143583081e-15       1.393194783714e-09       1.141118297081e-10      -5.643327193391e-15 
    9       1.978292693937e-10       1.329175385499e-15       1.234748141544e-13       8.245803946518e-16       1.173633705632e-09       9.803923860484e-11       7.601341867914e-14 
   10       1.968039024350e-10       1.184599681043e-15       9.932872120148e-14       6.791412050960e-16       1.003900320788e-09       8.527789381930e-11       1.019694906906e-13 
   11       1.962870756086e-10       1.167891605541e-15       8.511622227905e-14       6.507457894840e-16       8.445572498440e-10       7.514895908105e-11       9.170740262960e-14 
   12       1.962037768046e-10       1.192295845770e-15       7.867554592805e-14       6.974655726994e-16       7.378920932919e-10       6.654096103682e-11       6.301255211526e-14 
   13       1.964140116204e-10       1.248199708709e-15       7.754678679013e-14       7.886276211860e-16       6.503400747703e-10       5.929865245386e-11       2.902232205816e-14 
   14       1.968426567813e-10       1.344919727765e-15       7.944937262738e-14       9.040680895487e-16       5.774949669884e-10       5.322042208598e-11      -9.906125163691e-16 
   15       1.974605894680e-10       1.481386613252e-15       8.251560018242e-14       1.032617100536e-15       5.161871225070e-10       4.808381109595e-11      -2.214885801405e-14 
