# dimensionless [l(l+1)/2pi] C_l's for tensor mode
# for l=2 to 500, i.e. number of multipoles equal to 499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.417234210387e-10       2.681829279953e-15       1.659106333487e-13       4.793255806657e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    3       1.087369877140e-10       2.838842937899e-15      -8.065414989539e-15       4.828063967929e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    4       9.751759960061e-11       2.605299178663e-15      -6.048392379549e-14       4.199334767143e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    5       9.281643506546e-11       2.082416017572e-15      -7.136599255135e-14       3.289749142851e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    6       9.004014060543e-11       1.500843892923e-15      -6.785043410539e-14       2.387172527061e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    7       8.828348582765e-11       1.021757927529e-15      -6.020364252037e-14       1.650242230313e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    8       8.709586043438e-11       7.108923116504e-16      -5.295442783868e-14       1.132015911313e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    9       8.623240188103e-11       5.631135785615e-16      -4.778564461580e-14       8.206681043617e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   10       8.555177460781e-11       5.389547814481e-16      -4.502793128693e-14       6.743560970274e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   11       8.497124388283e-11       5.930463636801e-16      -4.445706523108e-14       6.449994889794e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   12       8.444279633280e-11       6.896976334899e-16      -4.568474222916e-14       6.906695718125e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   13       8.393791261674e-11       8.065891605405e-16      -4.832393082961e-14       7.806933298200e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   14       8.343886069724e-11       9.331430243329e-16      -5.206810636098e-14       8.949068935850e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   15       8.293454751161e-11       1.065342124874e-15      -5.669887567075e-14       1.022140424593e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   16       8.241837327956e-11       1.202441809238e-15      -6.205908590692e-14       1.156891696332e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   17       8.188674081219e-11       1.345179633771e-15      -6.803575728765e-14       1.296400763185e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   18       8.133195030539e-11       1.493404715182e-15      -7.455324511222e-14       1.440324451224e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   19       8.077126502265e-11       1.646992288824e-15      -8.156432065369e-14       1.588446301226e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   20       8.018545013951e-11       1.805995609865e-15      -8.900651075151e-14       1.740530821063e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   21       7.958503631189e-11       1.970211965222e-15      -9.684667778217e-14       1.896478202019e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   22       7.896459049113e-11       2.139389523087e-15      -1.050510482664e-13       2.056303319853e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   23       7.833154669798e-11       2.313386031368e-15      -1.135860474593e-13       2.219908465289e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   24       7.767984252887e-11       2.492129328327e-15      -1.224126263584e-13       2.387187303548e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   25       7.701538769896e-11       2.675561354517e-15      -1.315006446620e-13       2.557948174016e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   26       7.633489328491e-11       2.863679170959e-15      -1.408199611115e-13       2.731979031861e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   27       7.564080185197e-11       3.056585685800e-15      -1.503448662052e-13       2.909023933770e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   28       7.492911108314e-11       3.254393923829e-15      -1.600496823268e-13       3.088825049138e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   29       7.420765706293e-11       3.456925500631e-15      -1.699113955800e-13       3.271163582087e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   30       7.347731924771e-11       3.663880850659e-15      -1.799064361745e-13       3.455846551576e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   31       7.272995293415e-11       3.874928681936e-15      -1.900104400569e-13       3.642686048700e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   32       7.197074256476e-11       4.089777285229e-15      -2.002022375878e-13       3.831443720120e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   33       7.120196502429e-11       4.308125025965e-15      -2.104613503879e-13       4.021865846489e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   34       7.041983151306e-11       4.529664884639e-15      -2.207674658426e-13       4.213702746926e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   35       6.962766721170e-11       4.754172517577e-15      -2.311021103539e-13       4.406726960566e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   36       6.882585278848e-11       4.981448169540e-15      -2.414476596745e-13       4.600721791209e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   37       6.801093482677e-11       5.211298165657e-15      -2.517862881861e-13       4.795466658654e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   38       6.718715290756e-11       5.443550502141e-15      -2.620976367893e-13       4.990702074139e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   39       6.635772210580e-11       5.678045067793e-15      -2.723604281200e-13       5.186152718546e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   40       6.552112171787e-11       5.914630138983e-15      -2.825531056417e-13       5.381536152509e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   41       6.467342644206e-11       6.153157241264e-15      -2.926576345937e-13       5.576569958590e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   42       6.381738799319e-11       6.393462467036e-15      -3.026723604468e-13       5.770997213450e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   43       6.295548689596e-11       6.635379955126e-15      -3.126033590811e-13       5.964568432952e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   44       6.208707783593e-11       6.878747157134e-15      -3.224612795631e-13       6.157034632821e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   45       6.121007247558e-11       7.123393046272e-15      -3.322542715958e-13       6.348142966822e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   46       6.032728389390e-11       7.369098237995e-15      -3.419636038727e-13       6.537622071812e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   47       5.944147643570e-11       7.615623165200e-15      -3.515612204261e-13       6.725192351871e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   48       5.855337544347e-11       7.862718418916e-15      -3.610163066216e-13       6.910569726858e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   49       5.766148580618e-11       8.110124190115e-15      -3.702951388274e-13       7.093465386992e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   50       5.676348345473e-11       8.357562303377e-15      -3.793638877495e-13       7.273598666020e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   51       5.586125609331e-11       8.604711063604e-15      -3.881982742773e-13       7.450740349510e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   52       5.495691706817e-11       8.851222616878e-15      -3.967762747512e-13       7.624680697886e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   53       5.405124712569e-11       9.096728876596e-15      -4.050753853024e-13       7.795217718384e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   54       5.314358698222e-11       9.340840616663e-15      -4.130726105180e-13       7.962157536982e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   55       5.223279040524e-11       9.583184589252e-15      -4.207468954872e-13       8.125316581001e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   56       5.132060682926e-11       9.823527753354e-15      -4.280871554135e-13       8.284527909815e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   57       5.040895088204e-11       1.006168231893e-14      -4.350862208756e-13       8.439637108287e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   58       4.949885082403e-11       1.029747098839e-14      -4.417386512473e-13       8.590501046720e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   59       4.859038243690e-11       1.053072753124e-14      -4.480408185588e-13       8.736988323329e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   60       4.768260291198e-11       1.076129735876e-14      -4.539909913577e-13       8.878979706717e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   61       4.677435899880e-11       1.098902938122e-14      -4.595880958783e-13       9.016366087663e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   62       4.586707298742e-11       1.121374814347e-14      -4.648274848912e-13       9.149040796264e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   63       4.496246759966e-11       1.143527642618e-14      -4.697043636173e-13       9.276906337620e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   64       4.406170929875e-11       1.165344370359e-14      -4.742150696782e-13       9.399877086590e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   65       4.316536991749e-11       1.186808644159e-14      -4.783571149884e-13       9.517879651240e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   66       4.227338828633e-11       1.207904839579e-14      -4.821292276495e-13       9.630853236281e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   67       4.138503186151e-11       1.228618090958e-14      -4.855313938425e-13       9.738750006522e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   68       4.049949645723e-11       1.248933784214e-14      -4.885642989289e-13       9.841526729402e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   69       3.961793232811e-11       1.268835849259e-14      -4.912274256024e-13       9.939116923730e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   70       3.874176157774e-11       1.288308173537e-14      -4.935206438605e-13       1.003145369452e-14       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
