# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 5500, i.e. number of multipoles equal to 5499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       2.842032568344e-10       7.780796660794e-15       5.606758760449e-13       4.782451694564e-15       8.322732526392e-09       4.599437421214e-10      -2.068991838484e-12 
    3       2.431753909459e-10       1.010962997936e-14       4.539409434185e-13       4.826042340023e-15       5.188114742199e-09       3.272374422848e-10      -1.658277968875e-12 
    4       2.243497002173e-10       9.704017742334e-15       3.879443891530e-13       4.206030781460e-15       3.614606068960e-09       2.480534653168e-10      -1.180849977501e-12 
    5       2.138581617459e-10       7.511205407405e-15       3.247016736315e-13       3.301925140641e-15       2.698911447280e-09       1.960698391471e-10      -7.539866922292e-13 
    6       2.069902605526e-10       4.956063233795e-15       2.622330127893e-13       2.401074215784e-15       2.107347626719e-09       1.596193637949e-10      -4.128673311798e-13 
    7       2.025148829767e-10       2.978684181466e-15       2.058666730480e-13       1.662916639551e-15       1.698670049248e-09       1.328469286502e-10      -1.664926310483e-13 
    8       1.996012888428e-10       1.833191251941e-15       1.591690055169e-13       1.141866358014e-15       1.403164608836e-09       1.125014817242e-10      -8.934223014661e-15 
    9       1.978064241860e-10       1.334952369698e-15       1.237648658909e-13       8.271866615765e-16       1.181809495460e-09       9.665910763351e-11       7.417469201256e-14 
   10       1.968057281189e-10       1.184186324444e-15       9.955282994380e-14       6.778692783073e-16       1.010869230180e-09       8.408235865460e-11       1.014165267053e-13 
   11       1.963461688191e-10       1.164916762849e-15       8.521408245730e-14       6.461124484517e-16       8.500021094106e-10       7.411558794991e-11       9.207911183493e-14 
   12       1.962458452548e-10       1.187433464259e-15       7.867756779338e-14       6.901910802762e-16       7.426138167287e-10       6.570202579423e-11       6.402233888976e-14 
   13       1.964814831073e-10       1.241063225831e-15       7.753668154759e-14       7.791089352247e-16       6.544682980728e-10       5.844140811355e-11       3.007677343614e-14 
   14       1.969413752446e-10       1.335029169057e-15       7.941978705685e-14       8.927846326421e-16       5.811360698363e-10       5.248420329057e-11      -1.745625111321e-17 
   15       1.975492099191e-10       1.469027648142e-15       8.250909464620e-14       1.019643725421e-15       5.194240361364e-10       4.749518843458e-11      -2.146180850253e-14 
   16       1.983193257009e-10       1.632535698445e-15       8.564016964402e-14       1.154151153324e-15       4.669613309766e-10       4.307408260326e-11      -3.311802021603e-14 
   17       1.991909533050e-10       1.816375898188e-15       8.807337445899e-14       1.293488209985e-15       4.219589648383e-10       3.917375415961e-11      -3.595659964506e-14 
   18       2.001254323948e-10       2.017965183885e-15       8.960239558083e-14       1.437234687892e-15       3.829016682259e-10       3.577207492080e-11      -3.256091918866e-14 
   19       2.011639846343e-10       2.241076277912e-15       9.038478810562e-14       1.585176101976e-15       3.491722324238e-10       3.283977683576e-11      -2.553208519904e-14 
   20       2.022653751832e-10       2.490914645741e-15       9.070271432685e-14       1.737097107659e-15       3.194676121719e-10       3.026812098279e-11      -1.792753455392e-14 
   21       2.034292209931e-10       2.769405581833e-15       9.079979420474e-14       1.892879882104e-15       2.933206235014e-10       2.798396179485e-11      -1.141231653217e-14 
   22       2.046135072444e-10       3.076698571765e-15       9.089175841887e-14       2.052507325507e-15       2.701057422666e-10       2.589666032243e-11      -7.146922106869e-15 
   23       2.058372894184e-10       3.411631877592e-15       9.099914681822e-14       2.215868516919e-15       2.495032565557e-10       2.402256273719e-11      -5.270071814692e-15 
   24       2.070991546733e-10       3.772356121567e-15       9.102573392020e-14       2.382849816874e-15       2.310360662455e-10       2.238258484181e-11      -5.411574489401e-15 
   25       2.084024408411e-10       4.158803710067e-15       9.075345326878e-14       2.553251276745e-15       2.144864465507e-10       2.093131747790e-11      -6.947711626356e-15 
   26       2.097247626723e-10       4.571326985940e-15       8.988425950880e-14       2.726870433926e-15       1.995545603764e-10       1.959119697263e-11      -9.058796848164e-15 
   27       2.110701101132e-10       5.010234445589e-15       8.815579619262e-14       2.903544198511e-15       1.860618296550e-10       1.835163434027e-11      -1.112519090556e-14 
   28       2.124327352843e-10       5.475850428073e-15       8.531685117693e-14       3.083121363481e-15       1.737763228620e-10       1.721429645905e-11      -1.259331376063e-14 
   29       2.138282111517e-10       5.969065503426e-15       8.126380379829e-14       3.265361124684e-15       1.626349893438e-10       1.617920616382e-11      -1.331870281547e-14 
   30       2.152556851309e-10       6.490986613436e-15       7.594193680948e-14       3.449993576420e-15       1.525174138163e-10       1.523613658658e-11      -1.329944008546e-14 
   31       2.166947349937e-10       7.042751619067e-15       6.931571161390e-14       3.636752397749e-15       1.432164203724e-10       1.436696610560e-11      -1.259487066826e-14 
   32       2.181541772651e-10       7.625382906347e-15       6.140754975066e-14       3.825401845053e-15       1.346840676421e-10       1.356826836553e-11      -1.142524106451e-14 
   33       2.196366286187e-10       8.239880362998e-15       5.227656598662e-14       4.015720444641e-15       1.268604381226e-10       1.283558392870e-11      -1.011967581511e-14 
   34       2.211320293973e-10       8.887216345543e-15       4.198961979693e-14       4.207484234026e-15       1.196364452280e-10       1.215965918032e-11      -9.021018866462e-15 
   35       2.226478473335e-10       9.568187590600e-15       3.054853225539e-14       4.400430964577e-15       1.129750443510e-10       1.153638984666e-11      -8.221326454055e-15 
   36       2.241862532600e-10       1.028350585026e-14       1.793817300745e-14       4.594282961595e-15       1.068225393073e-10       1.095939950766e-11      -7.735587569102e-15 
   37       2.257404359755e-10       1.103380754626e-14       4.139400660136e-15       4.788768681818e-15       1.010985944948e-10       1.041982366954e-11      -7.557993354275e-15 
   38       2.273149123015e-10       1.181956800225e-14      -1.089206720096e-14       4.983666056856e-15       9.578839443253e-11       9.916233344987e-12      -7.618948256074e-15 
   39       2.289096957048e-10       1.264114917632e-14      -2.721220012853e-14       5.178773811507e-15       9.087513573515e-11       9.447435192786e-12      -7.811227536226e-15 
   40       2.305134022424e-10       1.349881438058e-14      -4.488375308507e-14       5.373900592966e-15       8.631200286586e-11       9.009506068716e-12      -7.999035759155e-15 
   41       2.321109585047e-10       1.439281609575e-14      -6.396939723366e-14       5.568845394505e-15       8.203847870920e-11       8.597292821642e-12      -8.052705870575e-15 
   42       2.337124789414e-10       1.532370922765e-14      -8.450700685449e-14       5.763329802789e-15       7.804195598161e-11       8.210078580442e-12      -7.970959652620e-15 
   43       2.353318736193e-10       1.629212902125e-14      -1.065273189600e-13       5.957044646483e-15       7.431177566176e-11       7.847355143610e-12      -7.795241819817e-15 
   44       2.369782933900e-10       1.729870568580e-14      -1.300607721351e-13       6.149667430038e-15       7.082073648278e-11       7.507121987213e-12      -7.577152559142e-15 
   45       2.386564666490e-10       1.834398838229e-14      -1.551306936972e-13       6.340877450027e-15       6.753480417030e-11       7.186684585185e-12      -7.368865121430e-15 
   46       2.403690812107e-10       1.942818999530e-14      -1.817302601522e-13       6.530408463299e-15       6.444880324094e-11       6.885620255021e-12      -7.189513268854e-15 
   47       2.421142110963e-10       2.055136612427e-14      -2.098387731316e-13       6.718010371303e-15       6.155915597707e-11       6.603492333034e-12      -7.049801060467e-15 
   48       2.438840418598e-10       2.171348028241e-14      -2.394276322377e-13       6.903434747814e-15       5.885311894196e-11       6.338940612653e-12      -6.961354777695e-15 
   49       2.456643894682e-10       2.291439955584e-14      -2.704600115542e-13       7.086434937622e-15       5.630810132522e-11       6.089612832379e-12      -6.936750602015e-15 
   50       2.474407460060e-10       2.415392116458e-14      -3.029013397759e-13       7.266767857588e-15       5.389846933895e-11       5.852889579695e-12      -6.985021008695e-15 
   51       2.492194676133e-10       2.543187071620e-14      -3.367548447330e-13       7.444199747170e-15       5.161971825187e-11       5.628449920033e-12      -7.096671781790e-15 
