# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 5000, i.e. number of multipoles equal to 4999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       2.842037467033e-10       7.781058409700e-15       5.606758719435e-13       4.782713443472e-15       8.322732526392e-09       4.599437421214e-10      -2.068991838484e-12 
    3       2.431763671366e-10       1.011015363370e-14       4.539409251612e-13       4.826565994389e-15       5.188114742199e-09       3.272374422848e-10      -1.658277968875e-12 
    4       2.243513194285e-10       9.704890839217e-15       3.879443367724e-13       4.206903878492e-15       3.614606068960e-09       2.480534653168e-10      -1.180849977501e-12 
    5       2.138605762469e-10       7.512515670221e-15       3.247015545296e-13       3.303235403995e-15       2.698911447280e-09       1.960698391471e-10      -7.539866922292e-13 
    6       2.069936173254e-10       4.957898600288e-15       2.622327791287e-13       2.402909583842e-15       2.107347626719e-09       1.596193637949e-10      -4.128673311798e-13 
    7       2.025193230108e-10       2.981132820679e-15       2.058662594760e-13       1.665365282688e-15       1.698670049248e-09       1.328469286502e-10      -1.664926310483e-13 
    8       1.996069466003e-10       1.836341568900e-15       1.591683272656e-13       1.145016683793e-15       1.403164608836e-09       1.125014817242e-10      -8.934223014661e-15 
    9       1.978134272487e-10       1.338892997241e-15       1.237638172809e-13       8.311273073555e-16       1.181809495460e-09       9.665910763351e-11       7.417469201256e-14 
   10       1.968141970228e-10       1.189006102144e-15       9.955128330761e-14       6.826890913067e-16       1.010869230180e-09       8.408235865460e-11       1.014165267053e-13 
   11       1.963562170738e-10       1.170704703521e-15       8.521188748416e-14       6.519004538842e-16       8.500021094106e-10       7.411558794991e-11       9.207911183493e-14 
   12       1.962575795408e-10       1.194278709056e-15       7.867455128487e-14       6.970364386943e-16       7.426138167287e-10       6.570202579423e-11       6.402233888976e-14 
   13       1.964950036356e-10       1.249054989381e-15       7.753264756190e-14       7.871008907261e-16       6.544682980728e-10       5.844140811355e-11       3.007677343614e-14 
   14       1.969567762603e-10       1.344256676519e-15       7.941451740953e-14       9.020124539941e-16       5.811360698363e-10       5.248420329057e-11      -1.745625111321e-17 
   15       1.975665803231e-10       1.479580066322e-15       8.250234972681e-14       1.030196642500e-15       5.194240361364e-10       4.749518843458e-11      -2.146180850253e-14 
   16       1.983387497620e-10       1.644502063340e-15       8.563168950251e-14       1.166118291497e-15       4.669613309766e-10       4.307408260326e-11      -3.311802021603e-14 
   17       1.992125114321e-10       1.829845041401e-15       8.806288011197e-14       1.306958525163e-15       4.219589648383e-10       3.917375415961e-11      -3.595659964506e-14 
   18       2.001492019505e-10       2.033025659097e-15       8.958959050995e-14       1.452296903606e-15       3.829016682259e-10       3.577207492080e-11      -3.256091918866e-14 
   19       2.011900406705e-10       2.257816297068e-15       9.036935976200e-14       1.601918659415e-15       3.491722324238e-10       3.283977683576e-11      -2.553208519904e-14 
   20       2.022937913020e-10       2.509422007442e-15       9.068433596107e-14       1.755608108984e-15       3.194676121719e-10       3.026812098279e-11      -1.792753455392e-14 
   21       2.034600699240e-10       2.789767624545e-15       9.077812639797e-14       1.913247064096e-15       2.933206235014e-10       2.798396179485e-11      -1.141231653217e-14 
