# dimensionless [l(l+1)/2pi] C_l's for tensor mode
# for l=2 to 500, i.e. number of multipoles equal to 499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.421811146271e-10       2.679760962848e-15       1.648988876457e-13       4.782451694564e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    3       1.090139923983e-10       2.845891804622e-15      -9.297054360105e-15       4.826042340023e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    4       9.773967438777e-11       2.619402793308e-15      -6.179096011969e-14       4.206030781460e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    5       9.301917628061e-11       2.099869911308e-15      -7.261219065022e-14       3.301925140641e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    6       9.023148848054e-11       1.517642402404e-15      -6.894831252088e-14       2.401074215784e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    7       8.846726622764e-11       1.035125673460e-15      -6.111215098770e-14       1.662916639551e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    8       8.727421440235e-11       7.196939821151e-16      -5.366517841062e-14       1.141866358014e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    9       8.640695111597e-11       5.676974223441e-16      -4.831247026109e-14       8.271866615765e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   10       8.572377826351e-11       5.403549476759e-16      -4.539804493824e-14       6.778692783073e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   11       8.514162129741e-11       5.925054397975e-16      -4.469828552081e-14       6.461124484517e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
