# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 5500, i.e. number of multipoles equal to 5499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       2.907307707788e-10       8.047286368582e-15       5.800949388273e-13       4.759174372466e-15       8.553185815750e-09       4.827381931314e-10      -2.174833254426e-12 
    3       2.493489096559e-10       1.044801821281e-14       4.777791740812e-13       4.799444876833e-15       5.311677598063e-09       3.424756295035e-10      -1.736057871895e-12 
    4       2.299302266241e-10       9.991470859073e-15       4.105907043245e-13       4.178046768495e-15       3.693989343852e-09       2.590962630047e-10      -1.231285041400e-12 
    5       2.189294662685e-10       7.696923616441e-15       3.440139874175e-13       3.275397530094e-15       2.754495319148e-09       2.045131448124e-10      -7.825618913000e-13 
    6       2.116777582689e-10       5.052202341172e-15       2.777493776871e-13       2.378342293530e-15       2.148339087011e-09       1.663186558177e-10      -4.257432926754e-13 
    7       2.069117651900e-10       3.022961701524e-15       2.179179641994e-13       1.645325569197e-15       1.730357429529e-09       1.382722729105e-10      -1.693596659406e-13 
    8       2.037654524120e-10       1.858031474172e-15       1.684251562562e-13       1.129634405342e-15       1.428587278656e-09       1.169756475145e-10      -6.455956291898e-15 
    9       2.017953718134e-10       1.356287345856e-15       1.309890683669e-13       8.198117512592e-16       1.202612120224e-09       1.004330293352e-10       7.859337075566e-14 
   10       2.006691929513e-10       1.205322090003e-15       1.054805985423e-13       6.743672956335e-16       1.028037292901e-09       8.730788949609e-11       1.056214791325e-13 
   11       2.000717214832e-10       1.184450000603e-15       9.047840004132e-14       6.454944801317e-16       8.648327153971e-10       7.693079311698e-11       9.501122804098e-14 
   12       1.999251472288e-10       1.204741518743e-15       8.367857506121e-14       6.914496965042e-16       7.552417584562e-10       6.808551461750e-11       6.525987945689e-14 
   13       2.000846664346e-10       1.256980728294e-15       8.248198682598e-14       7.816716869289e-16       6.653332825511e-10       6.064648356951e-11       3.003632563056e-14 
   14       2.004723094132e-10       1.351181208503e-15       8.449122030139e-14       8.960560606320e-16       5.905622118451e-10       5.440675844937e-11      -1.045664251365e-15 
   15       2.010577996956e-10       1.486351599582e-15       8.775051751975e-14       1.023461148501e-15       5.276607739580e-10       4.913748524299e-11      -2.294299163501e-14 
   16       2.017575074803e-10       1.651572827851e-15       9.103189050408e-14       1.158395875251e-15       4.742069044404e-10       4.460276071730e-11      -3.442993394857e-14 
   17       2.026233783311e-10       1.837560812034e-15       9.366144600630e-14       1.298102592274e-15       4.283716352047e-10       4.056250417418e-11      -3.702755650533e-14 
   18       2.035566388694e-10       2.041891225444e-15       9.535984090725e-14       1.442238462087e-15       3.886037480166e-10       3.705020174915e-11      -3.328122850463e-14 
   19       2.045744729717e-10       2.268579702614e-15       9.629282684349e-14       1.590586126662e-15       3.542700877253e-10       3.401902768598e-11      -2.584006169063e-14 
   20       2.056469002754e-10       2.523031863878e-15       9.679371925911e-14       1.742908600858e-15       3.240420361774e-10       3.129435989812e-11      -1.792316556237e-14 
   21       2.067848686604e-10       2.807027436081e-15       9.711461188318e-14       1.899105243316e-15       2.974418962561e-10       2.886675731318e-11      -1.126380334112e-14 
   22       2.079563467322e-10       3.120426687764e-15       9.745770244133e-14       2.059190272860e-15       2.738307481531e-10       2.673864134865e-11      -7.039973305292e-15 
   23       2.091801693603e-10       3.461969351480e-15       9.780834902787e-14       2.223065441806e-15       2.528817582522e-10       2.487070272486e-11      -5.313430017726e-15 
   24       2.104492729901e-10       3.829781644903e-15       9.803022355333e-14       2.390623918484e-15       2.341083005114e-10       2.318382529258e-11      -5.609531184071e-15 
   25       2.117599693745e-10       4.223883658988e-15       9.791101533351e-14       2.561673603808e-15       2.172883392122e-10       2.163804516002e-11      -7.317627101382e-15 
   26       2.130834734532e-10       4.644753298144e-15       9.717375497165e-14       2.736002034912e-15       2.021164905944e-10       2.019782119191e-11      -9.643557167683e-15 
   27       2.144307370609e-10       5.092758641361e-15       9.556502668746e-14       2.913352804274e-15       1.884102316502e-10       1.888129350761e-11      -1.184814162916e-14 
   28       2.158056651569e-10       5.568250164625e-15       9.283495042402e-14       3.093467628728e-15       1.759327030495e-10       1.771062773752e-11      -1.323683158289e-14 
