# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 5000, i.e. number of multipoles equal to 4999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       2.907312671112e-10       8.047547308252e-15       5.800949345282e-13       4.759435312138e-15       8.553185815750e-09       4.827381931314e-10      -2.174833254426e-12 
    3       2.493498987223e-10       1.044854025288e-14       4.777791549452e-13       4.799966916923e-15       5.311677598063e-09       3.424756295035e-10      -1.736057871895e-12 
    4       2.299318671819e-10       9.992341274653e-15       4.105906494279e-13       4.178917184205e-15       3.693989343852e-09       2.590962630047e-10      -1.231285041400e-12 
    5       2.189319125809e-10       7.698229874040e-15       3.440138626082e-13       3.276703788171e-15       2.754495319148e-09       2.045131448124e-10      -7.825618913000e-13 
    6       2.116811592332e-10       5.054032127631e-15       2.777491328611e-13       2.380172081398e-15       2.148339087011e-09       1.663186558177e-10      -4.257432926754e-13 
    7       2.069162636210e-10       3.025402941585e-15       2.179175309299e-13       1.647766812834e-15       1.730357429529e-09       1.382722729105e-10      -1.693596659406e-13 
    8       2.037711844971e-10       1.861172335496e-15       1.684244458218e-13       1.132775274812e-15       1.428587278656e-09       1.169756475145e-10      -6.455956291898e-15 
    9       2.018024667525e-10       1.360216230888e-15       1.309879702077e-13       8.237406533574e-16       1.202612120224e-09       1.004330293352e-10       7.859337075566e-14 
   10       2.006777727858e-10       1.210127614612e-15       1.054789791601e-13       6.791728536986e-16       1.028037292901e-09       8.730788949609e-11       1.056214791325e-13 
   11       2.000819011125e-10       1.190220959985e-15       9.047610234502e-14       6.512655016370e-16       8.648327153971e-10       7.693079311698e-11       9.501122804098e-14 
   12       1.999370346069e-10       1.211566841604e-15       8.367541814574e-14       6.982751295985e-16       7.552417584562e-10       6.808551461750e-11       6.525987945689e-14 
   13       2.000983629313e-10       1.264949420778e-15       8.247776616020e-14       7.896405675998e-16       6.653332825511e-10       6.064648356951e-11       3.003632563056e-14 
   14       2.004879103208e-10       1.360382289777e-15       8.448570828964e-14       9.052574525946e-16       5.905622118451e-10       5.440675844937e-11      -1.045664251365e-15 
   15       2.010753948563e-10       1.496874031238e-15       8.774346439321e-14       1.033984078255e-15       5.276607739580e-10       4.913748524299e-11      -2.294299163501e-14 
   16       2.017771820051e-10       1.663505439550e-15       9.102302549181e-14       1.170329264982e-15       4.742069044404e-10       4.460276071730e-11      -3.442993394857e-14 
   17       2.026452133801e-10       1.850992225867e-15       9.365047873209e-14       1.311535193398e-15       4.283716352047e-10       4.056250417418e-11      -3.702755650533e-14 
   18       2.035807124745e-10       2.056909780228e-15       9.534646298255e-14       1.457258790806e-15       3.886037480166e-10       3.705020174915e-11      -3.328122850463e-14 
   19       2.046008607821e-10       2.285273387953e-15       9.627671345451e-14       1.607282412699e-15       3.542700877253e-10       3.401902768598e-11      -2.584006169063e-14 
   20       2.056756764286e-10       2.541488246197e-15       9.677453109590e-14       1.761368729295e-15       3.240420361774e-10       3.129435989812e-11      -1.792316556237e-14 
   21       2.068161063688e-10       2.827333609826e-15       9.709199673318e-14       1.919416727346e-15       2.974418962561e-10       2.886675731318e-11      -1.126380334112e-14 
   22       2.079901190155e-10       3.142669216886e-15       9.743129716336e-14       2.081440217819e-15       2.738307481531e-10       2.673864134865e-11      -7.039973305292e-15 
   23       2.092165494172e-10       3.486234238570e-15       9.777778110480e-14       2.247340543622e-15       2.528817582522e-10       2.487070272486e-11      -5.313430017726e-15 
   24       2.104883347165e-10       3.856154290568e-15       9.799511303261e-14       2.417010453443e-15       2.341083005114e-10       2.318382529258e-11      -5.609531184071e-15 
   25       2.118017874345e-10       4.252448850402e-15       9.787097628326e-14       2.590257455783e-15       2.172883392122e-10       2.163804516002e-11      -7.317627101382e-15 
   26       2.131281235320e-10       4.675595186687e-15       9.712839736039e-14       2.766868712216e-15       2.021164905944e-10       2.019782119191e-11      -9.643557167683e-15 
   27       2.144782957096e-10       5.125960743297e-15       9.551395789360e-14       2.946587487777e-15       1.884102316502e-10       1.888129350761e-11      -1.184814162916e-14 
   28       2.158562097501e-10       5.603895353402e-15       9.277777710180e-14       3.129155213204e-15       1.759327030495e-10       1.771062773752e-11      -1.323683158289e-14 
   29       2.172753517359e-10       6.110250502559e-15       8.879666266741e-14       3.314352518960e-15       1.646193999036e-10       1.667320376458e-11      -1.373007696405e-14 
   30       2.187273994943e-10       6.646057004407e-15       8.348485127018e-14       3.501985974596e-15       1.543477607100e-10       1.573031391003e-11      -1.348346144878e-14 
   31       2.201844843855e-10       7.212395434312e-15       7.678006726608e-14       3.691867300963e-15       1.449070618590e-10       1.483584736522e-11      -1.271048125616e-14 
   32       2.216580074675e-10       7.810408285572e-15       6.872472100238e-14       3.883757738956e-15       1.362482999622e-10       1.399184575907e-11      -1.160608108304e-14 
   33       2.231569597105e-10       8.441297463044e-15       5.941896915293e-14       4.077403218037e-15       1.283102772087e-10       1.321239572601e-11      -1.040326148421e-14 
   34       2.246762139591e-10       9.106204805261e-15       4.896798222517e-14       4.272553783653e-15       1.209818684932e-10       1.250607187691e-11      -9.349677033726e-15 
   35       2.262172653467e-10       9.805797548701e-15       3.736185881193e-14       4.468981720575e-15       1.142253106944e-10       1.186626710502e-11      -8.541648376216e-15 
   36       2.277713514767e-10       1.054052803601e-14       2.455409343418e-14       4.666470150076e-15       1.079860090404e-10       1.127643131240e-11      -8.033861153970e-15 
   37       2.293224844481e-10       1.131079097283e-14       1.049553847659e-14       4.864798340929e-15       1.021823266673e-10       1.071786598258e-11      -7.858660814802e-15 
   38       2.308829124597e-10       1.211711831970e-14      -4.855421563599e-15       5.063706465763e-15       9.679910664277e-11       1.019007811090e-11      -7.942729963133e-15 
   39       2.324672361726e-10       1.296003942407e-14      -2.154046292397e-14       5.262918833796e-15       9.181916664484e-11       9.696553859693e-12      -8.160371684619e-15 
   40       2.340816949789e-10       1.384002393418e-14      -3.960452184509e-14       5.462152663096e-15       8.719486096225e-11       9.239083480062e-12      -8.353011933576e-15 
   41       2.357257438527e-10       1.475751946715e-14      -5.909464466576e-14       5.661125187446e-15       8.286464978736e-11       8.817539468071e-12      -8.371193221373e-15 
   42       2.373996978347e-10       1.571308856126e-14      -8.005519344357e-14       5.859579002267e-15       7.881568005287e-11       8.429549530029e-12      -8.222235293498e-15 
   43       2.390979680978e-10       1.670730986446e-14      -1.025317058746e-13       6.057264099438e-15       7.503710561944e-11       8.070419337863e-12      -7.966975216887e-15 
   44       2.408059775100e-10       1.774073953031e-14      -1.265725451530e-13       6.253930962524e-15       7.150130950745e-11       7.732991495241e-12      -7.680585407910e-15 
