# dimensionless [l(l+1)/2pi] C_l's for tensor mode
# for l=2 to 500, i.e. number of multipoles equal to 499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.404604636657e-10       2.664194372084e-15       1.638387898873e-13       4.759174372466e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    3       1.079602519423e-10       2.825111529808e-15      -8.383698929680e-15       4.799444876833e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    4       9.692957132907e-11       2.594900121482e-15      -6.034571835180e-14       4.178046768495e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    5       9.232902980713e-11       2.075462570533e-15      -7.112559485974e-14       3.275397530094e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    6       8.962262385934e-11       1.496803523942e-15      -6.761207773843e-14       2.378342293530e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    7       8.791860535425e-11       1.019797825508e-15      -5.999658333118e-14       1.645325569197e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    8       8.677295118717e-11       7.102296709352e-16      -5.278047722507e-14       1.129634405342e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    9       8.594435049216e-11       5.631778104093e-16      -4.763817862231e-14       8.198117512592e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   10       8.529353228537e-11       5.394032668904e-16      -4.489922245861e-14       6.743672956335e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   11       8.473903742742e-11       5.937097868180e-16      -4.434076894843e-14       6.454944801317e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   12       8.423368068440e-11       6.905126428381e-16      -4.557639383349e-14       6.914496965042e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   13       8.374950868911e-11       8.075451852852e-16      -4.822070951335e-14       7.816716869289e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   14       8.326919544820e-11       9.342508716798e-16      -5.196843769029e-14       8.960560606320e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   15       8.278195034507e-11       1.066618071502e-15      -5.660205610715e-14       1.023461148501e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   16       8.228140532240e-11       1.203901776544e-15      -6.196499586684e-14       1.158395875251e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   17       8.176414525281e-11       1.346838800405e-15      -6.794467411760e-14       1.298102592274e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   18       8.122264839817e-11       1.495276464092e-15      -7.446573043461e-14       1.442238462087e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   19       8.067420341624e-11       1.649089215387e-15      -8.148107073159e-14       1.590586126662e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   20       8.009977677682e-11       1.808329886401e-15      -8.892837298823e-14       1.742908600858e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   21       7.950993466175e-11       1.972795353618e-15      -9.677456292198e-14       1.899105243316e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   22       7.889934350693e-11       2.142233368668e-15      -1.049859217988e-13       2.059190272860e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   23       7.827546920031e-11       2.316501314676e-15      -1.135288902879e-13       2.223065441806e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   24       7.763233474874e-11       2.495526690793e-15      -1.223644308532e-13       2.390623918484e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   25       7.697587568588e-11       2.679251127973e-15      -1.314623897674e-13       2.561673603808e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   26       7.630286150700e-11       2.867671467137e-15      -1.407926096727e-13       2.736002034912e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   27       7.561576450836e-11       3.060890703288e-15      -1.503293565580e-13       2.913352804274e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   28       7.491063355816e-11       3.259022046409e-15      -1.600469273194e-13       3.093467628728e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   29       7.419530785415e-11       3.461886976609e-15      -1.699222669068e-13       3.276127354346e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   30       7.347069218457e-11       3.669185699895e-15      -1.799317631358e-13       3.461138708105e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   31       7.272869775515e-11       3.880586691607e-15      -1.900510119872e-13       3.648313511554e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   32       7.197451569654e-11       4.095797982665e-15      -2.002587963688e-13       3.837413043874e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   33       7.121043648311e-11       4.314517668235e-15      -2.105345913377e-13       4.028183202969e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   34       7.043270336378e-11       4.536438455687e-15      -2.208580401165e-13       4.220373940009e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   35       6.964464974653e-11       4.761335726602e-15      -2.312106194680e-13       4.413757425121e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   36       6.884667187016e-11       4.989009450725e-15      -2.415746568959e-13       4.608116607671e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   37       6.803534244444e-11       5.219265686747e-15      -2.519322804058e-13       4.803230544299e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   38       6.721490419937e-11       5.451932200151e-15      -2.622630776266e-13       4.998839269857e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   39       6.638857704406e-11       5.686848669433e-15      -2.725457182884e-13       5.194666947798e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
