# PT power spectra for matter and bias tracers P(k), P_CTR(k) (for c_s^2 = 1 (Mpc/h)^2 ), Id2d2(k), Id2(k), IG2(k), Id2G2(k), IG2G2(k), IFG2(k) at redshift z=0
# for k=1.03892e-05 to 108.968 h/Mpc,
# number of wavenumbers equal to 813
#    1:k (h/Mpc)           2:P_lin + P_1loop (Mpc/h)^3     3:P_CTR (Mpc/h)^3        4:Id2d2 (Mpc/h)^3        5:Id2 (Mpc/h)^3          6:IG2 (Mpc/h)^3          7:Id2G2 (Mpc/h)^3        8:IG2G2 (Mpc/h)^3        9:IFG2 (Mpc/h)^3     
       1.038922642939e-05       5.572377235984e+01      -6.014602544577e-09      -5.572377248406e+01       0.000000000000e+00      -5.572377248406e+01      -5.572377248406e+01       5.572377248406e+01      -5.572377248406e+01 
       2.321812845909e-05       1.198434530880e+02      -6.460538793844e-08      -1.198434543118e+02       0.000000000000e+00      -1.198434543118e+02      -1.198434543118e+02       1.198434543118e+02      -1.198434543118e+02 
       3.609173376214e-05       1.824082361226e+02      -2.376073930367e-07      -1.824082400186e+02       0.000000000000e+00      -1.824082400186e+02      -1.824082400186e+02       1.824082400186e+02      -1.824082400186e+02 
       4.904439972694e-05       2.442636061113e+02      -5.875402623583e-07      -2.442636181706e+02       0.000000000000e+00      -2.442636181706e+02      -2.442636181706e+02       2.442636181706e+02      -2.442636181706e+02 
       6.211104704304e-05       3.058632801685e+02      -1.179954012185e-06      -3.058633026853e+02       0.000000000000e+00      -3.058633026853e+02      -3.058633026853e+02       3.058633026853e+02      -3.058633026853e+02 
       7.532746857735e-05       3.675309531489e+02      -2.085454509081e-06      -3.675309946043e+02       0.000000000000e+00      -3.675309946043e+02      -3.675309946043e+02       3.675309946043e+02      -3.675309946043e+02 
       8.873064804491e-05       4.295329029309e+02      -3.381768053634e-06      -4.295329707057e+02       0.000000000000e+00      -4.295329707057e+02      -4.295329707057e+02       4.295329707057e+02      -4.295329707057e+02 
       1.023590926816e-04       4.921072313983e+02      -5.155997489142e-06      -4.921073365442e+02       0.000000000000e+00      -4.921073365442e+02      -4.921073365442e+02       4.921073365442e+02      -4.921073365442e+02 
       1.162531841578e-04       5.554785578675e+02      -7.507185320588e-06      -5.554787098292e+02       0.000000000000e+00      -5.554787098292e+02      -5.554787098292e+02       5.554787098292e+02      -5.554787098292e+02 
       1.304555520066e-04       6.198666022484e+02      -1.054929720107e-05      -6.198668156443e+02       0.000000000000e+00      -6.198668156443e+02      -6.198668156443e+02       6.198668156443e+02      -6.198668156443e+02 
       1.450114738457e-04       6.854919187515e+02      -1.441475481325e-05      -6.854922160823e+02       0.000000000000e+00      -6.854922160823e+02      -6.854922160823e+02       6.854922160823e+02      -6.854922160823e+02 
       1.599693066204e-04       7.525801888533e+02      -1.925867213421e-05      -7.525805809630e+02       0.000000000000e+00      -7.525805809630e+02      -7.525805809630e+02       7.525805809630e+02      -7.525805809630e+02 
       1.753809529236e-04       8.213656497853e+02      -2.526397387424e-05      -8.213661681655e+02       0.000000000000e+00      -8.213661681655e+02      -8.213661681655e+02       8.213661681655e+02      -8.213661681655e+02 
       1.913023661048e-04       8.920942114262e+02      -3.264763536206e-05      -8.920948843939e+02       0.000000000000e+00      -8.920948843939e+02      -8.920948843939e+02       8.920948843939e+02      -8.920948843939e+02 
       2.077940972509e-04       9.650262698695e+02      -4.166831500400e-05      -9.650271245995e+02       0.000000000000e+00      -9.650271245995e+02      -9.650271245995e+02       9.650271245995e+02      -9.650271245995e+02 
       2.249218861033e-04       1.040439428688e+03      -5.263573521454e-05      -1.040440507228e+03       0.000000000000e+00      -1.040440507228e+03      -1.040440507228e+03       1.040440507228e+03      -1.040440507228e+03 
       2.427572963948e-04       1.118631210079e+03      -6.592225408240e-05      -1.118632561707e+03       0.000000000000e+00      -1.118632561707e+03      -1.118632561707e+03       1.118632561707e+03      -1.118632561707e+03 
       2.613783937365e-04       1.199921729203e+03      -8.197716642123e-05      -1.199923413019e+03       0.000000000000e+00      -1.199923413019e+03      -1.199923413019e+03       1.199923413019e+03      -1.199923413019e+03 
       2.808704608154e-04       1.284656325715e+03      -1.013444106607e-04      -1.284658409103e+03       0.000000000000e+00      -1.284658409103e+03      -1.284658409103e+03       1.284658409103e+03      -1.284658409103e+03 
       3.013267399410e-04       1.373208152087e+03      -1.246845184480e-04      -1.373210717033e+03       0.000000000000e+00      -1.373210717033e+03      -1.373210717033e+03       1.373210717033e+03      -1.373210717033e+03 
       3.228491865615e-04       1.465980610344e+03      -1.528018286189e-04      -1.465983754152e+03       0.000000000000e+00      -1.465983754152e+03      -1.465983754152e+03       1.465983754152e+03      -1.465983754152e+03 
       3.455492088575e-04       1.563409538866e+03      -1.866782110599e-04      -1.563413379891e+03       0.000000000000e+00      -1.563413379891e+03      -1.563413379891e+03       1.563413379891e+03      -1.563413379891e+03 
       3.695483575494e-04       1.665964970049e+03      -2.275147918979e-04      -1.665969650473e+03       0.000000000000e+00      -1.665969650473e+03      -1.665969650473e+03       1.665969650473e+03      -1.665969650473e+03 
       3.949789163640e-04       1.774152254305e+03      -2.767834432104e-04      -1.774157947421e+03       0.000000000000e+00      -1.774157947421e+03      -1.774157947421e+03       1.774157947421e+03      -1.774157947421e+03 
       4.219843271948e-04       1.888512242236e+03      -3.362900637406e-04      -1.888519157471e+03       0.000000000000e+00      -1.888519157471e+03      -1.888519157471e+03       1.888519157471e+03      -1.888519157471e+03 
       4.507193653101e-04       2.009620192920e+03      -4.082519179969e-04      -2.009628586019e+03       0.000000000000e+00      -2.009628586019e+03      -2.009628586019e+03       2.009628586019e+03      -2.009628586019e+03 
       4.813499602484e-04       2.138082959171e+03      -4.953914402149e-04      -2.138093141143e+03       0.000000000000e+00      -2.138093141143e+03      -2.138093141143e+03       2.138093141143e+03      -2.138093141143e+03 
