# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 5000, i.e. number of multipoles equal to 4999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       2.865920469188e-10       7.676777184522e-15       5.585182375354e-13       4.718847208834e-15       8.384244583899e-09       4.690007916164e-10      -2.049097313638e-12 
    3       2.443823115882e-10       9.939203505655e-15       4.498644460560e-13       4.753439081159e-15       5.165759037002e-09       3.331559264516e-10      -1.642151130239e-12 
    4       2.253570680150e-10       9.510921852258e-15       3.846361265575e-13       4.135156150482e-15       3.599257940787e-09       2.524246374711e-10      -1.166784932319e-12 
    5       2.147248054285e-10       7.338253768846e-15       3.219795301250e-13       3.240832885805e-15       2.688825144741e-09       1.994800215236e-10      -7.422319167344e-13 
    6       2.077495977965e-10       4.828978889410e-15       2.600541215074e-13       2.353944301000e-15       2.101049571969e-09       1.623996614435e-10      -4.038014858373e-13 
    7       2.031993753136e-10       2.901495126123e-15       2.042095189573e-13       1.630545060614e-15       1.694893503119e-09       1.351370840347e-10      -1.601457154183e-13 
    8       2.002208434477e-10       1.794562436032e-15       1.579944456846e-13       1.122858980021e-15       1.400013383520e-09       1.143995999923e-10      -5.113155931823e-15 
    9       1.983789530987e-10       1.319213026659e-15       1.230206033566e-13       8.191068910741e-16       1.178070611507e-09       9.826825317648e-11       7.586435402634e-14 
   10       1.973577711183e-10       1.179378267019e-15       9.914133521732e-14       6.780465457874e-16       1.006471594888e-09       8.546481779978e-11       1.015139742249e-13 
   11       1.968415688881e-10       1.165103299504e-15       8.506485433611e-14       6.523619920492e-16       8.456435791710e-10       7.532776406964e-11       9.120105064618e-14 
   12       1.967475966155e-10       1.191326974467e-15       7.871330739826e-14       7.007568867747e-16       7.388461393499e-10       6.671466593831e-11       6.265695689741e-14 
   13       1.969526585196e-10       1.249018002124e-15       7.762676485839e-14       7.928566055755e-16       6.511840540958e-10       5.942028201592e-11       2.884200299457e-14 
   14       1.973898963073e-10       1.347091705929e-15       7.953558271583e-14       9.092212677497e-16       5.782476008083e-10       5.334687839198e-11      -9.258602466743e-16 
   15       1.980002717991e-10       1.484960398236e-15       8.260555552421e-14       1.038398120401e-15       5.168634056046e-10       4.822557622524e-11      -2.188959049017e-14 
   16       1.987232475104e-10       1.651980276498e-15       8.564835014613e-14       1.175238191359e-15       4.646777628145e-10       4.377419042518e-11      -3.294463123682e-14 
