# dimensionless [l(l+1)/2pi] C_l's for scalar mode
# for l=2 to 5500, i.e. number of multipoles equal to 5499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.435761154548e-10       5.034661735044e-15       3.913053533188e-13       0.000000000000e+00       8.384244583899e-09       4.690007916164e-10      -2.049097313638e-12 
    3       1.353823156200e-10       7.144164238338e-15       4.578560031905e-13       0.000000000000e+00       5.165759037002e-09       3.331559264516e-10      -1.642151130239e-12 
    4       1.275847703759e-10       6.945146929016e-15       4.447154658381e-13       0.000000000000e+00       3.599257940787e-09       2.524246374711e-10      -1.166784932319e-12 
    5       1.216455045834e-10       5.286004565959e-15       3.929076819526e-13       0.000000000000e+00       2.688825144741e-09       1.994800215236e-10      -7.422319167344e-13 
    6       1.174512183643e-10       3.347496275312e-15       3.275250615935e-13       0.000000000000e+00       2.101049571969e-09       1.623996614435e-10      -4.038014858373e-13 
    7       1.146548278883e-10       1.889400421784e-15       2.641263482045e-13       0.000000000000e+00       1.694893503119e-09       1.351370840347e-10      -1.601457154183e-13 
    8       1.128612639023e-10       1.085963024861e-15       2.107574044229e-13       0.000000000000e+00       1.400013383520e-09       1.143995999923e-10      -5.113155931823e-15 
    9       1.118803295248e-10       7.532836724252e-16       1.706943899028e-13       0.000000000000e+00       1.178070611507e-09       9.826825317648e-11       7.586435402634e-14 
   10       1.115375719224e-10       6.341940560829e-16       1.441271362794e-13       0.000000000000e+00       1.006471594888e-09       8.546481779978e-11       1.015139742249e-13 
   11       1.116002223245e-10       5.634893901371e-16       1.295372039608e-13       0.000000000000e+00       8.456435791710e-10       7.532776406964e-11       9.120105064618e-14 
   12       1.120335546742e-10       4.912349691096e-16       1.244609522791e-13       0.000000000000e+00       7.388461393499e-10       6.671466593831e-11       6.265695689741e-14 
   13       1.127427078252e-10       4.301547953014e-16       1.260593443472e-13       0.000000000000e+00       6.511840540958e-10       5.942028201592e-11       2.884200299457e-14 
   14       1.136783493233e-10       3.999619284196e-16       1.317530811101e-13       0.000000000000e+00       5.782476008083e-10       5.334687839198e-11      -9.258602466743e-16 
   15       1.147924309703e-10       4.035481817131e-16       1.394899683431e-13       0.000000000000e+00       5.168634056046e-10       4.822557622524e-11      -2.188959049017e-14 
   16       1.160309766407e-10       4.312856346150e-16       1.479299597298e-13       0.000000000000e+00       4.646777628145e-10       4.377419042518e-11      -3.294463123682e-14 
   17       1.174554569071e-10       4.737853830167e-16       1.563318101193e-13       0.000000000000e+00       4.199117461313e-10       3.981487153073e-11      -3.544963452669e-14 
   18       1.189532405870e-10       5.288404041042e-16       1.644101525060e-13       0.000000000000e+00       3.810572084638e-10       3.636902547000e-11      -3.189333671195e-14 
   19       1.205326202650e-10       6.003661693672e-16       1.722541707595e-13       0.000000000000e+00       3.475011519374e-10       3.339942427902e-11      -2.481302243188e-14 
   20       1.222030065227e-10       6.934643574793e-16       1.800698433673e-13       0.000000000000e+00       3.179479566098e-10       3.075480174932e-11      -1.725298847596e-14 
   21       1.239531723974e-10       8.100983726618e-16       1.880708824531e-13       0.000000000000e+00       2.919332041678e-10       2.839936771433e-11      -1.085125561277e-14 
   22       1.257378230989e-10       9.504786631722e-16       1.964449917893e-13       0.000000000000e+00       2.688348445627e-10       2.629870305843e-11      -6.729164786350e-15 
   23       1.275789279765e-10       1.113606324880e-15       2.051638071157e-13       0.000000000000e+00       2.483349369957e-10       2.443748337542e-11      -4.991732991788e-15 
   24       1.294950415970e-10       1.297783217338e-15       2.140684408502e-13       0.000000000000e+00       2.299589548894e-10       2.277862347057e-11      -5.245788955521e-15 
