# dimensionless [l(l+1)/2pi] C_l's for tensor mode
# for l=2 to 500, i.e. number of multipoles equal to 499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.430154441861e-10       2.641852586116e-15       1.672128883209e-13       4.718584345468e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    3       1.089990249260e-10       2.794513388055e-15      -7.991538865015e-15       4.752913201871e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    4       9.777068693549e-11       2.564898126818e-15      -6.007928686726e-14       4.134279353926e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    5       9.307689897078e-11       2.050933406542e-15      -7.092803265680e-14       3.239517088976e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    6       9.029504011703e-11       1.479639526235e-15      -6.747070630348e-14       2.352101211718e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    7       8.854013033752e-11       1.009635808071e-15      -5.991641548643e-14       1.628086160754e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    8       8.735395082361e-11       7.054359598253e-16      -5.276228022790e-14       1.119695520524e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    9       8.649165617843e-11       5.619723794205e-16      -4.767273762226e-14       8.151498992472e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   10       8.581177307575e-11       5.403445432328e-16      -4.498425410329e-14       6.732068448456e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   11       8.523134863972e-11       5.958022111447e-16      -4.447015441001e-14       6.465502323079e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   12       8.470236591452e-11       6.932188147870e-16      -4.574462835950e-14       6.938835873679e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   13       8.419649669291e-11       8.108389916421e-16      -4.842854594059e-14       7.848322050988e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   14       8.369622106781e-11       9.378649967431e-16      -5.221222994581e-14       8.999561818165e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   15       8.319055437769e-11       1.070817388073e-15      -5.687767027671e-14       1.027802803772e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   16       8.267293988105e-11       1.208680413688e-15      -6.227313353603e-14       1.163223202087e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   17       8.213981699589e-11       1.352113825028e-15      -6.828595432314e-14       1.303517896119e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   18       8.158348161309e-11       1.501142697409e-15      -7.483768914306e-14       1.448211868813e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   19       8.102125898638e-11       1.655645234621e-15      -8.188240904862e-14       1.597124124598e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   20       8.043386134005e-11       1.815606488732e-15      -8.936044675175e-14       1.750102013904e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   21       7.983184483674e-11       1.980797745998e-15      -9.723786458087e-14       1.906992463848e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   22       7.920974926476e-11       2.150954022676e-15      -1.054790037030e-13       2.067719356758e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   23       7.857503641042e-11       2.325922711995e-15      -1.140504364038e-13       2.232214134627e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   24       7.792163265569e-11       2.505642164456e-15      -1.229141832027e-13       2.400435221649e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   25       7.725545507061e-11       2.690158348204e-15      -1.320415464423e-13       2.572183352369e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   26       7.657318999450e-11       2.879566482129e-15      -1.414034626155e-13       2.747219021333e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   27       7.587729347452e-11       3.073815580003e-15      -1.509719807024e-13       2.925293622237e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   28       7.516376204978e-11       3.272804166274e-15      -1.607184465243e-13       3.106164606492e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   29       7.444045296730e-11       3.476370414442e-15      -1.706202955852e-13       3.289603993634e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   30       7.370823977962e-11       3.684323671565e-15      -1.806558220707e-13       3.475398832832e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   31       7.295894463572e-11       3.896447242613e-15      -1.908024998728e-13       3.663341371713e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   32       7.219776994300e-11       4.112464215998e-15      -2.010387888405e-13       3.853192388606e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
