# Matter power spectrum P(k) at redshift z=0
# for k=1.03828e-05 to 108.825 h/Mpc,
# number of wavenumbers equal to 813
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.038280408088e-05       5.125946567781e+01 
       2.319621331819e-05       1.110634139282e+02 
       3.605418047140e-05       1.697475911388e+02 
       4.899093821692e-05       2.279703456718e+02 
       6.204127928559e-05       2.861013135682e+02 
       7.524086346702e-05       3.444144839496e+02 
       8.862653432867e-05       4.031422090695e+02 
       1.022366498216e-04       4.624971607008e+02 
       1.161114309768e-04       5.226835674377e+02 
       1.302933329302e-04       5.839039266563e+02 
       1.448274425204e-04       6.463636305922e+02 
       1.597619066523e-04       7.102745102617e+02 
       1.751483954535e-04       7.758578326946e+02 
       1.910426039087e-04       8.433470108983e+02 
       2.075047950409e-04       9.129901731997e+02 
       2.246003867063e-04       9.850526955555e+02 
       2.424005825081e-04       1.059819725752e+03 
       2.609830450254e-04       1.137598719042e+03 
       2.804326062259e-04       1.218721972138e+03 
       3.008420052850e-04       1.303549121603e+03 
       3.223126377126e-04       1.392469518963e+03 
       3.449552912961e-04       1.485904388346e+03 
       3.688908335588e-04       1.584308592103e+03 
       3.942508019290e-04       1.688171798240e+03 
       4.211778316147e-04       1.798018787178e+03 
       4.498258377209e-04       1.914408516015e+03 
       4.803598486087e-04       2.037931583953e+03 
       5.129553691711e-04       2.169205572917e+03 
       5.477971392924e-04       2.308867841221e+03 
       5.850771496516e-04       2.457565209027e+03 
       6.249917911014e-04       2.615940270535e+03 
       6.677380526826e-04       2.784614056659e+03 
       7.135087534068e-04       2.964165265159e+03 
       7.624868968117e-04       3.155106627855e+03 
       8.148393700181e-04       3.357859556160e+03 
       8.707103551033e-04       3.572728712163e+03 
       9.302149532168e-04       3.799878681995e+03 
       9.934336065143e-04       4.039315206278e+03 
       1.060407906282e-03       4.290873073725e+03 
       1.131138277637e-03       4.554212812489e+03 
       1.205583836329e-03       4.828826565825e+03 
       1.283664454065e-03       5.114053499510e+03 
       1.365264798774e-03       5.409093550937e+03 
       1.450239893200e-03       5.713031158935e+03 
       1.538421602407e-03       6.024931986686e+03 
       1.629625434496e-03       6.343792821274e+03 
       1.723657107061e-03       6.668599025748e+03 
       1.820318462836e-03       6.998349202116e+03 
       1.919412473791e-03       7.332075011693e+03 
       2.020747220875e-03       7.668856162588e+03 
       2.124138855846e-03       8.007831142975e+03 
       2.229413633773e-03       8.348203467367e+03 
       2.336409151085e-03       8.689244726330e+03 
       2.444974941276e-03       9.030294573548e+03 
       2.554972577244e-03       9.370759122623e+03 
       2.666275413929e-03       9.710107613409e+03 
       2.778768083838e-03       1.004786903922e+04 
       2.892345835703e-03       1.038362593054e+04 
       3.006913785596e-03       1.071701225991e+04 
       3.122386131645e-03       1.104770728153e+04 
       3.238685368634e-03       1.137543130713e+04 
       3.355741526979e-03       1.169993941096e+04 
       3.473491451655e-03       1.202102257408e+04 
       3.591878130060e-03       1.233849770691e+04 
       3.710850073071e-03       1.265221216460e+04 
       3.830360750308e-03       1.296203080901e+04 
       3.950368078420e-03       1.326784330846e+04 
       4.070833959858e-03       1.356955668569e+04 
       4.191723868806e-03       1.386709061661e+04 
       4.313006480523e-03       1.416038833735e+04 
       4.434653340262e-03       1.444939159556e+04 
       4.556638567955e-03       1.473406923915e+04 
       4.678938595067e-03       1.501438803922e+04 
       4.801531930212e-03       1.529032820140e+04 
       4.924398950434e-03       1.556188040787e+04 
       5.047521715316e-03       1.582903486472e+04 
       5.170883801356e-03       1.609179689965e+04 
       5.294470154327e-03       1.635017273057e+04 
       5.418266957569e-03       1.660417016828e+04 
       5.542261514402e-03       1.685380652123e+04 
       5.666442143046e-03       1.709909409893e+04 
       5.790798082625e-03       1.734006001839e+04 
       5.915319408991e-03       1.757673522716e+04 
       6.039996959266e-03       1.780916942547e+04 
       6.164822264117e-03       1.803732436728e+04 
       6.289787486891e-03       1.826118729572e+04 
       6.414885368872e-03       1.848100243786e+04 
       6.540109179952e-03       1.869658490095e+04 
       6.665452674162e-03       1.890793805386e+04 
       6.790910049503e-03       1.911532362885e+04 
       6.916475911639e-03       1.931866171253e+04 
       7.042145241032e-03       1.951799867255e+04 
       7.167913363160e-03       1.971336482869e+04 
       7.293775921489e-03       1.990479116038e+04 
       7.419728852928e-03       2.009233640693e+04 
       7.545768365505e-03       2.027602566185e+04 
       7.671890918041e-03       2.045589925011e+04 
       7.798093201618e-03       2.063199716610e+04 
       7.924372122682e-03       2.080436029635e+04 
       8.050724787593e-03       2.097302013091e+04 
       8.177148488507e-03       2.113802268284e+04 
       8.303640690448e-03       2.129939995233e+04 
       8.430199019463e-03       2.145720069515e+04 
       8.556821251758e-03       2.161146196153e+04 
       8.683505303725e-03       2.176221675314e+04 
       8.810249222776e-03       2.190950707833e+04 
       8.937051178911e-03       2.205336719145e+04 
       9.063909456959e-03       2.219383128649e+04 
       9.190822449429e-03       2.233095976907e+04 
       9.317788649911e-03       2.246478168151e+04 
       9.444806646999e-03       2.259531895354e+04 
       9.571875118665e-03       2.272261369969e+04 
       9.698992827067e-03       2.284671747183e+04 
       9.826158613748e-03       2.296764978043e+04 
       9.953371395184e-03       2.308545685302e+04 
       1.008063015867e-02       2.320017044950e+04 
       1.020793395852e-02       2.331181995129e+04 
       1.033528191249e-02       2.342045823127e+04 
       1.046267319854e-02       2.352608720756e+04 
       1.059010705176e-02       2.362878341281e+04 
       1.071758276155e-02       2.372856307339e+04 
       1.084509966901e-02       2.382545327435e+04 
       1.097265716446e-02       2.391948990381e+04 
       1.110025468521e-02       2.401072977745e+04 
       1.122789171343e-02       2.409914849888e+04 
       1.135556777419e-02       2.418484652925e+04 
       1.148328243362e-02       2.426781466646e+04 
       1.161103529724e-02       2.434808219552e+04 
       1.173882600838e-02       2.442571878001e+04 
       1.186665424668e-02       2.450071993938e+04 
       1.199451972674e-02       2.457313182177e+04 
       1.212242219685e-02       2.464297628100e+04 
       1.225036143781e-02       2.471027582147e+04 
       1.237833726183e-02       2.477510915681e+04 
       1.250634951149e-02       2.483745526620e+04 
       1.263439805884e-02       2.489735490372e+04 
       1.276248280445e-02       2.495484458232e+04 
       1.289060367667e-02       2.500996272741e+04 
       1.301876063083e-02       2.506272246169e+04 
       1.314695364854e-02       2.511316037769e+04 
       1.327518273708e-02       2.516130030414e+04 
       1.340344792875e-02       2.520716980964e+04 
       1.353174928041e-02       2.525080178037e+04 
       1.366008687287e-02       2.529223702976e+04 
       1.378846081053e-02       2.533147442840e+04 
       1.391687122089e-02       2.536854699179e+04 
       1.404531825421e-02       2.540350117146e+04 
       1.417380208315e-02       2.543636118752e+04 
       1.430232290246e-02       2.546713820899e+04 
       1.443088092871e-02       2.549585656927e+04 
       1.455947640004e-02       2.552256187003e+04 
       1.468810957591e-02       2.554726107027e+04 
