# PT power spectra for matter and bias tracers P(k), P_CTR(k) (for c_s^2 = 1 (Mpc/h)^2 ), Id2d2(k), Id2(k), IG2(k), Id2G2(k), IG2G2(k), IFG2(k) at redshift z=0
# for k=1.03828e-05 to 108.825 h/Mpc,
# number of wavenumbers equal to 813
#    1:k (h/Mpc)           2:P_lin + P_1loop (Mpc/h)^3     3:P_CTR (Mpc/h)^3        4:Id2d2 (Mpc/h)^3        5:Id2 (Mpc/h)^3          6:IG2 (Mpc/h)^3          7:Id2G2 (Mpc/h)^3        8:IG2G2 (Mpc/h)^3        9:IFG2 (Mpc/h)^3     
       1.038280408088e-05       5.125946556356e+01      -5.525904729700e-09      -5.125946567781e+01       0.000000000000e+00      -5.125946567781e+01      -5.125946567781e+01       5.125946567781e+01      -5.125946567781e+01 
       2.319621331819e-05       1.110634127811e+02      -5.975925953763e-08      -1.110634139282e+02       0.000000000000e+00      -1.110634139282e+02      -1.110634139282e+02       1.110634139282e+02      -1.110634139282e+02 
       3.605418047140e-05       1.697475873347e+02      -2.206555633266e-07      -1.697475911388e+02       0.000000000000e+00      -1.697475911388e+02      -1.697475911388e+02       1.697475911388e+02      -1.697475911388e+02 
       4.899093821692e-05       2.279703344299e+02      -5.471543688065e-07      -2.279703456718e+02       0.000000000000e+00      -2.279703456718e+02      -2.279703456718e+02       2.279703456718e+02      -2.279703456718e+02 
       6.204127928559e-05       2.861012922088e+02      -1.101238398038e-06      -2.861013135682e+02       0.000000000000e+00      -2.861013135682e+02      -2.861013135682e+02       2.861013135682e+02      -2.861013135682e+02 
       7.524086346702e-05       3.444144448811e+02      -1.949795002069e-06      -3.444144839496e+02       0.000000000000e+00      -3.444144839496e+02      -3.444144839496e+02       3.444144839496e+02      -3.444144839496e+02 
       8.862653432867e-05       4.031421452777e+02      -3.166546056797e-06      -4.031422090695e+02       0.000000000000e+00      -4.031422090695e+02      -4.031422090695e+02       4.031422090695e+02      -4.031422090695e+02 
       1.022366498216e-04       4.624970619124e+02      -4.834174157393e-06      -4.624971607008e+02       0.000000000000e+00      -4.624971607008e+02      -4.624971607008e+02       4.624971607008e+02      -4.624971607008e+02 
       1.161114309768e-04       5.226834243047e+02      -7.046749050619e-06      -5.226835674377e+02       0.000000000000e+00      -5.226835674377e+02      -5.226835674377e+02       5.226835674377e+02      -5.226835674377e+02 
       1.302933329302e-04       5.839037253347e+02      -9.912559082105e-06      -5.839039266563e+02       0.000000000000e+00      -5.839039266563e+02      -5.839039266563e+02       5.839039266563e+02      -5.839039266563e+02 
       1.448274425204e-04       6.463633506883e+02      -1.355746943533e-05      -6.463636305922e+02       0.000000000000e+00      -6.463636305922e+02      -6.463636305922e+02       6.463636305922e+02      -6.463636305922e+02 
       1.597619066523e-04       7.102741399984e+02      -1.812895225369e-05      -7.102745102617e+02       0.000000000000e+00      -7.102745102617e+02      -7.102745102617e+02       7.102745102617e+02      -7.102745102617e+02 
       1.751483954535e-04       7.758573435995e+02      -2.380096014897e-05      -7.758578326946e+02       0.000000000000e+00      -7.758578326946e+02      -7.758578326946e+02       7.758578326946e+02      -7.758578326946e+02 
       1.910426039087e-04       8.433463756822e+02      -3.077986897903e-05      -8.433470108983e+02       0.000000000000e+00      -8.433470108983e+02      -8.433470108983e+02       8.433470108983e+02      -8.433470108983e+02 
       2.075047950409e-04       9.129893651353e+02      -3.931175034819e-05      -9.129901731997e+02       0.000000000000e+00      -9.129901731997e+02      -9.129901731997e+02       9.129901731997e+02      -9.129901731997e+02 
       2.246003867063e-04       9.850516754519e+02      -4.969131276012e-05      -9.850526955555e+02       0.000000000000e+00      -9.850526955555e+02      -9.850526955555e+02       9.850526955555e+02      -9.850526955555e+02 
       2.424005825081e-04       1.059818446463e+03      -6.227293337272e-05      -1.059819725752e+03       0.000000000000e+00      -1.059819725752e+03      -1.059819725752e+03       1.059819725752e+03      -1.059819725752e+03 
       2.609830450254e-04       1.137597125305e+03      -7.748429529874e-05      -1.137598719042e+03       0.000000000000e+00      -1.137598719042e+03      -1.137598719042e+03       1.137598719042e+03      -1.137598719042e+03 
