# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 5500, i.e. number of multipoles equal to 5499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       2.865951153464e-10       7.887453035216e-15       5.644416360605e-13       4.851915941989e-15       8.367307449963e-09       4.722432673221e-10      -2.078006088109e-12 
    3       2.447262902363e-10       1.020490791362e-14       4.559186637247e-13       4.883175939347e-15       5.145823397469e-09       3.348625247998e-10      -1.663874981333e-12 
    4       2.256158488164e-10       9.752986082833e-15       3.898850674431e-13       4.243466377208e-15       3.575598677633e-09       2.536963712582e-10      -1.181422696326e-12 
    5       2.148553518785e-10       7.512151625212e-15       3.262436384335e-13       3.320933133932e-15       2.668406999874e-09       2.004373416835e-10      -7.507435405415e-13 
    6       2.078042102141e-10       4.932272766832e-15       2.632986443296e-13       2.406992873128e-15       2.084538572647e-09       1.630742364950e-10      -4.076622340887e-13 
    7       2.031825475699e-10       2.953844648047e-15       2.065155022367e-13       1.661552971470e-15       1.682040620856e-09       1.356917159839e-10      -1.609314551494e-13 
    8       2.002071864281e-10       1.818654779180e-15       1.594915753151e-13       1.137889233479e-15       1.390512410653e-09       1.149300641087e-10      -4.202306793375e-15 
    9       1.983300668145e-10       1.330447804797e-15       1.238985023180e-13       8.234188276249e-16       1.171178686810e-09       9.871201735197e-11       7.741535298178e-14 
   10       1.972656062593e-10       1.184581143775e-15       9.963913879066e-14       6.756761539643e-16       1.001194693039e-09       8.577189635982e-11       1.030081221778e-13 
   11       1.967641538721e-10       1.166257435243e-15       8.531156973883e-14       6.458059839995e-16       8.423800238513e-10       7.560357740323e-11       9.227574896235e-14 
   12       1.966305559821e-10       1.188794928445e-15       7.881953839751e-14       6.914595601310e-16       7.359442255380e-10       6.699105952008e-11       6.319474998841e-14 
   13       1.968579051807e-10       1.243025626690e-15       7.770380525999e-14       7.816492679649e-16       6.485725604082e-10       5.965025874068e-11       2.884596259852e-14 
   14       1.972926971641e-10       1.338441877357e-15       7.957602278540e-14       8.960087874786e-16       5.758852882571e-10       5.357392352379e-11      -1.199742207747e-15 
   15       1.978814775554e-10       1.473434649120e-15       8.265022512199e-14       1.023604628829e-15       5.147161998342e-10       4.841109238005e-11      -2.232528183067e-14 
   16       1.986412632719e-10       1.637789481026e-15       8.569955808393e-14       1.158309481266e-15       4.627119859392e-10       4.384326424675e-11      -3.356477946017e-14 
   17       1.994985199003e-10       1.821846452088e-15       8.799570297609e-14       1.298183327220e-15       4.181029743725e-10       3.992386515898e-11      -3.590639577646e-14 
   18       2.004397426505e-10       2.024030529328e-15       8.944688376552e-14       1.442345121002e-15       3.793874373432e-10       3.649716088155e-11      -3.212929145855e-14 
   19       2.014879428464e-10       2.248352159137e-15       9.019424163848e-14       1.590516042364e-15       3.459526578624e-10       3.349596015360e-11      -2.490723608214e-14 
   20       2.025698463764e-10       2.499770292245e-15       9.045488819248e-14       1.742739271753e-15       3.165078496570e-10       3.083362111136e-11      -1.729237847856e-14 
   21       2.037131383030e-10       2.779997172560e-15       9.049173007779e-14       1.898917466286e-15       2.905898877534e-10       2.847759265885e-11      -1.090188186801e-14 
   22       2.049178212040e-10       3.088975416172e-15       9.056311753889e-14       2.058974297236e-15       2.675784587280e-10       2.637395749218e-11      -6.823547903134e-15 
   23       2.061761355040e-10       3.425513993379e-15       9.067227014098e-14       2.222792399198e-15       2.471566952328e-10       2.449209446768e-11      -5.155860175187e-15 
   24       2.074421620886e-10       3.787800701210e-15       9.068603987506e-14       2.390267997058e-15       2.288518308136e-10       2.278986109139e-11      -5.489359071430e-15 
   25       2.087355756250e-10       4.175802773811e-15       9.037935274195e-14       2.561205566113e-15       2.124479790984e-10       2.127013989882e-11      -7.144519849121e-15 
   26       2.100667292700e-10       4.589919237514e-15       8.945539591037e-14       2.735394619637e-15       1.976478068611e-10       1.992726249730e-11      -9.253914095790e-15 
   27       2.114338211244e-10       5.030522754411e-15       8.764460172471e-14       2.912615954611e-15       1.842742415873e-10       1.871150441198e-11      -1.124547486612e-14 
   28       2.128141790432e-10       5.498003695898e-15       8.468850697057e-14       3.092655644369e-15       1.720973666585e-10       1.755647523026e-11      -1.264117645129e-14 
   29       2.142220948481e-10       5.993256346343e-15       8.049177339278e-14       3.275291675528e-15       1.610547022486e-10       1.646862514401e-11      -1.330687437155e-14 
   30       2.156609297448e-10       6.517367054090e-15       7.501592550746e-14       3.460308553554e-15       1.510269471788e-10       1.547326650824e-11      -1.322922096460e-14 
   31       2.171142123099e-10       7.071450583306e-15       6.824172204094e-14       3.647496247350e-15       1.418088132543e-10       1.458668600784e-11      -1.245806331968e-14 
   32       2.185889027993e-10       7.656525715297e-15       6.019076192123e-14       3.836624012416e-15       1.333527564937e-10       1.379771255702e-11      -1.122618351060e-14 
   33       2.200833551311e-10       8.273594185290e-15       5.091486328932e-14       4.027457293607e-15       1.255993378062e-10       1.307724475053e-11      -9.885061896929e-15 
   34       2.215835462441e-10       8.923629084339e-15       4.047487554583e-14       4.219756204867e-15       1.184403851826e-10       1.239219724375e-11      -8.796567074150e-15 
   35       2.230979717795e-10       9.607423755700e-15       2.888004471151e-14       4.413246325673e-15       1.118391427338e-10       1.174193809117e-11      -8.039603129156e-15 
   36       2.246318106290e-10       1.032568425691e-14       1.612834706962e-14       4.607636853705e-15       1.057423562748e-10       1.113372896102e-11      -7.602129240374e-15 
   37       2.261818026900e-10       1.107904486643e-14       2.210222158091e-15       4.802643209526e-15       1.000703752509e-10       1.057217843526e-11      -7.452206635202e-15 
