# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 5000, i.e. number of multipoles equal to 4999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       2.865955998283e-10       7.887710282356e-15       5.644416319883e-13       4.852173189132e-15       8.367307449963e-09       4.722432673221e-10      -2.078006088109e-12 
    3       2.447272557163e-10       1.020542256285e-14       4.559186455979e-13       4.883690588594e-15       5.145823397469e-09       3.348625247998e-10      -1.663874981333e-12 
    4       2.256174503144e-10       9.753844167774e-15       3.898850154374e-13       4.244324462266e-15       3.575598677633e-09       2.536963712582e-10      -1.181422696326e-12 
    5       2.148577400632e-10       7.513439363934e-15       3.262435201850e-13       3.322220873082e-15       2.668406999874e-09       2.004373416835e-10      -7.507435405415e-13 
    6       2.078075305579e-10       4.934076589677e-15       2.632984123454e-13       2.408796697237e-15       2.084538572647e-09       1.630742364950e-10      -4.076622340887e-13 
    7       2.031869396546e-10       2.956251214467e-15       2.065150916365e-13       1.663959541102e-15       1.682040620856e-09       1.356917159839e-10      -1.609314551494e-13 
    8       2.002127834167e-10       1.821750982460e-15       1.594909019460e-13       1.140985444083e-15       1.390512410653e-09       1.149300641087e-10      -4.202306793375e-15 
    9       1.983369951010e-10       1.334320764067e-15       1.238974612711e-13       8.272918022568e-16       1.171178686810e-09       9.871201735197e-11       7.741535298178e-14 
   10       1.972739853015e-10       1.189318183267e-15       9.963760333421e-14       6.804132236124e-16       1.001194693039e-09       8.577189635982e-11       1.030081221778e-13 
   11       1.967740962066e-10       1.171946051266e-15       8.530939067061e-14       6.514946560988e-16       8.423800238513e-10       7.560357740323e-11       9.227574896235e-14 
   12       1.966421674122e-10       1.195522745070e-15       7.881654380521e-14       6.981874764118e-16       7.359442255380e-10       6.699105952008e-11       6.319474998841e-14 
   13       1.968712851247e-10       1.250880341583e-15       7.769980066804e-14       7.895041532552e-16       6.485725604082e-10       5.965025874068e-11       2.884596259852e-14 
