# PT power spectra for matter and bias tracers P(k), P_CTR(k) (for c_s^2 = 1 (Mpc/h)^2 ), Id2d2(k), Id2(k), IG2(k), Id2G2(k), IG2G2(k), IFG2(k) at redshift z=0
# for k=1.03549e-05 to 108.717 h/Mpc,
# number of wavenumbers equal to 813
#    1:k (h/Mpc)           2:P_lin + P_1loop (Mpc/h)^3     3:P_CTR (Mpc/h)^3        4:Id2d2 (Mpc/h)^3        5:Id2 (Mpc/h)^3          6:IG2 (Mpc/h)^3          7:Id2G2 (Mpc/h)^3        8:IG2G2 (Mpc/h)^3        9:IFG2 (Mpc/h)^3     
       1.035494839108e-05       5.166178979173e+01      -5.539433158876e-09      -5.166178990526e+01       0.000000000000e+00      -5.166178990526e+01      -5.166178990526e+01       5.166178990526e+01      -5.166178990526e+01 
       2.315654277267e-05       1.120401652231e+02      -6.007879131322e-08      -1.120401663817e+02       0.000000000000e+00      -1.120401663817e+02      -1.120401663817e+02       1.120401663817e+02      -1.120401663817e+02 
       3.600252388297e-05       1.712862863815e+02      -2.220181618512e-07      -1.712862901506e+02       0.000000000000e+00      -1.712862901506e+02      -1.712862901506e+02       1.712862901506e+02      -1.712862901506e+02 
       4.892702916178e-05       2.300653070123e+02      -5.507428245111e-07      -2.300653182597e+02       0.000000000000e+00      -2.300653182597e+02      -2.300653182597e+02       2.300653182597e+02      -2.300653182597e+02 
       6.196475310490e-05       2.887503619924e+02      -1.108694829540e-06      -2.887503832491e+02       0.000000000000e+00      -2.887503832491e+02      -2.887503832491e+02       2.887503832491e+02      -2.887503832491e+02 
       7.515125283946e-05       3.476178817577e+02      -1.963245505877e-06      -3.476179206511e+02       0.000000000000e+00      -3.476179206511e+02      -3.476179206511e+02       3.476179206511e+02      -3.476179206511e+02 
       8.852326334617e-05       4.069021814935e+02      -3.188635824052e-06      -4.069022452591e+02       0.000000000000e+00      -4.069022452591e+02      -4.069022452591e+02       4.069022452591e+02      -4.069022452591e+02 
       1.021190264739e-04       4.668176738466e+02      -4.868113727858e-06      -4.668177726210e+02       0.000000000000e+00      -4.668177726210e+02      -4.668177726210e+02       4.668177726210e+02      -4.668177726210e+02 
       1.159786379241e-04       5.275702015615e+02      -7.096372221025e-06      -5.275703445607e+02       0.000000000000e+00      -5.275703445607e+02      -5.275703445607e+02       5.275703445607e+02      -5.275703445607e+02 
       1.301444164150e-04       5.893638181492e+02      -9.982393950443e-06      -5.893640189532e+02       0.000000000000e+00      -5.893640189532e+02      -5.893640189532e+02       5.893640189532e+02      -5.893640189532e+02 
       1.446612992455e-04       6.524054399823e+02      -1.365282367302e-05      -6.524057194541e+02       0.000000000000e+00      -6.524057194541e+02      -6.524057194541e+02       6.524057194541e+02      -6.524057194541e+02 
       1.595772684243e-04       7.169084455675e+02      -1.825601483779e-05      -7.169088149165e+02       0.000000000000e+00      -7.169088149165e+02      -7.169088149165e+02       7.169088149165e+02      -7.169088149165e+02 
       1.749438113704e-04       7.830956486878e+02      -2.396692138103e-05      -7.830961371573e+02       0.000000000000e+00      -7.830961371573e+02      -7.830961371573e+02       7.830961371573e+02      -7.830961371573e+02 
       1.908164198499e-04       8.512020660303e+02      -3.099306151454e-05      -8.512026998955e+02       0.000000000000e+00      -8.512026998955e+02      -8.512026998955e+02       8.512026998955e+02      -8.512026998955e+02 
       2.072551302113e-04       9.214774886402e+02      -3.958181399811e-05      -9.214782948807e+02       0.000000000000e+00      -9.214782948807e+02      -9.214782948807e+02       9.214782948807e+02      -9.214782948807e+02 
       2.243251069852e-04       9.941890011866e+02      -5.002938602380e-05      -9.941900190228e+02       0.000000000000e+00      -9.941900190228e+02      -9.941900190228e+02       9.941900190228e+02      -9.941900190228e+02 
       2.420972703796e-04       1.069623546993e+03      -6.269187598098e-05      -1.069624823608e+03       0.000000000000e+00      -1.069624823608e+03      -1.069624823608e+03       1.069624823608e+03      -1.069624823608e+03 
       2.606489659138e-04       1.148090463318e+03      -7.799894500066e-05      -1.148092053828e+03       0.000000000000e+00      -1.148092053828e+03      -1.148092053828e+03       1.148092053828e+03      -1.148092053828e+03 
       2.800646711532e-04       1.229924023037e+03      -9.647074640108e-05      -1.229925991611e+03       0.000000000000e+00      -1.229925991611e+03      -1.229925991611e+03       1.229925991611e+03      -1.229925991611e+03 
       3.004367299146e-04       1.315485943947e+03      -1.187389123729e-04      -1.315488368285e+03       0.000000000000e+00      -1.315488368285e+03      -1.315488368285e+03       1.315488368285e+03      -1.315488368285e+03 
       3.218660980621e-04       1.405167770294e+03      -1.455725767981e-04      -1.405170742720e+03       0.000000000000e+00      -1.405170742720e+03      -1.405170742720e+03       1.405170742720e+03      -1.405170742720e+03 
       3.444630767260e-04       1.499393042506e+03      -1.779106293334e-04      -1.499396675255e+03       0.000000000000e+00      -1.499396675255e+03      -1.499396675255e+03       1.499396675255e+03      -1.499396675255e+03 
       3.683479980822e-04       1.598619068444e+03      -2.169016315213e-04      -1.598623496603e+03       0.000000000000e+00      -1.598623496603e+03      -1.598623496603e+03       1.598623496603e+03      -1.598623496603e+03 
       3.936518154808e-04       1.703338105000e+03      -2.639530907323e-04      -1.703343492755e+03       0.000000000000e+00      -1.703343492755e+03      -1.703343492755e+03       1.703343492755e+03      -1.703343492755e+03 
       4.205165336690e-04       1.814077664767e+03      -3.207920474023e-04      -1.814084211060e+03       0.000000000000e+00      -1.814084211060e+03      -1.814084211060e+03       1.814084211060e+03      -1.814084211060e+03 
       4.490953965692e-04       1.931399608221e+03      -3.895391664513e-04      -1.931407555598e+03       0.000000000000e+00      -1.931407555598e+03      -1.931407555598e+03       1.931407555598e+03      -1.931407555598e+03 
       4.795527306712e-04       2.055897605426e+03      -4.727986760967e-04      -2.055907248920e+03       0.000000000000e+00      -2.055907248920e+03      -2.055907248920e+03       2.055907248920e+03      -2.055907248920e+03 
       5.120633238403e-04       2.188192508111e+03      -5.737664991673e-04      -2.188204208060e+03       0.000000000000e+00      -2.188204208060e+03      -2.188204208060e+03       2.188204208060e+03      -2.188204208060e+03 
       5.468112058585e-04       2.328925130913e+03      -6.963586611987e-04      -2.328939326955e+03       0.000000000000e+00      -2.328939326955e+03      -2.328939326955e+03       2.328939326955e+03      -2.328939326955e+03 
       5.839876936044e-04       2.478745977141e+03      -8.453614207159e-04      -2.478763205665e+03       0.000000000000e+00      -2.478763205665e+03      -2.478763205665e+03       2.478763205665e+03      -2.478763205665e+03 
       6.237885772251e-04       2.638301531519e+03      -1.026603397707e-03      -2.638322446693e+03       0.000000000000e+00      -2.638322446693e+03      -2.638322446693e+03       2.638322446693e+03      -2.638322446693e+03 
       6.664103614766e-04       2.808216921125e+03      -1.247148149077e-03      -2.808242321350e+03       0.000000000000e+00      -2.808242321350e+03      -2.808242321350e+03       2.808242321350e+03      -2.808242321350e+03 
