# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 5000, i.e. number of multipoles equal to 4999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       2.856870574343e-10       7.778872100204e-15       5.610968852266e-13       4.785118381349e-15       8.346597532604e-09       4.689011862597e-10      -2.065870430055e-12 
    3       2.442218393384e-10       1.006042038920e-14       4.537192011913e-13       4.814200505226e-15       5.165005120598e-09       3.327994202824e-10      -1.652794977149e-12 
    4       2.252020128519e-10       9.610154118769e-15       3.877222948443e-13       4.182654562738e-15       3.593079217897e-09       2.520952400794e-10      -1.173013845105e-12 
    5       2.145601463698e-10       7.399976994949e-15       3.243165397077e-13       3.273443998700e-15       2.680373402578e-09       1.992018317367e-10      -7.451018642102e-13 
    6       2.075903114166e-10       4.859135940650e-15       2.617144481218e-13       2.373680908219e-15       2.092518485050e-09       1.621608262734e-10      -4.043802215067e-13 
    7       2.030444299337e-10       2.913148219296e-15       2.052899146269e-13       1.640844547312e-15       1.688068287990e-09       1.349507348423e-10      -1.595099589049e-13 
    8       2.000702822900e-10       1.798600227274e-15       1.586096421052e-13       1.127051614677e-15       1.395579815043e-09       1.142652749096e-10      -4.083487868477e-15 
    9       1.982335392853e-10       1.320941821892e-15       1.232885648777e-13       8.197954046938e-16       1.175706161390e-09       9.817132875926e-11       7.676411931377e-14 
   10       1.972109669031e-10       1.180055115950e-15       9.922894840907e-14       6.769858441376e-16       1.005451896397e-09       8.538738114682e-11       1.020266710727e-13 
   11       1.966965310273e-10       1.164757774814e-15       8.509742283440e-14       6.504255037102e-16       8.460159997227e-10       7.526678679151e-11       9.127970741315e-14 
   12       1.966157101101e-10       1.190063657659e-15       7.871818678363e-14       6.983777890971e-16       7.391668353842e-10       6.664050434288e-11       6.234219267665e-14 
   13       1.968280634274e-10       1.247065529343e-15       7.762903242155e-14       7.902919779113e-16       6.514636134297e-10       5.938096430196e-11       2.835122683650e-14 
   14       1.972588874376e-10       1.344933411164e-15       7.953980482754e-14       9.061621494682e-16       5.784926997463e-10       5.328943287035e-11      -1.485122788495e-15 
   15       1.978791363448e-10       1.482185612079e-15       8.260037393174e-14       1.035083528277e-15       5.170788782475e-10       4.814487796593e-11      -2.238579132060e-14 
   16       1.986075816068e-10       1.648535201207e-15       8.563992051204e-14       1.171372794768e-15       4.648679347066e-10       4.371832984737e-11      -3.324194295071e-14 
   17       1.994958523152e-10       1.834922375218e-15       8.802753598082e-14       1.312707159255e-15       4.200812073036e-10       3.977608750838e-11      -3.556839923499e-14 
   18       2.004476102422e-10       2.039566755889e-15       8.950501178167e-14       1.458453119882e-15       3.812090707655e-10       3.634736670776e-11      -3.184702751883e-14 
   19       2.014799831750e-10       2.266409737848e-15       9.025171235060e-14       1.608401572349e-15       3.476369429105e-10       3.338566617761e-11      -2.464251644119e-14 
   20       2.025638220528e-10       2.520474081300e-15       9.060603256461e-14       1.762516887684e-15       3.180698048550e-10       3.072113395506e-11      -1.705579833164e-14 
   21       2.037102506683e-10       2.803381209608e-15       9.077000453909e-14       1.920701988725e-15       2.920430559485e-10       2.834561667824e-11      -1.072885517224e-14 
   22       2.048882477411e-10       3.114951038597e-15       9.088843771638e-14       2.082900187374e-15       2.689340088272e-10       2.626263843595e-11      -6.754078967251e-15 
   23       2.061163651695e-10       3.454054032819e-15       9.099401602719e-14       2.248966371991e-15       2.484245217600e-10       2.443383746690e-11      -5.164034832996e-15 
   24       2.073876589472e-10       3.819006847012e-15       9.102481719047e-14       2.418754264698e-15       2.300399173438e-10       2.278157012530e-11      -5.482361491339e-15 
   25       2.086987971444e-10       4.209822678005e-15       9.074255424929e-14       2.592062968102e-15       2.135639408607e-10       2.126673136907e-11      -7.129583529245e-15 
   26       2.100218576564e-10       4.626925427718e-15       8.981833718710e-14       2.768692711776e-15       1.986986012532e-10       1.985470298538e-11      -9.359893170381e-15 
   27       2.113675328013e-10       5.070717902049e-15       8.801312036546e-14       2.948447210421e-15       1.852659118762e-10       1.856377285000e-11      -1.147124158264e-14 
   28       2.127394832022e-10       5.541610213641e-15       8.511100857841e-14       3.131134339040e-15       1.730345872546e-10       1.741622363831e-11      -1.280083353462e-14 
