# dimensionless [l(l+1)/2pi] C_l's for tensor mode
# for l=2 to 500, i.e. number of multipoles equal to 499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.422194598535e-10       2.674889773206e-15       1.673639483884e-13       4.784857433919e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    3       1.089391107286e-10       2.825265935131e-15      -7.280757015539e-15       4.813678456592e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    4       9.770820437468e-11       2.588535327005e-15      -5.970882224168e-14       4.181784147959e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    5       9.300186507437e-11       2.065786544325e-15      -7.065817784297e-14       3.272137769717e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    6       9.022249470964e-11       1.486914450797e-15      -6.723948699879e-14       2.371851206101e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    7       8.846636614484e-11       1.011816145875e-15      -5.970825078796e-14       1.638403485336e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    8       8.727956243471e-11       7.049480012459e-16      -5.257726678524e-14       1.123911073274e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    9       8.641671685076e-11       5.604281356939e-16      -4.751464446943e-14       8.158670387718e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   10       8.573634682718e-11       5.384657458160e-16      -4.484620365625e-14       6.721811027427e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   11       8.515570043270e-11       5.938805293883e-16      -4.435041395655e-14       6.446556614227e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   12       8.462681110090e-11       6.911917297235e-16      -4.563657644547e-14       6.915539880334e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   13       8.412122804210e-11       8.084253776379e-16      -4.832142961559e-14       7.823252787195e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   14       8.362128350209e-11       9.352250617241e-16      -5.210421878584e-14       8.969635892884e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   15       8.311593638829e-11       1.067552638481e-15      -5.676625721849e-14       1.024564183312e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   16       8.259862847234e-11       1.204973693465e-15      -6.215229410203e-14       1.159443844889e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
