# Matter power spectrum P(k) at redshift z=0
# for k=1.03892e-05 to 108.968 h/Mpc,
# number of wavenumbers equal to 813
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.038922642939e-05       5.116730264492e+01 
       2.321812845777e-05       1.108985088475e+02 
       3.609173375949e-05       1.695113031264e+02 
       4.904439972293e-05       2.276638463253e+02 
       6.211104703766e-05       2.857257429193e+02 
       7.532746857054e-05       3.439710471672e+02 
       8.873064803662e-05       4.026322237699e+02 
       1.023590926717e-04       4.619221091251e+02 
       1.162531841463e-04       5.220451339834e+02 
       1.304555519933e-04       5.832040424829e+02 
       1.450114738307e-04       6.456045176576e+02 
       1.599693066034e-04       7.094587348303e+02 
       1.753809529045e-04       7.749883628512e+02 
       1.913023660834e-04       8.424272771415e+02 
       2.077940972269e-04       9.120241494359e+02 
       2.249218860767e-04       9.840449765064e+02 
       2.427572963652e-04       1.058775622165e+03 
       2.613783937036e-04       1.136524360390e+03 
       2.808704607789e-04       1.217624416408e+03 
       3.013267399005e-04       1.302436481130e+03 
       3.228491865167e-04       1.391351084661e+03 
       3.455492088079e-04       1.484790760999e+03 
       3.695483574944e-04       1.583211812667e+03 
       3.949789163030e-04       1.687105466241e+03 
       4.219843271272e-04       1.796998140694e+03 
       4.507193652352e-04       1.913450503678e+03 
       4.813499601652e-04       2.037054846268e+03 
       5.140525395271e-04       2.168430375086e+03 
       5.490127596148e-04       2.308215863940e+03 
       5.864234840096e-04       2.457059228215e+03 
       6.264818862127e-04       2.615603660772e+03 
       6.693855924581e-04       2.784470121715e+03 
       7.153278526981e-04       2.964236385994e+03 
       7.644918337246e-04       3.155413225466e+03 
       8.170442631527e-04       3.358418950567e+03 
       8.731288004716e-04       3.573553917007e+03 
       9.328596440384e-04       3.800977255392e+03 
       9.963159657110e-04       4.040688238413e+03 
       1.063537764317e-03       4.292514494541e+03 
       1.134523625953e-03       4.556109038575e+03 
       1.209230678886e-03       4.830956619010e+03 
       1.287576767588e-03       5.116389500373e+03 
       1.369444598904e-03       5.411595519535e+03 
       1.454687391583e-03       5.715665458008e+03 
       1.543135431286e-03       6.027656314769e+03 
       1.634602911679e-03       6.346562769410e+03 
       1.728894515035e-03       6.671369376084e+03 
       1.825811320086e-03       7.001075072943e+03 
       1.925155782401e-03       7.334712787292e+03 
       2.026735680812e-03       7.671364336534e+03 
       2.130367041837e-03       8.010170586360e+03 
       2.235876134908e-03       8.350338269894e+03 
       2.343100676070e-03       8.691142049510e+03 
       2.451890393792e-03       9.031924771480e+03 
       2.562107106469e-03       9.372095841643e+03 
       2.673624445201e-03       9.711127568530e+03 
       2.786327333995e-03       1.004855148331e+04 
       2.900111316992e-03       1.038395331504e+04 
       3.014881801364e-03       1.071696960124e+04 
       3.130553266383e-03       1.104728160511e+04 
       3.247048474339e-03       1.137461163200e+04 
       3.364297707344e-03       1.169871692715e+04 
       3.482238045183e-03       1.201939030936e+04 
       3.600812692879e-03       1.233644983112e+04 
       3.719970362018e-03       1.264974434338e+04 
       3.839664706618e-03       1.295913979256e+04 
       3.959853812268e-03       1.326452682902e+04 
       4.080499735881e-03       1.356581418679e+04 
       4.201568092653e-03       1.386292239093e+04 
       4.323027686457e-03       1.415579226418e+04 
       4.444850179783e-03       1.444437121017e+04 
       4.567009799409e-03       1.472862531458e+04 
       4.689483074174e-03       1.500852144878e+04 
       4.812248601458e-03       1.528404264283e+04 
       4.935286839263e-03       1.555518047922e+04 
       5.058579921044e-03       1.582192405677e+04 
       5.182111490760e-03       1.608427852352e+04 
       5.305866555835e-03       1.634224788223e+04 
       5.429831356000e-03       1.659584215343e+04 
       5.553993246208e-03       1.684508082658e+04 
       5.678340591997e-03       1.708997450089e+04 
       5.802862675902e-03       1.733055148341e+04 
       5.927549613644e-03       1.756684261670e+04 
       6.052392279003e-03       1.779889504336e+04 
       6.177382236385e-03       1.802667248095e+04 
       6.302511680230e-03       1.825022320119e+04 
       6.427773380501e-03       1.846961110761e+04 
       6.553160633584e-03       1.868483724276e+04 
       6.678667218001e-03       1.889582307760e+04 
       6.804287354430e-03       1.910285223303e+04 
       6.930015669548e-03       1.930583924251e+04 
       7.055847163317e-03       1.950483037576e+04 
       7.181777179324e-03       1.969985123636e+04 
       7.307801377880e-03       1.989093960449e+04 
       7.433915711576e-03       2.007815046640e+04 
       7.560116403057e-03       2.026150656088e+04 
       7.686399924782e-03       2.044105205828e+04 
       7.812762980579e-03       2.061682664649e+04 
       7.939202488810e-03       2.078886787797e+04 
       8.065715566993e-03       2.095721169450e+04 
       8.192299517746e-03       2.112190370219e+04 
       8.318951815908e-03       2.128297611801e+04 
       8.445670096748e-03       2.144046763637e+04 
       8.572452145146e-03       2.159441821040e+04 
       8.699295885663e-03       2.174487222326e+04 
       8.826199373408e-03       2.189186539191e+04 
       8.953160785648e-03       2.203542802498e+04 
       9.080178414077e-03       2.217560177954e+04 
       9.207250657696e-03       2.231244963165e+04 
       9.334376016246e-03       2.244597450372e+04 
       9.461553084149e-03       2.257622783873e+04 
       9.588780544910e-03       2.270324545030e+04 
       9.716057165945e-03       2.282706224818e+04 
       9.843381793799e-03       2.294771351284e+04 
       9.970753349712e-03       2.306525069282e+04 
       1.009817082553e-02       2.317968653534e+04 
       1.022563327988e-02       2.329107096240e+04 
       1.035313983469e-02       2.339943289181e+04 
       1.048068967188e-02       2.350479040733e+04 
       1.060828203033e-02       2.360722712318e+04 
       1.073591620312e-02       2.370675360085e+04 
       1.086359153481e-02       2.380336132036e+04 
       1.099130741913e-02       2.389714353264e+04 
