# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 5500, i.e. number of multipoles equal to 5499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       2.907273495542e-10       7.950734385320e-15       5.707083443651e-13       4.890089257297e-15       8.440647414558e-09       4.775590385789e-10      -2.108171337652e-12 
    3       2.487228370635e-10       1.030357635179e-14       4.623997620026e-13       4.925600613746e-15       5.255148651934e-09       3.392640524354e-10      -1.687941048741e-12 
    4       2.293336253083e-10       9.860153419275e-15       3.953684032157e-13       4.284169812944e-15       3.660780629556e-09       2.569650243841e-10      -1.199503183557e-12 
    5       2.184838963993e-10       7.606479143931e-15       3.309234719504e-13       3.356208721495e-15       2.733191524146e-09       2.030392747398e-10      -7.633639935053e-13 
    6       2.113759115292e-10       5.002484415082e-15       2.672132486204e-13       2.435398234679e-15       2.133910081303e-09       1.652692624765e-10      -4.155625675983e-13 
    7       2.067351076023e-10       3.000336883966e-15       2.097080788573e-13       1.683580457188e-15       1.720231815944e-09       1.375104280668e-10      -1.651339458714e-13 
    8       2.036967976081e-10       1.848648584463e-15       1.620687794741e-13       1.154884919622e-15       1.421323841385e-09       1.164159953640e-10      -5.757354356400e-15 
    9       2.018187341411e-10       1.352036103892e-15       1.259703212328e-13       8.372472579852e-16       1.197335952774e-09       1.000188035155e-10       7.754902372069e-14 
   10       2.007711690398e-10       1.203649243797e-15       1.013369347827e-13       6.879794525229e-16       1.024180489294e-09       8.699973760896e-11       1.040294627566e-13 
   11       2.002423025706e-10       1.185623049094e-15       8.683797378449e-14       6.580297816860e-16       8.616018949719e-10       7.666612332522e-11       9.356006326597e-14 
   12       2.001556141188e-10       1.209449444979e-15       8.026801785324e-14       7.046224924552e-16       7.527839615423e-10       6.788429590760e-11       6.428552142280e-14 
   13       2.003682876446e-10       1.265321468925e-15       7.911748963885e-14       7.964649122406e-16       6.634649662926e-10       6.049574665527e-11       2.960862259101e-14 
   14       2.008036882612e-10       1.362743856948e-15       8.105976728123e-14       9.129858207281e-16       5.891497339538e-10       5.429478676870e-11      -1.010631769921e-15 
   15       2.014321102174e-10       1.500625776882e-15       8.418943784534e-14       1.042789726100e-15       5.266046335794e-10       4.905446021052e-11      -2.259631506071e-14 
   16       2.021708911199e-10       1.668215696689e-15       8.731007977642e-14       1.180263245753e-15       4.734318953901e-10       4.454216142861e-11      -3.392785538700e-14 
   17       2.030722634010e-10       1.856422986972e-15       8.976519934220e-14       1.322590677593e-15       4.278201826062e-10       4.052182275726e-11      -3.649337398562e-14 
   18       2.040384056208e-10       2.062893042323e-15       9.128374725089e-14       1.469421914885e-15       3.882319348754e-10       3.702545792617e-11      -3.279726595755e-14 
   19       2.050867845919e-10       2.291619103199e-15       9.203166863658e-14       1.620536125493e-15       3.540414634764e-10       3.400643073417e-11      -2.545191338443e-14 
   20       2.061875926379e-10       2.547975366095e-15       9.234128643665e-14       1.775693059872e-15       3.239297211827e-10       3.129170253344e-11      -1.763410904103e-14 
   21       2.073520957463e-10       2.833737429519e-15       9.246334166936e-14       1.934790892969e-15       2.974235487454e-10       2.887217931653e-11      -1.105740974385e-14 
   22       2.085486721847e-10       3.148781852046e-15       9.259945985750e-14       2.097844801062e-15       2.738888438035e-10       2.675039218634e-11      -6.888570776054e-15 
   23       2.097961892702e-10       3.491877515563e-15       9.273625581164e-14       2.264755100951e-15       2.530016042634e-10       2.488725254252e-11      -5.189813022405e-15 
   24       2.110875593340e-10       3.861188802017e-15       9.274018516417e-14       2.435413309680e-15       2.342783909101e-10       2.320405012344e-11      -5.492622560146e-15 
   25       2.124193562164e-10       4.256751949107e-15       9.240213967514e-14       2.609623894703e-15       2.174989620641e-10       2.166133562533e-11      -7.192614753292e-15 
   26       2.137631267765e-10       4.679056778491e-15       9.144899080121e-14       2.787170527455e-15       2.023598380477e-10       2.022406499492e-11      -9.503400230771e-15 
   27       2.151298059974e-10       5.128483480841e-15       8.962992035817e-14       2.967792094049e-15       1.886797512542e-10       1.891008235693e-11      -1.169307759594e-14 
   28       2.165231903557e-10       5.605394088531e-15       8.669732745652e-14       3.151225555181e-15       1.762231528845e-10       1.774108283854e-11      -1.307394519167e-14 
   29       2.179568485752e-10       6.110641366551e-15       8.252888834981e-14       3.337247694856e-15       1.649261764158e-10       1.670457286188e-11      -1.356696968473e-14 
   30       2.194226138744e-10       6.645252986882e-15       7.703932536877e-14       3.525661633426e-15       1.546669785380e-10       1.576223872434e-11      -1.332584419481e-14 
   31       2.208927658646e-10       7.210305368957e-15       7.016669114267e-14       3.716275665846e-15       1.452357527768e-10       1.486837335955e-11      -1.256174233986e-14 
   32       2.223787403049e-10       7.806938578480e-15       6.195284219971e-14       3.908846623557e-15       1.365838905757e-10       1.402499470437e-11      -1.146814803132e-14 
   33       2.238895105307e-10       8.436351845520e-15       5.249694380238e-14       4.103115661570e-15       1.286505481269e-10       1.324601108355e-11      -1.027659345298e-14 
   34       2.254199274392e-10       9.099684835567e-15       4.190315244044e-14       4.298828054945e-15       1.213250348872e-10       1.253983108480e-11      -9.233194547157e-15 
   35       2.269715447256e-10       9.797608640711e-15       3.016135613730e-14       4.495751747648e-15       1.145698324735e-10       1.189989300779e-11      -8.433698016647e-15 
   36       2.285356804855e-10       1.053058186931e-14       1.722511803435e-14       4.693665665779e-15       1.083305886603e-10       1.130977563364e-11      -7.932500394690e-15 
   37       2.300964187533e-10       1.129900620098e-14       3.045406777911e-15       4.892344772970e-15       1.025259369019e-10       1.075090918525e-11      -7.761794232915e-15 
   38       2.316660479468e-10       1.210342034812e-14      -1.241932324263e-14       5.091524338263e-15       9.714085964597e-11       1.022281435373e-11      -7.848659506745e-15 
   39       2.332591897374e-10       1.294436082718e-14      -2.921064175509e-14       5.290923480537e-15       9.215829340370e-11       9.728953659438e-12      -8.068086539183e-15 
   40       2.348820890069e-10       1.382230512373e-14      -4.737330265487e-14       5.490254054580e-15       8.753073459617e-11       9.271086449563e-12      -8.262384771691e-15 
   41       2.365342026135e-10       1.473770912437e-14      -6.695424263560e-14       5.689227937551e-15       8.319678933074e-11       8.849058284360e-12      -8.282940720608e-15 
   42       2.382158890097e-10       1.569114326459e-14      -8.799831686567e-14       5.887583015742e-15       7.914368552174e-11       8.460513273717e-12      -8.137046953524e-15 
   43       2.399216105594e-10       1.668319426237e-14      -1.105517829916e-13       6.085064764931e-15       7.536064119301e-11       8.100789378496e-12      -7.885225684458e-15 
   44       2.416368354979e-10       1.771442671443e-14      -1.346638064405e-13       6.281419170858e-15       7.182010498927e-11       7.762766987910e-12      -7.602268905920e-15 
   45       2.433453129711e-10       1.878531425364e-14      -1.603749442912e-13       6.476388279284e-15       6.848759433844e-11       7.438969199748e-12      -7.361838093074e-15 
   46       2.450553357477e-10       1.989601087483e-14      -1.876778695292e-13       6.669695244980e-15       6.535786288364e-11       7.129034899839e-12      -7.182754887369e-15 
   47       2.467799979357e-10       2.104650951465e-14      -2.165453537324e-13       6.861054823626e-15       6.242727505357e-11       6.834174152808e-12      -7.068110231496e-15 
   48       2.485295088589e-10       2.223669914680e-14      -2.469406238808e-13       7.050177196088e-15       5.968289831536e-11       6.555035033854e-12      -7.020049319031e-15 
   49       2.503108745853e-10       2.346635985908e-14      -2.788169477971e-13       7.236767718043e-15       5.710181178876e-11       6.291655230046e-12      -7.039691764166e-15 
   50       2.521279132547e-10       2.473521744476e-14      -3.121292781796e-13       7.420540053212e-15       5.465800946351e-11       6.043606706165e-12      -7.125195560374e-15 
   51       2.539820448179e-10       2.604313606781e-14      -3.468738725676e-13       7.601260356571e-15       5.234692289590e-11       5.810588280337e-12      -7.265514629426e-15 
   52       2.558711651665e-10       2.738996938473e-14      -3.830587111765e-13       7.778714651378e-15       5.016635981829e-11       5.591910236224e-12      -7.444808838102e-15 
   53       2.577890354894e-10       2.877550352873e-14      -4.206925275240e-13       7.952696864210e-15       4.810916524195e-11       5.386276936045e-12      -7.643988898536e-15 
   54       2.597249795103e-10       3.019945498744e-14      -4.597849613340e-13       8.123009204396e-15       4.616288746434e-11       5.191747507257e-12      -7.840549186839e-15 
   55       2.616682107802e-10       3.166149574840e-14      -5.003457177665e-13       8.289464390718e-15       4.431357551982e-11       5.006269510442e-12      -8.014087835693e-15 
   56       2.636227670061e-10       3.316134091302e-14      -5.423814502321e-13       8.451892110013e-15       4.255904139122e-11       4.829525255022e-12      -8.164855854616e-15 
   57       2.655957554171e-10       3.469867913035e-14      -5.858983710245e-13       8.610134827647e-15       4.089830740193e-11       4.661475287640e-12      -8.299523178068e-15 
   58       2.675929280490e-10       3.627314619916e-14      -6.309032888526e-13       8.764046522411e-15       3.932759416556e-11       4.501808976751e-12      -8.425948333013e-15 
   59       2.696185593736e-10       3.788432400797e-14      -6.774037230297e-13       8.913493137942e-15       3.784014755860e-11       4.349927523243e-12      -8.553232839638e-15 
   60       2.716753239266e-10       3.953173947506e-14      -7.254080176630e-13       9.058353034125e-15       3.642606569306e-11       4.204926971067e-12      -8.691775612083e-15 
   61       2.737649397864e-10       4.121485308807e-14      -7.749207844036e-13       9.198514897515e-15       3.507504816062e-11       4.065867162264e-12      -8.850197676094e-15 
   62       2.758905446274e-10       4.293302391471e-14      -8.259277770243e-13       9.333869903259e-15       3.378575631737e-11       3.932687582618e-12      -9.025186620098e-15 
   63       2.780546382746e-10       4.468553482162e-14      -8.784078089587e-13       9.464318586865e-15       3.255825653701e-11       3.805467874993e-12      -9.209458783158e-15 
