# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 5000, i.e. number of multipoles equal to 4999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       2.907278552439e-10       7.951005303018e-15       5.707083401081e-13       4.890360174997e-15       8.440647414558e-09       4.775590385789e-10      -2.108171337652e-12 
    3       2.487238448004e-10       1.030411834787e-14       4.623997430533e-13       4.926142609847e-15       5.255148651934e-09       3.392640524354e-10      -1.687941048741e-12 
    4       2.293352968872e-10       9.861057094733e-15       3.953683488514e-13       4.285073488537e-15       3.660780629556e-09       2.569650243841e-10      -1.199503183557e-12 
    5       2.184863890657e-10       7.607835290999e-15       3.309233483427e-13       3.357564869053e-15       2.733191524146e-09       2.030392747398e-10      -7.633639935053e-13 
    6       2.113793770974e-10       5.004384046037e-15       2.672130061309e-13       2.437297867075e-15       2.133910081303e-09       1.652692624765e-10      -4.155625675983e-13 
    7       2.067396917293e-10       3.002871248528e-15       2.097076496806e-13       1.686114825400e-15       1.720231815944e-09       1.375104280668e-10      -1.651339458714e-13 
    8       2.037026392427e-10       1.851909174597e-15       1.620680756723e-13       1.158145518047e-15       1.421323841385e-09       1.164159953640e-10      -5.757354356400e-15 
    9       2.018259651591e-10       1.356114645404e-15       1.259692331914e-13       8.413258168199e-16       1.197335952774e-09       1.000188035155e-10       7.754902372069e-14 
   10       2.007799140708e-10       1.208637674669e-15       1.013353301024e-13       6.929679172661e-16       1.024180489294e-09       8.699973760896e-11       1.040294627566e-13 
   11       2.002526790148e-10       1.191613485042e-15       8.683569661274e-14       6.640202803772e-16       8.616018949719e-10       7.666612332522e-11       9.356006326597e-14 
   12       2.001677323458e-10       1.216534133265e-15       8.026488864259e-14       7.117072918370e-16       7.527839615423e-10       6.788429590760e-11       6.428552142280e-14 
   13       2.003822513590e-10       1.273592731922e-15       7.911330530961e-14       8.047363645261e-16       6.634649662926e-10       6.049574665527e-11       2.960862259101e-14 
   14       2.008195950158e-10       1.372294027337e-15       8.105430175426e-14       9.225363030909e-16       5.891497339538e-10       5.429478676870e-11      -1.010631769921e-15 
   15       2.014500520474e-10       1.511547126713e-15       8.418244290267e-14       1.053711575345e-15       5.266046335794e-10       4.905446021052e-11      -2.259631506071e-14 
   16       2.021909552710e-10       1.680600362703e-15       8.730128620111e-14       1.192648690862e-15       4.734318953901e-10       4.454216142861e-11      -3.392785538700e-14 
   17       2.030945331191e-10       1.870362894691e-15       8.975431828530e-14       1.336531772958e-15       4.278201826062e-10       4.052182275726e-11      -3.649337398562e-14 
   18       2.040629609843e-10       2.078479830135e-15       9.127047179668e-14       1.485010475603e-15       3.882319348754e-10       3.702545792617e-11      -3.279726595755e-14 
   19       2.051137032664e-10       2.308944056310e-15       9.201567537090e-14       1.637863675963e-15       3.540414634764e-10       3.400643073417e-11      -2.545191338443e-14 
   20       2.062169507575e-10       2.567129342449e-15       9.232223735383e-14       1.794850775479e-15       3.239297211827e-10       3.129170253344e-11      -1.763410904103e-14 
   21       2.073839685073e-10       2.854810811064e-15       9.244088576338e-14       1.955869572908e-15       2.974235487454e-10       2.887217931653e-11      -1.105740974385e-14 
   22       2.085831345866e-10       3.171864486269e-15       9.257323508907e-14       2.120934832419e-15       2.738888438035e-10       2.675039218634e-11      -6.888570776054e-15 
   23       2.098333164916e-10       3.517058684818e-15       9.270589067559e-14       2.289946457417e-15       2.530016042634e-10       2.488725254252e-11      -5.189813022405e-15 
   24       2.111274272569e-10       3.888557183080e-15       9.270530064026e-14       2.462795541563e-15       2.342783909101e-10       2.320405012344e-11      -5.492622560146e-15 
   25       2.124620414978e-10       4.286395601998e-15       9.236235071764e-14       2.639286156615e-15       2.174989620641e-10       2.166133562533e-11      -7.192614753292e-15 
   26       2.138087071041e-10       4.711063124376e-15       9.140390824664e-14       2.819201595609e-15       2.023598380477e-10       2.022406499492e-11      -9.503400230771e-15 
   27       2.151783599320e-10       5.162939302993e-15       8.957915248205e-14       3.002280414970e-15       1.886797512542e-10       1.891008235693e-11      -1.169307759594e-14 
   28       2.165747972880e-10       5.642385524888e-15       8.664048188320e-14       3.188259287637e-15       1.762231528845e-10       1.774108283854e-11      -1.307394519167e-14 
   29       2.180115881313e-10       6.150253919667e-15       8.246557364406e-14       3.376914781006e-15       1.649261764158e-10       1.670457286188e-11      -1.356696968473e-14 
   30       2.194805656704e-10       6.687571524571e-15       7.696915308986e-14       3.568049857696e-15       1.546669785380e-10       1.576223872434e-11      -1.332584419481e-14 
   31       2.209540092416e-10       7.255414119798e-15       7.008927813798e-14       3.761472712337e-15       1.452357527768e-10       1.486837335955e-11      -1.256174233986e-14 
   32       2.224433535282e-10       7.854921119075e-15       6.186781295574e-14       3.956940138970e-15       1.365838905757e-10       1.402499470437e-11      -1.146814803132e-14 
   33       2.239575702340e-10       8.487291098146e-15       5.240393292659e-14       4.154193325755e-15       1.286505481269e-10       1.324601108355e-11      -1.027659345298e-14 
   34       2.254915081334e-10       9.153663056434e-15       4.180180747441e-14       4.352977644301e-15       1.213250348872e-10       1.253983108480e-11      -9.233194547157e-15 
   35       2.270467182550e-10       9.854707357669e-15       3.005134122693e-14       4.553061155697e-15       1.145698324735e-10       1.189989300779e-11      -8.433698016647e-15 
   36       2.286145154206e-10       1.059088185566e-14       1.710611723880e-14       4.754222961025e-15       1.083305886603e-10       1.130977563364e-11      -7.932500394690e-15 
   37       2.301789799341e-10       1.136258743252e-14       2.917127777505e-15       4.956238239608e-15       1.025259369019e-10       1.075090918525e-11      -7.761794232915e-15 
   38       2.317523966862e-10       1.217036185170e-14      -1.255714370911e-14       5.158842401435e-15       9.714085964597e-11       1.022281435373e-11      -7.848659506745e-15 
   39       2.333493835042e-10       1.301474060155e-14      -2.935823336005e-14       5.361754714560e-15       9.215829340370e-11       9.728953659438e-12      -8.068086539183e-15 
   40       2.349761808791e-10       1.389620008793e-14      -4.753085720656e-14       5.564687225080e-15       8.753073459617e-11       9.271086449563e-12      -8.262384771691e-15 
   41       2.366322410928e-10       1.481519502641e-14      -6.712190914826e-14       5.767351997806e-15       8.319678933074e-11       8.849058284360e-12      -8.282940720608e-15 
   42       2.383179191605e-10       1.577229445805e-14      -8.817619480272e-14       5.969486942117e-15       7.914368552174e-11       8.460513273717e-12      -8.137046953524e-15 
   43       2.400276741858e-10       1.676808357008e-14      -1.107399164659e-13       6.170837504748e-15       7.536064119301e-11       8.100789378496e-12      -7.885225684458e-15 
   44       2.417469709437e-10       1.780312532329e-14      -1.348621786603e-13       6.371149632901e-15       7.182010498927e-11       7.762766987910e-12      -7.602268905920e-15 
   45       2.434595553322e-10       1.887789159320e-14      -1.605834720545e-13       6.570165291229e-15       6.848759433844e-11       7.438969199748e-12      -7.361838093074e-15 
   46       2.451737184997e-10       1.999253445044e-14      -1.878963983439e-13       6.767607402191e-15       6.535786288364e-11       7.129034899839e-12      -7.182754887369e-15 
   47       2.469025535477e-10       2.114704476588e-14      -2.167736521606e-13       6.963190412398e-15       6.242727505357e-11       6.834174152808e-12      -7.068110231496e-15 
   48       2.486562690300e-10       2.234130931266e-14      -2.471783774739e-13       7.156624143348e-15       5.968289831536e-11       6.555035033854e-12      -7.020049319031e-15 
   49       2.504418704925e-10       2.357510583864e-14      -2.790637528477e-13       7.347613538200e-15       5.710181178876e-11       6.291655230046e-12      -7.039691764166e-15 
   50       2.522631759432e-10       2.484815769432e-14      -3.123846367961e-13       7.535871807390e-15       5.465800946351e-11       6.043606706165e-12      -7.125195560374e-15 
   51       2.541216060363e-10       2.616032663002e-14      -3.471371925709e-13       7.721164659577e-15       5.234692289590e-11       5.810588280337e-12      -7.265514629426e-15 
   52       2.560150578979e-10       2.751146381364e-14      -3.833293021660e-13       7.903277638958e-15       5.016635981829e-11       5.591910236224e-12      -7.444808838102e-15 
