# dimensionless [l(l+1)/2pi] C_l's for tensor mode
# for l=2 to 500, i.e. number of multipoles equal to 499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.445865204536e-10       2.736007649245e-15       1.692623633153e-13       4.890089257297e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    3       1.109336945365e-10       2.896193300280e-15      -8.228352666095e-15       4.925600613746e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    4       9.948765211779e-11       2.657931485303e-15      -6.170582124590e-14       4.284169812944e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    5       9.469151456173e-11       2.124485028027e-15      -7.280772977461e-14       3.356208721495e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    6       9.185913334493e-11       1.531163971568e-15      -6.922114994591e-14       2.435398234679e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    7       9.006699059185e-11       1.042399501823e-15      -6.141987772281e-14       1.683580457188e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    8       8.885537276639e-11       7.252537724918e-16      -5.402421425966e-14       1.154884919622e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    9       8.797447060590e-11       5.744896104517e-16      -4.875101117370e-14       8.372472579852e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   10       8.728009328676e-11       5.498427568308e-16      -4.593758646444e-14       6.879794525229e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   11       8.668783466835e-11       6.050270982999e-16      -4.535518776100e-14       6.580297816860e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   12       8.614871141023e-11       7.036309190149e-16      -4.660766631460e-14       7.046224924552e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   13       8.563362802314e-11       8.228838910565e-16      -4.930017185647e-14       7.964649122406e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   14       8.512449424668e-11       9.519943985618e-16      -5.311998729756e-14       9.129858207281e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   15       8.460999291588e-11       1.086864188003e-15      -5.784430750248e-14       1.042789726100e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   16       8.408339092157e-11       1.226733562960e-15      -6.331280481413e-14       1.180263245753e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   17       8.354101840436e-11       1.372354979908e-15      -6.941021703084e-14       1.322590677593e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   18       8.297502000853e-11       1.523574507408e-15      -7.605937127611e-14       1.469421914885e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   19       8.240300775038e-11       1.680264860315e-15      -8.321208470730e-14       1.620536125493e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   20       8.180535822313e-11       1.842480369661e-15      -9.080462207982e-14       1.775693059872e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   21       8.119281482324e-11       2.010014227145e-15      -9.880317632322e-14       1.934790892969e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   22       8.055983474348e-11       2.182609513452e-15      -1.071732916657e-13       2.097844801062e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   23       7.991400218683e-11       2.360121102709e-15      -1.158807150847e-13       2.264755100951e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   24       7.924913227693e-11       2.542475375363e-15      -1.248856087090e-13       2.435413309680e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   25       7.857125411712e-11       2.729613099053e-15      -1.341572233421e-13       2.609623894703e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   26       7.787701234117e-11       2.921531275422e-15      -1.436648088108e-13       2.787170527455e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   27       7.716889885908e-11       3.118334891574e-15      -1.533821362295e-13       2.967792094049e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   28       7.644283049896e-11       3.320139255624e-15      -1.632830092425e-13       3.151225555181e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   29       7.570680165006e-11       3.526762379432e-15      -1.733439490260e-13       3.337247694856e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   30       7.496170953554e-11       3.737898645621e-15      -1.835409096326e-13       3.525661633426e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   31       7.419924491262e-11       3.953210069449e-15      -1.938490348055e-13       3.716275665846e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   32       7.342469696001e-11       4.172399048567e-15      -2.042467272361e-13       3.908846623557e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   33       7.264038856014e-11       4.395157854772e-15      -2.147130948402e-13       4.103115661570e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   34       7.184245437191e-11       4.621173266147e-15      -2.252274146475e-13       4.298828054945e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   35       7.103428675133e-11       4.850216406821e-15      -2.357708398560e-13       4.495751747648e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   36       7.021627405693e-11       5.082083486096e-15      -2.463253901730e-13       4.693665665779e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
