# PT power spectra for matter and bias tracers P(k), P_CTR(k) (for c_s^2 = 1 (Mpc/h)^2 ), Id2d2(k), Id2(k), IG2(k), Id2G2(k), IG2G2(k), IFG2(k) at redshift z=0
# for k=1.03892e-05 to 108.968 h/Mpc,
# number of wavenumbers equal to 813
#    1:k (h/Mpc)           2:P_lin + P_1loop (Mpc/h)^3     3:P_CTR (Mpc/h)^3        4:Id2d2 (Mpc/h)^3        5:Id2 (Mpc/h)^3          6:IG2 (Mpc/h)^3          7:Id2G2 (Mpc/h)^3        8:IG2G2 (Mpc/h)^3        9:IFG2 (Mpc/h)^3     
       1.038922642939e-05       5.211100324386e+01      -5.624654603399e-09      -5.211100336195e+01       0.000000000000e+00      -5.211100336195e+01      -5.211100336195e+01       5.211100336195e+01      -5.211100336195e+01 
       2.321812845909e-05       1.129438575474e+02      -6.088594365498e-08      -1.129438587418e+02       0.000000000000e+00      -1.129438587418e+02      -1.129438587418e+02       1.129438587418e+02      -1.129438587418e+02 
       3.609173376214e-05       1.726376673403e+02      -2.248801200238e-07      -1.726376712794e+02       0.000000000000e+00      -1.726376712794e+02      -1.726376712794e+02       1.726376712794e+02      -1.726376712794e+02 
       4.904439972694e-05       2.318627351523e+02      -5.577117873545e-07      -2.318627468027e+02       0.000000000000e+00      -2.318627468027e+02      -2.318627468027e+02       2.318627468027e+02      -2.318627468027e+02 
       6.211104704304e-05       2.909954797912e+02      -1.122597271693e-06      -2.909955019027e+02       0.000000000000e+00      -2.909955019027e+02      -2.909955019027e+02       2.909955019027e+02      -2.909955019027e+02 
       7.532746857735e-05       3.503150093816e+02      -1.987767316571e-06      -3.503150498283e+02       0.000000000000e+00      -3.503150498283e+02      -3.503150498283e+02       3.503150498283e+02      -3.503150498283e+02 
       8.873064804491e-05       4.100580736023e+02      -3.228440211152e-06      -4.100581397177e+02       0.000000000000e+00      -4.100581397177e+02      -4.100581397177e+02       4.100581397177e+02      -4.100581397177e+02 
       1.023590926816e-04       4.704414309804e+02      -4.928996547562e-06      -4.704415333656e+02       0.000000000000e+00      -4.704415333656e+02      -4.704415333656e+02       4.704415333656e+02      -4.704415333656e+02 
       1.162531841578e-04       5.316732831042e+02      -7.185461661483e-06      -5.316734314219e+02       0.000000000000e+00      -5.316734314219e+02      -5.316734314219e+02       5.316734314219e+02      -5.316734314219e+02 
       1.304555520066e-04       5.939601115435e+02      -1.010840356329e-05      -5.939603200798e+02       0.000000000000e+00      -5.939603200798e+02      -5.939603200798e+02       5.939603200798e+02      -5.939603200798e+02 
       1.450114738457e-04       6.575113840204e+02      -1.382637081416e-05      -6.575116739578e+02       0.000000000000e+00      -6.575116739578e+02      -6.575116739578e+02       6.575116739578e+02      -6.575116739578e+02 
       1.599693066204e-04       7.225431981685e+02      -1.849001989215e-05      -7.225435817014e+02       0.000000000000e+00      -7.225435817014e+02      -7.225435817014e+02       7.225435817014e+02      -7.225435817014e+02 
       1.753809529236e-04       7.892812928573e+02      -2.427710748827e-05      -7.892817997030e+02       0.000000000000e+00      -7.892817997030e+02      -7.892817997030e+02       7.892817997030e+02      -7.892817997030e+02 
       1.913023661048e-04       8.579638608145e+02      -3.139858019364e-05      -8.579645188351e+02       0.000000000000e+00      -8.579645188351e+02      -8.579645188351e+02       8.579645188351e+02      -8.579645188351e+02 
       2.077940972509e-04       9.288441580025e+02      -4.010602893670e-05      -9.288449950828e+02       0.000000000000e+00      -9.288449950828e+02      -9.288449950828e+02       9.288449950828e+02      -9.288449950828e+02 
       2.249218861033e-04       1.002193076265e+03      -5.070085656450e-05      -1.002194133577e+03       0.000000000000e+00      -1.002194133577e+03      -1.002194133577e+03       1.002194133577e+03      -1.002194133577e+03 
       2.427572963948e-04       1.078301740409e+03      -6.354559215493e-05      -1.078303066152e+03       0.000000000000e+00      -1.078303066152e+03      -1.078303066152e+03       1.078303066152e+03      -1.078303066152e+03 
       2.613783937365e-04       1.157484104314e+03      -7.907788220619e-05      -1.157485756588e+03       0.000000000000e+00      -1.157485756588e+03      -1.157485756588e+03       1.157485756588e+03      -1.157485756588e+03 
       2.808704608154e-04       1.240079529835e+03      -9.782782357956e-05      -1.240081575184e+03       0.000000000000e+00      -1.240081575184e+03      -1.240081575184e+03       1.240081575184e+03      -1.240081575184e+03 
       3.013267399410e-04       1.326455343675e+03      -1.204394617886e-04      -1.326457863161e+03       0.000000000000e+00      -1.326457863161e+03      -1.326457863161e+03       1.326457863161e+03      -1.326457863161e+03 
       3.228491865615e-04       1.417009264201e+03      -1.476974611757e-04      -1.417012354126e+03       0.000000000000e+00      -1.417012354126e+03      -1.417012354126e+03       1.417012354126e+03      -1.417012354126e+03 
       3.455492088575e-04       1.512171599683e+03      -1.805601752632e-04      -1.512175377213e+03       0.000000000000e+00      -1.512175377213e+03      -1.512175377213e+03       1.512175377213e+03      -1.512175377213e+03 
       3.695483575494e-04       1.612407040757e+03      -2.202005899093e-04      -1.612411646733e+03       0.000000000000e+00      -1.612411646733e+03      -1.612411646733e+03       1.612411646733e+03      -1.612411646733e+03 
       3.949789163640e-04       1.718215844330e+03      -2.680568826057e-04      -1.718221450467e+03       0.000000000000e+00      -1.718221450467e+03      -1.718221450467e+03       1.718221450467e+03      -1.718221450467e+03 
       4.219843271948e-04       1.830134104300e+03      -3.258946051614e-04      -1.830140918246e+03       0.000000000000e+00      -1.830140918246e+03      -1.830140918246e+03       1.830140918246e+03      -1.830140918246e+03 
       4.507193653101e-04       1.948732779272e+03      -3.958827404686e-04      -1.948741054706e+03       0.000000000000e+00      -1.948741054706e+03      -1.948741054706e+03       1.948741054706e+03      -1.948741054706e+03 
