# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 5500, i.e. number of multipoles equal to 5499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       2.867173424893e-10       7.832487336226e-15       5.600619477836e-13       4.820520023190e-15       8.251949144857e-09       4.776378475813e-10      -2.071094443493e-12 
    3       2.452644830697e-10       1.012404008159e-14       4.541094532684e-13       4.846633618692e-15       5.132332600389e-09       3.389020025378e-10      -1.656449208463e-12 
    4       2.260293479391e-10       9.658966438547e-15       3.885003135708e-13       4.207078057377e-15       3.574811690825e-09       2.565928877349e-10      -1.174671094213e-12 
    5       2.152048586981e-10       7.426390007269e-15       3.251849708189e-13       3.288867196992e-15       2.668775491263e-09       2.026241944717e-10      -7.450917287382e-13 
    6       2.080948625562e-10       4.868143626552e-15       2.624966712537e-13       2.381578591587e-15       2.083496030097e-09       1.648188571754e-10      -4.032485113295e-13 
    7       2.034530471565e-10       2.913903063003e-15       2.059387571837e-13       1.643347284570e-15       1.679818616143e-09       1.371452080943e-10      -1.578520236382e-13 
    8       2.004258494369e-10       1.797599461653e-15       1.590939202736e-13       1.126208517868e-15       1.388247490895e-09       1.161537069261e-10      -2.421232542426e-15 
    9       1.985342119441e-10       1.320394894207e-15       1.236103882774e-13       8.171198759642e-16       1.169613034996e-09       9.974639562247e-11       7.807432230599e-14 
   10       1.974317419764e-10       1.179641445008e-15       9.945703636783e-14       6.732527984653e-16       1.000441439095e-09       8.667632639456e-11       1.028301694569e-13 
   11       1.968906034376e-10       1.163409118267e-15       8.531241103142e-14       6.462329771307e-16       8.420820030032e-10       7.641563488401e-11       9.163839348054e-14 
   12       1.968093599350e-10       1.187712767332e-15       7.896716513457e-14       6.936263785321e-16       7.357665792261e-10       6.766806874475e-11       6.222983166047e-14 
   13       1.970104554616e-10       1.243864485478e-15       7.786211073938e-14       7.850093208634e-16       6.484964665015e-10       6.040090658872e-11       2.813890541438e-14 
   14       1.973986575490e-10       1.341184504453e-15       7.973613204299e-14       9.002120145637e-16       5.758833831136e-10       5.409869147022e-11      -1.838135428796e-15 
   15       1.979848143469e-10       1.477966103712e-15       8.283316502083e-14       1.028273002836e-15       5.147648520001e-10       4.880219100002e-11      -2.274786802406e-14 
   16       1.987646435467e-10       1.643611754990e-15       8.586672416487e-14       1.163635934815e-15       4.628012249267e-10       4.432260254695e-11      -3.353136700223e-14 
   17       1.995927099163e-10       1.829231545782e-15       8.818384797497e-14       1.303910800761e-15       4.182260241839e-10       4.045988394737e-11      -3.554347966286e-14 
   18       2.005179129097e-10       2.033115295950e-15       8.965179902617e-14       1.448567132059e-15       3.795364026222e-10       3.698070839686e-11      -3.167247037251e-14 
   19       2.015707535711e-10       2.259285561300e-15       9.040842769542e-14       1.597371977014e-15       3.461202493701e-10       3.388152741231e-11      -2.449239882388e-14 
   20       2.026526010460e-10       2.512864779881e-15       9.069622186976e-14       1.750198122654e-15       3.166890849638e-10       3.116641662126e-11      -1.690521627724e-14 
   21       2.037872878133e-10       2.795443049818e-15       9.078344894733e-14       1.906932926260e-15       2.907808426688e-10       2.880152331035e-11      -1.050945458471e-14 
   22       2.049783569770e-10       3.106761453085e-15       9.092209522809e-14       2.067538084049e-15       2.677761005255e-10       2.669808763751e-11      -6.425914610233e-15 
   23       2.062199006343e-10       3.445685800763e-15       9.108884085405e-14       2.231907911461e-15       2.473584568263e-10       2.481027272143e-11      -4.802776821413e-15 
   24       2.074679737115e-10       3.810531773210e-15       9.112085676383e-14       2.399944677755e-15       2.290556908627e-10       2.308585960377e-11      -5.281808054457e-15 
   25       2.087459026848e-10       4.201213708664e-15       9.080378674540e-14       2.571466544520e-15       2.126528228223e-10       2.152069045972e-11      -7.177846696182e-15 
   26       2.100673757501e-10       4.618058025719e-15       8.986295110822e-14       2.746272510052e-15       1.978534305159e-10       2.011041300697e-11      -9.568990515465e-15 
   27       2.114274794931e-10       5.061605838247e-15       8.802509743006e-14       2.924112275304e-15       1.844800438294e-10       1.884316092970e-11      -1.171154354814e-14 
   28       2.127986177147e-10       5.532461160930e-15       8.502214397749e-14       3.104732119023e-15       1.723020281452e-10       1.769500933897e-11      -1.295373930976e-14 
   29       2.141947247351e-10       6.031444575907e-15       8.076462169703e-14       3.287915841721e-15       1.612571125594e-10       1.665375053836e-11      -1.326824280046e-14 
   30       2.156204177588e-10       6.559444047505e-15       7.522701046005e-14       3.473472592279e-15       1.512265856683e-10       1.569876964466e-11      -1.287828627017e-14 
