# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 5000, i.e. number of multipoles equal to 4999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       2.867178275745e-10       7.832747210483e-15       5.600619436862e-13       4.820779897449e-15       8.251949144857e-09       4.776378475813e-10      -2.071094443493e-12 
    3       2.452654497610e-10       1.012455998345e-14       4.541094350294e-13       4.847153520577e-15       5.132332600389e-09       3.389020025378e-10      -1.656449208463e-12 
    4       2.260309514663e-10       9.659833274413e-15       3.885002612436e-13       4.207944893360e-15       3.574811690825e-09       2.565928877349e-10      -1.174671094213e-12 
    5       2.152072499451e-10       7.427690866032e-15       3.251848518406e-13       3.290168056189e-15       2.668775491263e-09       2.026241944717e-10      -7.450917287382e-13 
    6       2.080981872174e-10       4.869965807118e-15       2.624964378408e-13       2.383400773435e-15       2.083496030097e-09       1.648188571754e-10      -4.032485113295e-13 
    7       2.034574450430e-10       2.916334090880e-15       2.059383440612e-13       1.645778315720e-15       1.679818616143e-09       1.371452080943e-10      -1.578520236382e-13 
    8       2.004314539486e-10       1.800727093523e-15       1.590932427802e-13       1.129336157231e-15       1.388247490895e-09       1.161537069261e-10      -2.421232542426e-15 
    9       1.985411497194e-10       1.324307109884e-15       1.236093408759e-13       8.210321074175e-16       1.169613034996e-09       9.974639562247e-11       7.807432230599e-14 
   10       1.974401327250e-10       1.184426426720e-15       9.945549157516e-14       6.780378112576e-16       1.000441439095e-09       8.667632639456e-11       1.028301694569e-13 
   11       1.969005599540e-10       1.169155217731e-15       8.531021877170e-14       6.519791345761e-16       8.420820030032e-10       7.641563488401e-11       9.163839348054e-14 
   12       1.968209882861e-10       1.194508461591e-15       7.896415250329e-14       7.004221761259e-16       7.357665792261e-10       6.766806874475e-11       6.222983166047e-14 
   13       1.970238553328e-10       1.251798322917e-15       7.785808215765e-14       7.929433354231e-16       6.484964665015e-10       6.040090658872e-11       2.813890541438e-14 
   14       1.974139227316e-10       1.350345042806e-15       7.973086976911e-14       9.093728464173e-16       5.758833831136e-10       5.409869147022e-11      -1.838135428796e-15 
   15       1.980020333413e-10       1.488441842153e-15       8.282642997905e-14       1.038749213403e-15       5.147648520001e-10       4.880219100002e-11      -2.274786802406e-14 
   16       1.987839002548e-10       1.655491062612e-15       8.585825704487e-14       1.175515982149e-15       4.628012249267e-10       4.432260254695e-11      -3.353136700223e-14 
   17       1.996140843929e-10       1.842602588852e-15       8.817337055247e-14       1.317282975744e-15       4.182260241839e-10       4.045988394737e-11      -3.554347966286e-14 
   18       2.005414821559e-10       2.048065965088e-15       8.963901567677e-14       1.463519496560e-15       3.795364026222e-10       3.698070839686e-11      -3.167247037251e-14 
   19       2.015965922525e-10       2.275903408015e-15       9.039302691566e-14       1.613992314727e-15       3.461202493701e-10       3.388152741231e-11      -2.449239882388e-14 
   20       2.026807823333e-10       2.531236945399e-15       9.067787812472e-14       1.768573883346e-15       3.166890849638e-10       3.116641662126e-11      -1.690521627724e-14 
   21       2.038178839485e-10       2.815656218018e-15       9.076182422056e-14       1.927151199728e-15       2.907808426688e-10       2.880152331035e-11      -1.050945458471e-14 
