# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 5000, i.e. number of multipoles equal to 4999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       2.805297781708e-10       7.579583259298e-15       5.418556323617e-13       4.844546393263e-15       8.031812684531e-09       4.554600891127e-10      -1.970215385948e-12 
    3       2.393707989162e-10       9.802698677459e-15       4.314684934305e-13       4.874175695102e-15       5.013360068585e-09       3.240173388725e-10      -1.582257103123e-12 
    4       2.206746828112e-10       9.386970247496e-15       3.668658496401e-13       4.236199144869e-15       3.498180306251e-09       2.457064730322e-10      -1.126601247404e-12 
    5       2.103407883760e-10       7.252060298628e-15       3.066887261217e-13       3.316897011461e-15       2.615089777465e-09       1.943448447186e-10      -7.179097807984e-13 
    6       2.036130959693e-10       4.779528128215e-15       2.476494195201e-13       2.406152080085e-15       2.043774211870e-09       1.583361771081e-10      -3.910645579988e-13 
    7       1.992498656986e-10       2.874756193617e-15       1.943925688412e-13       1.663339623435e-15       1.648977216323e-09       1.318484462243e-10      -1.552308137355e-13 
    8       1.964175141245e-10       1.777205825730e-15       1.502084216218e-13       1.141466619711e-15       1.363481918773e-09       1.117043884688e-10      -4.900259043382e-15 
    9       1.946901093910e-10       1.303856400290e-15       1.166665947380e-13       8.282940054665e-16       1.149400603569e-09       9.603477529225e-11       7.377092894228e-14 
   10       1.937517641761e-10       1.164048177079e-15       9.374204232144e-14       6.814787880652e-16       9.837930617754e-10       8.358443299416e-11       9.878401109749e-14 
   11       1.933048171092e-10       1.150344312880e-15       8.023639014325e-14       6.524983815823e-16       8.276575168370e-10       7.366365196998e-11       8.882478584261e-14 
   12       1.932765346430e-10       1.177772968639e-15       7.411593135999e-14       6.990927657100e-16       7.234746286261e-10       6.525762025903e-11       6.105329278583e-14 
   13       1.935309887930e-10       1.236296845689e-15       7.304567517974e-14       7.903704422737e-16       6.379174537532e-10       5.818244272951e-11       2.813978820644e-14 
   14       1.939954715203e-10       1.334586864202e-15       7.484946010521e-14       9.060379997194e-16       5.666992782287e-10       5.224104120096e-11      -9.410954807089e-16 
   15       1.946418179200e-10       1.471492977841e-15       7.773795384708e-14       1.034858609868e-15       5.067347803536e-10       4.721643192412e-11      -2.145592110200e-14 
   16       1.953912026517e-10       1.636807369211e-15       8.058761817876e-14       1.171299709646e-15       4.557352033375e-10       4.288749990011e-11      -3.223299234795e-14 
   17       1.962942139139e-10       1.821949203419e-15       8.278204967389e-14       1.312589335731e-15       4.119708830446e-10       3.903046073589e-11      -3.467586334542e-14 
   18       1.972574088441e-10       2.024713769757e-15       8.406781600183e-14       1.458382564827e-15       3.739723554245e-10       3.567478881491e-11      -3.116015794684e-14 
   19       1.982978952093e-10       2.248928854820e-15       8.460509470678e-14       1.608462818070e-15       3.411434376948e-10       3.277570376428e-11      -2.416958058895e-14 
   20       1.993870557907e-10       2.499745068959e-15       8.471334728984e-14       1.762594959273e-15       3.122214779287e-10       3.016788163721e-11      -1.672665472551e-14 
