# dimensionless [l(l+1)/2pi] C_l's for scalar mode
# for l=2 to 5500, i.e. number of multipoles equal to 5499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.370366454236e-10       4.870386557513e-15       3.732674137019e-13       0.000000000000e+00       8.031812684531e-09       4.554600891127e-10      -1.970215385948e-12 
    3       1.294717462225e-10       6.939666834500e-15       4.392372384845e-13       0.000000000000e+00       5.013360068585e-09       3.240173388725e-10      -1.582257103123e-12 
    4       1.222246698054e-10       6.761314061649e-15       4.276969542294e-13       0.000000000000e+00       3.498180306251e-09       2.457064730322e-10      -1.126601247404e-12 
    5       1.167094211656e-10       5.154136204455e-15       3.785432339154e-13       0.000000000000e+00       2.615089777465e-09       1.943448447186e-10      -7.179097807984e-13 
    6       1.128374807237e-10       3.267599269201e-15       3.159744842546e-13       0.000000000000e+00       2.043774211870e-09       1.583361771081e-10      -3.910645579988e-13 
    7       1.102891817362e-10       1.845053387682e-15       2.550131214691e-13       0.000000000000e+00       1.648977216323e-09       1.318484462243e-10      -1.552308137355e-13 
    8       1.086898084322e-10       1.060050106188e-15       2.035216242209e-13       0.000000000000e+00       1.363481918773e-09       1.117043884688e-10      -4.900259043382e-15 
    9       1.078627521877e-10       7.349342244020e-16       1.647668277031e-13       0.000000000000e+00       1.149400603569e-09       9.603477529225e-11       7.377092894228e-14 
   10       1.076360532299e-10       6.188789722567e-16       1.390566083085e-13       0.000000000000e+00       9.837930617754e-10       8.358443299416e-11       9.878401109749e-14 
   11       1.077963729958e-10       5.501482370128e-16       1.249662256691e-13       0.000000000000e+00       8.276575168370e-10       7.366365196998e-11       8.882478584261e-14 
   12       1.083200048351e-10       4.796907541288e-16       1.200704563362e-13       0.000000000000e+00       7.234746286261e-10       6.525762025903e-11       6.105329278583e-14 
   13       1.091002196774e-10       4.199188275797e-16       1.216443075092e-13       0.000000000000e+00       6.379174537532e-10       5.818244272951e-11       2.813978820644e-14 
   14       1.100825208837e-10       3.901393483916e-16       1.272028006143e-13       0.000000000000e+00       5.666992782287e-10       5.224104120096e-11      -9.410954807089e-16 
   15       1.112501871923e-10       3.932388121126e-16       1.347365997501e-13       0.000000000000e+00       5.067347803536e-10       4.721643192412e-11      -2.145592110200e-14 
   16       1.125312555668e-10       4.197563999555e-16       1.429639028508e-13       0.000000000000e+00       4.557352033375e-10       4.288749990011e-11      -3.223299234795e-14 
   17       1.139801123479e-10       4.603706223196e-16       1.511545554406e-13       0.000000000000e+00       4.119708830446e-10       3.903046073589e-11      -3.467586334542e-14 
   18       1.155112245148e-10       5.130266410719e-16       1.589789502327e-13       0.000000000000e+00       3.739723554245e-10       3.567478881491e-11      -3.116015794684e-14 
   19       1.171244055199e-10       5.816769797509e-16       1.665497530969e-13       0.000000000000e+00       3.411434376948e-10       3.277570376428e-11      -2.416958058895e-14 
