# dimensionless [l(l+1)/2pi] C_l's for tensor mode
# for l=2 to 500, i.e. number of multipoles equal to 499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.434926540484e-10       2.708935980227e-15       1.685882225767e-13       4.844285671703e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    3       1.098980987212e-10       2.862510250457e-15      -7.768727617954e-15       4.873654102575e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    4       9.844843055776e-11       2.624786540883e-15      -6.083105456355e-14       4.235329499778e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    5       9.362900736271e-11       2.096619037552e-15      -7.185439404201e-14       3.315591954377e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    6       9.077233418174e-11       1.510100827159e-15      -6.832484156091e-14       2.404324046873e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    7       8.895634365539e-11       1.027264014873e-15      -6.062015759821e-14       1.660900828943e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    8       8.772217442347e-11       7.140181606352e-16      -5.331255472125e-14       1.138329053032e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    9       8.682050990517e-11       5.649976238913e-16      -4.809923125237e-14       8.243694372688e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   10       8.610742936601e-11       5.403692383181e-16      -4.531308842229e-14       6.766787899470e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   11       8.549861679670e-11       5.944321096001e-16      -4.472773842576e-14       6.467343568623e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   12       8.494505191245e-11       6.912655426683e-16      -4.595164274818e-14       6.922759905469e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   13       8.441754206760e-11       8.084198671502e-16      -4.859477759919e-14       7.824121155374e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   14       8.389788164877e-11       9.352591050475e-16      -5.234830458857e-14       8.968492996320e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   15       8.337463220248e-11       1.067746773616e-15      -5.699219956166e-14       1.024350755113e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   16       8.284093593076e-11       1.205136003104e-15      -6.236817916648e-14       1.159384022424e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   17       8.229299845484e-11       1.348167647887e-15      -6.836247408327e-14       1.299177304138e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   18       8.172291291376e-11       1.496692105829e-15      -7.489889251388e-14       1.443385903258e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   19       8.114797589418e-11       1.650584971899e-15      -8.192990738159e-14       1.591793515144e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
