# PT power spectra for matter and bias tracers P(k), P_CTR(k) (for c_s^2 = 1 (Mpc/h)^2 ), Id2d2(k), Id2(k), IG2(k), Id2G2(k), IG2G2(k), IFG2(k) at redshift z=0
# for k=1.03892e-05 to 108.968 h/Mpc,
# number of wavenumbers equal to 813
#    1:k (h/Mpc)           2:P_lin + P_1loop (Mpc/h)^3     3:P_CTR (Mpc/h)^3        4:Id2d2 (Mpc/h)^3        5:Id2 (Mpc/h)^3          6:IG2 (Mpc/h)^3          7:Id2G2 (Mpc/h)^3        8:IG2G2 (Mpc/h)^3        9:IFG2 (Mpc/h)^3     
       1.038922642939e-05       4.698341193964e+01      -5.071202774609e-09      -4.698341204401e+01       0.000000000000e+00      -4.698341204401e+01      -4.698341204401e+01       4.698341204401e+01      -4.698341204401e+01 
       2.321812845909e-05       1.026212056294e+02      -5.532119299631e-08      -1.026212067098e+02       0.000000000000e+00      -1.026212067098e+02      -1.026212067098e+02       1.026212067098e+02      -1.026212067098e+02 
       3.609173376214e-05       1.575262258733e+02      -2.051957550763e-07      -1.575262295408e+02       0.000000000000e+00      -1.575262295408e+02      -1.575262295408e+02       1.575262295408e+02      -1.575262295408e+02 
       4.904439972694e-05       2.121921623956e+02      -5.103971103940e-07      -2.121921728572e+02       0.000000000000e+00      -2.121921728572e+02      -2.121921728572e+02       2.121921728572e+02      -2.121921728572e+02 
       6.211104704304e-05       2.669139904297e+02      -1.029696119924e-06      -2.669140105623e+02       0.000000000000e+00      -2.669140105623e+02      -2.669140105623e+02       2.669140105623e+02      -2.669140105623e+02 
       7.532746857735e-05       3.219213381387e+02      -1.826655139046e-06      -3.219213747806e+02       0.000000000000e+00      -3.219213747806e+02      -3.219213747806e+02       3.219213747806e+02      -3.219213747806e+02 
       8.873064804491e-05       3.774161607921e+02      -2.971446200025e-06      -3.774162206947e+02       0.000000000000e+00      -3.774162206947e+02      -3.774162206947e+02       3.774162206947e+02      -3.774162206947e+02 
       1.023590926816e-04       4.335883193454e+02      -4.542872243269e-06      -4.335884119936e+02       0.000000000000e+00      -4.335884119936e+02      -4.335884119936e+02       4.335884119936e+02      -4.335884119936e+02 
       1.162531841578e-04       4.906237556192e+02      -6.630685188426e-06      -4.906238901132e+02       0.000000000000e+00      -4.906238901132e+02      -4.906238901132e+02       4.906238901132e+02      -4.906238901132e+02 
       1.304555520066e-04       5.487095526723e+02      -9.338299733294e-06      -5.487097420030e+02       0.000000000000e+00      -5.487097420030e+02      -5.487097420030e+02       5.487097420030e+02      -5.487097420030e+02 
       1.450114738457e-04       6.080375683268e+02      -1.278601865021e-05      -6.080378311631e+02       0.000000000000e+00      -6.080378311631e+02      -6.080378311631e+02       6.080378311631e+02      -6.080378311631e+02 
       1.599693066204e-04       6.688073753951e+02      -1.711490961551e-05      -6.688077240027e+02       0.000000000000e+00      -6.688077240027e+02      -6.688077240027e+02       6.688077240027e+02      -6.688077240027e+02 
       1.753809529236e-04       7.312287958429e+02      -2.249149955362e-05      -7.312292564721e+02       0.000000000000e+00      -7.312292564721e+02      -7.312292564721e+02       7.312292564721e+02      -7.312292564721e+02 
       1.913023661048e-04       7.955243423781e+02      -2.911350422832e-05      -7.955249405111e+02       0.000000000000e+00      -7.955249405111e+02      -7.955249405111e+02       7.955249405111e+02      -7.955249405111e+02 
