# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 5000, i.e. number of multipoles equal to 4999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       2.856499403655e-10       7.947242377749e-15       5.666302631857e-13       4.885251665005e-15       8.369857093129e-09       4.683805360006e-10      -2.088009307445e-12 
    3       2.440664974608e-10       1.029704504253e-14       4.582090007609e-13       4.920931939913e-15       5.168720199239e-09       3.324473015571e-10      -1.672548769015e-12 
    4       2.250255688893e-10       9.855241421086e-15       3.918161139642e-13       4.280241885866e-15       3.593642755971e-09       2.518805636828e-10      -1.188873046270e-12 
    5       2.143470093900e-10       7.602926096053e-15       3.278900917853e-13       3.353000668598e-15       2.680616462138e-09       1.990402843414e-10      -7.568766502889e-13 
    6       2.073506706018e-10       4.999137306443e-15       2.646693476044e-13       2.432612150557e-15       2.093322835690e-09       1.620397119748e-10      -4.123582895262e-13 
    7       2.027931176027e-10       2.995790095065e-15       2.075886345202e-13       1.680727025187e-15       1.689029483996e-09       1.348793926318e-10      -1.642289152030e-13 
    8       1.998093909604e-10       1.842266875529e-15       1.602696916831e-13       1.151487074900e-15       1.396357028509e-09       1.142188979360e-10      -6.228306112767e-15 
    9       1.979643672448e-10       1.343816031619e-15       1.243727104703e-13       8.330441760996e-16       1.176327176345e-09       9.811059248992e-11       7.644512011256e-14 
   10       1.969241621522e-10       1.194063607268e-15       9.986520684148e-14       6.826361933598e-16       1.005955925327e-09       8.531321691435e-11       1.028075642880e-13 
   11       1.964091997251e-10       1.174799795635e-15       8.544636682798e-14       6.515283561670e-16       8.463965770773e-10       7.521395971030e-11       9.253518573325e-14 
   12       1.963396156977e-10       1.197516692455e-15       7.891325892059e-14       6.967154078746e-16       7.394943312434e-10       6.659625706405e-11       6.357055086851e-14 
   13       1.965549100437e-10       1.251901229722e-15       7.772710771409e-14       7.871930599721e-16       6.517484118666e-10       5.937097187692e-11       2.930836383311e-14 
   14       1.969755543729e-10       1.347543838396e-15       7.961261728615e-14       9.022084900856e-16       5.787423582778e-10       5.324894842970e-11      -1.008785700520e-15 
   15       1.975952752827e-10       1.483102700710e-15       8.273822937646e-14       1.030572317115e-15       5.172983358687e-10       4.808786218223e-11      -2.239806426717e-14 
   16       1.983458818470e-10       1.648075622784e-15       8.582405963482e-14       1.166423618295e-15       4.650615405852e-10       4.367066752710e-11      -3.364422135234e-14 
   17       1.992171126734e-10       1.833146239006e-15       8.819453849670e-14       1.307226518317e-15       4.202535691470e-10       3.977957234098e-11      -3.613975039130e-14 
   18       2.001674348196e-10       2.036136418143e-15       8.964901577375e-14       1.452488312937e-15       3.813630739006e-10       3.636320189875e-11      -3.248245226637e-14 
   19       2.012150217146e-10       2.261061306342e-15       9.036394949957e-14       1.601947412499e-15       3.477749593129e-10       3.337890139687e-11      -2.527104418089e-14 
   20       2.023021532003e-10       2.513210560530e-15       9.065225748835e-14       1.755424487400e-15       3.181937531831e-10       3.070134494029e-11      -1.759698718150e-14 
   21       2.034481135395e-10       2.794344531130e-15       9.073600568365e-14       1.912865965807e-15       2.921546543993e-10       2.832904244507e-11      -1.111354528430e-14 
