# dimensionless [l(l+1)/2pi] C_l's for scalar mode
# for l=2 to 5500, i.e. number of multipoles equal to 5499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.433841970089e-10       5.213017179024e-15       3.981585587419e-13       0.000000000000e+00       8.369857093129e-09       4.683805360006e-10      -2.088009307445e-12 
    3       1.352039127987e-10       7.403222308775e-15       4.663566876797e-13       0.000000000000e+00       5.168720199239e-09       3.324473015571e-10      -1.672548769015e-12 
    4       1.274066914676e-10       7.199376647698e-15       4.528866044308e-13       0.000000000000e+00       3.593642755971e-09       2.518805636828e-10      -1.188873046270e-12 
    5       1.214561802782e-10       5.480251425954e-15       3.999465985588e-13       0.000000000000e+00       2.680616462138e-09       1.990402843414e-10      -7.568766502889e-13 
    6       1.172505454298e-10       3.469898714629e-15       3.331347664100e-13       0.000000000000e+00       2.093322835690e-09       1.620397119748e-10      -4.123582895262e-13 
    7       1.144566841176e-10       1.955821399851e-15       2.682871986711e-13       0.000000000000e+00       1.689029483996e-09       1.348793926318e-10      -1.642289152030e-13 
    8       1.126648891461e-10       1.120253435030e-15       2.136023213220e-13       0.000000000000e+00       1.396357028509e-09       1.142188979360e-10      -6.228306112767e-15 
    9       1.116860988225e-10       7.736857530413e-16       1.724371144077e-13       0.000000000000e+00       1.176327176345e-09       9.811059248992e-11       7.644512011256e-14 
   10       1.113281547372e-10       6.497483234449e-16       1.450942413596e-13       0.000000000000e+00       1.005955925327e-09       8.531321691435e-11       1.028075642880e-13 
   11       1.113942775552e-10       5.766953820374e-16       1.300493900118e-13       0.000000000000e+00       8.463965770773e-10       7.521395971030e-11       9.253518573325e-14 
   12       1.118527687388e-10       5.021117851575e-16       1.247003718719e-13       0.000000000000e+00       7.394943312434e-10       6.659625706405e-11       6.357055086851e-14 
