# PT power spectra for matter and bias tracers P(k), P_CTR(k) (for c_s^2 = 1 (Mpc/h)^2 ), Id2d2(k), Id2(k), IG2(k), Id2G2(k), IG2G2(k), IFG2(k) at redshift z=0
# for k=1.03956e-05 to 109.111 h/Mpc,
# number of wavenumbers equal to 813
#    1:k (h/Mpc)           2:P_lin + P_1loop (Mpc/h)^3     3:P_CTR (Mpc/h)^3        4:Id2d2 (Mpc/h)^3        5:Id2 (Mpc/h)^3          6:IG2 (Mpc/h)^3          7:Id2G2 (Mpc/h)^3        8:IG2G2 (Mpc/h)^3        9:IFG2 (Mpc/h)^3     
       1.039564326216e-05       5.107545761552e+01      -5.519694011948e-09      -5.107545772900e+01       0.000000000000e+00      -5.107545772900e+01      -5.107545772900e+01       5.107545772900e+01      -5.107545772900e+01 
       2.324005029469e-05       1.107341774544e+02      -5.980752305314e-08      -1.107341786068e+02       0.000000000000e+00      -1.107341786068e+02      -1.107341786068e+02       1.107341786068e+02      -1.107341786068e+02 
       3.612930635646e-05       1.692758566093e+02      -2.209603160224e-07      -1.692758603776e+02       0.000000000000e+00      -1.692758603776e+02      -1.692758603776e+02       1.692758603776e+02      -1.692758603776e+02 
       4.909789395017e-05       2.273584515318e+02      -5.480710358280e-07      -2.273584627513e+02       0.000000000000e+00      -2.273584627513e+02      -2.273584627513e+02       2.273584627513e+02      -2.273584627513e+02 
       6.218086214376e-05       2.853515323217e+02      -1.103300272732e-06      -2.853515535582e+02       0.000000000000e+00      -2.853515535582e+02      -2.853515535582e+02       2.853515535582e+02      -2.853515535582e+02 
       7.541413732903e-05       3.435292192721e+02      -1.953751258577e-06      -3.435292581406e+02       0.000000000000e+00      -3.435292581406e+02      -3.435292581406e+02       3.435292581406e+02      -3.435292581406e+02 
       8.883484385548e-05       4.021240916779e+02      -3.173414868238e-06      -4.021241553245e+02       0.000000000000e+00      -4.021241553245e+02      -4.021241553245e+02       4.021241553245e+02      -4.021241553245e+02 
       1.024816387820e-04       4.613491453276e+02      -4.845314127450e-06      -4.613492439191e+02       0.000000000000e+00      -4.613492439191e+02      -4.613492439191e+02       4.613492439191e+02      -4.613492439191e+02 
       1.163950650215e-04       5.214090154976e+02      -7.063952878514e-06      -5.214091582877e+02       0.000000000000e+00      -5.214091582877e+02      -5.214091582877e+02       5.214091582877e+02      -5.214091582877e+02 
       1.306179271866e-04       5.825066925717e+02      -9.938175234330e-06      -5.825068932127e+02       0.000000000000e+00      -5.825068932127e+02      -5.825068932127e+02       5.825068932127e+02      -5.825068932127e+02 
       1.451956944530e-04       6.448481437933e+02      -1.359455880147e-05      -6.448484229484e+02       0.000000000000e+00      -6.448484229484e+02      -6.448484229484e+02       6.448484229484e+02      -6.448484229484e+02 
       1.601769346991e-04       7.086458981721e+02      -1.818148980118e-05      -7.086462672911e+02       0.000000000000e+00      -7.086462672911e+02      -7.086462672911e+02       7.086462672911e+02      -7.086462672911e+02 
       1.756137840119e-04       7.741220087471e+02      -2.387409359973e-05      -7.741224968984e+02       0.000000000000e+00      -7.741224968984e+02      -7.741224968984e+02       7.741224968984e+02      -7.741224968984e+02 
       1.915624552923e-04       8.415108220702e+02      -3.088025098254e-05      -8.415114556371e+02       0.000000000000e+00      -8.415114556371e+02      -8.415114556371e+02       8.415114556371e+02      -8.415114556371e+02 
       2.080837890606e-04       9.110615526322e+02      -3.944796492250e-05      -9.110623587297e+02       0.000000000000e+00      -9.110623587297e+02      -9.110623587297e+02       9.110623587297e+02      -9.110623587297e+02 
       2.252438485245e-04       9.830408087814e+02      -4.987442274234e-05      -9.830418267917e+02       0.000000000000e+00      -9.830418267917e+02      -9.830418267917e+02       9.830418267917e+02      -9.830418267917e+02 
       2.431145593645e-04       1.057735162955e+03      -6.251718426191e-05      -1.057736440328e+03       0.000000000000e+00      -1.057736440328e+03      -1.057736440328e+03       1.057736440328e+03      -1.057736440328e+03 
       2.617743923103e-04       1.135453702403e+03      -7.780802010316e-05      -1.135455294066e+03       0.000000000000e+00      -1.135455294066e+03      -1.135455294066e+03       1.135455294066e+03      -1.135455294066e+03 
       2.813090831481e-04       1.216530580406e+03      -9.627006109694e-05      -1.216532551580e+03       0.000000000000e+00      -1.216532551580e+03      -1.216532551580e+03       1.216532551580e+03      -1.216532551580e+03 
       3.018123800168e-04       1.301327527223e+03      -1.185390734688e-04      -1.301329955271e+03       0.000000000000e+00      -1.301329955271e+03      -1.301329955271e+03       1.301329955271e+03      -1.301329955271e+03 
       3.233868013263e-04       1.390236246834e+03      -1.453898603165e-04      -1.390239225391e+03       0.000000000000e+00      -1.390239225391e+03      -1.390239225391e+03       1.390239225391e+03      -1.390239225391e+03 
       3.461443789993e-04       1.483680567565e+03      -1.777690046321e-04      -1.483684209334e+03       0.000000000000e+00      -1.483684209334e+03      -1.483684209334e+03       1.483684209334e+03      -1.483684209334e+03 
       3.702073506013e-04       1.582118208595e+03      -2.168354179551e-04      -1.582122649899e+03       0.000000000000e+00      -1.582122649899e+03      -1.582122649899e+03       1.582122649899e+03      -1.582122649899e+03 
       3.957087500454e-04       1.686041928375e+03      -2.640104199457e-04      -1.686047335004e+03       0.000000000000e+00      -1.686047335004e+03      -1.686047335004e+03       1.686047335004e+03      -1.686047335004e+03 
       4.227928299299e-04       1.795979764959e+03      -3.210393391679e-04      -1.795986337733e+03       0.000000000000e+00      -1.795986337733e+03      -1.795986337733e+03       1.795986337733e+03      -1.795986337733e+03 
       4.516152296707e-04       1.912494044305e+03      -3.900668642173e-04      -1.912502028331e+03       0.000000000000e+00      -1.912502028331e+03      -1.912502028331e+03       1.912502028331e+03      -1.912502028331e+03 
       4.823427836876e-04       2.036178707631e+03      -4.737285139764e-04      -2.036188401724e+03       0.000000000000e+00      -2.036188401724e+03      -2.036188401724e+03       2.036188401724e+03      -2.036188401724e+03 
       5.151528454018e-04       2.167654506499e+03      -5.752605887348e-04      -2.167666274476e+03       0.000000000000e+00      -2.167666274476e+03      -2.167666274476e+03       2.167666274476e+03      -2.167666274476e+03 
       5.502319895798e-04       2.307561551407e+03      -6.986306714847e-04      -2.307575840129e+03       0.000000000000e+00      -2.307575840129e+03      -2.307575840129e+03       2.307575840129e+03      -2.307575840129e+03 
       5.877739532335e-04       2.456548738841e+03      -8.486900622852e-04      -2.456566090330e+03       0.000000000000e+00      -2.456566090330e+03      -2.456566090330e+03       2.456566090330e+03      -2.456566090330e+03 
       6.279766909548e-04       2.615259721774e+03      -1.031348309002e-03      -2.615280801558e+03       0.000000000000e+00      -2.615280801558e+03      -2.615280801558e+03       2.615280801558e+03      -2.615280801558e+03 
       6.710384619835e-04       2.784315217696e+03      -1.253768070865e-03      -2.784340833605e+03       0.000000000000e+00      -2.784340833605e+03      -2.784340833605e+03       2.784340833605e+03      -2.784340833605e+03 
       7.171529399524e-04       2.964291860136e+03      -1.524575953297e-03      -2.964322996482e+03       0.000000000000e+00      -2.964322996482e+03      -2.964322996482e+03       2.964322996482e+03      -2.964322996482e+03 
       7.665034443420e-04       3.155698226127e+03      -1.854081685229e-03      -3.155736075104e+03       0.000000000000e+00      -3.155736075104e+03      -3.155736075104e+03       3.155736075104e+03      -3.155736075104e+03 
       8.192565294893e-04       3.358949218410e+03      -2.254494428821e-03      -3.358995217161e+03       0.000000000000e+00      -3.358995217161e+03      -3.358995217161e+03       3.358995217161e+03      -3.358995217161e+03 
       8.755553158409e-04       3.574340532203e+03      -2.740121615660e-03      -3.574396415189e+03       0.000000000000e+00      -3.574396415189e+03      -3.574396415189e+03       3.574396415189e+03      -3.574396415189e+03 
       9.355130808047e-04       3.802025492935e+03      -3.327533453250e-03      -3.802093297156e+03       0.000000000000e+00      -3.802093297156e+03      -3.802093297156e+03       3.802093297156e+03      -3.802093297156e+03 
       9.992077074552e-04       4.041996385595e+03      -4.035675255771e-03      -4.042078632662e+03       0.000000000000e+00      -4.042078632662e+03      -4.042078632662e+03       4.042078632662e+03      -4.042078632662e+03 
       1.066677584940e-03       4.294073522704e+03      -4.885913363699e-03      -4.294172852218e+03       0.000000000000e+00      -4.294172852218e+03      -4.294172852218e+03       4.294172852218e+03      -4.294172852218e+03 
       1.137919445953e-03       4.557901063960e+03      -5.902000206515e-03      -4.558021450982e+03       0.000000000000e+00      -4.558021450982e+03      -4.558021450982e+03       4.558021450982e+03      -4.558021450982e+03 
       1.212888420989e-03       4.832957858162e+03      -7.109965888433e-03      -4.833101783820e+03       0.000000000000e+00      -4.833101783820e+03      -4.833101783820e+03       4.833101783820e+03      -4.833101783820e+03 
       1.291500321849e-03       5.118565371208e+03      -8.537913971664e-03      -5.118739250109e+03       0.000000000000e+00      -5.118739250109e+03      -5.118739250109e+03       5.118739250109e+03      -5.118739250109e+03 
       1.373635893824e-03       5.413902125021e+03      -1.021574366534e-02      -5.414109498323e+03       0.000000000000e+00      -5.414109498323e+03      -5.414109498323e+03       5.414109498323e+03      -5.414109498323e+03 
       1.459146555707e-03       5.718063103477e+03      -1.217489294156e-02      -5.718309954751e+03       0.000000000000e+00      -5.718309954751e+03      -5.718309954751e+03       5.718309954751e+03      -5.718309954751e+03 
       1.547861021377e-03       6.030096224057e+03      -1.444803536260e-02      -6.030388955225e+03       0.000000000000e+00      -6.030388955225e+03      -6.030388955225e+03       6.030388955225e+03      -6.030388955225e+03 
       1.639592180130e-03       6.348993619961e+03      -1.706866954402e-02      -6.349339100739e+03       0.000000000000e+00      -6.349339100739e+03      -6.349339100739e+03       6.349339100739e+03      -6.349339100739e+03 
       1.734143690255e-03       6.673738413906e+03      -2.007082154734e-02      -6.674144249827e+03       0.000000000000e+00      -6.674144249827e+03      -6.674144249827e+03       6.674144249827e+03      -6.674144249827e+03 
       1.831315878060e-03       7.003329166281e+03      -2.348874316138e-02      -7.003803671720e+03       0.000000000000e+00      -7.003803671720e+03      -7.003803671720e+03       7.003803671720e+03      -7.003803671720e+03 
       1.930910693739e-03       7.336799669944e+03      -2.735664639374e-02      -7.337351634282e+03       0.000000000000e+00      -7.337351634282e+03      -7.337351634282e+03       7.337351634282e+03      -7.337351634282e+03 
       2.032735623935e-03       7.673233317165e+03      -3.170847370840e-02      -7.673872434285e+03       0.000000000000e+00      -7.673872434285e+03      -7.673872434285e+03       7.673872434285e+03      -7.673872434285e+03 
       2.136606578475e-03       8.011772104555e+03      -3.657770567221e-02      -8.012508432457e+03       0.000000000000e+00      -8.012508432457e+03      -8.012508432457e+03       8.012508432457e+03      -8.012508432457e+03 
       2.242349848222e-03       8.351625777725e+03      -4.199720242513e-02      -8.352470420742e+03       0.000000000000e+00      -8.352470420742e+03      -8.352470420742e+03       8.352470420742e+03      -8.352470420742e+03 
       2.349803274462e-03       8.692071768329e+03      -4.799907886102e-02      -8.693035790717e+03       0.000000000000e+00      -8.693035790717e+03      -8.693035790717e+03       8.693035790717e+03      -8.693035790717e+03 
       2.458816784956e-03       9.032455103615e+03      -5.461463360941e-02      -9.033550548270e+03       0.000000000000e+00      -9.033550548270e+03      -9.033550548270e+03       9.033550548270e+03      -9.033550548270e+03 
       2.569252446772e-03       9.372187818031e+03      -6.187425363582e-02      -9.373427881505e+03       0.000000000000e+00      -9.373427881505e+03      -9.373427881505e+03       9.373427881505e+03      -9.373427881505e+03 
       2.680984169399e-03       9.710745062076e+03      -6.980735279475e-02      -9.712141869303e+03       0.000000000000e+00      -9.712141869303e+03      -9.712141869303e+03       9.712141869303e+03      -9.712141869303e+03 
       2.793897169799e-03       1.004766071856e+04      -7.844241098229e-02      -1.004922841444e+04       0.000000000000e+00      -1.004922841444e+04      -1.004922841444e+04       1.004922841444e+04      -1.004922841444e+04 
       2.907887288376e-03       1.038252276759e+04      -8.780684617376e-02      -1.038427512073e+04       0.000000000000e+00      -1.038427512073e+04      -1.038427512073e+04       1.038427512073e+04      -1.038427512073e+04 
       3.022860223795e-03       1.071496932959e+04      -9.792708219665e-02      -1.071692115529e+04       0.000000000000e+00      -1.071692115529e+04      -1.071692115529e+04       1.071692115529e+04      -1.071692115529e+04 
       3.138730736511e-03       1.104468409081e+04      -1.088285644028e-01      -1.104685012179e+04       0.000000000000e+00      -1.104685012179e+04      -1.104685012179e+04       1.104685012179e+04      -1.104685012179e+04 
       3.255421856120e-03       1.137139054705e+04      -1.205356260742e-01      -1.137378644265e+04       0.000000000000e+00      -1.137378644265e+04      -1.137378644265e+04       1.137378644265e+04      -1.137378644265e+04 
       3.372864116051e-03       1.169484829128e+04      -1.330717249829e-01      -1.169748922549e+04       0.000000000000e+00      -1.169748922549e+04      -1.169748922549e+04       1.169748922549e+04      -1.169748922549e+04 
       3.490994830399e-03       1.201484993275e+04      -1.464591576150e-01      -1.201775293565e+04       0.000000000000e+00      -1.201775293565e+04      -1.201775293565e+04       1.201775293565e+04      -1.201775293565e+04 
       3.609757421254e-03       1.233121713465e+04      -1.607194377937e-01      -1.233439739722e+04       0.000000000000e+00      -1.233439739722e+04      -1.233439739722e+04       1.233439739722e+04      -1.233439739722e+04 
       3.729100800300e-03       1.264379649919e+04      -1.758728778393e-01      -1.264727249111e+04       0.000000000000e+00      -1.264727249111e+04      -1.264727249111e+04       1.264727249111e+04      -1.264727249111e+04 
       3.848978805341e-03       1.295245757448e+04      -1.919390910463e-01      -1.295624538579e+04       0.000000000000e+00      -1.295624538579e+04      -1.295624538579e+04       1.295624538579e+04      -1.295624538579e+04 
       3.969349690293e-03       1.325709072276e+04      -2.089365001357e-01      -1.326120785225e+04       0.000000000000e+00      -1.326120785225e+04      -1.326120785225e+04       1.326120785225e+04      -1.326120785225e+04 
       4.090175665932e-03       1.355760466466e+04      -2.268828923247e-01      -1.356206982553e+04       0.000000000000e+00      -1.356206982553e+04      -1.356206982553e+04       1.356206982553e+04      -1.356206982553e+04 
       4.211422487893e-03       1.385392333066e+04      -2.457949095275e-01      -1.385875218077e+04       0.000000000000e+00      -1.385875218077e+04      -1.385875218077e+04       1.385875218077e+04      -1.385875218077e+04 
       4.333059088119e-03       1.414598466849e+04      -2.656884858483e-01      -1.415119715942e+04       0.000000000000e+00      -1.415119715942e+04      -1.415119715942e+04       1.415119715942e+04      -1.415119715942e+04 
       4.455057245825e-03       1.443373944248e+04      -2.865786798936e-01      -1.443935111240e+04       0.000000000000e+00      -1.443935111240e+04      -1.443935111240e+04       1.443935111240e+04      -1.443935111240e+04 
       4.577391294155e-03       1.471714979885e+04      -3.084795740424e-01      -1.472318322040e+04       0.000000000000e+00      -1.472318322040e+04      -1.472318322040e+04       1.472318322040e+04      -1.472318322040e+04 
       4.700037858874e-03       1.499618810902e+04      -3.314047815363e-01      -1.500265800669e+04       0.000000000000e+00      -1.500265800669e+04      -1.500265800669e+04       1.500265800669e+04      -1.500265800669e+04 
       4.822975625718e-03       1.527083518011e+04      -3.553667025872e-01      -1.527776269555e+04       0.000000000000e+00      -1.527776269555e+04      -1.527776269555e+04       1.527776269555e+04      -1.527776269555e+04 
       4.946185133258e-03       1.554107994616e+04      -3.803772975536e-01      -1.554848412895e+04       0.000000000000e+00      -1.554848412895e+04      -1.554848412895e+04       1.554848412895e+04      -1.554848412895e+04 
       5.069648588471e-03       1.580691766716e+04      -4.064477253134e-01      -1.581481023508e+04       0.000000000000e+00      -1.581481023508e+04      -1.581481023508e+04       1.581481023508e+04      -1.581481023508e+04 
       5.193349702449e-03       1.606834870755e+04      -4.335881051911e-01      -1.607676160688e+04       0.000000000000e+00      -1.607676160688e+04      -1.607676160688e+04       1.607676160688e+04      -1.607676160688e+04 
       5.317273543968e-03       1.632537936141e+04      -4.618083067622e-01      -1.633432657266e+04       0.000000000000e+00      -1.633432657266e+04      -1.633432657266e+04       1.633432657266e+04      -1.633432657266e+04 
       5.441406408876e-03       1.657802100575e+04      -4.911172122621e-01      -1.658752085962e+04       0.000000000000e+00      -1.658752085962e+04      -1.658752085962e+04       1.658752085962e+04      -1.658752085962e+04 
       5.565735703503e-03       1.682628966203e+04      -5.215229322955e-01      -1.683636309317e+04       0.000000000000e+00      -1.683636309317e+04      -1.683636309317e+04       1.683636309317e+04      -1.683636309317e+04 
       5.690249840472e-03       1.707020562443e+04      -5.530333814052e-01      -1.708086387043e+04       0.000000000000e+00      -1.708086387043e+04      -1.708086387043e+04       1.708086387043e+04      -1.708086387043e+04 
       5.814938145516e-03       1.730979091200e+04      -5.856554324405e-01      -1.732105282882e+04       0.000000000000e+00      -1.732105282882e+04      -1.732105282882e+04       1.732105282882e+04      -1.732105282882e+04 
       5.939790774030e-03       1.754506963943e+04      -6.193952319230e-01      -1.755696023411e+04       0.000000000000e+00      -1.755696023411e+04      -1.755696023411e+04       1.755696023411e+04      -1.755696023411e+04 
       6.064798636269e-03       1.777606890141e+04      -6.542587811324e-01      -1.778863321889e+04       0.000000000000e+00      -1.778863321889e+04      -1.778863321889e+04       1.778863321889e+04      -1.778863321889e+04 
       6.189953330213e-03       1.800281216799e+04      -6.902509214262e-01      -1.801603411487e+04       0.000000000000e+00      -1.801603411487e+04      -1.801603411487e+04       1.801603411487e+04      -1.801603411487e+04 
       6.315247081240e-03       1.822531907576e+04      -7.273753518616e-01      -1.823921285277e+04       0.000000000000e+00      -1.823921285277e+04      -1.823921285277e+04       1.823921285277e+04      -1.823921285277e+04 
       6.440672687857e-03       1.844361141137e+04      -7.656356510893e-01      -1.845823384973e+04       0.000000000000e+00      -1.845823384973e+04      -1.845823384973e+04       1.845823384973e+04      -1.845823384973e+04 
       6.566223472809e-03       1.865771844533e+04      -8.050351681005e-01      -1.867308920265e+04       0.000000000000e+00      -1.867308920265e+04      -1.867308920265e+04       1.867308920265e+04      -1.867308920265e+04 
       6.691893238994e-03       1.886768496170e+04      -8.455767771403e-01      -1.888372274421e+04       0.000000000000e+00      -1.888372274421e+04      -1.888372274421e+04       1.888372274421e+04      -1.888372274421e+04 
       6.817676229653e-03       1.907355980597e+04      -8.872632296764e-01      -1.909039823524e+04       0.000000000000e+00      -1.909039823524e+04      -1.909039823524e+04       1.909039823524e+04      -1.909039823524e+04 
       6.943567092379e-03       1.927539289959e+04      -9.300971451740e-01      -1.929303443043e+04       0.000000000000e+00      -1.929303443043e+04      -1.929303443043e+04       1.929303443043e+04      -1.929303443043e+04 
       7.069560846537e-03       1.947322401364e+04      -9.740797924351e-01      -1.949167924477e+04       0.000000000000e+00      -1.949167924477e+04      -1.949167924477e+04       1.949167924477e+04      -1.949167924477e+04 
       7.195652853739e-03       1.966708473786e+04      -1.019211326513e+00      -1.968635810973e+04       0.000000000000e+00      -1.968635810973e+04      -1.968635810973e+04       1.968635810973e+04      -1.968635810973e+04 
       7.321838791060e-03       1.985700767752e+04      -1.065491822247e+00      -1.987710653718e+04       0.000000000000e+00      -1.987710653718e+04      -1.987710653718e+04       1.987710653718e+04      -1.987710653718e+04 
       7.448114626700e-03       2.004302685786e+04      -1.112921204527e+00      -2.006398299755e+04       0.000000000000e+00      -2.006398299755e+04      -2.006398299755e+04       2.006398299755e+04      -2.006398299755e+04 
       7.574476597851e-03       2.022517928436e+04      -1.161498479858e+00      -2.024700851791e+04       0.000000000000e+00      -2.024700851791e+04      -2.024700851791e+04       2.024700851791e+04      -2.024700851791e+04 
       7.700921190550e-03       2.040350391999e+04      -1.211222179010e+00      -2.042622643506e+04       0.000000000000e+00      -2.042622643506e+04      -2.042622643506e+04       2.042622643506e+04      -2.042622643506e+04 
       7.827445121308e-03       2.057804068656e+04      -1.262090791586e+00      -2.060167798389e+04       0.000000000000e+00      -2.060167798389e+04      -2.060167798389e+04       2.060167798389e+04      -2.060167798389e+04 
       7.954045320349e-03       2.074883014249e+04      -1.314102678986e+00      -2.077340200722e+04       0.000000000000e+00      -2.077340200722e+04      -2.077340200722e+04       2.077340200722e+04      -2.077340200722e+04 
       8.080718916303e-03       2.091591107995e+04      -1.367255182517e+00      -2.094142599311e+04       0.000000000000e+00      -2.094142599311e+04      -2.094142599311e+04       2.094142599311e+04      -2.094142599311e+04 
       8.207463222198e-03       2.107932149104e+04      -1.421545018852e+00      -2.110580644954e+04       0.000000000000e+00      -2.110580644954e+04      -2.110580644954e+04       2.110580644954e+04      -2.110580644954e+04 
       8.334275722645e-03       2.123910003708e+04      -1.476968865912e+00      -2.126656542694e+04       0.000000000000e+00      -2.126656542694e+04      -2.126656542694e+04       2.126656542694e+04      -2.126656542694e+04 
       8.461154062096e-03       2.139528600634e+04      -1.533523362967e+00      -2.142375337521e+04       0.000000000000e+00      -2.142375337521e+04      -2.142375337521e+04       2.142375337521e+04      -2.142375337521e+04 
       8.588096034068e-03       2.154791850708e+04      -1.591204551686e+00      -2.157740144814e+04       0.000000000000e+00      -2.157740144814e+04      -2.157740144814e+04       2.157740144814e+04      -2.157740144814e+04 
       8.715099571251e-03       2.169703605102e+04      -1.650007601828e+00      -2.172755521335e+04       0.000000000000e+00      -2.172755521335e+04      -2.172755521335e+04       2.172755521335e+04      -2.172755521335e+04 
       8.842162736423e-03       2.184267757035e+04      -1.709927590132e+00      -2.187424624256e+04       0.000000000000e+00      -2.187424624256e+04      -2.187424624256e+04       2.187424624256e+04      -2.187424624256e+04 
       8.969283714084e-03       2.198488247618e+04      -1.770959570832e+00      -2.201752071702e+04       0.000000000000e+00      -2.201752071702e+04      -2.201752071702e+04       2.201752071702e+04      -2.201752071702e+04 
       9.096460802765e-03       2.212369038743e+04      -1.833098482742e+00      -2.215739813940e+04       0.000000000000e+00      -2.215739813940e+04      -2.215739813940e+04       2.215739813940e+04      -2.215739813940e+04 
       9.223692407934e-03       2.225913898179e+04      -1.896338310672e+00      -2.229395112525e+04       0.000000000000e+00      -2.229395112525e+04      -2.229395112525e+04       2.229395112525e+04      -2.229395112525e+04 
       9.350977035456e-03       2.239126498125e+04      -1.960672488557e+00      -2.242719682354e+04       0.000000000000e+00      -2.242719682354e+04      -2.242719682354e+04       2.242719682354e+04      -2.242719682354e+04 
       9.478313285557e-03       2.252010545015e+04      -2.026094425531e+00      -2.255717312901e+04       0.000000000000e+00      -2.255717312901e+04      -2.255717312901e+04       2.255717312901e+04      -2.255717312901e+04 
       9.605699847255e-03       2.264569778822e+04      -2.092597513765e+00      -2.268390240340e+04       0.000000000000e+00      -2.268390240340e+04      -2.268390240340e+04       2.268390240340e+04      -2.268390240340e+04 
       9.733135493202e-03       2.276807948101e+04      -2.160175021655e+00      -2.280744496355e+04       0.000000000000e+00      -2.280744496355e+04      -2.280744496355e+04       2.280744496355e+04      -2.280744496355e+04 
       9.860619074926e-03       2.288728639926e+04      -2.228819299142e+00      -2.292781372596e+04       0.000000000000e+00      -2.292781372596e+04      -2.292781372596e+04       2.292781372596e+04      -2.292781372596e+04 
       9.988149518413e-03       2.300335373779e+04      -2.298522232002e+00      -2.304507489327e+04       0.000000000000e+00      -2.304507489327e+04      -2.304507489327e+04       2.304507489327e+04      -2.304507489327e+04 
       1.011572582003e-02       2.311631693970e+04      -2.369275688502e+00      -2.315923705681e+04       0.000000000000e+00      -2.315923705681e+04      -2.315923705681e+04       2.315923705681e+04      -2.315923705681e+04 
       1.024334704274e-02       2.322621168830e+04      -2.441071523973e+00      -2.327035677594e+04       0.000000000000e+00      -2.327035677594e+04      -2.327035677594e+04       2.327035677594e+04      -2.327035677594e+04 
       1.037101231259e-02       2.333307385847e+04      -2.513901560148e+00      -2.337844546885e+04       0.000000000000e+00      -2.337844546885e+04      -2.337844546885e+04       2.337844546885e+04      -2.337844546885e+04 
       1.049872081545e-02       2.343693863829e+04      -2.587757042278e+00      -2.348353961420e+04       0.000000000000e+00      -2.348353961420e+04      -2.348353961420e+04       2.348353961420e+04      -2.348353961420e+04 
       1.062647179401e-02       2.353784045674e+04      -2.662628602238e+00      -2.358569863196e+04       0.000000000000e+00      -2.358569863196e+04      -2.358569863196e+04       2.358569863196e+04      -2.358569863196e+04 
       1.075426454495e-02       2.363581388312e+04      -2.738506831891e+00      -2.368496111416e+04       0.000000000000e+00      -2.368496111416e+04      -2.368496111416e+04       2.368496111416e+04      -2.368496111416e+04 
       1.088209841637e-02       2.373089366332e+04      -2.815382313327e+00      -2.378131123591e+04       0.000000000000e+00      -2.378131123591e+04      -2.378131123591e+04       2.378131123591e+04      -2.378131123591e+04 
       1.100997280531e-02       2.382311471038e+04      -2.893245619820e+00      -2.387482891202e+04       0.000000000000e+00      -2.387482891202e+04      -2.387482891202e+04       2.387482891202e+04      -2.387482891202e+04 
       1.113788715558e-02       2.391251174976e+04      -2.972087191354e+00      -2.396554090914e+04       0.000000000000e+00      -2.396554090914e+04      -2.396554090914e+04       2.396554090914e+04      -2.396554090914e+04 
       1.126584095557e-02       2.399911732842e+04      -3.051896616757e+00      -2.405344606461e+04       0.000000000000e+00      -2.405344606461e+04      -2.405344606461e+04       2.405344606461e+04      -2.405344606461e+04 
       1.139383373640e-02       2.408296317055e+04      -3.132663128687e+00      -2.413861641687e+04       0.000000000000e+00      -2.413861641687e+04      -2.413861641687e+04       2.413861641687e+04      -2.413861641687e+04 
       1.152186507004e-02       2.416408112612e+04      -3.214375950813e+00      -2.422108658833e+04       0.000000000000e+00      -2.422108658833e+04      -2.422108658833e+04       2.422108658833e+04      -2.422108658833e+04 
       1.164993456766e-02       2.424250316741e+04      -3.297024299634e+00      -2.430084740495e+04       0.000000000000e+00      -2.430084740495e+04      -2.430084740495e+04       2.430084740495e+04      -2.430084740495e+04 
       1.177804187805e-02       2.431826138290e+04      -3.380597385182e+00      -2.437797069382e+04       0.000000000000e+00      -2.437797069382e+04      -2.437797069382e+04       2.437797069382e+04      -2.437797069382e+04 
