# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 5000, i.e. number of multipoles equal to 4999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       2.857113498667e-10       7.737450591688e-15       5.610482443825e-13       4.752351735558e-15       8.434882158386e-09       4.650105824938e-10      -2.059106950204e-12 
    3       2.437094969839e-10       1.003106455355e-14       4.521820400089e-13       4.790965549172e-15       5.183156251339e-09       3.304253281633e-10      -1.650908326660e-12 
    4       2.247965189984e-10       9.612288998037e-15       3.866734468856e-13       4.171229897068e-15       3.609231429266e-09       2.505692458922e-10      -1.174319654656e-12 
    5       2.142295902234e-10       7.427308715480e-15       3.236697166863e-13       3.271620059976e-15       2.696722216251e-09       1.980982868961e-10      -7.483515752344e-13 
    6       2.073002327421e-10       4.893546323830e-15       2.614216181177e-13       2.377731718424e-15       2.107869990902e-09       1.612770129194e-10      -4.084515715554e-13 
    7       2.027597158653e-10       2.940783554204e-15       2.052903460662e-13       1.647212380483e-15       1.701189418059e-09       1.342367504270e-10      -1.633765743722e-13 
    8       1.998333314491e-10       1.814912772471e-15       1.587589668031e-13       1.133382231228e-15       1.405999001610e-09       1.136940308320e-10      -7.083189775023e-15 
    9       1.980217652494e-10       1.328777042095e-15       1.234552442354e-13       8.247634363596e-16       1.183641487973e-09       9.767470060732e-11       7.491109839980e-14 
   10       1.969698679771e-10       1.184059609703e-15       9.938147076097e-14       6.803355631125e-16       1.011460765983e-09       8.493099706460e-11       1.012922729309e-13 
   11       1.964895420195e-10       1.168044107775e-15       8.522250875041e-14       6.523127608625e-16       8.496417488886e-10       7.493754316790e-11       9.150644847468e-14 
   12       1.964206440001e-10       1.193270282067e-15       7.880649381752e-14       6.993317621233e-16       7.423859219867e-10       6.628182330477e-11       6.295213917689e-14 
