# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 5000, i.e. number of multipoles equal to 4999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       2.862975542303e-10       7.955227749431e-15       5.635266239771e-13       4.881419173979e-15       8.407719838114e-09       4.687157381449e-10      -2.085325177863e-12 
    3       2.441949005349e-10       1.039145251230e-14       4.554949173468e-13       4.945788538583e-15       5.162896307719e-09       3.328337848194e-10      -1.679205187490e-12 
    4       2.251088899615e-10       1.003157939255e-14       3.905692208563e-13       4.326680404762e-15       3.593314847217e-09       2.522710767939e-10      -1.200868745646e-12 
    5       2.143995501178e-10       7.809849766868e-15       3.278315889387e-13       3.409040298595e-15       2.684231514040e-09       1.993968578147e-10      -7.709138458500e-13 
    6       2.073629018834e-10       5.180231644653e-15       2.654564283796e-13       2.487291187829e-15       2.097845473797e-09       1.623447109540e-10      -4.257332688013e-13 
    7       2.027623464427e-10       3.122033691874e-15       2.088432894650e-13       1.726906920467e-15       1.693019436228e-09       1.351083496032e-10      -1.749462920159e-13 
    8       1.997440476373e-10       1.915739035750e-15       1.616523282363e-13       1.186258380949e-15       1.399269940281e-09       1.143914950892e-10      -1.327021542544e-14 
    9       1.978719352899e-10       1.383578981729e-15       1.256459299675e-13       8.565255919610e-16       1.177998310749e-09       9.826485810846e-11       7.319393088733e-14 
   10       1.968220345618e-10       1.218964225862e-15       1.008417910477e-13       6.969244910171e-16       1.006598308583e-09       8.545272581207e-11       1.027751875307e-13 
   11       1.962882294737e-10       1.195166944616e-15       8.605792164252e-14       6.592072830688e-16       8.460201337191e-10       7.532257048888e-11       9.469604853905e-14 
   12       1.961922927949e-10       1.215430975899e-15       7.925224131046e-14       7.004658154110e-16       7.391700573660e-10       6.669113549869e-11       6.686228513449e-14 
   13       1.963939989523e-10       1.266724440464e-15       7.793571510764e-14       7.887612197970e-16       6.514661053422e-10       5.943402855370e-11       3.263437532413e-14 
   14       1.968168582435e-10       1.358901026258e-15       7.979677226418e-14       9.031582426108e-16       5.784946752291e-10       5.334722788443e-11       1.659769747630e-15 
   15       1.974299821003e-10       1.492458261537e-15       8.295695357563e-14       1.031514638835e-15       5.170805059430e-10       4.820538065894e-11      -2.078879600389e-14 
   16       1.981528119227e-10       1.657061675756e-15       8.610102949550e-14       1.167669644889e-15       4.648693656733e-10       4.377787518859e-11      -3.317460289541e-14 
   17       1.990362568234e-10       1.842302345686e-15       8.856219306620e-14       1.309088212067e-15       4.200824699297e-10       3.983138170954e-11      -3.671684814548e-14 
   18       1.999834064832e-10       2.045113565596e-15       9.010101259130e-14       1.454831080933e-15       3.812098470951e-10       3.639682026389e-11      -3.374010439388e-14 
   19       2.010114526010e-10       2.269293506152e-15       9.084062291592e-14       1.604661481184e-15       3.476377626804e-10       3.342936322232e-11      -2.677527667916e-14 
   20       2.020915871904e-10       2.520187871401e-15       9.104939224666e-14       1.758613563637e-15       3.180705696028e-10       3.076072950164e-11      -1.896931247679e-14 
   21       2.032346438860e-10       2.800061728555e-15       9.098961354747e-14       1.916556859699e-15       2.920436418226e-10       2.838259755493e-11      -1.209026964993e-14 
