# dimensionless [l(l+1)/2pi] C_l's for scalar mode
# for l=2 to 5500, i.e. number of multipoles equal to 5499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.435191871132e-10       5.209126410943e-15       3.979566209442e-13       0.000000000000e+00       8.407719838114e-09       4.687157381449e-10      -2.085325177863e-12 
    3       1.353182868664e-10       7.458296019927e-15       4.673744087919e-13       0.000000000000e+00       5.162896307719e-09       3.328337848194e-10      -1.679205187490e-12 
    4       1.274933363914e-10       7.318209781647e-15       4.553171010726e-13       0.000000000000e+00       3.593314847217e-09       2.522710767939e-10      -1.200868745646e-12 
    5       1.215182941814e-10       5.624306405930e-15       4.033392721599e-13       0.000000000000e+00       2.684231514040e-09       1.993968578147e-10      -7.709138458500e-13 
    6       1.172908972631e-10       3.594330011997e-15       3.369501065426e-13       0.000000000000e+00       2.097845473797e-09       1.623447109540e-10      -4.257332688013e-13 
    7       1.144670191950e-10       2.038506788814e-15       2.720545890773e-13       0.000000000000e+00       1.693019436228e-09       1.351083496032e-10      -1.749462920159e-13 
    8       1.126509962782e-10       1.164967689640e-15       2.169815656843e-13       0.000000000000e+00       1.399269940281e-09       1.143914950892e-10      -1.327021542544e-14 
    9       1.116526304225e-10       7.971852717888e-16       1.752399958227e-13       0.000000000000e+00       1.177998310749e-09       9.826485810846e-11       7.319393088733e-14 
   10       1.112899944522e-10       6.670101282008e-16       1.472148700949e-13       0.000000000000e+00       1.006598308583e-09       8.545272581207e-11       1.027751875307e-13 
   11       1.113404614291e-10       5.941189776096e-16       1.314987956078e-13       0.000000000000e+00       8.460201337191e-10       7.532257048888e-11       9.469604853905e-14 
   12       1.117745232906e-10       5.191358755936e-16       1.256453312386e-13       0.000000000000e+00       7.391700573660e-10       6.669113549869e-11       6.686228513449e-14 
   13       1.124810781594e-10       4.528486324829e-16       1.267685220408e-13       0.000000000000e+00       6.514661053422e-10       5.943402855370e-11       3.263437532413e-14 
   14       1.134018596332e-10       4.170996170022e-16       1.322300264198e-13       0.000000000000e+00       5.784946752291e-10       5.334722788443e-11       1.659769747630e-15 
   15       1.145174454155e-10       4.168182489619e-16       1.399146781370e-13       0.000000000000e+00       5.170805059430e-10       4.820538065894e-11      -2.078879600389e-14 
   16       1.157541414694e-10       4.424958461776e-16       1.483440865681e-13       0.000000000000e+00       4.648693656733e-10       4.377787518859e-11      -3.317460289541e-14 
   17       1.171666374191e-10       4.835524468233e-16       1.567291793145e-13       0.000000000000e+00       4.200824699297e-10       3.983138170954e-11      -3.671684814548e-14 
   18       1.186658419223e-10       5.365053127425e-16       1.647437799914e-13       0.000000000000e+00       3.812098470951e-10       3.639682026389e-11      -3.374010439388e-14 
   19       1.202517510424e-10       6.052092367175e-16       1.724622160533e-13       0.000000000000e+00       3.476377626804e-10       3.342936322232e-11      -2.677527667916e-14 
   20       1.219148299648e-10       6.951860187611e-16       1.800903461755e-13       0.000000000000e+00       3.180705696028e-10       3.076072950164e-11      -1.896931247679e-14 
   21       1.236554013350e-10       8.089659332467e-16       1.878543032577e-13       0.000000000000e+00       2.920436418226e-10       2.838259755493e-11      -1.209026964993e-14 
   22       1.254474742748e-10       9.473168177879e-16       1.959672484634e-13       0.000000000000e+00       2.689344618944e-10       2.629759880849e-11      -7.421518760575e-15 
   23       1.273020194429e-10       1.109083221445e-15       2.044485752679e-13       0.000000000000e+00       2.484248963476e-10       2.446683856389e-11      -5.169110809700e-15 
   24       1.292181511729e-10       1.292169439143e-15       2.131927804456e-13       0.000000000000e+00       2.300402240906e-10       2.281230477540e-11      -5.028675836411e-15 
   25       1.311865185157e-10       1.496479197204e-15       2.219462415262e-13       0.000000000000e+00       2.135641859447e-10       2.129523492611e-11      -6.484982568372e-15 
   26       1.331824364124e-10       1.722352362284e-15       2.303609723995e-13       0.000000000000e+00       1.986987971840e-10       1.988147478945e-11      -8.796994163232e-15 
   27       1.352142848233e-10       1.970016046256e-15       2.381326170429e-13       0.000000000000e+00       1.852660688464e-10       1.858896880821e-11      -1.116257396498e-14 
   28       1.372899383195e-10       2.239699828854e-15       2.449691936959e-13       0.000000000000e+00       1.730347102699e-10       1.743942480602e-11      -1.277993032252e-14 
   29       1.394148537130e-10       2.532415525577e-15       2.507422068977e-13       0.000000000000e+00       1.619420085863e-10       1.642039634905e-11      -1.350864185501e-14 
   30       1.415800768573e-10       2.849471355218e-15       2.553760075958e-13       0.000000000000e+00       1.518683223501e-10       1.549381342992e-11      -1.344728241088e-14 
   31       1.437665245853e-10       3.192245288158e-15       2.588110004143e-13       0.000000000000e+00       1.426076375688e-10       1.461436330905e-11      -1.275698295872e-14 
   32       1.459803074130e-10       3.562089412544e-15       2.610350697198e-13       0.000000000000e+00       1.341122241321e-10       1.378417808961e-11      -1.165100268282e-14 
   33       1.482280936197e-10       3.960397879931e-15       2.620665247874e-13       0.000000000000e+00       1.263223382730e-10       1.301729910940e-11      -1.041119179665e-14 
   34       1.505087528846e-10       4.388530842451e-15       2.619373884882e-13       0.000000000000e+00       1.191292910122e-10       1.232236248373e-11      -9.333657017003e-15 
   35       1.528204006714e-10       4.847450316575e-15       2.606574664428e-13       0.000000000000e+00       1.124962425766e-10       1.169295453657e-11      -8.510647548955e-15 
   36       1.551539735182e-10       5.337950689906e-15       2.582393372007e-13       0.000000000000e+00       1.063698239595e-10       1.111285359616e-11      -7.974165685517e-15 
   37       1.574971565172e-10       5.860766396268e-15       2.546874010767e-13       0.000000000000e+00       1.006701403674e-10       1.056372138801e-11      -7.736881066023e-15 
   38       1.598577616906e-10       6.416633787751e-15       2.499254215077e-13       0.000000000000e+00       9.538244566925e-11       1.004508595957e-11      -7.737130197341e-15 
   39       1.622469730477e-10       7.006240842641e-15       2.438442464105e-13       0.000000000000e+00       9.048998465410e-11       9.560373126000e-12      -7.873400579780e-15 
   40       1.646725161056e-10       7.630204610132e-15       2.363198105379e-13       0.000000000000e+00       8.594611248900e-11       9.111333689151e-12      -8.016686417003e-15 
   41       1.671378617704e-10       8.289096734354e-15       2.272347681640e-13       0.000000000000e+00       8.169054522851e-11       8.697806455410e-12      -8.043072253196e-15 
   42       1.696406040222e-10       8.983541279806e-15       2.165544689204e-13       0.000000000000e+00       7.771074152683e-11       8.317334291828e-12      -7.948668490236e-15 
   43       1.721727995137e-10       9.714140867312e-15       2.042738884520e-13       0.000000000000e+00       7.399611419055e-11       7.965129162698e-12      -7.768991201490e-15 
   44       1.747208061527e-10       1.048144665456e-14       1.903975135199e-13       0.000000000000e+00       7.051960992431e-11       7.633948046508e-12      -7.548281278089e-15 
   45       1.772707406423e-10       1.128595358629e-14       1.749337467414e-13       0.000000000000e+00       6.724736960414e-11       7.316221368719e-12      -7.331894337445e-15 
   46       1.798279093987e-10       1.212809061943e-14       1.578749968687e-13       0.000000000000e+00       6.417424173180e-11       7.011618564601e-12      -7.139513298926e-15 
   47       1.824023835469e-10       1.300822312331e-14       1.392124513975e-13       0.000000000000e+00       6.129665653709e-11       6.721440087009e-12      -6.984825481734e-15 
   48       1.850034462660e-10       1.392665208910e-14       1.189417602548e-13       0.000000000000e+00       5.860191547151e-11       6.446461701827e-12      -6.883023119002e-15 
   49       1.876394621255e-10       1.488361138962e-14       9.706316514878e-14       0.000000000000e+00       5.606751233003e-11       6.186888514762e-12      -6.850862626255e-15 
   50       1.903165053996e-10       1.587928415858e-14       7.357367074716e-14       0.000000000000e+00       5.366791155850e-11       5.942460000949e-12      -6.900982684518e-15 
   51       1.930341092105e-10       1.691386352718e-14       4.844075289868e-14       0.000000000000e+00       5.139862723163e-11       5.712905361118e-12      -7.022902773407e-15 
   52       1.957881366784e-10       1.798750363709e-14       2.162173739379e-14       0.000000000000e+00       4.925750655879e-11       5.497532299202e-12      -7.196969353806e-15 
   53       1.985717365160e-10       1.910030016492e-14      -6.929104945668e-15       0.000000000000e+00       4.723752377498e-11       5.295048877251e-12      -7.399440362082e-15 
   54       2.013751539645e-10       2.025228848173e-14      -3.726080341933e-14       0.000000000000e+00       4.532645218900e-11       5.103524648235e-12      -7.602274305124e-15 
   55       2.041890032540e-10       2.144343414333e-14      -6.941654587919e-14       0.000000000000e+00       4.351059298439e-11       4.920922172008e-12      -7.779834263565e-15 
   56       2.070154701069e-10       2.267360581120e-14      -1.034030330341e-13       0.000000000000e+00       4.178779767207e-11       4.746935227223e-12      -7.931433321070e-15 
   57       2.098595610146e-10       2.394259238074e-14      -1.392139405008e-13       0.000000000000e+00       4.015710626106e-11       4.581539171779e-12      -8.064020487071e-15 
   58       2.127258325167e-10       2.525010796830e-14      -1.768385205778e-13       0.000000000000e+00       3.861480774297e-11       4.424444286465e-12      -8.185813727424e-15 
   59       2.156183370001e-10       2.659578977183e-14      -2.162614816811e-13       0.000000000000e+00       3.715427019545e-11       4.275079130490e-12      -8.306358471443e-15 
   60       2.185405684992e-10       2.797919593159e-14      -2.574628677811e-13       0.000000000000e+00       3.576577088561e-11       4.132573897006e-12      -8.436586118939e-15 
   61       2.214953035542e-10       2.939984724371e-14      -3.004225085190e-13       0.000000000000e+00       3.443919576083e-11       3.996018277284e-12      -8.585771242684e-15 
   62       2.244842046614e-10       3.085736808191e-14      -3.451348095518e-13       0.000000000000e+00       3.317323034038e-11       3.865340344462e-12      -8.751472724785e-15 
   63       2.275080312289e-10       3.235137345486e-14      -3.915970832254e-13       0.000000000000e+00       3.196793972224e-11       3.740596306567e-12      -8.927428346884e-15 
   64       2.305666802732e-10       3.388142721143e-14      -4.398052948202e-13       0.000000000000e+00       3.082200394712e-11       3.621705628418e-12      -9.106417755590e-15 
   65       2.336591288896e-10       3.544704129277e-14      -4.897540870118e-13       0.000000000000e+00       2.973263914536e-11       3.508443097100e-12      -9.280222567465e-15 
   66       2.367833767221e-10       3.704767498444e-14      -5.414368043314e-13       0.000000000000e+00       2.869551868392e-11       3.400430887448e-12      -9.439586474017e-15 
   67       2.399363884338e-10       3.868273416847e-14      -5.948455176267e-13       0.000000000000e+00       2.770469431326e-11       3.297130627522e-12      -9.574175346686e-15 
   68       2.431152215472e-10       4.035152481041e-14      -6.499689677556e-13       0.000000000000e+00       2.675418427392e-11       3.197991501177e-12      -9.674903426221e-15 
   69       2.463208039350e-10       4.205310414794e-14      -7.067858581551e-13       0.000000000000e+00       2.584328754813e-11       3.102947139421e-12      -9.741548406579e-15 
   70       2.495548219162e-10       4.378639786703e-14      -7.652702408676e-13       0.000000000000e+00       2.497220970796e-11       3.012005621012e-12      -9.776614787934e-15 
   71       2.528185758842e-10       4.555024131517e-14      -8.253934488149e-13       0.000000000000e+00       2.414045566064e-11       2.925098470685e-12      -9.783124566699e-15 
   72       2.561129530934e-10       4.734337758291e-14      -8.871240670419e-13       0.000000000000e+00       2.334679342881e-11       2.842076715343e-12      -9.764637854179e-15 
   73       2.594384004458e-10       4.916445558559e-14      -9.504279039606e-13       0.000000000000e+00       2.258921793061e-11       2.762706940261e-12      -9.725273495231e-15 
   74       2.627948972772e-10       5.101202814491e-14      -1.015267962594e-12       0.000000000000e+00       2.186491475993e-11       2.686667345277e-12      -9.669729686916e-15 
   75       2.661819281443e-10       5.288455007060e-14      -1.081604411822e-12       0.000000000000e+00       2.117022396654e-11       2.613543800994e-12      -9.603304597155e-15 
