# dimensionless [l(l+1)/2pi] C_l's for tensor mode
# for l=2 to 500, i.e. number of multipoles equal to 499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.427778809563e-10       2.745841209357e-15       1.655700071405e-13       4.881159044846e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    3       1.088756448390e-10       2.932636073567e-15      -1.187947316118e-14       4.945268119751e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    4       9.761394650752e-11       2.712501897818e-15      -6.474782776285e-14       4.325812691548e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    5       9.287885943831e-11       2.184241157828e-15      -7.550756396331e-14       3.407738095022e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    6       9.006867269277e-11       1.584077523745e-15      -7.149344421874e-14       2.485467077557e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    7       8.829091980164e-11       1.081093235036e-15      -6.321088558416e-14       1.724473248992e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    8       8.708743474033e-11       7.476402231576e-16      -5.532855853378e-14       1.183127250146e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    9       8.621235220767e-11       5.824770019155e-16      -4.959301636640e-14       8.526088675127e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   10       8.552363149422e-11       5.471634614791e-16      -4.637153135127e-14       6.921338226799e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   11       8.493779049862e-11       5.952948807265e-16      -4.543867785095e-14       6.534541371522e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   12       8.440611680400e-11       6.894909089103e-16      -4.639007238544e-14       6.936615183026e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   13       8.389949311752e-11       8.059317793476e-16      -4.882877232265e-14       7.808170108530e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   14       8.339970205285e-11       9.326287984193e-16      -5.242798473452e-14       8.939853343066e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   15       8.289528264577e-11       1.065150132088e-15      -5.695098132536e-14       1.021024281726e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   16       8.237937494479e-11       1.202670123543e-15      -6.223458086532e-14       1.155773194701e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   17       8.184820229518e-11       1.345360018137e-15      -6.815649908738e-14       1.295697196114e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   18       8.129394877949e-11       1.493636130211e-15      -7.462997399281e-14       1.439857262487e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   19       8.073381237092e-11       1.647442184776e-15      -8.160618239366e-14       1.588016910606e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   20       8.014852139066e-11       1.806602506189e-15      -8.902260080163e-14       1.740210636402e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   21       7.954858775139e-11       1.970852355351e-15      -9.684305672207e-14       1.896308343395e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   22       7.892858081652e-11       2.139942907256e-15      -1.050294968610e-13       2.056194555387e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   23       7.829593505663e-11       2.313773073895e-15      -1.135484859586e-13       2.219743873608e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   24       7.764459920535e-11       2.492328238633e-15      -1.223623624860e-13       2.386872470251e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   25       7.698048876356e-11       2.675572464413e-15      -1.314411870382e-13       2.557473160093e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   26       7.630032618686e-11       2.863511650193e-15      -1.407542178715e-13       2.731426520403e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   27       7.560655724466e-11       3.056239907123e-15      -1.502738787271e-13       2.908439317944e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   28       7.489518504705e-11       3.253855783520e-15      -1.599723962722e-13       3.088177657421e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   29       7.417404611430e-11       3.456176801726e-15      -1.698271243579e-13       3.270407170317e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   30       7.344402474377e-11       3.662902172569e-15      -1.798158359434e-13       3.454938964296e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   31       7.269698532620e-11       3.873703316006e-15      -1.899154141700e-13       3.641593228579e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   32       7.193811025442e-11       4.088309922705e-15      -2.001042184907e-13       3.830148025363e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   33       7.116967386665e-11       4.306451831339e-15      -2.103605723444e-13       4.020372304685e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   34       7.038788763075e-11       4.527849239756e-15      -2.206630040180e-13       4.212038154023e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   35       6.959607577696e-11       4.752262645472e-15      -2.309932134625e-13       4.404916609037e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   36       6.879462010556e-11       4.979458939913e-15      -2.413342459141e-13       4.598780606620e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   37       6.798006989382e-11       5.209210268295e-15      -2.516689079887e-13       4.793397669608e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   38       6.715666228286e-11       5.441336919327e-15      -2.619767344287e-13       4.988500652981e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   39       6.632760969713e-11       5.675678956838e-15      -2.722360735310e-13       5.183806711327e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   40       6.549139062202e-11       5.912085472614e-15      -2.824249067911e-13       5.379024341801e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   41       6.464408013005e-11       6.150411208879e-15      -2.925247977502e-13       5.573865923655e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   42       6.378842879243e-11       6.390503719475e-15      -3.025342653942e-13       5.768091718959e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   43       6.292691663460e-11       6.632212998175e-15      -3.124597776786e-13       5.961479164463e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   44       6.205889940710e-11       6.875395369542e-15      -3.223124602340e-13       6.153811241964e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   45       6.118229047537e-11       7.119897186252e-15      -3.321009042257e-13       6.344862241829e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   46       6.029990181441e-11       7.365499406259e-15      -3.418063715441e-13       6.534349298156e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   47       5.941449651610e-11       7.611956953708e-15      -3.514006492861e-13       6.721966855413e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   48       5.852679957964e-11       7.859013240634e-15      -3.608527274797e-13       6.907399401891e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   49       5.763531654161e-11       8.106399509134e-15      -3.701286465685e-13       7.090320921760e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   50       5.673772427218e-11       8.353826947267e-15      -3.791943401994e-13       7.270417651938e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   51       5.583590919632e-11       8.600962039959e-15      -3.880254271151e-13       7.447464906088e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   52       5.493198313182e-11       8.847443390293e-15      -3.965998135275e-13       7.621270156480e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   53       5.402672581172e-11       9.092887386812e-15      -4.048949188301e-13       7.791652087499e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   54       5.311947749869e-11       9.336887205633e-15      -4.128876640379e-13       7.958441144394e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   55       5.220909187617e-11       9.579056290482e-15      -4.205569558222e-13       8.121476305890e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   56       5.129731793700e-11       9.819173727593e-15      -4.278918877268e-13       8.280593205960e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   57       5.038607013416e-11       1.005707323718e-14      -4.348855560612e-13       8.435634022432e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   58       4.947637707357e-11       1.029260257868e-14      -4.415328266126e-13       8.586451387511e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   59       4.856831543795e-11       1.052562428572e-14      -4.478304203165e-13       8.732908789413e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   60       4.766094391067e-11       1.075601640122e-14      -4.537769989276e-13       8.874880973998e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   61       4.675311068672e-11       1.098365544490e-14      -4.593718157341e-13       9.012252846196e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   62       4.584623729523e-11       1.120835918573e-14      -4.646101199770e-13       9.144914977522e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   63       4.494204522621e-11       1.142993227004e-14      -4.694868682336e-13       9.272767798295e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   64       4.404169988423e-11       1.164818302328e-14      -4.739981076948e-13       9.395723355885e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   65       4.314577223045e-11       1.186292362138e-14      -4.781410163061e-13       9.513705668749e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   66       4.225420042484e-11       1.207397026195e-14      -4.819139429080e-13       9.626651080463e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   67       4.136625146827e-11       1.228114333560e-14      -4.853164473770e-13       9.734508613759e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   68       4.048112083964e-11       1.248426998853e-14      -4.883488485150e-13       9.837232638647e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   69       3.959995823943e-11       1.268319203032e-14      -4.910106716151e-13       9.934758360268e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   70       3.872418529336e-11       1.287775994353e-14      -4.933019569968e-13       1.002702197742e-14       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   71       3.785487222981e-11       1.306783086239e-14      -4.952237514816e-13       1.011396808364e-14       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   72       3.699271583898e-11       1.325326880529e-14      -4.967781359440e-13       1.019554982468e-14       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   73       3.613801743202e-11       1.343394490715e-14      -4.979682528626e-13       1.027172905595e-14       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   74       3.529066080018e-11       1.360973765191e-14      -4.987983338714e-13       1.034247650003e-14       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   75       3.445009017395e-11       1.378053310491e-14      -4.992737273105e-13       1.040777190406e-14       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   76       3.361573013842e-11       1.394622124234e-14      -4.994001816961e-13       1.046760258101e-14       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   77       3.278838250439e-11       1.410668365266e-14      -4.991814843781e-13       1.052195837815e-14       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   78       3.196904530314e-11       1.426180400434e-14      -4.986214403342e-13       1.057083607284e-14       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   79       3.115848065971e-11       1.441147189987e-14      -4.977245901455e-13       1.061424102970e-14       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   80       3.035720181475e-11       1.455558302816e-14      -4.964962222897e-13       1.065218732497e-14       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   81       2.956546014633e-11       1.469403931693e-14      -4.949423854338e-13       1.068469787077e-14       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   82       2.878323219174e-11       1.482674908514e-14      -4.930699007278e-13       1.071180453948e-14       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   83       2.801020666931e-11       1.495362719536e-14      -4.908863740971e-13       1.073354828801e-14       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   84       2.724606576847e-11       1.507459495305e-14      -4.883996975662e-13       1.074997543112e-14       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   85       2.649141102737e-11       1.518957945150e-14      -4.856164313129e-13       1.076112547917e-14       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   86       2.574696786496e-11       1.529851439719e-14      -4.825431746845e-13       1.076704150265e-14       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   87       2.501329704570e-11       1.540134049924e-14      -4.791870569709e-13       1.076777386269e-14       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   88       2.429078664712e-11       1.549800561753e-14      -4.755557411095e-13       1.076338027070e-14       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   89       2.357964402723e-11       1.558846491087e-14      -4.716574273912e-13       1.075392584787e-14       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   90       2.287988779213e-11       1.567268098514e-14      -4.675008571652e-13       1.073948318488e-14       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   91       2.219133976339e-11       1.575062404140e-14      -4.630953165448e-13       1.072013240140e-14       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   92       2.151361694565e-11       1.582227202409e-14      -4.584506401127e-13       1.069596120576e-14       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   93       2.084636547723e-11       1.588760755484e-14      -4.535766900371e-13       1.066706043914e-14       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   94       2.019002017870e-11       1.594660788482e-14      -4.484816957592e-13       1.063350981229e-14       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   95       1.954514492075e-11       1.599925369808e-14      -4.431736702836e-13       1.059539012379e-14       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   96       1.891219617196e-11       1.604553229387e-14      -4.376609090688e-13       1.055278758199e-14       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   97       1.829151828797e-11       1.608543769064e-14      -4.319519865317e-13       1.050579380260e-14       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   98       1.768333880061e-11       1.611897073004e-14      -4.260557525522e-13       1.045450580629e-14       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   99       1.708776370711e-11       1.614613918100e-14      -4.199813289771e-13       1.039902601633e-14       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
  100       1.650477275924e-11       1.616695784368e-14      -4.137381061251e-13       1.033946225618e-14       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
  101       1.593421475246e-11       1.618144865356e-14      -4.073357392910e-13       1.027592774715e-14       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
  102       1.537580281509e-11       1.618964078544e-14      -4.007841452500e-13       1.020854110597e-14       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
  103       1.482910969748e-11       1.619157075742e-14      -3.940934987625e-13       1.013742634245e-14       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
  104       1.429374714012e-11       1.618727927681e-14      -3.872738563014e-13       1.006270849570e-14       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
  105       1.376994171951e-11       1.617680106828e-14      -3.803339768775e-13       9.984499876809e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
  106       1.325802837046e-11       1.616017385915e-14      -3.732823346666e-13       9.902911954663e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
