# PT power spectra for matter and bias tracers P(k), P_CTR(k) (for c_s^2 = 1 (Mpc/h)^2 ), Id2d2(k), Id2(k), IG2(k), Id2G2(k), IG2G2(k), IFG2(k) at redshift z=0
# for k=1.03892e-05 to 108.968 h/Mpc,
# number of wavenumbers equal to 813
#    1:k (h/Mpc)           2:P_lin + P_1loop (Mpc/h)^3     3:P_CTR (Mpc/h)^3        4:Id2d2 (Mpc/h)^3        5:Id2 (Mpc/h)^3          6:IG2 (Mpc/h)^3          7:Id2G2 (Mpc/h)^3        8:IG2G2 (Mpc/h)^3        9:IFG2 (Mpc/h)^3     
       1.038922642939e-05       5.116730787898e+01      -5.522795875690e-09      -5.116730799284e+01       0.000000000000e+00      -5.116730799284e+01      -5.116730799284e+01       5.116730799284e+01      -5.116730799284e+01 
       2.321812845777e-05       1.108985037964e+02      -5.978333127651e-08      -1.108985049459e+02       0.000000000000e+00      -1.108985049459e+02      -1.108985049459e+02       1.108985049459e+02      -1.108985049459e+02 
       3.609173375949e-05       1.695113073088e+02      -2.208076817519e-07      -1.695113110990e+02       0.000000000000e+00      -1.695113110990e+02      -1.695113110990e+02       1.695113110990e+02      -1.695113110990e+02 
       4.904439972293e-05       2.276638462919e+02      -5.476119757282e-07      -2.276638575228e+02       0.000000000000e+00      -2.276638575228e+02      -2.276638575228e+02       2.276638575228e+02      -2.276638575228e+02 
       6.211104703766e-05       2.857257348873e+02      -1.102267740176e-06      -2.857257561853e+02       0.000000000000e+00      -2.857257561853e+02      -2.857257561853e+02       2.857257561853e+02      -2.857257561853e+02 
       7.532746857054e-05       3.439710248105e+02      -1.951770095648e-06      -3.439710637799e+02       0.000000000000e+00      -3.439710637799e+02      -3.439710637799e+02       3.439710637799e+02      -3.439710637799e+02 
       8.873064803662e-05       4.026321802224e+02      -3.169975182739e-06      -4.026322439353e+02       0.000000000000e+00      -4.026322439353e+02      -4.026322439353e+02       4.026322439353e+02      -4.026322439353e+02 
       1.023590926717e-04       4.619220338147e+02      -4.839735513265e-06      -4.619221325086e+02       0.000000000000e+00      -4.619221325086e+02      -4.619221325086e+02       4.619221325086e+02      -4.619221325086e+02 
       1.162531841463e-04       5.220450159358e+02      -7.055337454093e-06      -5.220451588781e+02       0.000000000000e+00      -5.220451588781e+02      -5.220451588781e+02       5.220451588781e+02      -5.220451588781e+02 
       1.304555519933e-04       5.832038701918e+02      -9.925346712431e-06      -5.832040712008e+02       0.000000000000e+00      -5.832040712008e+02      -5.832040712008e+02       5.832040712008e+02      -5.832040712008e+02 
       1.450114738307e-04       6.456042694060e+02      -1.357598388734e-05      -6.456045489345e+02       0.000000000000e+00      -6.456045489345e+02      -6.456045489345e+02       6.456045489345e+02      -6.456045489345e+02 
