# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 5000, i.e. number of multipoles equal to 4999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       2.854584331243e-10       7.806878265726e-15       5.603663275512e-13       4.801771836140e-15       8.295052805759e-09       4.689811522420e-10      -2.069960777752e-12 
    3       2.442152421294e-10       1.011718582956e-14       4.540117877089e-13       4.836879484245e-15       5.165976978250e-09       3.331956162319e-10      -1.657325417618e-12 
    4       2.251777279377e-10       9.681962645011e-15       3.881849993684e-13       4.207384026052e-15       3.599238313103e-09       2.523854568399e-10      -1.177728962723e-12 
    5       2.145249853782e-10       7.469419075982e-15       3.248964508806e-13       3.296627382175e-15       2.687276974366e-09       1.994312850919e-10      -7.494946984953e-13 
    6       2.075462390134e-10       4.913047763154e-15       2.623285160778e-13       2.392972270674e-15       2.097620952357e-09       1.623376518155e-10      -4.080037407571e-13 
    7       2.029900852801e-10       2.947743046246e-15       2.058536660798e-13       1.655330159033e-15       1.690362214449e-09       1.350739442987e-10      -1.621209298958e-13 
    8       2.000075703720e-10       1.817595025043e-15       1.590668946545e-13       1.136850558410e-15       1.396167168176e-09       1.143559026720e-10      -5.637307398875e-15 
    9       1.981644635217e-10       1.330755783999e-15       1.236124143435e-13       8.256878096210e-16       1.175841285811e-09       9.825191502361e-11       7.615637288458e-14 
   10       1.971370297520e-10       1.185927959113e-15       9.941830202100e-14       6.799271555333e-16       1.005510072980e-09       8.546512306479e-11       1.021541640029e-13 
   11       1.966193392921e-10       1.169182957443e-15       8.518249919560e-14       6.514053489197e-16       8.467550250756e-10       7.532327818199e-11       9.186994182236e-14 
   12       1.965363318571e-10       1.193607780875e-15       7.874042560816e-14       6.981214140093e-16       7.398141700129e-10       6.669717843775e-11       6.312342164838e-14 
   13       1.967476762447e-10       1.249569031114e-15       7.762427475601e-14       7.893494551103e-16       6.520336540372e-10       5.943929473368e-11       2.907421859706e-14 
   14       1.971779435657e-10       1.346399065265e-15       7.954508161894e-14       9.048908097204e-16       5.789964735830e-10       5.334766034032e-11      -9.901993644087e-16 
   15       1.977978873747e-10       1.483029515625e-15       8.262945340743e-14       1.033556314347e-15       5.175255903874e-10       4.819965196144e-11      -2.218470097842e-14 
   16       1.985262036562e-10       1.648906942691e-15       8.570208744004e-14       1.169834142437e-15       4.652652094822e-10       4.376711279905e-11      -3.331096045228e-14 
   17       1.994141493037e-10       1.835107615612e-15       8.811860838262e-14       1.310959416790e-15       4.204352342023e-10       3.981807245458e-11      -3.583018272790e-14 
   18       2.003656903512e-10       2.039320573207e-15       8.961328486163e-14       1.456588143708e-15       3.815249757268e-10       3.638366319669e-11      -3.220140744191e-14 
   19       2.013980059887e-10       2.265466618082e-15       9.034939475474e-14       1.606503215254e-15       3.479187897443e-10       3.341801287444e-11      -2.498960896692e-14 
   20       2.024818707523e-10       2.518822362934e-15       9.065373544304e-14       1.760468402243e-15       3.183214105078e-10       3.075118710243e-11      -1.731390317835e-14 
   21       2.036283401196e-10       2.801130485515e-15       9.077269055500e-14       1.918383365928e-15       2.922678695283e-10       2.837424194063e-11      -1.085673387024e-14 
   22       2.048063481933e-10       3.112268925835e-15       9.090438083989e-14       2.080262615283e-15       2.691346862871e-10       2.628963821346e-11      -6.763678867116e-15 
   23       2.060344264888e-10       3.451028203987e-15       9.103573407132e-14       2.246007879282e-15       2.486034753245e-10       2.445899705790e-11      -5.095867323961e-15 
   24       2.073056313027e-10       3.815605520518e-15       9.103572902467e-14       2.415512237149e-15       2.301992519883e-10       2.280502710938e-11      -5.393332518742e-15 
   25       2.086165993710e-10       4.206036446758e-15       9.069923041679e-14       2.588583321244e-15       2.137055735513e-10       2.128895496479e-11      -7.062629683393e-15 
   26       2.099393934040e-10       4.622801971818e-15       8.975826222605e-14       2.765008360970e-15       1.988241470223e-10       1.987634149520e-11      -9.331587449041e-15 
   27       2.112847644661e-10       5.066274330579e-15       8.796651006828e-14       2.944530657974e-15       1.853768235770e-10       1.858483250574e-11      -1.148155956133e-14 
   28       2.126564565370e-10       5.536807673465e-15       8.508076018611e-14       3.126891663341e-15       1.731321130066e-10       1.743588596531e-11      -1.283731451314e-14 
   29       2.140677829609e-10       6.035238778376e-15       8.098093279318e-14       3.311871998015e-15       1.620272482608e-10       1.641723149922e-11      -1.332129042051e-14 
   30       2.155107045961e-10       6.562576514454e-15       7.558338100787e-14       3.499278198436e-15       1.519424759577e-10       1.549117597478e-11      -1.308445477481e-14 
   31       2.169579862268e-10       7.119877739066e-15       6.882737080493e-14       3.688921936677e-15       1.426715880332e-10       1.461275271528e-11      -1.233420842157e-14 
   32       2.184208704369e-10       7.708261730834e-15       6.075400850630e-14       3.880564413425e-15       1.341668067066e-10       1.378391340095e-11      -1.126050154793e-14 
   33       2.199081963154e-10       8.328905935365e-15       5.146064320399e-14       4.073951504163e-15       1.263683278446e-10       1.301829536093e-11      -1.009060787094e-14 
   34       2.214149336224e-10       8.982929259646e-15       4.104952919341e-14       4.268833190257e-15       1.191673554025e-10       1.232413954466e-11      -9.066123381916e-15 
   35       2.229425944218e-10       9.670989810047e-15       2.951076122648e-14       4.464981730928e-15       1.125270104397e-10       1.169503483770e-11      -8.281070896749e-15 
   36       2.244826248037e-10       1.039353677097e-14       1.679878398755e-14       4.662180223773e-15       1.063938690229e-10       1.111490831771e-11      -7.788899432935e-15 
   37       2.260193684157e-10       1.115096346473e-14       2.865497906030e-15       4.860207914410e-15       1.006879562683e-10       1.056557274762e-11      -7.621255768714e-15 
   38       2.275648878523e-10       1.194379833014e-14      -1.232985993881e-14       5.058805001137e-15       9.539450766031e-11       1.004655497367e-11      -7.706542734892e-15 
   39       2.291335453900e-10       1.277256786450e-14      -2.882807817078e-14       5.257695832242e-15       9.049674784649e-11       9.561232595225e-12      -7.922005269060e-15 
   40       2.307314804776e-10       1.363774068489e-14      -4.667306942908e-14       5.456597663540e-15       8.594798380924e-11       9.111302174801e-12      -8.112796735488e-15 
   41       2.323581671988e-10       1.453976403696e-14      -6.591088695157e-14       5.655227769130e-15       8.168787067838e-11       8.696579061799e-12      -8.132983664602e-15 
   42       2.340139556810e-10       1.547919662888e-14      -8.658553689185e-14       5.853328803840e-15       7.770385103582e-11       8.314738950952e-12      -7.989726306688e-15 
   43       2.356934038140e-10       1.645661272804e-14      -1.087423996006e-13       6.050650824542e-15       7.398532363983e-11       7.961197799701e-12      -7.742454227333e-15 
   44       2.373822377180e-10       1.747256467073e-14      -1.324297077950e-13       6.246944379548e-15       7.050520598697e-11       7.628956412653e-12      -7.464609160484e-15 
   45       2.390644955962e-10       1.852751543073e-14      -1.576872360651e-13       6.441956107699e-15       6.722960353835e-11       7.310666292322e-12      -7.228522636693e-15 
   46       2.407483167936e-10       1.962161466327e-14      -1.845077266659e-13       6.635413954476e-15       6.415335593915e-11       7.005979823927e-12      -7.052675952582e-15 
   47       2.424465556168e-10       2.075485399058e-14      -2.128643722245e-13       6.827037544891e-15       6.127288619187e-11       6.716097112675e-12      -6.940103499795e-15 
   48       2.441692338653e-10       2.192712290280e-14      -2.427209874437e-13       7.016541963749e-15       5.857548034050e-11       6.441668091401e-12      -6.892910886482e-15 
   49       2.459232281314e-10       2.313820392349e-14      -2.740316018572e-13       7.203637507066e-15       5.603860802237e-11       6.182745071193e-12      -6.912196543119e-15 
   50       2.477122854948e-10       2.438782616432e-14      -3.067518960208e-13       7.388042589384e-15       5.363670699822e-11       5.938920091977e-12      -6.996151038149e-15 
   51       2.495378010930e-10       2.567585434194e-14      -3.408781144756e-13       7.569527172741e-15       5.136528411186e-11       5.709891009033e-12      -7.133928680425e-15 
   52       2.513977110922e-10       2.700214271106e-14      -3.764180113217e-13       7.747880696325e-15       4.922218179581e-11       5.494967045113e-12      -7.309976923374e-15 
   53       2.532858925447e-10       2.836647912261e-14      -4.133800764840e-13       7.922900312630e-15       4.720036544692e-11       5.292859586741e-12      -7.505553010682e-15 
   54       2.551918661424e-10       2.976858293706e-14      -4.517736858058e-13       8.094391257979e-15       4.528759522424e-11       5.101643431308e-12      -7.698559827273e-15 
   55       2.571050443056e-10       3.120812979112e-14      -4.916082767138e-13       8.262169111442e-15       4.347015800074e-11       4.919286310680e-12      -7.868965723480e-15 
   56       2.590293922195e-10       3.268483788300e-14      -5.328902915563e-13       8.426066379895e-15       4.174590075817e-11       4.745480284636e-12      -8.017016714124e-15 
   57       2.609718882633e-10       3.419839946732e-14      -5.756257378256e-13       8.585928197832e-15       4.011386009551e-11       4.580197426120e-12      -8.149261060771e-15 
   58       2.629381802355e-10       3.574845486202e-14      -6.198212057458e-13       8.741611016736e-15       3.857031943539e-11       4.423145154628e-12      -8.273413936205e-15 
   59       2.649324651982e-10       3.733459140793e-14      -6.654839804019e-13       8.892983049173e-15       3.710863900981e-11       4.273749623946e-12      -8.398410832810e-15 
   60       2.669573693218e-10       3.895634242834e-14      -7.126221538686e-13       9.039924712894e-15       3.571908584585e-11       4.131139109891e-12      -8.534460970946e-15 
   61       2.690145792237e-10       4.061317608899e-14      -7.612401512775e-13       9.182326651441e-15       3.439153546215e-11       3.994404308017e-12      -8.690028023921e-15 
   62       2.711071734070e-10       4.230446140971e-14      -8.113238818580e-13       9.320082272098e-15       3.312467022254e-11       3.863485083391e-12      -8.861859526376e-15 
   63       2.732376033021e-10       4.402949274274e-14      -8.628524386948e-13       9.453094313442e-15       3.191855335453e-11       3.738454188403e-12      -9.042804048588e-15 
   64       2.754068935476e-10       4.578749786528e-14      -9.158023579559e-13       9.581277480968e-15       3.077186209443e-11       3.619250245387e-12      -9.224643181605e-15 
   65       2.776145456789e-10       4.757763661854e-14      -9.701475855097e-13       9.704558814286e-15       2.968180879030e-11       3.505669920512e-12      -9.398047451698e-15 
   66       2.798584418175e-10       4.939899954694e-14      -1.025859443541e-12       9.822878054332e-15       2.864406200484e-11       3.397360097656e-12      -9.552532234831e-15 
   67       2.821347483597e-10       5.125060653720e-14      -1.082906597170e-12       9.936188010567e-15       2.765266761832e-11       3.293810052290e-12      -9.676413671112e-15 
   68       2.844396592573e-10       5.313141454783e-14      -1.141257791684e-12       1.004444612737e-14       2.670163804519e-11       3.194493700551e-12      -9.759601000354e-15 
   69       2.867752513270e-10       5.504034565832e-14      -1.200890782934e-12       1.014758637804e-14       2.579027017533e-11       3.099347310510e-12      -9.802729133033e-15 
   70       2.891446478145e-10       5.697626228485e-14      -1.261785164817e-12       1.024554230927e-14       2.491876820456e-11       3.008374973353e-12      -9.809805883777e-15 
   71       2.915502353992e-10       5.893795748463e-14      -1.323919795563e-12       1.033825547764e-14       2.408663527776e-11       2.921503176346e-12      -9.785567228635e-15 
   72       2.939936149313e-10       6.092415382754e-14      -1.387272835218e-12       1.042567559174e-14       2.329263725459e-11       2.838576814961e-12      -9.735505762277e-15 
   73       2.964755521694e-10       6.293350226771e-14      -1.451821783114e-12       1.050776065425e-14       2.253476647513e-11       2.759355204995e-12      -9.665899155184e-15 
   74       2.989959285172e-10       6.496458101520e-14      -1.517543515350e-12       1.058447710414e-14       2.181020552555e-11       2.683508094691e-12      -9.583838610859e-15 
   75       3.015536917614e-10       6.701589440755e-14      -1.584414322269e-12       1.065579995871e-14       2.111529100380e-11       2.610611676860e-12      -9.497257323014e-15 
   76       3.041477057506e-10       6.908591919593e-14      -1.652408871782e-12       1.072171265882e-14       2.044642234610e-11       2.540253416363e-12      -9.413239835548e-15 
   77       3.067795872101e-10       7.117325564216e-14      -1.721496798287e-12       1.078220625767e-14       1.980305973535e-11       2.472377416812e-12      -9.332531292850e-15 
   78       3.094512991369e-10       7.327650205289e-14      -1.791645556917e-12       1.083728034165e-14       1.918520958524e-11       2.406995080587e-12      -9.254073973906e-15 
   79       3.121642674199e-10       7.539420965596e-14      -1.862821457714e-12       1.088694344788e-14       1.859251139535e-11       2.344080152497e-12      -9.176630879021e-15 
   80       3.149193500104e-10       7.752488244421e-14      -1.934989681071e-12       1.093121320031e-14       1.802422089608e-11       2.283566963247e-12      -9.098778935533e-15 
   81       3.177168060932e-10       7.966697701946e-14      -2.008114293187e-12       1.097011644573e-14       1.747919319356e-11       2.225348672911e-12      -9.018902203535e-15 
   82       3.205562652572e-10       8.181890243632e-14      -2.082158261515e-12       1.100368938977e-14       1.695586591454e-11       2.169275514397e-12      -8.935185081589e-15 
   83       3.234366966665e-10       8.397902004613e-14      -2.157083470215e-12       1.103197773298e-14       1.645224235131e-11       2.115153036916e-12      -8.845605512445e-15 
   84       3.263570397873e-10       8.614565032323e-14      -2.232849940185e-12       1.105503192284e-14       1.596637643312e-11       2.062791815924e-12      -8.748513952645e-15 
   85       3.293182842381e-10       8.831709498609e-14      -2.309413306774e-12       1.107289170752e-14       1.549795693671e-11       2.012169899151e-12      -8.644495443973e-15 
   86       3.323216798144e-10       9.049161827422e-14      -2.386726950310e-12       1.108559925898e-14       1.504695622242e-11       1.963294195377e-12      -8.534805212291e-15 
   87       3.353680861680e-10       9.266744025364e-14      -2.464742756391e-12       1.109320388243e-14       1.461314346146e-11       1.916150523952e-12      -8.420813355420e-15 
   88       3.384579530968e-10       9.484273677816e-14      -2.543411117965e-12       1.109576207025e-14       1.419607621486e-11       1.870702723240e-12      -8.304007893628e-15 
   89       3.415913008340e-10       9.701563945054e-14      -2.622680937415e-12       1.109333755598e-14       1.379509201247e-11       1.826891759075e-12      -8.185997820119e-15 
   90       3.447677003375e-10       9.918423558384e-14      -2.702499628635e-12       1.108600136823e-14       1.340929993186e-11       1.784634833207e-12      -8.068516151523e-15 
   91       3.479862535795e-10       1.013465681626e-13      -2.782813119118e-12       1.107383188464e-14       1.303757217734e-11       1.743824491761e-12      -7.953422978385e-15 
   92       3.512455738360e-10       1.035006358039e-13      -2.863565852037e-12       1.105691488584e-14       1.267853565894e-11       1.704327733679e-12      -7.842708515651e-15 
   93       3.545443346822e-10       1.056444385386e-13      -2.944701912983e-12       1.103533973547e-14       1.233089753242e-11       1.666018481037e-12      -7.738091338120e-15 
   94       3.578830542443e-10       1.077761231129e-13      -3.026168599529e-12       1.100918714603e-14       1.199449611743e-11       1.628882512741e-12      -7.639737340217e-15 
   95       3.612625441051e-10       1.098938595701e-13      -3.107913394875e-12       1.097853966419e-14       1.166939320332e-11       1.592926737917e-12      -7.547352851228e-15 
   96       3.646833527637e-10       1.119957979605e-13      -3.189882908314e-12       1.094348538150e-14       1.135555038597e-11       1.558146812473e-12      -7.460569810442e-15 
   97       3.681457537319e-10       1.140800689314e-13      -3.272022892747e-12       1.090411793518e-14       1.105282523095e-11       1.524526705503e-12      -7.378943260806e-15 
   98       3.716497336297e-10       1.161447843174e-13      -3.354278262207e-12       1.086053650887e-14       1.076096743675e-11       1.492038265694e-12      -7.301948842593e-15 
   99       3.751949802812e-10       1.181880377310e-13      -3.436593109376e-12       1.081284583341e-14       1.047961499797e-11       1.460640787728e-12      -7.228980287050e-15 
