# dimensionless [l(l+1)/2pi] C_l's for scalar mode
# for l=2 to 5500, i.e. number of multipoles equal to 5499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.434898082147e-10       5.120178883052e-15       3.941692102820e-13       0.000000000000e+00       8.295052805759e-09       4.689811522420e-10      -2.069960777752e-12 
    3       1.352895321782e-10       7.272962282702e-15       4.620911478751e-13       0.000000000000e+00       5.165976978250e-09       3.331956162319e-10      -1.657325417618e-12 
    4       1.274901472741e-10       7.071366724268e-15       4.487734162292e-13       0.000000000000e+00       3.599238313103e-09       2.523854568399e-10      -1.177728962723e-12 
    5       1.215459054216e-10       5.382209593797e-15       3.963857936299e-13       0.000000000000e+00       2.687276974366e-09       1.994312850919e-10      -7.494946984953e-13 
    6       1.173473215841e-10       3.407934604287e-15       3.302963438825e-13       0.000000000000e+00       2.097620952357e-09       1.623376518155e-10      -4.080037407571e-13 
    7       1.145497915851e-10       1.921982433164e-15       2.661616769304e-13       0.000000000000e+00       1.690362214449e-09       1.350739442987e-10      -1.621209298958e-13 
    8       1.127557564914e-10       1.102595250137e-15       2.121134362455e-13       0.000000000000e+00       1.396167168176e-09       1.143559026720e-10      -5.637307398875e-15 
    9       1.117762777486e-10       7.630672445996e-16       1.714816157212e-13       0.000000000000e+00       1.175841285811e-09       9.825191502361e-11       7.615637288458e-14 
   10       1.114292069582e-10       6.416359444355e-16       1.445255233348e-13       0.000000000000e+00       1.005510072980e-09       8.546512306479e-11       1.021541640029e-13 
   11       1.114914988963e-10       5.698204832395e-16       1.297185133036e-13       0.000000000000e+00       8.467550250756e-10       7.532327818199e-11       9.186994182236e-14 
   12       1.119361963374e-10       4.964600540313e-16       1.245070536116e-13       0.000000000000e+00       7.398141700129e-10       6.669717843775e-11       6.312342164838e-14 
   13       1.126515430861e-10       4.342791551236e-16       1.260356603925e-13       0.000000000000e+00       6.520336540372e-10       5.943929473368e-11       2.907421859706e-14 
   14       1.135798788163e-10       4.032063149100e-16       1.317083369544e-13       0.000000000000e+00       5.789964735830e-10       5.334766034032e-11      -9.901993644087e-16 
   15       1.147030745950e-10       4.061972547897e-16       1.394329416931e-13       0.000000000000e+00       5.175255903874e-10       4.819965196144e-11      -2.218470097842e-14 
   16       1.159464421786e-10       4.334446003426e-16       1.478767678716e-13       0.000000000000e+00       4.652652094822e-10       4.376711279905e-11      -3.331096045228e-14 
   17       1.173648456827e-10       4.752859857333e-16       1.562822842392e-13       0.000000000000e+00       4.204352342023e-10       3.981807245458e-11      -3.583018272790e-14 
   18       1.188699672483e-10       5.295618609453e-16       1.643080021561e-13       0.000000000000e+00       3.815249757268e-10       3.638366319669e-11      -3.220140744191e-14 
   19       1.204616952957e-10       6.003183399297e-16       1.720699051167e-13       0.000000000000e+00       3.479187897443e-10       3.341801287444e-11      -2.498960896692e-14 
   20       1.221300738539e-10       6.927790899492e-16       1.798322232646e-13       0.000000000000e+00       3.183214105078e-10       3.075118710243e-11      -1.731390317835e-14 
