# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 5000, i.e. number of multipoles equal to 4999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       2.849708525825e-10       7.793534185211e-15       5.594071851022e-13       4.793495890665e-15       8.281199145406e-09       4.682040975248e-10      -2.066423851697e-12 
    3       2.437985895532e-10       1.010002545837e-14       4.532433134362e-13       4.828544292076e-15       5.157432683085e-09       3.326435133609e-10      -1.654515445997e-12 
    4       2.247939530225e-10       9.665703728989e-15       3.875392738530e-13       4.200135637160e-15       3.593347423762e-09       2.519668191297e-10      -1.175749747174e-12 
    5       2.141598498443e-10       7.457057705536e-15       3.243704133654e-13       3.290951058077e-15       2.682921660249e-09       1.991002063173e-10      -7.482469619091e-13 
    6       2.071935407894e-10       4.905108979490e-15       2.619216653082e-13       2.388856184650e-15       2.094251531974e-09       1.620680913242e-10      -4.073326374973e-13 
    7       2.026456957164e-10       2.943170608093e-15       2.055550334715e-13       1.652488572611e-15       1.687671184014e-09       1.348496498676e-10      -1.618629536936e-13 
    8       1.996687436814e-10       1.814931864454e-15       1.588588244843e-13       1.134906096688e-15       1.393966485168e-09       1.141659832465e-10      -5.642330882684e-15 
    9       1.978291878353e-10       1.328878528882e-15       1.234748200241e-13       8.242835269818e-16       1.174007976287e-09       9.808878052532e-11       7.601436821812e-14 
   10       1.968038026629e-10       1.184236841218e-15       9.932872926057e-14       6.787783651399e-16       1.003959493117e-09       8.532345293745e-11       1.019703475478e-13 
   11       1.962869558592e-10       1.167456206908e-15       8.511623447657e-14       6.503103560790e-16       8.453880224535e-10       7.519722241755e-11       9.170809158001e-14 
   12       1.962036352724e-10       1.191781267934e-15       7.867556133983e-14       6.969509719151e-16       7.386221886805e-10       6.658584114409e-11       6.301311260542e-14 
   13       1.964138464315e-10       1.247599375757e-15       7.754680741347e-14       7.880272381856e-16       6.509852922351e-10       5.934018146164e-11       2.902276253377e-14 
   14       1.968424662655e-10       1.344227054989e-15       7.944939891219e-14       9.033753221909e-16       5.780675988163e-10       5.325885157661e-11      -9.902889021175e-16 
   15       1.974603717378e-10       1.480594989626e-15       8.251563209770e-14       1.031825375536e-15       5.166972002537e-10       4.811955585196e-11      -2.214861358395e-14 
   16       1.981865328738e-10       1.646164474096e-15       8.557275923600e-14       1.167875022286e-15       4.645222401420e-10       4.369442820138e-11      -3.325578850079e-14 
   17       1.990721442102e-10       1.832024663427e-15       8.797726352821e-14       1.308764192356e-15       4.197654523669e-10       3.975196473586e-11      -3.577052027691e-14 
   18       2.000213179177e-10       2.035867332410e-15       8.946344853187e-14       1.454149470395e-15       3.809186759028e-10       3.632334627052e-11      -3.214759911047e-14 
   19       2.010511727752e-10       2.261606305587e-15       9.019395723077e-14       1.603814126484e-15       3.473673611024e-10       3.336273815388e-11      -2.494767744639e-14 
   20       2.021324902741e-10       2.514508932486e-15       9.049451583989e-14       1.757522353253e-15       3.178182674118e-10       3.070040648508e-11      -1.728465803710e-14 
   21       2.032763122869e-10       2.796315229974e-15       9.061088842873e-14       1.915173962637e-15       2.918071835476e-10       2.832745113675e-11      -1.083817917205e-14 
   22       2.044516428037e-10       3.106903734313e-15       9.074069867046e-14       2.076783410390e-15       2.687116697839e-10       2.624638841327e-11      -6.751902816999e-15 
   23       2.056769758925e-10       3.445067139119e-15       9.087081579275e-14       2.242252625186e-15       2.482138654662e-10       2.441887373960e-11      -5.086812457142e-15 
   24       2.069453652018e-10       3.809005557792e-15       9.087033047106e-14       2.411474913594e-15       2.298395582317e-10       2.276769294525e-11      -5.383659780519e-15 
   25       2.082534530150e-10       4.198753977581e-15       9.053427037823e-14       2.584258215454e-15       2.133726623731e-10       2.125416247717e-11      -7.050019923944e-15 
   26       2.095733503799e-10       4.614791987559e-15       8.959491314152e-14       2.760390086312e-15       1.985153754486e-10       1.984394422385e-11      -9.315069096983e-15 
   27       2.109157768276e-10       5.057491620346e-15       8.780640355897e-14       2.939614284449e-15       1.850898418566e-10       1.855463492974e-11      -1.146140004968e-14 
   28       2.122844548143e-10       5.527207076372e-15       8.492604109315e-14       3.121672735415e-15       1.728649499070e-10       1.740762139363e-11      -1.281493259227e-14 
   29       2.136926845949e-10       6.024773638568e-15       8.083392501549e-14       3.306346436170e-15       1.617780378939e-10       1.639066087263e-11      -1.329819976500e-14 
   30       2.151324609405e-10       6.551198055824e-15       7.544646979925e-14       3.493442242465e-15       1.517095496086e-10       1.546614771750e-11      -1.306185226433e-14 
   31       2.165766119727e-10       7.107534855884e-15       6.870296029636e-14       3.682772137156e-15       1.424536135467e-10       1.458921389778e-11      -1.231288309200e-14 
   32       2.180363460892e-10       7.694900919843e-15       6.064443041362e-14       3.874097735211e-15       1.339625316467e-10       1.376180176366e-11      -1.124094440295e-14 
   33       2.195204576010e-10       8.314471112271e-15       5.136808964808e-14       4.067165359331e-15       1.261765982451e-10       1.299750777593e-11      -1.007298268258e-14 
   34       2.210238975397e-10       8.967361901839e-15       4.097604264992e-14       4.261725430798e-15       1.189871945088e-10       1.230454103713e-11      -9.050239977626e-15 
