# dimensionless [l(l+1)/2pi] C_l's for scalar mode
# for l=2 to 5500, i.e. number of multipoles equal to 5499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.432469513008e-10       5.111464820276e-15       3.934965556377e-13       0.000000000000e+00       8.281199145406e-09       4.682040975248e-10      -2.066423851697e-12 
    3       1.350606446572e-10       7.260702199026e-15       4.613087460364e-13       0.000000000000e+00       5.157432683085e-09       3.326435133609e-10      -1.654515445997e-12 
    4       1.272747658005e-10       7.059603677887e-15       4.480232497165e-13       0.000000000000e+00       3.593347423762e-09       2.519668191297e-10      -1.175749747174e-12 
    5       1.213410475432e-10       5.373439777040e-15       3.957365244929e-13       0.000000000000e+00       2.682921660249e-09       1.991002063173e-10      -7.482469619091e-13 
    6       1.171501093095e-10       3.402581424921e-15       3.297723312976e-13       0.000000000000e+00       2.094251531974e-09       1.620680913242e-10      -4.073326374973e-13 
    7       1.143578572698e-10       1.919166344944e-15       2.657590861142e-13       0.000000000000e+00       1.687671184014e-09       1.348496498676e-10      -1.618629536936e-13 
    8       1.125673372244e-10       1.101149370218e-15       2.118139244323e-13       0.000000000000e+00       1.393966485168e-09       1.141659832465e-10      -5.642330882684e-15 
    9       1.115899216853e-10       7.621495332596e-16       1.712615039647e-13       0.000000000000e+00       1.174007976287e-09       9.808878052532e-11       7.601436821812e-14 
   10       1.112437277183e-10       6.408598240024e-16       1.443581941127e-13       0.000000000000e+00       1.003959493117e-09       8.532345293745e-11       1.019703475478e-13 
   11       1.113058645781e-10       5.690990015410e-16       1.295754753417e-13       0.000000000000e+00       8.453880224535e-10       7.519722241755e-11       9.170809158001e-14 
   12       1.117493402807e-10       4.958023177164e-16       1.243632946050e-13       0.000000000000e+00       7.386221886805e-10       6.658584114409e-11       6.301311260542e-14 
   13       1.124626861683e-10       4.336764378153e-16       1.258747375294e-13       0.000000000000e+00       6.509852922351e-10       5.934018146164e-11       2.902276253377e-14 
   14       1.133885169065e-10       4.026158061636e-16       1.315227297196e-13       0.000000000000e+00       5.780675988163e-10       5.325885157661e-11      -9.902889021175e-16 
   15       1.145088080479e-10       4.055682903211e-16       1.392211962074e-13       0.000000000000e+00       5.166972002537e-10       4.811955585196e-11      -2.214861358395e-14 
