# dimensionless [l(l+1)/2pi] C_l's for tensor mode
# for l=2 to 500, i.e. number of multipoles equal to 499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.417234209504e-10       2.681829280800e-15       1.659106335305e-13       4.793255806528e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    3       1.087369877366e-10       2.838842937329e-15      -8.065414500872e-15       4.828063970048e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    4       9.751759963358e-11       2.605299180742e-15      -6.048392393573e-14       4.199334766738e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    5       9.281643505723e-11       2.082416016237e-15      -7.136599305384e-14       3.289749145585e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    6       9.004014057627e-11       1.500843896049e-15      -6.785043434295e-14       2.387172525406e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    7       8.828348579803e-11       1.021757926357e-15      -6.020364262954e-14       1.650242233891e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    8       8.709586042558e-11       7.108923146612e-16      -5.295442752082e-14       1.132015912506e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    9       8.623240189452e-11       5.631135839529e-16      -4.778564431263e-14       8.206681052149e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   10       8.555177458412e-11       5.389547796655e-16      -4.502793142605e-14       6.743561069466e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   11       8.497124387614e-11       5.930463761470e-16      -4.445706457793e-14       6.449994870114e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   12       8.444279635022e-11       6.896976351729e-16      -4.568474233933e-14       6.906695836097e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   13       8.393791258536e-11       8.065891679454e-16      -4.832393019472e-14       7.806933390216e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   14       8.343886074007e-11       9.331430411089e-16      -5.206810544173e-14       8.949068949004e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   15       8.293454750686e-11       1.065342124629e-15      -5.669887555632e-14       1.022140439420e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   16       8.241837322166e-11       1.202441815360e-15      -6.205908451968e-14       1.156891697472e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   17       8.188674091975e-11       1.345179636160e-15      -6.803575639056e-14       1.296400763410e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   18       8.133195036956e-11       1.493404724507e-15      -7.455324415330e-14       1.440324447982e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   19       8.077126495677e-11       1.646992305308e-15      -8.156431928343e-14       1.588446296360e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   20       8.018545019730e-11       1.805995608837e-15      -8.900651027892e-14       1.740530831856e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   21       7.958503658517e-11       1.970211947258e-15      -9.684667838116e-14       1.896478223003e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   22       7.896459077361e-11       2.139389523118e-15      -1.050510483395e-13       2.056303316425e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   23       7.833154691981e-11       2.313386047423e-15      -1.135860467786e-13       2.219908432913e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   24       7.767984285413e-11       2.492129309095e-15      -1.224126267560e-13       2.387187280722e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   25       7.701538810694e-11       2.675561294682e-15      -1.315006466586e-13       2.557948175030e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   26       7.633489349011e-11       2.863679131646e-15      -1.408199631238e-13       2.731979030302e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   27       7.564080176221e-11       3.056585696398e-15      -1.503448675006e-13       2.909023917365e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   28       7.492911091244e-11       3.254393955027e-15      -1.600496837777e-13       3.088825034421e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   29       7.420765697703e-11       3.456925522077e-15      -1.699113977551e-13       3.271163583347e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   30       7.347731922104e-11       3.663880852438e-15      -1.799064385708e-13       3.455846568783e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   31       7.272995276482e-11       3.874928675099e-15      -1.900104412102e-13       3.642686067853e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   32       7.197074214200e-11       4.089777280926e-15      -2.002022366314e-13       3.831443729920e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   33       7.120196444161e-11       4.308125027932e-15      -2.104613477297e-13       4.021865844948e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   34       7.041983104895e-11       4.529664889165e-15      -2.207674630768e-13       4.213702741177e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   35       6.962766706401e-11       4.754172520847e-15      -2.311021087280e-13       4.406726957060e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
