# Matter power spectrum P(k) at redshift z=0
# for k=1.03892e-05 to 108.968 h/Mpc,
# number of wavenumbers equal to 813
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.038922642939e-05       5.107910230445e+01 
       2.321812845777e-05       1.107073466797e+02 
       3.609173375949e-05       1.692191035193e+02 
       4.904439972293e-05       2.272714052640e+02 
       6.211104703766e-05       2.852332147126e+02 
       7.532746857054e-05       3.433781181187e+02 
       8.873064803662e-05       4.019381765188e+02 
       1.023590926717e-04       4.611258593950e+02 
       1.162531841463e-04       5.211452446117e+02 
       1.304555519933e-04       5.821987295265e+02 
       1.450114738307e-04       6.444916407459e+02 
       1.599693066034e-04       7.082357879319e+02 
       1.753809529045e-04       7.736524570533e+02 
       1.913023660834e-04       8.409751223320e+02 
       2.077940972269e-04       9.104520247826e+02 
       2.249218860767e-04       9.823487050778e+02 
       2.427572963652e-04       1.056950530065e+03 
       2.613783937036e-04       1.134565246420e+03 
       2.808704607789e-04       1.215525504237e+03 
       3.013267399005e-04       1.300191370655e+03 
       3.228491865167e-04       1.388952703365e+03 
       3.455492088079e-04       1.482231310134e+03 
       3.695483574944e-04       1.580482703009e+03 
       3.949789163030e-04       1.684197263081e+03 
       4.219843271272e-04       1.793900503749e+03 
       4.507193652352e-04       1.910152122627e+03 
       4.813499601652e-04       2.033543392030e+03 
       5.140525395271e-04       2.164692448305e+03 
       5.490127596148e-04       2.304236964921e+03 
       5.864234840096e-04       2.452823739009e+03 
       6.264818862127e-04       2.611094853864e+03 
       6.693855924581e-04       2.779670196877e+03 
       7.153278526981e-04       2.959126544598e+03 
       7.644918337246e-04       3.149973792795e+03 
       8.170442631527e-04       3.352629514774e+03 
       8.731288004716e-04       3.567393561925e+03 
       9.328596440384e-04       3.794424779835e+03 
       9.963159657110e-04       4.033722438078e+03 
       1.063537764317e-03       4.285114478228e+03 
       1.134523625953e-03       4.548254494844e+03 
       1.209230678886e-03       4.822628120073e+03 
       1.287576767588e-03       5.107568811591e+03 
       1.369444598904e-03       5.402265774731e+03 
       1.454687391583e-03       5.705811356282e+03 
       1.543135431286e-03       6.017264227836e+03 
       1.634602911679e-03       6.335620782587e+03 
       1.728894515035e-03       6.659867319130e+03 
       1.825811320086e-03       6.989004521841e+03 
       1.925155782401e-03       7.322066981496e+03 
       2.026735680812e-03       7.658138104857e+03 
       2.130367041837e-03       7.996360217604e+03 
       2.235876134908e-03       8.335941447163e+03 
       2.343100676070e-03       8.676157647566e+03 
       2.451890393792e-03       9.016352823870e+03 
       2.562107106469e-03       9.355937418114e+03 
       2.673624445201e-03       9.694384621836e+03 
       2.786327333995e-03       1.003122676855e+04 
       2.900111316992e-03       1.036605020554e+04 
       3.014881801364e-03       1.069849264353e+04 
       3.130553266383e-03       1.102823477087e+04 
       3.247048474339e-03       1.135500034919e+04 
       3.364297707344e-03       1.167854675528e+04 
