# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 5000, i.e. number of multipoles equal to 4999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       2.842037411688e-10       7.781038246680e-15       5.606758742042e-13       4.782693280661e-15       8.330291776735e-09       4.600429207775e-10      -2.068990389465e-12 
    3       2.431763560661e-10       1.011011330776e-14       4.539409256747e-13       4.826525668392e-15       5.194432790085e-09       3.273331095944e-10      -1.658276977790e-12 
    4       2.243513008981e-10       9.704823627645e-15       3.879443367180e-13       4.206836667027e-15       3.619684344764e-09       2.481420745410e-10      -1.180849107873e-12 
    5       2.138605485059e-10       7.512414850295e-15       3.247015551336e-13       3.303134583926e-15       2.702882415112e-09       1.961504806652e-10      -7.539858147150e-13 
    6       2.069935784863e-10       4.957757448857e-15       2.622327800660e-13       2.402768431641e-15       2.110159207174e-09       1.596906248697e-10      -4.128664062653e-13 
    7       2.025192711189e-10       2.980944614129e-15       2.058662616120e-13       1.665177074152e-15       1.700385946006e-09       1.329088871209e-10      -1.664916600231e-13 
    8       1.996068798529e-10       1.836099582621e-15       1.591683309904e-13       1.144774694068e-15       1.404083555231e-09       1.125560361768e-10      -8.933238265543e-15 
    9       1.978133437852e-10       1.338590506893e-15       1.237638229574e-13       8.308248107962e-16       1.182265975754e-09       9.670847468062e-11       7.417563620772e-14 
   10       1.968140949824e-10       1.188636384375e-15       9.955129105640e-14       6.823193617387e-16       1.011023215535e-09       8.412785221305e-11       1.014173730933e-13 
   11       1.963560946103e-10       1.170261037291e-15       8.521189746407e-14       6.514567663543e-16       8.508482548257e-10       7.416380171410e-11       9.207978486147e-14 
   12       1.962574347248e-10       1.193754373939e-15       7.867456693213e-14       6.965120683727e-16       7.433572044354e-10       6.574702440268e-11       6.402289287116e-14 
   13       1.964948347000e-10       1.248443264301e-15       7.753266873076e-14       7.864891141774e-16       6.551249703195e-10       5.848316247613e-11       3.007721290829e-14 
   14       1.969565813127e-10       1.343550850074e-15       7.941454339309e-14       9.013065483254e-16       5.817186751523e-10       5.252279241809e-11      -1.712870710106e-17 
   15       1.975663575832e-10       1.478773429564e-15       8.250238188270e-14       1.029389888275e-15       5.199428104604e-10       4.753090545284e-11      -2.146156783449e-14 
   16       1.983384975546e-10       1.643587914020e-15       8.563172765263e-14       1.165203971206e-15       4.674249425399e-10       4.310743802822e-11      -3.311779898883e-14 
   17       1.992122278214e-10       1.828816685448e-15       8.806292720644e-14       1.305929925485e-15       4.223743675991e-10       3.920522722901e-11      -3.595638128279e-14 
   18       2.001488852666e-10       2.031876396294e-15       8.958964625233e-14       1.451147314041e-15       3.832746168261e-10       3.580204572968e-11      -3.256069916288e-14 
   19       2.011896893110e-10       2.256539445977e-15       9.036942329750e-14       1.600641373794e-15       3.495073259375e-10       3.286847967473e-11      -2.553185788149e-14 
   20       2.022934036019e-10       2.508010913546e-15       9.068440746695e-14       1.754196426576e-15       3.197691168502e-10       3.029558882488e-11      -1.792729724001e-14 
   21       2.034596442224e-10       2.788215629594e-15       9.077820545356e-14       1.911694289203e-15       2.935923782414e-10       2.801019788869e-11      -1.141207316647e-14 
   22       2.046463962481e-10       3.097302555180e-15       9.086653633968e-14       2.073117466579e-15       2.703506912080e-10       2.592167884989e-11      -7.146683883416e-15 
   23       2.058727155162e-10       3.434109445094e-15       9.096993217186e-14       2.238354640779e-15       2.497240690271e-10       2.404638331237e-11      -5.269847517090e-15 
   24       2.071371900453e-10       3.796786382752e-15       9.099216198827e-14       2.407291765715e-15       2.312350655976e-10       2.240521380122e-11      -5.411367291181e-15 
   25       2.084431583238e-10       4.185265156004e-15       9.071515218238e-14       2.579728514046e-15       2.146657508617e-10       2.095272339459e-11      -6.947523856392e-15 
   26       2.097682359768e-10       4.599897455287e-15       8.984085077323e-14       2.755462061548e-15       1.997159556407e-10       1.961131029730e-11      -9.058631099482e-15 
   27       2.111164141068e-10       5.040991207358e-15       8.810689622933e-14       2.934329003178e-15       1.862069243070e-10       1.837044904581e-11      -1.112504790264e-14 
   28       2.124819460371e-10       5.508870197598e-15       8.526207351296e-14       3.116177857163e-15       1.739064979946e-10       1.723189871942e-11      -1.259319141584e-14 
   29       2.138804049147e-10       6.004424402772e-15       8.120276340850e-14       3.300767613561e-15       1.627515653797e-10       1.619572663228e-11      -1.331859634177e-14 
   30       2.153109379044e-10       6.528760154420e-15       7.587425341081e-14       3.487828217879e-15       1.526215846325e-10       1.525173213897e-11      -1.329934169185e-14 
   31       2.167531222753e-10       7.083014700250e-15       6.924101186708e-14       3.677093255788e-15       1.433091596726e-10       1.438180117987e-11      -1.259477038382e-14 
   32       2.182157736199e-10       7.668209823094e-15       6.132546697751e-14       3.868326950571e-15       1.347662975822e-10       1.358245294285e-11      -1.142513217216e-14 
   33       2.197015072753e-10       8.285344814587e-15       5.218674159016e-14       4.061307863353e-15       1.269330153728e-10       1.284913505787e-11      -1.011955756019e-14 
   34       2.212002617538e-10       8.935391424453e-15       4.189170587144e-14       4.255812127659e-15       1.197001075209e-10       1.217250400167e-11      -9.020896432432e-15 
   35       2.227195021713e-10       9.619145710618e-15       3.044219585301e-14       4.451577611035e-15       1.130304867961e-10       1.154848217164e-11      -8.221205149387e-15 
   36       2.242613960507e-10       1.033731871745e-14       1.782309950566e-14       4.648326810909e-15       1.068703957800e-10       1.097076264437e-11      -7.735470777808e-15 
   37       2.258191284321e-10       1.109054611871e-14       4.015297310402e-15       4.845788395258e-15       1.011394086766e-10       1.043054712392e-11      -7.557882397883e-15 
   38       2.273972127052e-10       1.187930235126e-14      -1.102546600316e-14       5.043740433939e-15       9.582269064448e-11       9.926410918363e-12      -7.618843725607e-15 
   39       2.289956586351e-10       1.270394841323e-14      -2.735512848371e-14       5.241981797514e-15       9.090341680114e-11       9.457142165054e-12      -7.811129610247e-15 
   40       2.306030780481e-10       1.356474660860e-14      -4.503640948908e-14       5.440321319347e-15       8.633471772795e-11       9.018791309811e-12      -7.998944122113e-15 
   41       2.322043931239e-10       1.446194832214e-14      -6.413193991274e-14       5.638558175048e-15       8.205600764997e-11       8.606177443817e-12      -8.052619746820e-15 
   42       2.338097149964e-10       1.539610714425e-14      -8.467954756730e-14       5.836413974431e-15       7.805466219223e-11       8.218578202937e-12      -7.970878244060e-15 
   43       2.354329505853e-10       1.636785687195e-14      -1.067099175670e-13       6.033579518651e-15       7.432000741896e-11       7.855485230894e-12      -7.795164463372e-15 
   44       2.370832474006e-10       1.737782616516e-14      -1.302534313478e-13       6.229732275122e-15       7.082480949053e-11       7.514896613247e-12      -7.577078778630e-15 
   45       2.387653307097e-10       1.842656251912e-14      -1.553333538281e-13       6.424551461891e-15       6.753499432798e-11       7.194116101224e-12      -7.368794643590e-15 
   46       2.404818868179e-10       1.951427699410e-14      -1.819427943081e-13       6.617770610845e-15       6.444537760794e-11       6.892722233533e-12      -7.189445910592e-15 
   47       2.422309888492e-10       2.064102322984e-14      -2.100609817774e-13       6.809139323920e-15       6.155237465008e-11       6.610280039246e-12      -7.049736712436e-15 
   48       2.440048216999e-10       2.180676265037e-14      -2.396592374122e-13       6.998408826364e-15       5.884322547743e-11       6.345430510178e-12      -6.961293425225e-15 
   49       2.457892009302e-10       2.301136011871e-14      -2.707006509102e-13       7.185332062654e-15       5.629531248239e-11       6.095822043545e-12      -6.936692347333e-15 
   50       2.475696186073e-10       2.425461053315e-14      -3.031505619002e-13       7.369665509561e-15       5.388297199941e-11       5.858834750127e-12      -6.984966052904e-15 
   51       2.493524316778e-10       2.553633720804e-14      -3.370121091269e-13       7.551174972981e-15       5.160169174103e-11       5.634144210455e-12      -7.096620270216e-15 
   52       2.511485933136e-10       2.685631268618e-14      -3.722997712156e-13       7.729631530382e-15       4.944930202620e-11       5.421735115677e-12      -7.254597849124e-15 
