# dimensionless [l(l+1)/2pi] C_l's for scalar mode
# for l=2 to 5500, i.e. number of multipoles equal to 5499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.420221422215e-10       5.101035697714e-15       3.957769883660e-13       0.000000000000e+00       8.330291776735e-09       4.600429207775e-10      -2.068990389465e-12 
    3       1.341613985502e-10       7.263738174773e-15       4.632379978232e-13       0.000000000000e+00       5.194432790085e-09       3.273331095944e-10      -1.658276977790e-12 
    4       1.266100258333e-10       7.084614949067e-15       4.497353493007e-13       0.000000000000e+00       3.619684344764e-09       2.481420745410e-10      -1.180849107873e-12 
    5       1.208389854754e-10       5.411335496137e-15       3.973138642606e-13       0.000000000000e+00       2.702882415112e-09       1.961504806652e-10      -7.539858147150e-13 
    6       1.167587721054e-10       3.438420831442e-15       3.311813249084e-13       0.000000000000e+00       2.110159207174e-09       1.596906248697e-10      -4.128664062653e-13 
    7       1.140476167507e-10       1.943558508098e-15       2.669788238663e-13       0.000000000000e+00       1.700385946006e-09       1.329088871209e-10      -1.664916600231e-13 
    8       1.123270744463e-10       1.113497269898e-15       2.128341839279e-13       0.000000000000e+00       1.404083555231e-09       1.125560361768e-10      -8.933238265543e-15 
    9       1.113994730688e-10       7.672549475202e-16       1.720773362140e-13       0.000000000000e+00       1.182265975754e-09       9.670847468062e-11       7.417563620772e-14 
   10       1.110819498648e-10       6.438313765938e-16       1.449508744909e-13       0.000000000000e+00       1.011023215535e-09       8.412785221305e-11       1.014173730933e-13 
   11       1.112045475613e-10       5.724113237985e-16       1.299123663768e-13       0.000000000000e+00       8.508482548257e-10       7.416380171410e-11       9.207978486147e-14 
   12       1.116337144078e-10       4.993641711539e-16       1.245023041324e-13       0.000000000000e+00       7.433572044354e-10       6.574702440268e-11       6.402289287116e-14 
   13       1.123748663451e-10       4.364873046502e-16       1.259233152181e-13       0.000000000000e+00       6.551249703195e-10       5.848316247613e-11       3.007721290829e-14 
   14       1.133340652865e-10       4.041761436015e-16       1.314906723830e-13       0.000000000000e+00       5.817186751523e-10       5.252279241809e-11      -1.712870710106e-17 
   15       1.144461938084e-10       4.061257233007e-16       1.391620694708e-13       0.000000000000e+00       5.199428104604e-10       4.753090545284e-11      -2.146156783449e-14 
   16       1.157322966870e-10       4.327289135150e-16       1.476127232195e-13       0.000000000000e+00       4.674249425399e-10       4.310743802822e-11      -3.311779898883e-14 
   17       1.171352589948e-10       4.741038560031e-16       1.559904654149e-13       0.000000000000e+00       4.223743675991e-10       3.920522722901e-11      -3.595638128279e-14 
   18       1.186241722855e-10       5.277773802961e-16       1.640081584791e-13       0.000000000000e+00       3.832746168261e-10       3.580204572968e-11      -3.256069916288e-14 
   19       1.202229645904e-10       5.975944399997e-16       1.717756739124e-13       0.000000000000e+00       3.495073259375e-10       3.286847967473e-11      -2.553185788149e-14 
   20       1.219096707431e-10       6.886560829707e-16       1.795136918970e-13       0.000000000000e+00       3.197691168502e-10       3.029558882488e-11      -1.792729724001e-14 
   21       1.236733851984e-10       8.031320716109e-16       1.874306040928e-13       0.000000000000e+00       2.935923782414e-10       2.801019788869e-11      -1.141207316647e-14 
   22       1.254775711533e-10       9.414996182094e-16       1.957054521694e-13       0.000000000000e+00       2.703506912080e-10       2.592167884989e-11      -7.146683883416e-15 
   23       1.273338197635e-10       1.102763409369e-15       2.043266141392e-13       0.000000000000e+00       2.497240690271e-10       2.404638331237e-11      -5.269847517090e-15 
   24       1.292467646244e-10       1.285130880361e-15       2.131614336515e-13       0.000000000000e+00       2.312350655976e-10       2.240521380122e-11      -5.411367291181e-15 
   25       1.312138455634e-10       1.488472148749e-15       2.219615271626e-13       0.000000000000e+00       2.146657508617e-10       2.095272339459e-11      -6.947523856392e-15 
   26       1.332160061732e-10       1.713019224806e-15       2.303975433515e-13       0.000000000000e+00       1.997159556407e-10       1.961131029730e-11      -9.058631099482e-15 
   27       1.352547728262e-10       1.959097411591e-15       2.381808477329e-13       0.000000000000e+00       1.862069243070e-10       1.837044904581e-11      -1.112504790264e-14 
   28       1.373283788104e-10       2.227107549685e-15       2.450341325769e-13       0.000000000000e+00       1.739064979946e-10       1.723189871942e-11      -1.259319141584e-14 
   29       1.394445537952e-10       2.518151415069e-15       2.508306150045e-13       0.000000000000e+00       1.627515653797e-10       1.619572663228e-11      -1.331859634177e-14 
   30       1.416015865501e-10       2.833614037708e-15       2.554919169720e-13       0.000000000000e+00       1.526215846325e-10       1.525173213897e-11      -1.329934169185e-14 
