# dimensionless [l(l+1)/2pi] C_l's for tensor mode
# for l=2 to 500, i.e. number of multipoles equal to 499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.421811146244e-10       2.679760962826e-15       1.648988899155e-13       4.782451694518e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    3       1.090139924208e-10       2.845891804830e-15      -9.297053997932e-15       4.826042340223e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    4       9.773967435355e-11       2.619402793374e-15      -6.179096050653e-14       4.206030781743e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    5       9.301917629208e-11       2.099869911251e-15      -7.261219071189e-14       3.301925140719e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    6       9.023148849538e-11       1.517642402438e-15      -6.894831251575e-14       2.401074215759e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    7       8.846726621102e-11       1.035125673835e-15      -6.111215101620e-14       1.662916639609e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    8       8.727421438284e-11       7.196939824582e-16      -5.366517846246e-14       1.141866358336e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    9       8.640695111173e-11       5.676974222867e-16      -4.831247039548e-14       8.271866620067e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   10       8.572377826184e-11       5.403549478021e-16      -4.539804513082e-14       6.778692783335e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   11       8.514162129368e-11       5.925054401027e-16      -4.469828553550e-14       6.461124485931e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   12       8.461213083513e-11       6.880692951931e-16      -4.582473628280e-14       6.901910805533e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   13       8.410661677717e-11       8.045759208106e-16      -4.838663285070e-14       7.791089359403e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   14       8.360730993398e-11       9.308530251058e-16      -5.207088521894e-14       8.927846329970e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   15       8.310301607380e-11       1.062901924749e-15      -5.665297481971e-14       1.019643725872e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   16       8.258702907153e-11       1.199806786296e-15      -6.197255454570e-14       1.154151153501e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   17       8.205569428113e-11       1.342272047588e-15      -6.791709056043e-14       1.293488210407e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   18       8.150126004564e-11       1.490187801589e-15      -7.440576192297e-14       1.437234688090e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   19       8.094102002920e-11       1.643481826974e-15      -8.139088544264e-14       1.585176101605e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   20       8.035570445595e-11       1.802258558324e-15      -8.881097778626e-14       1.737097107166e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   21       7.975583578497e-11       1.966273513146e-15      -9.663081102998e-14       1.892879882131e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   22       7.913593600118e-11       2.135198944814e-15      -1.048136967272e-13       2.052507326565e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   23       7.850346952802e-11       2.308868454482e-15      -1.133274712937e-13       2.215868518849e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   24       7.785239002014e-11       2.487225261019e-15      -1.221357016384e-13       2.382849818777e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   25       7.718859530530e-11       2.670331614914e-15      -1.312080715372e-13       2.553251278066e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   26       7.650875633730e-11       2.858307796497e-15      -1.405132771761e-13       2.726870434776e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   27       7.581533692788e-11       3.051137027352e-15      -1.500250426107e-13       2.903544199034e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   28       7.510435624280e-11       3.248742855967e-15      -1.597172739776e-13       3.083121363690e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   29       7.438365747738e-11       3.450914076049e-15      -1.695668079591e-13       3.265361124692e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   30       7.365409899242e-11       3.657372580080e-15      -1.795499813219e-13       3.449993576549e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   31       7.290749879526e-11       3.867824091420e-15      -1.896424274095e-13       3.636752398478e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   32       7.214905495998e-11       4.082041579987e-15      -1.998234977639e-13       3.825401846642e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   33       7.138106294511e-11       4.299810612832e-15      -2.100735038860e-13       4.015720446946e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   34       7.059973967283e-11       4.520908982264e-15      -2.203728725968e-13       4.207484236541e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   35       6.980840821828e-11       4.745113868834e-15      -2.307030570801e-13       4.400430966947e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   36       6.900743306198e-11       4.972195964963e-15      -2.410460357279e-13       4.594282963831e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   37       6.819333748491e-11       5.201923402639e-15      -2.513835151746e-13       4.788768684268e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   38       6.737036498296e-11       5.434083981576e-15      -2.616948130070e-13       4.983666059800e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   39       6.654173681828e-11       5.668469772471e-15      -2.719583188529e-13       5.178773815007e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   40       6.570593046027e-11       5.904871024424e-15      -2.821520705818e-13       5.373900596814e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   41       6.485901411230e-11       6.143091842725e-15      -2.922576936361e-13       5.568845398243e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   42       6.400374173471e-11       6.383003606488e-15      -3.022737387704e-13       5.763329805977e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   43       6.314259435293e-11       6.624508767909e-15      -3.122067019968e-13       5.957044648796e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   44       6.227492102498e-11       6.867527537486e-15      -3.220677438554e-13       6.149667431294e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   45       6.139862485214e-11       7.111963737393e-15      -3.318655607085e-13       6.340877450205e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   46       6.051651948090e-11       7.357587891021e-15      -3.415818012333e-13       6.530408462491e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   47       5.963136952923e-11       7.604120839974e-15      -3.511887739343e-13       6.718010369717e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   48       5.874389652588e-11       7.851264810443e-15      -3.606560717889e-13       6.903434745790e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   49       5.785259710756e-11       8.098702365319e-15      -3.699504240284e-13       7.086434935650e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   50       5.695513796270e-11       8.346104250569e-15      -3.790383790464e-13       7.266767856269e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   51       5.605340882715e-11       8.593157876315e-15      -3.878955555209e-13       7.444199746986e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   52       5.514952680977e-11       8.839544755281e-15      -3.964996462000e-13       7.618502150632e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   53       5.424427447262e-11       9.084931669808e-15      -4.048277916152e-13       7.789450522203e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   54       5.333699222801e-11       9.328970042512e-15      -4.128565650928e-13       7.956824407665e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   55       5.242653220025e-11       9.571323423100e-15      -4.205644869312e-13       8.120415793237e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   56       5.151464380645e-11       9.811759386701e-15      -4.279403326707e-13       8.280056172518e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   57       5.060324075162e-11       1.005007936272e-14      -4.349768625223e-13       8.435596516595e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   58       4.969334844642e-11       1.028609297483e-14      -4.416685547633e-13       8.586900178999e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   59       4.878503775998e-11       1.051961850708e-14      -4.480116892876e-13       8.733843392829e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   60       4.787735877267e-11       1.075048336999e-14      -4.540044311555e-13       8.876315767887e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   61       4.696915108446e-11       1.097852010592e-14      -4.596455945470e-13       9.014216039217e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   62       4.606183715047e-11       1.120355230303e-14      -4.649304213974e-13       9.147437072909e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   63       4.515714123617e-11       1.142540633230e-14      -4.698539991797e-13       9.275878361540e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   64       4.425623051553e-11       1.164391584733e-14      -4.744125377449e-13       9.399450815378e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   65       4.335967663627e-11       1.185892210895e-14      -4.786034110018e-13       9.518077108845e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   66       4.246741728509e-11       1.207027430975e-14      -4.824251985975e-13       9.631692026979e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   67       4.157871775295e-11       1.227782989866e-14      -4.858777275979e-13       9.740242811896e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   68       4.069277161570e-11       1.248144832148e-14      -4.889615406276e-13       9.843682051506e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   69       3.981073002583e-11       1.268097004417e-14      -4.916760819814e-13       9.941943897968e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   70       3.893401645207e-11       1.287623384262e-14      -4.940212171589e-13       1.003496363073e-14       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   71       3.806370225261e-11       1.306708316404e-14      -4.959978004120e-13       1.012268484083e-14       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   72       3.720048458602e-11       1.325336628310e-14      -4.976077017561e-13       1.020505958666e-14       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   73       3.634466432216e-11       1.343493645812e-14      -4.988538339825e-13       1.028204854966e-14       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   74       3.549612395308e-11       1.361165208722e-14      -4.997401796695e-13       1.035362119005e-14       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   75       3.465430550393e-11       1.378337686453e-14      -5.002718181947e-13       1.041975590258e-14       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   76       3.381863142990e-11       1.394998109282e-14      -5.004542493223e-13       1.048043866452e-14       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   77       3.298990474541e-11       1.411134555269e-14      -5.002911618538e-13       1.053565835085e-14       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   78       3.216912527002e-11       1.426735862594e-14      -4.997863052646e-13       1.058541084374e-14       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   79       3.135705649799e-11       1.441791537871e-14      -4.989441694142e-13       1.062970058728e-14       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   80       3.055421259296e-11       1.456291774130e-14      -4.977699971339e-13       1.066854071224e-14       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   81       2.976084538268e-11       1.470227468812e-14      -4.962697968139e-13       1.070195316092e-14       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   82       2.897693135364e-11       1.483590241755e-14      -4.944503549908e-13       1.072996881196e-14       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   83       2.820215864585e-11       1.496372453184e-14      -4.923192489355e-13       1.075262760514e-14       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   84       2.743620902636e-11       1.508567004299e-14      -4.898843398903e-13       1.076997475017e-14       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   85       2.667968600710e-11       1.520166661654e-14      -4.871521286827e-13       1.078204835762e-14       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   86       2.593331746013e-11       1.531164653239e-14      -4.841291493187e-13       1.078888997678e-14       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   87       2.519766638982e-11       1.541554890038e-14      -4.808224678963e-13       1.079054838746e-14       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   88       2.447312288518e-11       1.551331980373e-14      -4.772396864653e-13       1.078707965897e-14       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   89       2.375989607218e-11       1.560491244231e-14      -4.733889468851e-13       1.077854720918e-14       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   90       2.305800606607e-11       1.569028727605e-14      -4.692789346845e-13       1.076502186341e-14       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   91       2.236727592374e-11       1.576941216825e-14      -4.649188829202e-13       1.074658191354e-14       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   92       2.168732359598e-11       1.584226252896e-14      -4.603185760354e-13       1.072331317690e-14       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   93       2.101779623251e-11       1.590881852577e-14      -4.554878263046e-13       1.069530476475e-14       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   94       2.035913088715e-11       1.596905592490e-14      -4.504348047091e-13       1.066263553128e-14       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   95       1.971189387578e-11       1.602295413129e-14      -4.451674649915e-13       1.062538568609e-14       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   96       1.907654396018e-11       1.607049910004e-14      -4.396940453667e-13       1.058364090332e-14       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   97       1.845342762704e-11       1.611168343959e-14      -4.340230651417e-13       1.053749232171e-14       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   98       1.784277436710e-11       1.614650651476e-14      -4.281633213342e-13       1.048703654474e-14       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   99       1.724469195417e-11       1.617497454987e-14      -4.221238852917e-13       1.043237564069e-14       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
