# Matter power spectrum P(k) at redshift z=0
# for k=1.04732e-05 to 109.903 h/Mpc,
# number of wavenumbers equal to 812
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.047322304298e-05       5.003680435860e+01 
       2.343189337976e-05       1.085642939164e+02 
       3.643657838811e-05       1.659981831735e+02 
       4.952269247830e-05       2.229870420450e+02 
       6.272624188631e-05       2.798961347746e+02 
       7.608414960205e-05       3.369970824397e+02 
       8.963459079459e-05       3.945208747048e+02 
       1.034173432457e-04       4.526794777917e+02 
       1.174741573374e-04       5.116769002512e+02 
       1.318491501727e-04       5.717158515973e+02 
       1.465892284139e-04       6.330023379541e+02 
       1.617445443533e-04       6.957492313091e+02 
       1.773689895380e-04       7.601792844399e+02 
       1.935207298663e-04       8.265278897403e+02 
       2.102627853612e-04       8.950457067656e+02 
       2.276636566602e-04       9.660012513289e+02 
       2.457979984606e-04       1.039683483224e+03 
       2.647473374893e-04       1.116404418495e+03 
       2.846008287294e-04       1.196501730593e+03 
       3.054560382820e-04       1.280341292933e+03 
       3.274197339626e-04       1.368319600450e+03 
       3.506086551021e-04       1.460865916414e+03 
       3.751502206458e-04       1.558443989663e+03 
       4.011831192805e-04       1.661553089484e+03 
       4.288577070358e-04       1.770728075140e+03 
       4.583361172545e-04       1.886538074512e+03 
       4.897919665822e-04       2.009583408230e+03 
       5.234095215937e-04       2.140490159946e+03 
       5.593821784519e-04       2.279901960918e+03 
       5.979101090730e-04       2.428468470689e+03 
       6.391969496380e-04       2.586830226320e+03 
       6.834454592958e-04       2.755599757416e+03 
       7.308521647942e-04       2.935339284224e+03 
       7.816011312252e-04       3.126535747532e+03 
       8.358571510488e-04       3.329574656865e+03 
       8.937588015074e-04       3.544714500970e+03 
       9.554119509377e-04       3.772064332622e+03 
       1.020884358004e-03       4.011566921625e+03 
       1.090201971246e-03       4.262989629316e+03 
       1.163347386457e-03       4.525924785005e+03 
       1.240260673438e-03       4.799799694335e+03 
       1.320842488766e-03       5.083895908786e+03 
       1.404959111211e-03       5.377350076590e+03 
       1.492448831352e-03       5.679242915432e+03 
       1.583129032943e-03       5.988604103000e+03 
       1.676803324537e-03       6.304422626426e+03 
       1.773268190767e-03       6.625688299850e+03 
       1.872318793230e-03       6.951414532445e+03 
       1.973753720383e-03       7.280656155044e+03 
       2.077378633702e-03       7.612522521359e+03 
       2.183008867395e-03       7.946185702866e+03 
       2.290471107754e-03       8.280885846352e+03 
       2.399604310944e-03       8.615931277350e+03 
       2.510260023695e-03       8.950699016600e+03 
       2.622302259706e-03       9.284630790991e+03 
       2.735607063577e-03       9.617230048986e+03 
       2.850061869872e-03       9.948058057201e+03 
       2.965564741171e-03       1.027672643291e+04 
       3.082023547783e-03       1.060289815489e+04 
       3.199355134165e-03       1.092627627874e+04 
       3.317484502906e-03       1.124660231642e+04 
       3.436344036329e-03       1.156365558866e+04 
       3.555872767691e-03       1.187724205028e+04 
       3.676015708140e-03       1.218719647842e+04 
       3.796723231539e-03       1.249338002059e+04 
       3.917950516543e-03       1.279567111879e+04 
       4.039657043560e-03       1.309397193484e+04 
       4.161806143208e-03       1.338819680895e+04 
       4.284364592319e-03       1.367828166471e+04 
       4.407302253330e-03       1.396416592823e+04 
       4.530591752962e-03       1.424581304196e+04 
       4.654208196182e-03       1.452318809914e+04 
       4.778128911763e-03       1.479626168196e+04 
       4.902333225981e-03       1.506503268985e+04 
       5.026802261334e-03       1.532948122527e+04 
       5.151518757462e-03       1.558960720411e+04 
       5.276466911722e-03       1.584542204910e+04 
       5.401632237177e-03       1.609692897849e+04 
       5.527001435987e-03       1.634413780192e+04 
       5.652562286428e-03       1.658707113745e+04 
       5.778303541959e-03       1.682573600042e+04 
       5.904214840979e-03       1.706018083661e+04 
       6.030286626015e-03       1.729044456760e+04 
       6.156510071309e-03       1.751650811372e+04 
       6.282877017817e-03       1.773835312596e+04 
       6.409379914816e-03       1.795615692705e+04 
       6.536011767365e-03       1.816985267987e+04 
       6.662766088988e-03       1.837937903163e+04 
       6.789636858993e-03       1.858487815284e+04 
       6.916618483933e-03       1.878646040582e+04 
       7.043705762765e-03       1.898408950134e+04 
       7.170893855310e-03       1.917780752902e+04 
       7.298178253662e-03       1.936763870600e+04 
       7.425554756252e-03       1.955363445175e+04 
       7.553019444279e-03       1.973583039352e+04 
       7.680568660274e-03       1.991425779174e+04 
       7.808198988585e-03       2.008896708007e+04 
       7.935907237578e-03       2.025998521421e+04 
       8.063690423399e-03       2.042735293506e+04 
       8.191545755139e-03       2.059110386710e+04 
       8.319470621264e-03       2.075128387358e+04 
       8.447462577189e-03       2.090793545227e+04 
       8.575519333896e-03       2.106109622222e+04 
       8.703638747490e-03       2.121078403554e+04 
       8.831818809605e-03       2.135706623435e+04 
       8.960057638592e-03       2.149995169838e+04 
       9.088353471413e-03       2.163950196481e+04 
       9.216704656172e-03       2.177573217740e+04 
       9.345109645237e-03       2.190871180717e+04 
       9.473566988899e-03       2.203846338762e+04 
       9.602075329510e-03       2.216501056442e+04 
       9.730633396080e-03       2.228839289516e+04 
       9.859239999276e-03       2.240864810383e+04 
       9.987894026798e-03       2.252582267508e+04 
       1.011659443910e-02       2.263993687361e+04 
       1.024534026541e-02       2.275103797482e+04 
       1.037413060010e-02       2.285915290124e+04 
       1.050296459923e-02       2.296431584431e+04 
       1.063184147742e-02       2.306658309018e+04 
       1.076076050489e-02       2.316593239186e+04 
       1.088972100477e-02       2.326247353864e+04 
       1.101872235055e-02       2.335617109557e+04 
       1.114776396373e-02       2.344711761839e+04 
       1.127684531165e-02       2.353528676565e+04 
       1.140596590543e-02       2.362075054377e+04 
       1.153512529811e-02       2.370352465875e+04 
       1.166432308289e-02       2.378364904941e+04 
       1.179355889146e-02       2.386115039233e+04 
       1.192283239254e-02       2.393607176563e+04 
       1.205214329042e-02       2.400841636503e+04 
       1.218149132367e-02       2.407823870721e+04 
       1.231087626389e-02       2.414554413482e+04 
       1.244029791461e-02       2.421041623458e+04 
       1.256975611023e-02       2.427282843025e+04 
       1.269925071500e-02       2.433283153488e+04 
       1.282878162218e-02       2.439046005992e+04 
       1.295834875312e-02       2.444573004024e+04 
       1.308795205655e-02       2.449866265172e+04 
       1.321759150781e-02       2.454932513567e+04 
       1.334726710822e-02       2.459770374367e+04 
       1.347697888444e-02       2.464384761578e+04 
       1.360672688790e-02       2.468777554324e+04 
       1.373651119431e-02       2.472953250218e+04 
       1.386633190316e-02       2.476911416519e+04 
       1.399618913729e-02       2.480657994658e+04 
       1.412608304250e-02       2.484193194895e+04 
       1.425601378718e-02       2.487521250021e+04 
       1.438598156201e-02       2.490644070702e+04 
       1.451598657963e-02       2.493565213068e+04 
       1.464602907444e-02       2.496284924774e+04 
       1.477610930232e-02       2.498808217514e+04 
       1.490622754044e-02       2.501135578529e+04 
       1.503638408714e-02       2.503271441652e+04 
       1.516657926171e-02       2.505218482196e+04 
       1.529681340433e-02       2.506975358736e+04 
       1.542708687596e-02       2.508549155542e+04 
       1.555740005827e-02       2.509939074431e+04 
       1.568775335357e-02       2.511151121221e+04 
       1.581814718483e-02       2.512183619439e+04 
       1.594858199567e-02       2.513041564624e+04 
       1.607905825033e-02       2.513725593519e+04 
       1.620957643377e-02       2.514239896641e+04 
       1.634013705169e-02       2.514584198535e+04 
       1.647074063063e-02       2.514764505449e+04 
       1.660138771805e-02       2.514780744714e+04 
       1.673207888246e-02       2.514635406731e+04 
       1.686281471355e-02       2.514329290310e+04 
       1.699359582231e-02       2.513867689863e+04 
       1.712442284127e-02       2.513250386145e+04 
       1.725529642460e-02       2.512481285247e+04 
       1.738621724839e-02       2.511560360272e+04 
       1.751718601082e-02       2.510493680637e+04 
       1.764820343242e-02       2.509276721564e+04 
       1.777927025631e-02       2.507919536816e+04 
       1.791038724849e-02       2.506419251553e+04 
       1.804155519811e-02       2.504778288998e+04 
       1.817277491778e-02       2.503000471248e+04 
       1.830404724390e-02       2.501086647895e+04 
       1.843537303697e-02       2.499039596255e+04 
       1.856675318198e-02       2.496858875832e+04 
       1.869818858876e-02       2.494553311592e+04 
       1.882968019237e-02       2.492117101927e+04 
       1.896122895351e-02       2.489555201474e+04 
       1.909283585892e-02       2.486868797469e+04 
       1.922450192186e-02       2.484062155213e+04 
       1.935622818255e-02       2.481136936949e+04 
       1.948801570862e-02       2.478094276528e+04 
       1.961986559565e-02       2.474932794361e+04 
       1.975177896762e-02       2.471657041658e+04 
       1.988375697753e-02       2.468272349209e+04 
       2.001580080784e-02       2.464773262478e+04 
       2.014791167115e-02       2.461168964783e+04 
       2.028009081069e-02       2.457457505800e+04 
       2.041233950101e-02       2.453642621613e+04 
       2.054465904855e-02       2.449721802327e+04 
       2.067705079233e-02       2.445700797285e+04 
       2.080951610460e-02       2.441581836871e+04 
       2.094205639155e-02       2.437360869267e+04 
       2.107467309401e-02       2.433047819598e+04 
       2.120736768821e-02       2.428640821071e+04 
       2.134014168653e-02       2.424142603034e+04 
       2.147299663829e-02       2.419547968983e+04 
       2.160593413056e-02       2.414870759907e+04 
       2.173895578904e-02       2.410101700099e+04 
       2.187206327885e-02       2.405245904240e+04 
       2.200525830548e-02       2.400311171300e+04 
       2.213854261571e-02       2.395293596204e+04 
       2.227191799853e-02       2.390190191783e+04 
       2.240538628614e-02       2.385011202211e+04 
       2.253894935496e-02       2.379750297174e+04 
       2.267260912666e-02       2.374419222629e+04 
       2.280636756925e-02       2.369015685395e+04 
       2.294022669818e-02       2.363531672635e+04 
       2.307418857748e-02       2.357978933522e+04 
       2.320825532094e-02       2.352358580810e+04 
       2.334242909333e-02       2.346660013544e+04 
       2.347671211165e-02       2.340908109281e+04 
       2.361110664642e-02       2.335078662989e+04 
       2.374561502302e-02       2.329197284534e+04 
       2.388023962307e-02       2.323246672120e+04 
       2.401498288583e-02       2.317234337920e+04 
       2.414984730968e-02       2.311166517895e+04 
       2.428483545364e-02       2.305033553210e+04 
       2.441994993891e-02       2.298850013379e+04 
       2.455519345051e-02       2.292602868882e+04 
       2.469056873889e-02       2.286310347357e+04 
       2.482607862172e-02       2.279957900580e+04 
       2.496172598560e-02       2.273554666949e+04 
       2.509751378791e-02       2.267105668348e+04 
       2.523344505872e-02       2.260608257556e+04 
       2.536952290273e-02       2.254056959363e+04 
       2.550575050128e-02       2.247463858707e+04 
       2.564213111445e-02       2.240823168569e+04 
       2.577866808322e-02       2.234137462078e+04 
       2.591536483166e-02       2.227407304538e+04 
       2.605222486931e-02       2.220641789236e+04 
       2.618925179349e-02       2.213834514718e+04 
       2.632644929182e-02       2.206986800733e+04 
       2.646382114472e-02       2.200095379047e+04 
       2.660137122812e-02       2.193168950337e+04 
       2.673910351610e-02       2.186213896959e+04 
       2.687702208383e-02       2.179219946383e+04 
       2.701513111041e-02       2.172194817882e+04 
       2.715343488193e-02       2.165131446875e+04 
       2.729193779465e-02       2.158042233027e+04 
       2.743064435821e-02       2.150914074257e+04 
       2.756955919902e-02       2.143766931154e+04 
       2.770868706380e-02       2.136586943374e+04 
       2.784803282314e-02       2.129376320979e+04 
       2.798760147532e-02       2.122145492105e+04 
       2.812739815019e-02       2.114886358121e+04 
       2.826742811325e-02       2.107603940555e+04 
       2.840769676982e-02       2.100295441554e+04 
       2.854820966945e-02       2.092964092903e+04 
       2.868897251043e-02       2.085613784836e+04 
       2.882999114452e-02       2.078243003264e+04 
       2.897127158185e-02       2.070848026390e+04 
       2.911281999599e-02       2.063440060712e+04 
       2.925464272929e-02       2.056011365111e+04 
       2.939674629837e-02       2.048565494850e+04 
       2.953913739985e-02       2.041102939826e+04 
       2.968182291629e-02       2.033625107908e+04 
       2.982480992247e-02       2.026129468881e+04 
