# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 5500, i.e. number of multipoles equal to 5499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       2.907307706954e-10       8.047286369180e-15       5.800949389629e-13       4.759174372335e-15       8.560810104879e-09       4.828396861496e-10      -2.174831730319e-12 
    3       2.493489096806e-10       1.044801821226e-14       4.777791745435e-13       4.799444878946e-15       5.317928264096e-09       3.425726777291e-10      -1.736056844186e-12 
    4       2.299302266568e-10       9.991470861185e-15       4.105907041816e-13       4.178046768086e-15       3.698942489569e-09       2.591857631989e-10      -1.231284140417e-12 
    5       2.189294662596e-10       7.696923615173e-15       3.440139869463e-13       3.275397532827e-15       2.758246255712e-09       2.045938460855e-10      -7.825609712623e-13 
    6       2.116777582398e-10       5.052202344393e-15       2.777493774806e-13       2.378342291873e-15       2.150845479010e-09       1.663893141182e-10      -4.257423133981e-13 
    7       2.069117651626e-10       3.022961700426e-15       2.179179640508e-13       1.645325572775e-15       1.731784430785e-09       1.383336632137e-10      -1.693586394323e-13 
    8       2.037654524066e-10       1.858031477255e-15       1.684251564522e-13       1.129634406535e-15       1.429310851534e-09       1.170301107220e-10      -6.454925378348e-15 
    9       2.017953718291e-10       1.356287351338e-15       1.309890685906e-13       8.198117521125e-16       1.202938933037e-09       1.004827905641e-10       7.859435347731e-14 
   10       2.006691929275e-10       1.205322088370e-15       1.054805984228e-13       6.743673055565e-16       1.028050857982e-09       8.735359477188e-11       1.056223656573e-13 
   11       2.000717214771e-10       1.184450013351e-15       9.047840086296e-14       6.454944781631e-16       8.656598486591e-10       7.697947996202e-11       9.501194014180e-14 
   12       1.999251472481e-10       1.204741520621e-15       8.367857518002e-14       6.914497083065e-16       7.559679492896e-10       6.813075934793e-11       6.526045825453e-14 
   13       2.000846664079e-10       1.256980735809e-15       8.248198748628e-14       7.816716961345e-16       6.659744016103e-10       6.068832462390e-11       3.003677997634e-14 
   14       2.004723094572e-10       1.351181225718e-15       8.449122120454e-14       8.960560619493e-16       5.911305997324e-10       5.444545400570e-11      -1.045330802162e-15 
   15       2.010577996907e-10       1.486351599577e-15       8.775051791477e-14       1.023461163335e-15       5.281665029059e-10       4.917345642245e-11      -2.294274004767e-14 
   16       2.017575074239e-10       1.651572832782e-15       9.103189215723e-14       1.158395876390e-15       4.746585156769e-10       4.463655962736e-11      -3.442970388729e-14 
   17       2.026233784456e-10       1.837560812151e-15       9.366144668375e-14       1.298102592501e-15       4.287758857621e-10       4.059457296832e-11      -3.702734210450e-14 
   18       2.035566389400e-10       2.041891233379e-15       9.535984141428e-14       1.442238458844e-15       3.889663727993e-10       3.708078590771e-11      -3.328101065617e-14 
   19       2.045744729095e-10       2.268579719534e-15       9.629282788743e-14       1.590586121793e-15       3.545955593878e-10       3.404825177776e-11      -2.583982192725e-14 
   20       2.056469003400e-10       2.523031864159e-15       9.679371968231e-14       1.742908611657e-15       3.243345539495e-10       3.132222812572e-11      -1.792290244491e-14 
   21       2.067848689442e-10       2.807027419296e-15       9.711461145702e-14       1.899105264314e-15       2.977052422305e-10       2.889328767118e-11      -1.126352885718e-14 
   22       2.079563470212e-10       3.120426688489e-15       9.745770252793e-14       2.059190269433e-15       2.740678129460e-10       2.676388691189e-11      -7.039710272010e-15 
   23       2.091801695842e-10       3.461969367846e-15       9.780834973961e-14       2.223065409413e-15       2.530951620456e-10       2.489468701293e-11      -5.313195909661e-15 
   24       2.104492733226e-10       3.829781626046e-15       9.803022315001e-14       2.390623895646e-15       2.343003276029e-10       2.320651006744e-11      -5.609331483950e-15 
   25       2.117599697966e-10       4.223883599831e-15       9.791101336598e-14       2.561673604825e-15       2.174610712859e-10       2.165937696868e-11      -7.317458945300e-15 
   26       2.130834736691e-10       4.644753259693e-15       9.717375300569e-14       2.736002033353e-15       2.022716812975e-10       2.021775835048e-11      -9.643411103731e-15 
   27       2.144307369737e-10       5.092758652913e-15       9.556502543374e-14       2.913352787860e-15       1.885494598012e-10       1.889989858172e-11      -1.184800926377e-14 
