# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 5000, i.e. number of multipoles equal to 4999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       2.907312615653e-10       8.047527681356e-15       5.800949346890e-13       4.759415684512e-15       8.560810104879e-09       4.828396861496e-10      -2.174831730319e-12 
    3       2.493498878179e-10       1.044850099669e-14       4.777791555192e-13       4.799927663378e-15       5.317928264096e-09       3.425726777291e-10      -1.736056844186e-12 
    4       2.299318489913e-10       9.992275849314e-15       4.105906496034e-13       4.178851756276e-15       3.698942489569e-09       2.591857631989e-10      -1.231284140417e-12 
    5       2.189318852226e-10       7.698131729196e-15       3.440138628554e-13       3.276605647088e-15       2.758246255712e-09       2.045938460855e-10      -7.825609712623e-13 
    6       2.116811208924e-10       5.053894726189e-15       2.777491340503e-13       2.380034674411e-15       2.150845479010e-09       1.663893141182e-10      -4.257423133981e-13 
    7       2.069162124795e-10       3.025219729247e-15       2.179175332236e-13       1.647583603583e-15       1.731784430785e-09       1.383336632137e-10      -1.693586394323e-13 
    8       2.037711187325e-10       1.860936774987e-15       1.684244499705e-13       1.132539709028e-15       1.429310851534e-09       1.170301107220e-10      -6.454925378348e-15 
    9       2.018023845200e-10       1.359921774731e-15       1.309879764506e-13       8.234461859729e-16       1.202938933037e-09       1.004827905641e-10       7.859435347731e-14 
   10       2.006776721817e-10       1.209767708165e-15       1.054789877678e-13       6.788129468153e-16       1.028050857982e-09       8.735359477188e-11       1.056223656573e-13 
   11       2.000817803549e-10       1.189789080809e-15       9.047611531650e-14       6.508335871502e-16       8.656598486591e-10       7.697947996202e-11       9.501194014180e-14 
   12       1.999368918716e-10       1.211056422431e-15       8.367543460784e-14       6.977646866179e-16       7.559679492896e-10       6.813075934793e-11       6.526045825453e-14 
   13       2.000981963258e-10       1.264353938857e-15       8.247778816272e-14       7.890450342798e-16       6.659744016103e-10       6.068832462390e-11       3.003677997634e-14 
   14       2.004877181559e-10       1.359695213592e-15       8.448573634869e-14       9.045702797662e-16       5.911305997324e-10       5.444545400570e-11      -1.045330802162e-15 
   15       2.010751752259e-10       1.496088802965e-15       8.774349855299e-14       1.033198745594e-15       5.281665029059e-10       4.917345642245e-11      -2.294274004767e-14 
   16       2.017769331441e-10       1.662615556151e-15       9.102306826265e-14       1.169439206251e-15       4.746585156769e-10       4.463655962736e-11      -3.442970388729e-14 
   17       2.026449337764e-10       1.849991159172e-15       9.365052853963e-14       1.310533885587e-15       4.287758857621e-10       4.059457296832e-11      -3.702734210450e-14 
   18       2.035804002116e-10       2.055791032301e-15       9.534652117178e-14       1.456139699307e-15       3.889663727993e-10       3.708078590771e-11      -3.328101065617e-14 
   19       2.046005141051e-10       2.284030458248e-15       9.627678111880e-14       1.606039011442e-15       3.545955593878e-10       3.404825177776e-11      -2.583982192725e-14 
   20       2.056752939716e-10       2.540114617310e-15       9.677460727243e-14       1.759994512230e-15       3.243345539495e-10       3.132222812572e-11      -1.792290244491e-14 
   21       2.068156866407e-10       2.825822800357e-15       9.709208116517e-14       1.917905170422e-15       2.977052422305e-10       2.889328767118e-11      -1.126352885718e-14 
   22       2.079896602641e-10       3.141014792207e-15       9.743139092591e-14       2.079784772836e-15       2.740678129460e-10       2.676388691189e-11      -7.039710272010e-15 
   23       2.092160500798e-10       3.484429740095e-15       9.777788373552e-14       2.245534697448e-15       2.530951620456e-10       2.489468701293e-11      -5.313195909661e-15 
   24       2.104877935221e-10       3.854193224023e-15       9.799522189583e-14       2.415047741018e-15       2.343003276029e-10       2.320651006744e-11      -5.609331483950e-15 
   25       2.118012029662e-10       4.250324781148e-15       9.787108968889e-14       2.588131392578e-15       2.174610712859e-10       2.165937696868e-11      -7.317458945300e-15 
   26       2.131274941429e-10       4.673301760678e-15       9.712851525825e-14       2.764572777529e-15       2.022716812975e-10       2.021775835048e-11      -9.643411103731e-15 
   27       2.144776199967e-10       5.123491589713e-15       9.551407898074e-14       2.944115179178e-15       1.885494598012e-10       1.889989858172e-11      -1.184800926377e-14 
   28       2.158554866705e-10       5.601244058316e-15       9.277789806709e-14       3.126500060811e-15       1.760573246768e-10       1.772808255128e-11      -1.323670818074e-14 
   29       2.172745802394e-10       6.107410666767e-15       8.879678006475e-14       3.311508053744e-15       1.647307115692e-10       1.668969338676e-11      -1.372995916395e-14 
   30       2.187265783743e-10       6.643022265293e-15       8.348496225611e-14       3.498945715760e-15       1.544469353358e-10       1.574597335694e-11      -1.348334690702e-14 
   31       2.201836122912e-10       7.209159466849e-15       7.678016946272e-14       3.688624755751e-15       1.449950570703e-10       1.485074638222e-11      -1.271036868265e-14 
   32       2.216570831707e-10       7.806964781949e-15       6.872481091676e-14       3.880306418755e-15       1.363260217748e-10       1.400601893716e-11      -1.160596879631e-14 
   33       2.231559822163e-10       8.437640125589e-15       5.941904147502e-14       4.073736644335e-15       1.283785658869e-10       1.322584172298e-11      -1.040314689663e-14 
   34       2.246751824833e-10       9.102327346896e-15       4.896802988757e-14       4.268665487243e-15       1.210414464550e-10       1.251875684033e-11      -9.349557246084e-15 
   35       2.262161790511e-10       9.801693701022e-15       3.736187448404e-14       4.464865231460e-15       1.142768587278e-10       1.187818745324e-11      -8.541523322472e-15 
   36       2.277702093588e-10       1.053619155236e-14       2.455407009487e-14       4.662118993322e-15       1.080301488141e-10       1.128763808639e-11      -8.033735166775e-15 
   37       2.293212853447e-10       1.130621562903e-14       1.049546936344e-14       4.860206036227e-15       1.022195924811e-10       1.072846039350e-11      -7.858542099336e-15 
   38       2.308816552343e-10       1.211229791337e-14      -4.855543906571e-15       5.058866531789e-15       9.683001372164e-11       1.020016009395e-11      -7.942624975994e-15 
   39       2.324659197788e-10       1.295496777491e-14      -2.154064699114e-14       5.257824789277e-15       9.184420880332e-11       9.706201690149e-12      -8.160282894006e-15 
   40       2.340803184764e-10       1.383469488458e-14      -3.960477727986e-14       5.456798026576e-15       8.721447897940e-11       9.248345149318e-12      -8.352936864710e-15 
   41       2.357243064038e-10       1.475192688328e-14      -5.909498229145e-14       5.655503477102e-15       8.287921700929e-11       8.826430884669e-12      -8.371124867565e-15 
   42       2.373981986364e-10       1.570722633552e-14      -8.005562501070e-14       5.853683735879e-15       7.882555288899e-11       8.438077409535e-12      -8.222167305898e-15 
   43       2.390964063590e-10       1.670117191704e-14      -1.025322440088e-13       6.051088794234e-15       7.504262574329e-11       8.078586361514e-12      -7.966903768220e-15 
   44       2.408043524466e-10       1.773431981029e-14      -1.265732033796e-13       6.247469134983e-15       7.150278666753e-11       7.740794570235e-12      -7.680509799911e-15 
   45       2.425057483362e-10       1.880713498226e-14      -1.522182987026e-13       6.442571324217e-15       6.817145128385e-11       7.417185801051e-12      -7.437012160285e-15 
   46       2.442088604987e-10       1.991976287898e-14      -1.794598910844e-13       6.636123200481e-15       6.504331772727e-11       7.107403254441e-12      -7.255287163300e-15 
   47       2.459267672447e-10       2.107218777246e-14      -2.082706025786e-13       6.827844268305e-15       6.211470415844e-11       6.812676641293e-12      -7.138381177784e-15 
   48       2.476696729131e-10       2.226428978074e-14      -2.386135684002e-13       7.017449486632e-15       5.937262691858e-11       6.533678450087e-12      -7.088374939597e-15 
   49       2.494445904615e-10       2.349583996594e-14      -2.704420294037e-13       7.204649020800e-15       5.679410907665e-11       6.270475831348e-12      -7.106302415525e-15 
   50       2.512553457365e-10       2.476655526343e-14      -3.037109292025e-13       7.389161145548e-15       5.435308988855e-11       6.022666208712e-12      -7.190230849188e-15 
   51       2.531033280437e-10       2.607629221916e-14      -3.384163620571e-13       7.570755658418e-15       5.204496837211e-11       5.789939135731e-12      -7.329074749251e-15 
   52       2.549863946485e-10       2.742489736681e-14      -3.745661282433e-13       7.749221821714e-15       4.986752658956e-11       5.571583778072e-12      -7.506962529505e-15 
   53       2.568982718011e-10       2.881214995605e-14      -4.121688189383e-13       7.924356603451e-15       4.781358516127e-11       5.366279983145e-12      -7.704764879321e-15 
   54       2.588282524638e-10       3.023775986615e-14      -4.512339736226e-13       8.095965048213e-15       4.587066950288e-11       5.172058810514e-12      -7.899927094931e-15 
   55       2.607655236286e-10       3.170139214405e-14      -4.917711561487e-13       8.263862541030e-15       4.402480753315e-11       4.986843332779e-12      -8.072002334112e-15 
   56       2.627140996021e-10       3.320275253651e-14      -5.337865535722e-13       8.427881408021e-15       4.227379220537e-11       4.810318783368e-12      -8.221245168110e-15 
   57       2.646810690155e-10       3.474151955155e-14      -5.772858080997e-13       8.587866605066e-15       4.061662906172e-11       4.642457859518e-12      -8.354343382255e-15 
   58       2.666721710154e-10       3.631731866941e-14      -6.222751371589e-13       8.743674403368e-15       3.904952438846e-11       4.482964661244e-12      -8.479175004655e-15 
   59       2.686916733652e-10       3.792972129357e-14      -6.687614486711e-13       8.895172834057e-15       3.756571241961e-11       4.331257829695e-12      -8.604862751377e-15 
   60       2.707422505467e-10       3.957824370161e-14      -7.167524563236e-13       9.042242132791e-15       3.615528254043e-11       4.186453685498e-12      -8.741828471627e-15 
   61       2.728256201171e-10       4.126233593753e-14      -7.662521461373e-13       9.184772764514e-15       3.480792707141e-11       4.047630039671e-12      -8.898712697345e-15 
   62       2.749448944649e-10       4.298134794819e-14      -8.172457262933e-13       9.322657973784e-15       3.352229626661e-11       3.914724968678e-12      -9.072202133922e-15 
   63       2.771025430218e-10       4.473455394966e-14      -8.697114883121e-13       9.455800343634e-15       3.229844607105e-11       3.787810775898e-12      -9.255005063143e-15 
   64       2.792995846865e-10       4.652116047409e-14      -9.236251260728e-13       9.584114428408e-15       3.113502429188e-11       3.666823322430e-12      -9.438740622556e-15 
   65       2.815354899843e-10       4.834030500153e-14      -9.789597035856e-13       9.707527121585e-15       3.002919046978e-11       3.551554070969e-12      -9.613893782786e-15 
   66       2.838080832280e-10       5.019105459166e-14      -1.035685622764e-12       9.825978023602e-15       2.897653575031e-11       3.441642129686e-12      -9.769770324851e-15 
   67       2.861134446777e-10       5.207240451566e-14      -1.093770591198e-12       9.939419809682e-15       2.797100275533e-11       3.336566296109e-12      -9.894451817473e-15 
