# dimensionless [l(l+1)/2pi] C_l's for tensor mode
# for l=2 to 500, i.e. number of multipoles equal to 499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.404604635780e-10       2.664194372930e-15       1.638387900700e-13       4.759174372335e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    3       1.079602519650e-10       2.825111529238e-15      -8.383698441590e-15       4.799444878946e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    4       9.692957136194e-11       2.594900123560e-15      -6.034571849138e-14       4.178046768086e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    5       9.232902979887e-11       2.075462569196e-15      -7.112559536157e-14       3.275397532827e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    6       8.962262383021e-11       1.496803527069e-15      -6.761207797545e-14       2.378342291873e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    7       8.791860532465e-11       1.019797824335e-15      -5.999658344018e-14       1.645325572775e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    8       8.677295117836e-11       7.102296739470e-16      -5.278047690709e-14       1.129634406535e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    9       8.594435050564e-11       5.631778158028e-16      -4.763817831899e-14       8.198117521125e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   10       8.529353226168e-11       5.394032651071e-16      -4.489922259771e-14       6.743673055565e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   11       8.473903742072e-11       5.937097992900e-16      -4.434076829505e-14       6.454944781631e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   12       8.423368070181e-11       6.905126445221e-16      -4.557639394389e-14       6.914497083065e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   13       8.374950865769e-11       8.075451926940e-16      -4.822070887803e-14       7.816716961345e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   14       8.326919549104e-11       9.342508884627e-16      -5.196843677076e-14       8.960560619493e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   15       8.278195034032e-11       1.066618071258e-15      -5.660205599263e-14       1.023461163335e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   16       8.228140526448e-11       1.203901782671e-15      -6.196499447882e-14       1.158395876390e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   17       8.176414536041e-11       1.346838802793e-15      -6.794467322023e-14       1.298102592501e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
