# Matter power spectrum P(k) at redshift z=0
# for k=1.03892e-05 to 108.968 h/Mpc,
# number of wavenumbers equal to 813
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.038922642939e-05       5.572377248316e+01 
       2.321812845777e-05       1.198434543034e+02 
       3.609173375949e-05       1.824082400059e+02 
       4.904439972293e-05       2.442636181517e+02 
       6.211104703766e-05       3.058633026601e+02 
       7.532746857054e-05       3.675309945727e+02 
       8.873064803662e-05       4.295329706675e+02 
       1.023590926717e-04       4.921073364991e+02 
       1.162531841463e-04       5.554787097771e+02 
       1.304555519933e-04       6.198668155845e+02 
       1.450114738307e-04       6.854922160146e+02 
       1.599693066034e-04       7.525805808868e+02 
       1.753809529045e-04       8.213661680799e+02 
       1.913023660834e-04       8.920948842990e+02 
       2.077940972269e-04       9.650271244940e+02 
       2.249218860767e-04       1.040440507111e+03 
       2.427572963652e-04       1.118632561578e+03 
       2.613783937036e-04       1.199923412875e+03 
       2.808704607789e-04       1.284658408944e+03 
       3.013267399005e-04       1.373210716858e+03 
       3.228491865167e-04       1.465983753960e+03 
       3.455492088079e-04       1.563413379679e+03 
       3.695483574944e-04       1.665969650239e+03 
       3.949789163030e-04       1.774157947163e+03 
       4.219843271272e-04       1.888519157185e+03 
       4.507193652352e-04       2.009628585703e+03 
       4.813499601652e-04       2.138093140795e+03 
       5.140525395271e-04       2.274546338714e+03 
       5.490127596148e-04       2.419640605491e+03 
       5.864234840096e-04       2.574036398992e+03 
       6.264818862127e-04       2.738387816916e+03 
       6.693855924581e-04       2.913324478651e+03 
       7.153278526981e-04       3.099429919557e+03 
       7.644918337246e-04       3.297217113373e+03 
       8.170442631527e-04       3.507102362293e+03 
       8.731288004716e-04       3.729379335597e+03 
       9.328596440384e-04       3.964195397584e+03 
       9.963159657110e-04       4.211532898124e+03 
       1.063537764317e-03       4.471197570307e+03 
       1.134523625953e-03       4.742815975642e+03 
       1.209230678886e-03       5.025842640966e+03 
       1.287576767588e-03       5.319576842808e+03 
       1.369444598904e-03       5.623171034954e+03 
       1.454687391583e-03       5.935680221189e+03 
       1.543135431286e-03       6.256127515755e+03 
       1.634602911679e-03       6.583474084180e+03 
       1.728894515035e-03       6.916673096405e+03 
       1.825811320086e-03       7.254694777994e+03 
       1.925155782401e-03       7.596546285624e+03 
       2.026735680812e-03       7.941286798153e+03 
       2.130367041837e-03       8.288037641293e+03 
       2.235876134908e-03       8.635989105193e+03 
       2.343100676070e-03       8.984402161543e+03 
       2.451890393792e-03       9.332608668549e+03 
       2.562107106469e-03       9.680009400736e+03 
       2.673624445201e-03       1.002607007339e+04 
       2.786327333995e-03       1.037031748343e+04 
       2.900111316992e-03       1.071233410611e+04 
       3.014881801364e-03       1.105175527754e+04 
       3.130553266383e-03       1.138826047028e+04 
       3.247048474339e-03       1.172157335005e+04 
       3.364297707344e-03       1.205145197750e+04 
       3.482238045183e-03       1.237769104017e+04 
       3.600812692879e-03       1.270011091480e+04 
       3.719970362018e-03       1.301856335644e+04 
       3.839664706618e-03       1.333291739027e+04 
       3.959853812268e-03       1.364306716560e+04 
       4.080499735881e-03       1.394892511664e+04 
       4.201568092653e-03       1.425041553829e+04 
       4.323027686457e-03       1.454748441415e+04 
       4.444850179783e-03       1.484007967300e+04 
       4.567009799409e-03       1.512817521465e+04 
       4.689483074174e-03       1.541174057961e+04 
       4.812248601458e-03       1.569076309206e+04 
       4.935286839263e-03       1.596523828122e+04 
       5.058579921044e-03       1.623516121180e+04 
       5.182111490760e-03       1.650053665973e+04 
       5.305866555835e-03       1.676137717912e+04 
       5.429831356000e-03       1.701769474192e+04 
       5.553993246208e-03       1.726951195116e+04 
       5.678340591997e-03       1.751684478481e+04 
       5.802862675902e-03       1.775972472976e+04 
       5.927549613644e-03       1.799818642778e+04 
       6.052392279003e-03       1.823228108254e+04 
       6.177382236385e-03       1.846197416225e+04 
       6.302511680230e-03       1.868731819475e+04 
       6.427773380501e-03       1.890838077005e+04 
       6.553160633584e-03       1.912516545478e+04 
       6.678667218001e-03       1.933759432006e+04 
       6.804287354430e-03       1.954595984144e+04 
       6.930015669548e-03       1.975017667653e+04 
       7.055847163317e-03       1.995029421458e+04 
