# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 5000, i.e. number of multipoles equal to 4999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       2.865920414054e-10       7.676757103138e-15       5.585182375594e-13       4.718827127448e-15       8.374741566628e-09       4.690799865998e-10      -2.049095739409e-12 
    3       2.443823005605e-10       9.939163342230e-15       4.498644461625e-13       4.753398917720e-15       5.154079456249e-09       3.332395679114e-10      -1.642150121047e-12 
    4       2.253570496339e-10       9.510854911836e-15       3.846361268609e-13       4.135089209995e-15       3.589092570331e-09       2.525098137798e-10      -1.166784052670e-12 
    5       2.147247778542e-10       7.338153355812e-15       3.219795308095e-13       3.240732472543e-15       2.680574575047e-09       1.995615635939e-10      -7.422310266320e-13 
    6       2.077495591894e-10       4.828838307501e-15       2.600541228372e-13       2.353803718455e-15       2.094422116989e-09       1.624754650010e-10      -4.038005476666e-13 
    7       2.031993238347e-10       2.901307678551e-15       2.042095212841e-13       1.630357611523e-15       1.689477583050e-09       1.352064540990e-10      -1.601447307501e-13 
    8       2.002207772599e-10       1.794321425719e-15       1.579944494500e-13       1.122617966476e-15       1.395412920522e-09       1.144620589923e-10      -5.112159677097e-15 
    9       1.983788703686e-10       1.318911756607e-15       1.230206090899e-13       8.188056147203e-16       1.174000581559e-09       9.832382408327e-11       7.586530753587e-14 
   10       1.973576700176e-10       1.179010040800e-15       9.914134352882e-14       6.776783081091e-16       1.002814162831e-09       8.551432887040e-11       1.015148296085e-13 
   11       1.968414475965e-10       1.164661421876e-15       8.506486590516e-14       6.519200947351e-16       8.464728263617e-10       7.537667919220e-11       9.120173156666e-14 
