# dimensionless [l(l+1)/2pi] C_l's for scalar mode
# for l=2 to 5500, i.e. number of multipoles equal to 5499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.435761154548e-10       5.034661735044e-15       3.913053533188e-13       0.000000000000e+00       8.374741566628e-09       4.690799865998e-10      -2.049095739409e-12 
    3       1.353823156200e-10       7.144164238338e-15       4.578560031905e-13       0.000000000000e+00       5.154079456249e-09       3.332395679114e-10      -1.642150121047e-12 
    4       1.275847703759e-10       6.945146929016e-15       4.447154658381e-13       0.000000000000e+00       3.589092570331e-09       2.525098137798e-10      -1.166784052670e-12 
    5       1.216455045834e-10       5.286004565959e-15       3.929076819526e-13       0.000000000000e+00       2.680574575047e-09       1.995615635939e-10      -7.422310266320e-13 
    6       1.174512183643e-10       3.347496275312e-15       3.275250615935e-13       0.000000000000e+00       2.094422116989e-09       1.624754650010e-10      -4.038005476666e-13 
    7       1.146548278883e-10       1.889400421784e-15       2.641263482045e-13       0.000000000000e+00       1.689477583050e-09       1.352064540990e-10      -1.601447307501e-13 
    8       1.128612639023e-10       1.085963024861e-15       2.107574044229e-13       0.000000000000e+00       1.395412920522e-09       1.144620589923e-10      -5.112159677097e-15 
    9       1.118803295248e-10       7.532836724252e-16       1.706943899028e-13       0.000000000000e+00       1.174000581559e-09       9.832382408327e-11       7.586530753587e-14 
   10       1.115375719224e-10       6.341940560829e-16       1.441271362794e-13       0.000000000000e+00       1.002814162831e-09       8.551432887040e-11       1.015148296085e-13 
   11       1.116002223245e-10       5.634893901371e-16       1.295372039608e-13       0.000000000000e+00       8.464728263617e-10       7.537667919220e-11       9.120173156666e-14 
   12       1.120335546742e-10       4.912349691096e-16       1.244609522791e-13       0.000000000000e+00       7.395753461937e-10       6.676047052573e-11       6.265751031094e-14 
   13       1.127427078252e-10       4.301547953014e-16       1.260593443472e-13       0.000000000000e+00       6.518288263271e-10       5.946323083710e-11       2.884244365854e-14 
   14       1.136783493233e-10       3.999619284196e-16       1.317530811101e-13       0.000000000000e+00       5.788201201534e-10       5.338709417054e-11      -9.255319204569e-16 
   15       1.147924309703e-10       4.035481817131e-16       1.394899683431e-13       0.000000000000e+00       5.173736487586e-10       4.826323094864e-11      -2.188934211266e-14 
   16       1.160309766407e-10       4.312856346150e-16       1.479299597298e-13       0.000000000000e+00       4.651341363509e-10       4.380945160964e-11      -3.294439835649e-14 
   17       1.174554569071e-10       4.737853830167e-16       1.563318101193e-13       0.000000000000e+00       4.203209498748e-10       3.984786658402e-11      -3.544941776346e-14 
   18       1.189532405870e-10       5.288404041042e-16       1.644101525060e-13       0.000000000000e+00       3.814259586857e-10       3.639977011733e-11      -3.189312483455e-14 
