# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 5000, i.e. number of multipoles equal to 4999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       2.865955944851e-10       7.887690997575e-15       5.644416320114e-13       4.852153904349e-15       8.375751015770e-09       4.723423893651e-10      -2.078004554788e-12 
    3       2.447272450274e-10       1.020538399264e-14       4.559186457002e-13       4.883652018376e-15       5.150505846600e-09       3.349495241658e-10      -1.663873973191e-12 
    4       2.256174324943e-10       9.753779882748e-15       3.898850157291e-13       4.244260177176e-15       3.577647344722e-09       2.537720268188e-10      -1.181421814794e-12 
    5       2.148577133238e-10       7.513342934042e-15       3.262435208428e-13       3.322124442966e-15       2.668916516375e-09       2.005049855954e-10      -7.507426454108e-13 
    6       2.078074931088e-10       4.933941584235e-15       2.632984136232e-13       2.408661691170e-15       2.084075402648e-09       1.631357278280e-10      -4.076612859022e-13 
    7       2.031868897036e-10       2.956071202268e-15       2.065150938720e-13       1.663779527413e-15       1.681015006903e-09       1.357480542157e-10      -1.609304607934e-13 
    8       2.002127191708e-10       1.821519532001e-15       1.594909055632e-13       1.140753990453e-15       1.389161483763e-09       1.149828135328e-10      -4.201304606073e-15 
    9       1.983369147681e-10       1.334031443903e-15       1.238974667778e-13       8.270024759111e-16       1.169601172461e-09       9.876307215182e-11       7.741630810468e-14 
   10       1.972738870922e-10       1.188964562482e-15       9.963761131564e-14       6.800595915902e-16       9.994405648295e-10       8.582182874543e-11       1.030089776625e-13 
   11       1.967739783369e-10       1.171521700069e-15       8.530940177774e-14       6.510702856025e-16       8.431839866610e-10       7.565230257326e-11       9.227643012393e-14 
   12       1.966420281064e-10       1.195021235501e-15       7.881655873888e-14       6.976859352251e-16       7.366507673368e-10       6.703630961672e-11       6.319530624847e-14 
   13       1.968711226188e-10       1.250295248316e-15       7.769982015884e-14       7.889190102180e-16       6.491969410707e-10       5.969230793830e-11       2.884639946962e-14 
   14       1.973077516894e-10       1.346836100829e-15       7.957081644050e-14       9.044032170228e-16       5.764393941281e-10       5.361324456644e-11      -1.199412118066e-15 
   15       1.978984556692e-10       1.483034709542e-15       8.264356046396e-14       1.033205029956e-15       5.152097149975e-10       4.844814791172e-11      -2.232503886837e-14 
   16       1.986602469026e-10       1.648676490692e-15       8.569117782890e-14       1.169197038083e-15       4.631530993201e-10       4.387837989629e-11      -3.356455442012e-14 
   17       1.995195871608e-10       1.834101328735e-15       8.798533089609e-14       1.310439059949e-15       4.184982876487e-10       3.995710411025e-11      -3.590616216016e-14 
   18       2.004629686374e-10       2.037733924422e-15       8.943422614830e-14       1.456049824245e-15       3.797429466657e-10       3.652843109451e-11      -3.212905436564e-14 
   19       2.015134003644e-10       2.263584395646e-15       9.017898875451e-14       1.605750236076e-15       3.462716044307e-10       3.352521405694e-11      -2.490699894710e-14 
   20       2.025976067848e-10       2.516611294776e-15       9.043671608220e-14       1.759583145591e-15       3.167946565053e-10       3.086090230206e-11      -1.729213759253e-14 
   21       2.037432720860e-10       2.798526421765e-15       9.047030204724e-14       1.917450853720e-15       2.908485689217e-10       2.850306461508e-11      -1.090163903038e-14 
   22       2.049503986828e-10       3.109271893889e-15       9.053808601074e-14       2.079276641285e-15       2.678116889591e-10       2.639787720986e-11      -6.823313597889e-15 
   23       2.062112271989e-10       3.447656154361e-15       9.064327813422e-14       2.244942751269e-15       2.473668920822e-10       2.451465571097e-11      -5.155640477334e-15 
   24       2.074798392235e-10       3.811866435558e-15       9.065272284722e-14       2.414345007453e-15       2.290412389082e-10       2.281112572032e-11      -5.489152576265e-15 
   25       2.087759101983e-10       4.201869397363e-15       9.034134000116e-14       2.587287510529e-15       2.126186462371e-10       2.129013348944e-11      -7.144330139396e-15 
   26       2.101097943011e-10       4.618063471857e-15       8.941231242287e-14       2.763559415725e-15       1.978014167331e-10       1.994600908692e-11      -9.253751719188e-15 
   27       2.114796905051e-10       5.060820728901e-15       8.759606959475e-14       2.942941208551e-15       1.844123101015e-10       1.872910093472e-11      -1.124534222869e-14 
   28       2.128629274986e-10       5.530530941695e-15       8.463414725407e-14       3.125218690946e-15       1.722212091203e-10       1.757310057139e-11      -1.264106370456e-14 
   29       2.142737973678e-10       6.028087806955e-15       8.043120761035e-14       3.310169646103e-15       1.611655784104e-10       1.648444954612e-11      -1.330677016151e-14 
   30       2.157156613495e-10       6.554577087161e-15       7.494877759758e-14       3.497578432311e-15       1.511259939843e-10       1.548840597206e-11      -1.322911640821e-14 
   31       2.171720477996e-10       7.111112957483e-15       6.816762053884e-14       3.687234926121e-15       1.418969556893e-10       1.460119101299e-11      -1.245795295314e-14 
   32       2.186499159855e-10       7.698713598996e-15       6.010934218239e-14       3.878908350719e-15       1.334308708360e-10       1.381161469638e-11      -1.122606535847e-14 
   33       2.201476183052e-10       8.318380145582e-15       5.082576984578e-14       4.072364185994e-15       1.256682393741e-10       1.309056529730e-11      -9.884938235684e-15 
   34       2.216511297080e-10       8.971085076864e-15       4.037776477437e-14       4.267362641415e-15       1.185007774330e-10       1.240494354613e-11      -8.796444110447e-15 
   35       2.231689433230e-10       9.657621066041e-15       2.877458829264e-14       4.463629411485e-15       1.118916886821e-10       1.175411203983e-11      -8.039485847151e-15 
   36       2.247062349478e-10       1.037869347665e-14       1.601423512000e-14       4.660873864063e-15       1.057876603319e-10       1.114532689354e-11      -7.602019347828e-15 
