# dimensionless [l(l+1)/2pi] C_l's for scalar mode
# for l=2 to 5500, i.e. number of multipoles equal to 5499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.441067573577e-10       5.173454132165e-15       3.955730573474e-13       0.000000000000e+00       8.375751015770e-09       4.723423893651e-10      -2.078004554788e-12 
    3       1.357787437493e-10       7.337154211527e-15       4.634784016564e-13       0.000000000000e+00       5.150505846600e-09       3.349495241658e-10      -1.663873973191e-12 
    4       1.278824521715e-10       7.124611860229e-15       4.501748335006e-13       0.000000000000e+00       3.577647344722e-09       2.537720268188e-10      -1.181421814794e-12 
    5       1.218579961292e-10       5.414277598504e-15       3.975483211496e-13       0.000000000000e+00       2.668916516375e-09       2.005049855954e-10      -7.507426454108e-13 
    6       1.175963177301e-10       3.422822282988e-15       3.311074866580e-13       0.000000000000e+00       2.084075402648e-09       1.631357278280e-10      -4.076612859022e-13 
    7       1.147362117678e-10       1.928126049215e-15       2.666824346114e-13       0.000000000000e+00       1.681015006903e-09       1.357480542157e-10      -1.609304607934e-13 
    8       1.129511705791e-10       1.106347684822e-15       2.124200165411e-13       0.000000000000e+00       1.389161483763e-09       1.149828135328e-10      -4.201304606073e-15 
    9       1.119390288970e-10       7.668026939283e-16       1.716675421248e-13       0.000000000000e+00       1.169601172461e-09       9.876307215182e-11       7.741630810468e-14 
   10       1.115560245502e-10       6.451868802106e-16       1.446644998082e-13       0.000000000000e+00       9.994405648295e-10       8.582182874543e-11       1.030089776625e-13 
   11       1.116355661196e-10       5.725181878579e-16       1.297837459350e-13       0.000000000000e+00       8.431839866610e-10       7.565230257326e-11       9.227643012393e-14 
   12       1.120308040288e-10       4.981358362026e-16       1.245305289316e-13       0.000000000000e+00       7.366507673368e-10       6.703630961672e-11       6.319530624847e-14 
   13       1.127634592327e-10       4.352404199066e-16       1.260665341925e-13       0.000000000000e+00       6.491969410707e-10       5.969230793830e-11       2.884639946962e-14 
   14       1.136976949054e-10       4.038634810713e-16       1.316981982814e-13       0.000000000000e+00       5.764393941281e-10       5.361324456644e-11      -1.199412118066e-15 
   15       1.147911602322e-10       4.066873325918e-16       1.394102847660e-13       0.000000000000e+00       5.152097149975e-10       4.844814791172e-11      -2.232503886837e-14 
   16       1.160675357682e-10       4.335780610637e-16       1.478246225814e-13       0.000000000000e+00       4.631530993201e-10       4.387837989629e-11      -3.356455442012e-14 
   17       1.174569251126e-10       4.749544344145e-16       1.561074021171e-13       0.000000000000e+00       4.184982876487e-10       3.995710411025e-11      -3.590616216016e-14 
   18       1.189535085387e-10       5.288683883706e-16       1.640821807953e-13       0.000000000000e+00       3.797429466657e-10       3.652843109451e-11      -3.212905436564e-14 
   19       1.205629685325e-10       5.993204696110e-16       1.718454688034e-13       0.000000000000e+00       3.462716044307e-10       3.352521405694e-11      -2.490699894710e-14 
   20       1.222312707556e-10       6.914072115148e-16       1.795590985858e-13       0.000000000000e+00       3.167946565053e-10       3.086090230206e-11      -1.729213759253e-14 
   21       1.239755600368e-10       8.071251136376e-16       1.874484144162e-13       0.000000000000e+00       2.908485689217e-10       2.850306461508e-11      -1.090163903038e-14 
   22       1.258013025395e-10       9.467136795928e-16       1.957306152046e-13       0.000000000000e+00       2.678116889591e-10       2.639787720986e-11      -6.823313597889e-15 
   23       1.276932790357e-10       1.109127150092e-15       2.043794257066e-13       0.000000000000e+00       2.473668920822e-10       2.451465571097e-11      -5.155640477334e-15 
   24       1.296116247398e-10       1.292592440634e-15       2.132297435185e-13       0.000000000000e+00       2.290412389082e-10       2.281112572032e-11      -5.489152576265e-15 
   25       1.315701067901e-10       1.497017749439e-15       2.220240648740e-13       0.000000000000e+00       2.126186462371e-10       2.129013348944e-11      -7.144330139396e-15 
   26       1.335823933289e-10       1.722682464202e-15       2.304305639657e-13       0.000000000000e+00       1.978014167331e-10       1.994600908692e-11      -9.253751719188e-15 
   27       1.356442238803e-10       1.969928181636e-15       2.381547093553e-13       0.000000000000e+00       1.844123101015e-10       1.872910093472e-11      -1.124534222869e-14 
   28       1.377369163691e-10       2.239167489131e-15       2.449146543292e-13       0.000000000000e+00       1.722212091203e-10       1.757310057139e-11      -1.264106370456e-14 
   29       1.398669139875e-10       2.531527916591e-15       2.505918478703e-13       0.000000000000e+00       1.611655784104e-10       1.648444954612e-11      -1.330677016151e-14 
   30       1.420367072661e-10       2.848430277944e-15       2.551230889304e-13       0.000000000000e+00       1.511259939843e-10       1.548840597206e-11      -1.322911640821e-14 
   31       1.442379947974e-10       3.191342068857e-15       2.584637405846e-13       0.000000000000e+00       1.418969556893e-10       1.460119101299e-11      -1.245795295314e-14 
   32       1.464725414943e-10       3.561516039513e-15       2.606149117722e-13       0.000000000000e+00       1.334308708360e-10       1.381161469638e-11      -1.122606535847e-14 
   33       1.487364143474e-10       3.960157309836e-15       2.616093673563e-13       0.000000000000e+00       1.256682393741e-10       1.309056529730e-11      -9.884938235684e-15 
   34       1.510193811037e-10       4.388447314869e-15       2.614889969839e-13       0.000000000000e+00       1.185007774330e-10       1.240494354613e-11      -8.796444110447e-15 
   35       1.533266107288e-10       4.847391427661e-15       2.602443451807e-13       0.000000000000e+00       1.118916886821e-10       1.175411203983e-11      -8.039485847151e-15 
   36       1.556629094131e-10       5.337913058574e-15       2.578549264238e-13       0.000000000000e+00       1.057876603319e-10       1.114532689354e-11      -7.602019347828e-15 
   37       1.580284849080e-10       5.860868433695e-15       2.542924351490e-13       0.000000000000e+00       1.001089556430e-10       1.058319210079e-11      -7.452102592824e-15 
   38       1.604268143787e-10       6.416973288095e-15       2.494765767804e-13       0.000000000000e+00       9.484086509031e-11       1.006726462366e-11      -7.521177978726e-15 
   39       1.628582163635e-10       7.006843210016e-15       2.433036998614e-13       0.000000000000e+00       8.996671970864e-11       9.593171604370e-12      -7.712557431475e-15 
   40       1.653169579273e-10       7.631005880611e-15       2.356574253905e-13       0.000000000000e+00       8.544008411518e-11       9.152859073441e-12      -7.903675190508e-15 
   41       1.677947973349e-10       8.289950321193e-15       2.264304390858e-13       0.000000000000e+00       8.120093038125e-11       8.737111527442e-12      -7.976765793371e-15 
   42       1.702944770580e-10       8.984307782341e-15       2.156006286048e-13       0.000000000000e+00       7.723673393970e-11       8.344833968461e-12      -7.927061727893e-15 
   43       1.728195883661e-10       9.714720031578e-15       2.031781713001e-13       0.000000000000e+00       7.353689602827e-11       7.976275561405e-12      -7.786910124509e-15 
   44       1.753704699392e-10       1.048178747052e-14       1.891855775163e-13       0.000000000000e+00       7.007440748407e-11       7.630354142726e-12      -7.596898459809e-15 
   45       1.779456068498e-10       1.128605733267e-14       1.736463004331e-13       0.000000000000e+00       6.681548292717e-11       7.305224061446e-12      -7.399300404879e-15 
   46       1.805471025543e-10       1.212798876685e-14       1.565450070021e-13       0.000000000000e+00       6.375497542684e-11       7.000446504977e-12      -7.214890303689e-15 
   47       1.831762824433e-10       1.300797392421e-14       1.378565108685e-13       0.000000000000e+00       6.088932795560e-11       6.715277184384e-12      -7.060053591706e-15 
   48       1.858318835352e-10       1.392634436889e-14       1.175567115974e-13       0.000000000000e+00       5.820589407508e-11       6.447971512042e-12      -6.953337181415e-15 
   49       1.885098245900e-10       1.488336851975e-14       9.562253775475e-14       0.000000000000e+00       5.568226204138e-11       6.195711580201e-12      -6.915546494286e-15 
   50       1.912053895224e-10       1.587925411845e-14       7.203104631698e-14       0.000000000000e+00       5.329300252409e-11       5.955444813435e-12      -6.963156457210e-15 
   51       1.939210096672e-10       1.691416235889e-14       4.675656476364e-14       0.000000000000e+00       5.103363910892e-11       5.726837704474e-12      -7.086210896519e-15 
   52       1.966601965498e-10       1.798819317091e-14       1.977267484935e-14       0.000000000000e+00       4.890201599175e-11       5.509997614552e-12      -7.264591910000e-15 
   53       1.994251996538e-10       1.910137826234e-14      -8.947105855446e-15       0.000000000000e+00       4.689112423851e-11       5.304601769185e-12      -7.473969146436e-15 
   54       2.022168901017e-10       2.025367879728e-14      -3.942942058605e-14       0.000000000000e+00       4.498877523713e-11       5.109867139044e-12      -7.685582200600e-15 
   55       2.050354422286e-10       2.144499940055e-14      -7.169789821752e-14       0.000000000000e+00       4.318131465588e-11       4.924828230989e-12      -7.872857442548e-15 
