# dimensionless [l(l+1)/2pi] C_l's for tensor mode
# for l=2 to 500, i.e. number of multipoles equal to 499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.424883579887e-10       2.713998903050e-15       1.688685787131e-13       4.851915941989e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    3       1.089475464870e-10       2.867753702095e-15      -7.559737931761e-15       4.883175939347e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    4       9.773339664481e-11       2.628374222604e-15      -6.028976605749e-14       4.243466377208e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    5       9.299735574937e-11       2.097874026708e-15      -7.130468271607e-14       3.320933133932e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    6       9.020789248400e-11       1.509450483844e-15      -6.780884232844e-14       2.406992873128e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    7       8.844633580207e-11       1.025718598832e-15      -6.016693237473e-14       1.661552971470e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    8       8.725601584899e-11       7.123070943577e-16      -5.292844122596e-14       1.137889233479e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    9       8.639103791755e-11       5.636451108689e-16      -4.776903980673e-14       8.234188276249e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   10       8.570958170913e-11       5.393942635645e-16      -4.502536101753e-14       6.756761539643e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   11       8.512858775250e-11       5.937392473846e-16      -4.447217619615e-14       6.458059839995e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   12       8.459975195331e-11       6.906590922426e-16      -4.571099053412e-14       6.914595601310e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   13       8.409444594796e-11       8.077852067838e-16      -4.836272893247e-14       7.816492679649e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   14       8.359500225872e-11       9.345783962854e-16      -5.212217549603e-14       8.960087874786e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
