# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 5000, i.e. number of multipoles equal to 4999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       2.856870519762e-10       7.778852200488e-15       5.610968852504e-13       4.785098481632e-15       8.354841810858e-09       4.690024854000e-10      -2.065868916812e-12 
    3       2.442218284191e-10       1.006038058914e-14       4.537192012967e-13       4.814160705152e-15       5.171363403197e-09       3.328945663687e-10      -1.652793972381e-12 
    4       2.252019946464e-10       9.610087784015e-15       3.877222951449e-13       4.182588227916e-15       3.597568980390e-09       2.521806394987e-10      -1.173012967241e-12 
    5       2.145601190500e-10       7.399877490523e-15       3.243165403856e-13       3.273344494041e-15       2.683041257824e-09       1.992759070960e-10      -7.451009697699e-13 
    6       2.075902731509e-10       4.858996630967e-15       2.617144494387e-13       2.373541597885e-15       2.093895835857e-09       1.622258725829e-10      -4.043792711608e-13 
    7       2.030443788881e-10       2.912962468281e-15       2.052899169308e-13       1.640658794745e-15       1.688724820846e-09       1.350095776886e-10      -1.595089619394e-13 
    8       2.000702166285e-10       1.798361398608e-15       1.586096458327e-13       1.126812782708e-15       1.395699928501e-09       1.143187714733e-10      -4.082482522992e-15 
    9       1.982334571721e-10       1.320643279372e-15       1.232885705519e-13       8.194968557356e-16       1.175322858853e-09       9.822011115818e-11       7.676508125515e-14 
   10       1.972108665043e-10       1.179690223978e-15       9.922895663268e-14       6.766209404618e-16       1.004694510826e-09       8.543225347468e-11       1.020275376357e-13 
   11       1.966964105138e-10       1.164319899008e-15       8.509743427758e-14       6.499876078042e-16       8.468472998885e-10       7.531443318714e-11       9.128039856217e-14 
   12       1.966155676607e-10       1.189546165575e-15       7.871820216767e-14       6.978602640881e-16       7.398974305351e-10       6.668503069379e-11       6.234275220933e-14 
   13       1.968278972324e-10       1.246461791304e-15       7.762905249810e-14       7.896881880476e-16       6.521093172258e-10       5.942278541562e-11       2.835166891755e-14 
   14       1.972586957026e-10       1.344236801168e-15       7.953983035394e-14       9.054654606406e-16       5.790658138680e-10       5.332886709055e-11      -1.484790202416e-15 
   15       1.978789172949e-10       1.481389508778e-15       8.260040564323e-14       1.034287308562e-15       5.175894145391e-10       4.818207876248e-11      -2.238553434600e-14 
   16       1.986073334908e-10       1.647632988932e-15       8.563995909122e-14       1.170470414975e-15       4.653244223490e-10       4.375347695159e-11      -3.324170311302e-14 
   17       1.994955734093e-10       1.833907445022e-15       8.802758202521e-14       1.311691993455e-15       4.204903415344e-10       3.980933339401e-11      -3.556818205024e-14 
   18       2.004472988543e-10       2.038432506610e-15       8.950506576974e-14       1.457318545903e-15       3.815767921559e-10       3.637891119158e-11      -3.184681109174e-14 
   19       2.014796376481e-10       2.265149577097e-15       9.025177460876e-14       1.607140972171e-15       3.479672554503e-10       3.341566502734e-11      -2.464227999990e-14 
   20       2.025634407685e-10       2.519081426525e-15       9.060610323082e-14       1.761123647866e-15       3.183670509717e-10       3.074961952634e-11      -1.705554557581e-14 
   21       2.037098320491e-10       2.801849488948e-15       9.077008353181e-14       1.919169500590e-15       2.923111595202e-10       2.837255024693e-11      -1.072859936834e-14 
   22       2.048877902530e-10       3.113273691835e-15       9.088852469956e-14       2.081221847252e-15       2.691758014970e-10       2.628792446132e-11      -6.753836787719e-15 
   23       2.061158673226e-10       3.452224512089e-15       9.099411038192e-14       2.247135581192e-15       2.486425692441e-10       2.445744968926e-11      -5.163817547151e-15 
   24       2.073871192975e-10       3.817018617605e-15       9.102491798255e-14       2.416764429539e-15       2.302365163788e-10       2.280359512683e-11      -5.482171259180e-15 
   25       2.086982142931e-10       4.207669218907e-15       9.074266020457e-14       2.589907499650e-15       2.137411857313e-10       2.128735562777e-11      -7.129417187459e-15 
   26       2.100212302499e-10       4.624600232259e-15       8.981844666226e-14       2.766365025650e-15       1.988582377431e-10       1.987417790234e-11      -9.359744081487e-15 
   27       2.113668595297e-10       5.068214478332e-15       8.801323132523e-14       2.945940726364e-15       1.854095110190e-10       1.858226487743e-11      -1.147110515923e-14 
   28       2.127387627979e-10       5.538922085056e-15       8.511111856922e-14       3.128442480518e-15       1.731635030368e-10       1.743376394489e-11      -1.280070873198e-14 
   29       2.141502665503e-10       6.037567788561e-15       8.099454413599e-14       3.313629191193e-15       1.620574442788e-10       1.641626213122e-11      -1.326828175407e-14 
   30       2.155933720514e-10       6.565151902245e-15       7.557400981760e-14       3.501247443650e-15       1.519715695854e-10       1.549157306444e-11      -1.301566147910e-14 
   31       2.170408695442e-10       7.122722166582e-15       6.878489897323e-14       3.691048801026e-15       1.426996493359e-10       1.461418496987e-11      -1.224241149378e-14 
   32       2.185039656790e-10       7.711398603618e-15       6.067888045266e-14       3.882796810241e-15       1.341939029666e-10       1.378581427675e-11      -1.114656688780e-14 
   33       2.199914279120e-10       8.332362693959e-15       5.137085380636e-14       4.076263333390e-15       1.263945224281e-10       1.301994150356e-11      -9.970512814992e-15 
   34       2.214981589602e-10       8.986736244758e-15       4.097859483426e-14       4.271225787717e-15       1.191927020239e-10       1.232472970107e-11      -8.968798462388e-15 
   35       2.230257146444e-10       9.675172961203e-15       2.948456929510e-14       4.467462211691e-15       1.125515605732e-10       1.169409660157e-11      -8.226604575817e-15 
   36       2.245656265487e-10       1.039811418220e-14       1.682589741185e-14       4.664755078779e-15       1.064176695515e-10       1.111250264672e-11      -7.779220510477e-15 
   37       2.261023207723e-10       1.115594622413e-14       2.936248765469e-15       4.862882598902e-15       1.007110462386e-10       1.056228161805e-11      -7.640162755468e-15 
   38       2.276478790408e-10       1.194920094576e-14      -1.223212753865e-14       5.061583305991e-15       9.541692596899e-11       1.004299107283e-11      -7.735127393028e-15 
   39       2.292166594310e-10       1.277841230785e-14      -2.872409762070e-14       5.260579344563e-15       9.051853286316e-11       9.557870765881e-12      -7.943665213287e-15 
   40       2.308147890548e-10       1.364405800091e-14      -4.658800867967e-14       5.459585240778e-15       8.596916963236e-11       9.108434852302e-12      -8.114218372695e-15 
   41       2.324417210234e-10       1.454658789868e-14      -6.587158380931e-14       5.658316406102e-15       8.170848531480e-11       8.694305263790e-12      -8.105395867229e-15 
   42       2.340977759415e-10       1.548652933191e-14      -8.660712312758e-14       5.856519306215e-15       7.772392192945e-11       8.313074519588e-12      -7.930898434750e-15 
   43       2.357774723217e-10       1.646440994207e-14      -1.088220985145e-13       6.053950182874e-15       7.400487766483e-11       7.960098641006e-12      -7.658313836224e-15 
   44       2.374664861006e-10       1.748072711994e-14      -1.325432635488e-13       6.250366913870e-15       7.052426719580e-11       7.628307915490e-12      -7.370766601269e-15 
   45       2.391488099307e-10       1.853590282639e-14      -1.577916015997e-13       6.445521240799e-15       6.724819221762e-11       7.310294450401e-12      -7.148683748341e-15 
   46       2.408325957594e-10       1.963013539666e-14      -1.845652397529e-13       6.639132520998e-15       6.417149249803e-11       7.005736552943e-12      -7.006409061559e-15 
   47       2.425307299013e-10       2.076350094189e-14      -2.128515201680e-13       6.830906244341e-15       6.129059134293e-11       6.715892580117e-12      -6.938214240341e-15 
   48       2.442532710028e-10       2.193598934071e-14      -2.426314303825e-13       7.020540818864e-15       5.859277381089e-11       6.441483388705e-12      -6.935641290078e-15 
   49       2.460071375510e-10       2.314750025808e-14      -2.738793640830e-13       7.207727187352e-15       5.605550716313e-11       6.182645596385e-12      -6.987325115693e-15 
   50       2.477961161239e-10       2.439785606998e-14      -3.065698702443e-13       7.392168860112e-15       5.365322630846e-11       5.939042503282e-12      -7.080560993872e-15 
   51       2.496216137613e-10       2.568685400950e-14      -3.407006152816e-13       7.573649313338e-15       5.138143803626e-11       5.710340785709e-12      -7.206920163878e-15 
