# dimensionless [l(l+1)/2pi] C_l's for scalar mode
# for l=2 to 5500, i.e. number of multipoles equal to 5499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.434671098921e-10       5.103721379571e-15       3.937329409403e-13       0.000000000000e+00       8.354841810858e-09       4.690024854000e-10      -2.065868916812e-12 
    3       1.352817567473e-10       7.234632405458e-15       4.609999764671e-13       0.000000000000e+00       5.171363403197e-09       3.328945663687e-10      -1.652793972381e-12 
    4       1.274921964090e-10       7.020748377114e-15       4.474311694736e-13       0.000000000000e+00       3.597568980390e-09       2.521806394987e-10      -1.173012967241e-12 
    5       1.215558773793e-10       5.332884222112e-15       3.949748366649e-13       0.000000000000e+00       2.683041257824e-09       1.992759070960e-10      -7.451009697699e-13 
    6       1.173644745414e-10       3.370391789120e-15       3.289541687971e-13       0.000000000000e+00       2.093895835857e-09       1.622258725829e-10      -4.043792711608e-13 
    7       1.145736429135e-10       1.898891014953e-15       2.649985789978e-13       0.000000000000e+00       1.688724820846e-09       1.350095776886e-10      -1.595089619394e-13 
    8       1.127850862820e-10       1.090511692592e-15       2.111875871278e-13       0.000000000000e+00       1.395699928501e-09       1.143187714733e-10      -4.082482522992e-15 
    9       1.118098489999e-10       7.565853369231e-16       1.708042578811e-13       0.000000000000e+00       1.175322858853e-09       9.822011115818e-11       7.676508125515e-14 
   10       1.114661866075e-10       6.367846612932e-16       1.440766985019e-13       0.000000000000e+00       1.004694510826e-09       8.543225347468e-11       1.020275376357e-13 
   11       1.115308238947e-10       5.651074634460e-16       1.294500313471e-13       0.000000000000e+00       8.468472998885e-10       7.531443318714e-11       9.128039856217e-14 
   12       1.119772126629e-10       4.920482336615e-16       1.243577789689e-13       0.000000000000e+00       7.398974305351e-10       6.668503069379e-11       6.234275220933e-14 
   13       1.126933694071e-10       4.306736344790e-16       1.259544947189e-13       0.000000000000e+00       6.521093172258e-10       5.942278541562e-11       2.835166891755e-14 
   14       1.136222642742e-10       4.005100891892e-16       1.316492911806e-13       0.000000000000e+00       5.790658138680e-10       5.332886709055e-11      -1.484790202416e-15 
   15       1.147458978823e-10       4.041141088091e-16       1.393733729071e-13       0.000000000000e+00       5.175894145391e-10       4.818207876248e-11      -2.238553434600e-14 
   16       1.159896045366e-10       4.316333070161e-16       1.478006901322e-13       0.000000000000e+00       4.653244223490e-10       4.375347695159e-11      -3.324170311302e-14 
   17       1.174085848890e-10       4.736483751781e-16       1.561915945189e-13       0.000000000000e+00       4.204903415344e-10       3.980933339401e-11      -3.556818205024e-14 
   18       1.189141989203e-10       5.282116096978e-16       1.642110547282e-13       0.000000000000e+00       3.815767921559e-10       3.637891119158e-11      -3.184681109174e-14 
