# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 5000, i.e. number of multipoles equal to 4999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       2.907278494037e-10       7.950984292308e-15       5.707083402731e-13       4.890339163528e-15       8.448496097838e-09       4.776627661617e-10      -2.108169788095e-12 
    3       2.487238333131e-10       1.030407632397e-14       4.623997436377e-13       4.926100588653e-15       5.261623242339e-09       3.393635843379e-10      -1.687940000462e-12 
    4       2.293352777254e-10       9.860987056582e-15       3.953683490226e-13       4.285003447747e-15       3.665940301010e-09       2.570570579000e-10      -1.199502267319e-12 
    5       2.184863602499e-10       7.607730226807e-15       3.309233485766e-13       3.357459808696e-15       2.737122097830e-09       2.031224327076e-10      -7.633630621497e-13 
    6       2.113793367167e-10       5.004236957550e-15       2.672130073098e-13       2.437150772928e-15       2.136559643731e-09       1.653421941792e-10      -4.155615796690e-13 
    7       2.067396378698e-10       3.002675119967e-15       2.097076519633e-13       1.685918699967e-15       1.721765551368e-09       1.375738852185e-10      -1.651329123541e-13 
    8       2.037025699868e-10       1.851657007565e-15       1.620680798126e-13       1.157893345588e-15       1.422127424262e-09       1.164723667464e-10      -5.756317365163e-15 
    9       2.018258785667e-10       1.355799431135e-15       1.259692394146e-13       8.410105910060e-16       1.197725309142e-09       1.000703720511e-10       7.755001202050e-14 
   10       2.007798081423e-10       1.208252397140e-15       1.013353386647e-13       6.925826391179e-16       1.024241503079e-09       8.704715905740e-11       1.040303545690e-13 
   11       2.002525518754e-10       1.191151161137e-15       8.683570953028e-14       6.635579201626e-16       8.624665683616e-10       7.671635822396e-11       9.356078029880e-14 
   12       2.001675820782e-10       1.215987734246e-15       8.026490500237e-14       7.111608680381e-16       7.535438490579e-10       6.793100965205e-11       6.428610477927e-14 
   13       2.003820759768e-10       1.272955274548e-15       7.911332718036e-14       8.040988539396e-16       6.641365102601e-10       6.053897300632e-11       2.960908096880e-14 
   14       2.008193927406e-10       1.371558519549e-15       8.105432962624e-14       9.218006955347e-16       5.897457321257e-10       5.433478797210e-11      -1.010294738524e-15 
   15       2.014498208803e-10       1.510706549795e-15       8.418247677463e-14       1.052870890168e-15       5.271355275315e-10       4.909166809140e-11      -2.259606032301e-14 
   16       2.021906933576e-10       1.679647754007e-15       8.730132860157e-14       1.191695900716e-15       4.739065278216e-10       4.457714392262e-11      -3.392762261191e-14 
   17       2.030942388633e-10       1.869291266104e-15       8.975436757870e-14       1.335459894713e-15       4.282455625158e-10       4.055503473052e-11      -3.649315705018e-14 
   18       2.040626323786e-10       2.077282224538e-15       9.127052929891e-14       1.483812514466e-15       3.886140026887e-10       3.705715124568e-11      -3.279704555715e-14 
   19       2.051133384689e-10       2.307613514200e-15       9.201574213348e-14       1.636532646008e-15       3.543848835489e-10       3.403673286406e-11      -2.545167093015e-14 
   20       2.062165483232e-10       2.565658887464e-15       9.232231233264e-14       1.793379711369e-15       3.242388384706e-10       3.132061671710e-11      -1.763384304795e-14 
   21       2.073835268644e-10       2.853193503842e-15       9.244096863523e-14       1.954251491135e-15       2.977022781648e-10       2.889972287688e-11      -1.105713228664e-14 
   22       2.085826518975e-10       3.170093435432e-15       9.257332688872e-14       2.119162725040e-15       2.741401883654e-10       2.677661848222e-11      -6.888304894110e-15 
   23       2.098327911126e-10       3.515126974876e-15       9.270599086005e-14       2.288013352435e-15       2.532282869907e-10       2.491218432020e-11      -5.189576345165e-15 
   24       2.111268578424e-10       3.886457862488e-15       9.270540643725e-14       2.460694516179e-15       2.344827816303e-10       2.322764633808e-11      -5.492420584166e-15 
   25       2.124614265541e-10       4.284121780377e-15       9.236246031254e-14       2.637010268363e-15       2.176832212089e-10       2.168353949692e-11      -7.192444568872e-15 
   26       2.138080449036e-10       4.708607993898e-15       9.140402149205e-14       2.816743865314e-15       2.025257870738e-10       2.024483198594e-11      -9.503252311063e-15 
   27       2.151776489963e-10       5.160296039117e-15       8.957926794417e-14       2.999633882248e-15       1.888290305810e-10       1.892947603943e-11      -1.169294348502e-14 
   28       2.165740365068e-10       5.639547259522e-15       8.664059606973e-14       3.185417025446e-15       1.763571711173e-10       1.775929051269e-11      -1.307382011938e-14 
   29       2.180107763873e-10       6.147213800136e-15       8.246568291379e-14       3.373869863311e-15       1.650462810837e-10       1.672178533471e-11      -1.356685026531e-14 
   30       2.194797016877e-10       6.684322735920e-15       7.696925440390e-14       3.564795346585e-15       1.547743889946e-10       1.577859514614e-11      -1.332572806765e-14 
   31       2.209530915979e-10       7.251949885829e-15       7.008936891904e-14       3.758001657813e-15       1.453314643254e-10       1.488394549168e-11      -1.256162820497e-14 
   32       2.224423809272e-10       7.851234681595e-15       6.186788947560e-14       3.953245595355e-15       1.366688454174e-10       1.403981796091e-11      -1.146803418887e-14 
   33       2.239565416175e-10       8.483375709767e-15       5.240398958928e-14       4.150268357748e-15       1.287256204319e-10       1.326008369060e-11      -1.027647728223e-14 
   34       2.254904226598e-10       9.149511981052e-15       4.180183687605e-14       4.348815326147e-15       1.213909762161e-10       1.255311762374e-11      -9.233073108487e-15 
   35       2.270455750278e-10       9.850313878728e-15       3.005133567804e-14       4.548654560895e-15       1.146273514183e-10       1.191238938256e-11      -8.433571238820e-15 
   36       2.286133133769e-10       1.058623927932e-14       1.710606934711e-14       4.749565158079e-15       1.083803324292e-10       1.132153427109e-11      -7.932372661094e-15 
   37       2.301777178483e-10       1.135768908838e-14       2.917030395131e-15       4.951322291571e-15       1.025684616762e-10       1.076203443700e-11      -7.761673848917e-15 
   38       2.317510733609e-10       1.216520109219e-14      -1.255729845700e-14       5.153661370368e-15       9.717670210018e-11       1.023340929806e-11      -7.848553007592e-15 
   39       2.333479978347e-10       1.300931080224e-14      -2.935845442773e-14       5.356301662608e-15       9.218796819625e-11       9.739099027424e-12      -8.067996422039e-15 
   40       2.349747318699e-10       1.389049464821e-14      -4.753115474166e-14       5.558955214231e-15       8.755470115435e-11       9.280831713423e-12      -8.262308529191e-15 
   41       2.366307278546e-10       1.480920737054e-14      -6.712229452402e-14       5.761334089685e-15       8.321543670706e-11       8.858419793981e-12      -8.282871257611e-15 
   42       2.383163408400e-10       1.576601803783e-14      -8.817668036017e-14       5.963176197994e-15       7.915738534354e-11       8.469497891168e-12      -8.136977843856e-15 
   43       2.400260299436e-10       1.676151186636e-14      -1.107405154612e-13       6.164226985386e-15       7.536974992199e-11       8.109399798989e-12      -7.885153059011e-15 
   44       2.417452599483e-10       1.779625184724e-14      -1.348629052909e-13       6.364232398347e-15       7.182494582486e-11       7.770999935415e-12      -7.602192068361e-15 
   45       2.434577767646e-10       1.887070988758e-14      -1.605843415283e-13       6.562934401030e-15       6.848844978687e-11       7.446816552918e-12      -7.361759392802e-15 
   46       2.451718715891e-10       1.998503809108e-14      -1.878974270941e-13       6.760055917056e-15       6.535500640834e-11       7.136494963323e-12      -7.182677011156e-15 
   47       2.469006375844e-10       2.113922736313e-14      -2.167748579579e-13       6.955311394831e-15       6.242097295907e-11       6.841255592608e-12      -7.068035368441e-15 
   48       2.486542833697e-10       2.233316451275e-14      -2.471797795014e-13       7.148410657917e-15       5.967339990698e-11       6.561758057922e-12      -7.019979031424e-15 
   49       2.504398145615e-10       2.356662732505e-14      -2.790653717771e-13       7.339058651819e-15       5.708933883410e-11       6.298052813729e-12      -7.039626850871e-15 
   50       2.522610492413e-10       2.483933918890e-14      -3.123864948267e-13       7.526968589545e-15       5.464275304495e-11       6.049721677170e-12      -7.125136078886e-15 
   51       2.541194081355e-10       2.615116189267e-14      -3.471393133360e-13       7.711906182313e-15       5.232906642112e-11       5.816456553162e-12      -7.265460462062e-15 
   52       2.560127884446e-10       2.750194664307e-14      -3.833317107393e-13       7.893656977079e-15       5.014608176616e-11       5.597554215093e-12      -7.444759848822e-15 
   53       2.579349530993e-10       2.889147700923e-14      -4.209723183791e-13       8.072014375460e-15       4.808663412974e-11       5.391702626112e-12      -7.643944936848e-15 
   54       2.598752280158e-10       3.031946679768e-14      -4.600706682973e-13       8.246780011050e-15       4.613825649739e-11       5.196941473715e-12      -7.840510092036e-15 
   55       2.618228289454e-10       3.178558529519e-14      -5.006363549940e-13       8.417766051410e-15       4.428698114272e-11       5.011201433538e-12      -8.014053462840e-15 
   56       2.637817943072e-10       3.328954520864e-14      -5.426759268220e-13       8.584801909286e-15       4.253061540616e-11       4.834169249151e-12      -8.164826171313e-15 
   57       2.657592317102e-10       3.483103284922e-14      -5.861954899733e-13       8.747729859503e-15       4.086817833407e-11       4.665816851350e-12      -8.299498308604e-15 
   58       2.677608936656e-10       3.640968164299e-14      -6.312017435466e-13       8.906403702832e-15       3.929588455472e-11       4.505846673421e-12      -8.425928583799e-15 
   59       2.697910552161e-10       3.802507107219e-14      -6.777020937265e-13       9.060689218297e-15       3.780697109782e-11       4.353674733620e-12      -8.553218725817e-15 
   60       2.718523915647e-10       3.967672561650e-14      -7.257047679629e-13       9.210464615479e-15       3.639152421397e-11       4.208413717646e-12      -8.691767885294e-15 
   61       2.739466208387e-10       4.136410338564e-14      -7.752142596750e-13       9.355618520050e-15       3.503923133854e-11       4.069137949800e-12      -8.850197247409e-15 
   62       2.760768778168e-10       4.308656143071e-14      -8.262162092223e-13       9.496042378734e-15       3.374875059535e-11       3.935786079543e-12      -9.025194138266e-15 
   63       2.782456582853e-10       4.484338073247e-14      -8.786893164744e-13       9.631637144424e-15       3.252014663788e-11       3.808431914286e-12      -9.209474481893e-15 
   64       2.804540047681e-10       4.663377446460e-14      -9.326096775196e-13       9.762315959151e-15       3.135207230902e-11       3.687012594594e-12      -9.394667418580e-15 
   65       2.827014084323e-10       4.845688660795e-14      -9.879507506861e-13       9.888004528121e-15       3.024168827326e-11       3.571320620772e-12      -9.571270400942e-15 
   66       2.849857109941e-10       5.031179056471e-14      -1.044683322562e-12       1.000864149375e-14       2.918458264870e-11       3.460995879456e-12      -9.728604289958e-15 
   67       2.873030066250e-10       5.219748777259e-14      -1.102775474015e-12       1.012417880971e-14       2.817469063922e-11       3.355517670205e-12      -9.854768451034e-15 
   68       2.896494179074e-10       5.411291557092e-14      -1.162195366402e-12       1.023457315056e-14       2.720591334816e-11       3.254349786224e-12      -9.939484904776e-15 
   69       2.920270608420e-10       5.605697574720e-14      -1.222920331721e-12       1.033975728331e-14       2.627753476276e-11       3.157427716095e-12      -9.983400364812e-15 
   70       2.944391178410e-10       5.802850931189e-14      -1.284929571784e-12       1.043966354030e-14       2.538976306018e-11       3.064756291748e-12      -9.990597030423e-15 
   71       2.968880213558e-10       6.002628662980e-14      -1.348201538462e-12       1.053423241247e-14       2.454209229434e-11       2.976261382808e-12      -9.965898766679e-15 
   72       2.993754037127e-10       6.204900627087e-14      -1.412713971838e-12       1.062341269413e-14       2.373326548530e-11       2.891785837607e-12      -9.914900089363e-15 
   73       3.019020469483e-10       6.409529386105e-14      -1.478443938350e-12       1.070716162775e-14       2.296123770872e-11       2.811085424207e-12      -9.843995149887e-15 
   74       3.044678326456e-10       6.616370093309e-14      -1.545367868942e-12       1.078544504872e-14       2.222313918529e-11       2.733824771415e-12      -9.760406720214e-15 
   75       3.070716917689e-10       6.825270377737e-14      -1.613461597212e-12       1.085823753012e-14       2.151523837014e-11       2.659573309802e-12      -9.672215177774e-15 
   76       3.097124692346e-10       7.036075062331e-14      -1.682699305429e-12       1.092552222252e-14       2.083386771910e-11       2.587911719190e-12      -9.586636508787e-15 
   77       3.123918105246e-10       7.248641565692e-14      -1.753050056378e-12       1.098729001962e-14       2.017847747723e-11       2.518782653585e-12      -9.504429720675e-15 
   78       3.151117127674e-10       7.462827113176e-14      -1.824480695452e-12       1.104354050280e-14       1.954907429159e-11       2.452196895423e-12      -9.424517515913e-15 
   79       3.178736258033e-10       7.678484137440e-14      -1.896956902168e-12       1.109428236883e-14       1.894529104440e-11       2.388126758962e-12      -9.345639991595e-15 
   80       3.206784207768e-10       7.895460262628e-14      -1.970443205926e-12       1.113953356839e-14       1.836636968304e-11       2.326504297333e-12      -9.266347719049e-15 
   81       3.235263587302e-10       8.113598288558e-14      -2.044903001758e-12       1.117932144457e-14       1.781114404989e-11       2.267219509581e-12      -9.184994823468e-15 
   82       3.264170591960e-10       8.332736174917e-14      -2.120298566084e-12       1.121368287143e-14       1.727802271224e-11       2.210118547702e-12      -9.099732063528e-15 
   83       3.293494687905e-10       8.552707025441e-14      -2.196591072460e-12       1.124266439248e-14       1.676497179220e-11       2.155001923692e-12      -9.008499911015e-15 
   84       3.323225044598e-10       8.773339781338e-14      -2.273739796791e-12       1.126631738639e-14       1.627000898926e-11       2.101675475346e-12      -8.909618191987e-15 
   85       3.353371745385e-10       8.994461468261e-14      -2.351699547043e-12       1.128468233998e-14       1.579281735838e-11       2.050116898866e-12      -8.803682481797e-15 
   86       3.383947533695e-10       9.215895294572e-14      -2.430422834331e-12       1.129780220990e-14       1.533336882547e-11       2.000333664894e-12      -8.691970865745e-15 
   87       3.414961181416e-10       9.437459971407e-14      -2.509860647679e-12       1.130572721769e-14       1.489142832903e-11       1.952311821486e-12      -8.575878389784e-15 
   88       3.446417288213e-10       9.658969708772e-14      -2.589962456152e-12       1.130851490475e-14       1.446654524149e-11       1.906015087851e-12      -8.456920166387e-15 
   89       3.478316080844e-10       9.880234211660e-14      -2.670676210986e-12       1.130623018728e-14       1.405804479061e-11       1.861383948103e-12      -8.336734480418e-15 
   90       3.510653212480e-10       1.010105867615e-13      -2.751948347717e-12       1.129894541122e-14       1.366501948083e-11       1.818334744996e-12      -8.217085894993e-15 
   91       3.543419562017e-10       1.032124378554e-13      -2.833723788313e-12       1.128674040717e-14       1.328632051466e-11       1.776758773676e-12      -8.099868357354e-15 
   92       3.576601033400e-10       1.054058570640e-13      -2.915945943302e-12       1.126970254534e-14       1.292054921401e-11       1.736521375423e-12      -7.987108304733e-15 
   93       3.610184139947e-10       1.075888075115e-13      -2.998557859232e-12       1.124792284749e-14       1.256638864274e-11       1.697494819549e-12      -7.880555620035e-15 
   94       3.644174153984e-10       1.097594017619e-13      -3.081505853814e-12       1.122148353436e-14       1.222367416045e-11       1.659664574641e-12      -7.780379379585e-15 
   95       3.678579328574e-10       1.119157761252e-13      -3.164736433985e-12       1.119046869828e-14       1.189246876824e-11       1.623037419313e-12      -7.686280775447e-15 
   96       3.713405236085e-10       1.140560465703e-13      -3.248195216913e-12       1.115496808001e-14       1.157273339757e-11       1.587608641667e-12      -7.597885269943e-15 
   97       3.748654646912e-10       1.161783093269e-13      -3.331826947846e-12       1.111507706964e-14       1.126432300164e-11       1.553361596841e-12      -7.514740044006e-15 
